AAA027L06.genome.CDS.1551,group00717
AAA027L06.genome.CDS.2060,group00170
AAA027L06.genome.CDS.2061,group00334
AAA027L06.genome.CDS.2062,group00295
AAA027L06.genome.CDS.2148,group00148
AAA027L06.genome.CDS.2064,group00247
AAA027L06.genome.CDS.2065,group00793
AAA027L06.genome.CDS.2066,group00496
AAA027L06.genome.CDS.2067,group00001
AAA027L06.genome.CDS.1696,group00117
AAA027L06.genome.CDS.1697,group00869
AAA027L06.genome.CDS.1694,group00683
AAA027L06.genome.CDS.1695,group01080
AAA027L06.genome.CDS.1692,group01007
AAA027L06.genome.CDS.1693,group00910
AAA027L06.genome.CDS.1690,group01326
AAA027L06.genome.CDS.1691,group01119
AAA027L06.genome.CDS.1520,group00830
AAA027L06.genome.CDS.2302,group00576
AAA027L06.genome.CDS.2356,group00483
AAA027L06.genome.CDS.1698,group00813
AAA027L06.genome.CDS.1699,group00684
AAA027L06.genome.CDS.2180,group00538
AAA027L06.genome.CDS.1507,group03419
AAA027L06.genome.CDS.1504,group00492
AAA027L06.genome.CDS.1505,group00461
AAA027L06.genome.CDS.1502,group00326
AAA027L06.genome.CDS.2245,group02877
AAA027L06.genome.CDS.1500,group00268
AAA027L06.genome.CDS.1501,group00445
AAA027L06.genome.CDS.2248,group00573
AAA027L06.genome.CDS.2249,group01006
AAA027L06.genome.CDS.1393,group00058
AAA027L06.genome.CDS.1488,group00344
AAA027L06.genome.CDS.1508,group00242
AAA027L06.genome.CDS.1509,group01025
AAA027L06.genome.CDS.1641,group00914
AAA027L06.genome.CDS.2024,group00920
AAA027L06.genome.CDS.2437,group00095
AAA027L06.genome.CDS.1609,group00990
AAA027L06.genome.CDS.1608,group01193
AAA027L06.genome.CDS.2025,group00919
AAA027L06.genome.CDS.1605,group00743
AAA027L06.genome.CDS.1576,group01235
AAA027L06.genome.CDS.1607,group01015
AAA027L06.genome.CDS.1606,group01675
AAA027L06.genome.CDS.1601,group01996
AAA027L06.genome.CDS.1801,group00010
AAA027L06.genome.CDS.1603,group01138
AAA027L06.genome.CDS.1602,group01056
AAA027L06.genome.CDS.1982,group01990
AAA027L06.genome.CDS.1983,group00434
AAA027L06.genome.CDS.1980,group01057
AAA027L06.genome.CDS.2027,group00861
AAA027L06.genome.CDS.1599,group00168
AAA027L06.genome.CDS.1598,group00900
AAA027L06.genome.CDS.2398,group01664
AAA027L06.genome.CDS.2399,group01052
AAA027L06.genome.CDS.1595,group00124
AAA027L06.genome.CDS.2397,group01269
AAA027L06.genome.CDS.2394,group02214
AAA027L06.genome.CDS.1596,group00292
AAA027L06.genome.CDS.2392,group01660
AAA027L06.genome.CDS.2393,group00173
AAA027L06.genome.CDS.1593,group00373
AAA027L06.genome.CDS.1592,group00204
AAA027L06.genome.CDS.1391,group00137
AAA027L06.genome.CDS.2022,group00991
AAA027L06.genome.CDS.1181,group01670
AAA027L06.genome.CDS.1472,group00556
AAA027L06.genome.CDS.1438,group00142
AAA027L06.genome.CDS.1439,group00142
AAA027L06.genome.CDS.1348,group00562
AAA027L06.genome.CDS.1349,group00161
AAA027L06.genome.CDS.2439,group00129
AAA027L06.genome.CDS.2438,group00976
AAA027L06.genome.CDS.1432,group00149
AAA027L06.genome.CDS.2436,group00151
AAA027L06.genome.CDS.2435,group00208
AAA027L06.genome.CDS.1347,group00232
AAA027L06.genome.CDS.1340,group00748
AAA027L06.genome.CDS.1437,group01066
AAA027L06.genome.CDS.1342,group00983
AAA027L06.genome.CDS.1343,group00224
AAA027L06.genome.CDS.2329,group00531
AAA027L06.genome.CDS.2328,group00179
AAA027L06.genome.CDS.1288,group00526
AAA027L06.genome.CDS.1939,group00184
AAA027L06.genome.CDS.1938,group01356
AAA027L06.genome.CDS.2323,group01083
AAA027L06.genome.CDS.1936,group00206
AAA027L06.genome.CDS.2321,group00676
AAA027L06.genome.CDS.2320,group00912
AAA027L06.genome.CDS.2327,group00180
AAA027L06.genome.CDS.2237,group01301
AAA027L06.genome.CDS.1931,group00333
AAA027L06.genome.CDS.2324,group01021
AAA027L06.genome.CDS.1219,group00018
AAA027L06.genome.CDS.2084,group00567
AAA027L06.genome.CDS.1521,group00480
AAA027L06.genome.CDS.1642,group00958
AAA027L06.genome.CDS.1862,group00066
AAA027L06.genome.CDS.1230,group00023
AAA027L06.genome.CDS.1338,group00014
AAA027L06.genome.CDS.1232,group01020
AAA027L06.genome.CDS.1233,group01258
AAA027L06.genome.CDS.1234,group00828
AAA027L06.genome.CDS.1235,group02882
AAA027L06.genome.CDS.1236,group00428
AAA027L06.genome.CDS.1237,group00351
AAA027L06.genome.CDS.1238,group00303
AAA027L06.genome.CDS.1239,group00154
AAA027L06.genome.CDS.1333,group00528
AAA027L06.genome.CDS.1332,group00417
AAA027L06.genome.CDS.2308,group01838
AAA027L06.genome.CDS.1334,group00418
AAA027L06.genome.CDS.1337,group00712
AAA027L06.genome.CDS.1336,group00009
AAA027L06.genome.CDS.2263,group01109
AAA027L06.genome.CDS.1522,group00138
AAA027L06.genome.CDS.1934,group01014
AAA027L06.genome.CDS.2044,group00703
AAA027L06.genome.CDS.1398,group00053
AAA027L06.genome.CDS.1986,group01308
AAA027L06.genome.CDS.1319,group00520
AAA027L06.genome.CDS.531,group00004
AAA027L06.genome.CDS.1738,group00522
AAA027L06.genome.CDS.1434,group01611
AAA027L06.genome.CDS.2115,group01285
AAA027L06.genome.CDS.1251,group00478
AAA027L06.genome.CDS.2275,group00541
AAA027L06.genome.CDS.1933,group00718
AAA027L06.genome.CDS.2045,group00677
AAA027L06.genome.CDS.1315,group00874
AAA027L06.genome.CDS.1987,group00000
AAA027L06.genome.CDS.1314,group00667
AAA027L06.genome.CDS.2120,group01245
AAA027L06.genome.CDS.2122,group01336
AAA027L06.genome.CDS.1258,group00973
AAA027L06.genome.CDS.2278,group00289
AAA027L06.genome.CDS.1604,group01005
AAA027L06.genome.CDS.1292,group00876
AAA027L06.genome.CDS.1259,group00681
AAA027L06.genome.CDS.1984,group01991
AAA027L06.genome.CDS.2021,group00738
AAA027L06.genome.CDS.1618,group00623
AAA027L06.genome.CDS.1668,group00230
AAA027L06.genome.CDS.2126,group01092
AAA027L06.genome.CDS.626,group00336
AAA027L06.genome.CDS.2266,group00287
AAA027L06.genome.CDS.1803,group03440
AAA027L06.genome.CDS.1802,group03437
AAA027L06.genome.CDS.2026,group00885
AAA027L06.genome.CDS.1800,group00049
AAA027L06.genome.CDS.2020,group00709
AAA027L06.genome.CDS.1806,group00540
AAA027L06.genome.CDS.1805,group00662
AAA027L06.genome.CDS.1804,group03439
AAA027L06.genome.CDS.1809,group00563
AAA027L06.genome.CDS.1808,group01215
AAA027L06.genome.CDS.2028,group00847
AAA027L06.genome.CDS.2029,group03450
AAA027L06.genome.CDS.1720,group00873
AAA027L06.genome.CDS.1226,group00746
AAA027L06.genome.CDS.2118,group01408
AAA027L06.genome.CDS.2403,group01132
AAA027L06.genome.CDS.1652,group00221
AAA027L06.genome.CDS.1653,group00228
AAA027L06.genome.CDS.1799,group00114
AAA027L06.genome.CDS.1798,group00578
AAA027L06.genome.CDS.1656,group00203
AAA027L06.genome.CDS.1657,group00794
AAA027L06.genome.CDS.1654,group00140
AAA027L06.genome.CDS.1655,group00026
AAA027L06.genome.CDS.46,group00806
AAA027L06.genome.CDS.1792,group00152
AAA027L06.genome.CDS.1658,group00696
AAA027L06.genome.CDS.1790,group03438
AAA027L06.genome.CDS.1797,group00455
AAA027L06.genome.CDS.1791,group00060
AAA027L06.genome.CDS.1795,group01086
AAA027L06.genome.CDS.1794,group00226
AAA027L06.genome.CDS.2051,group00047
AAA027L06.genome.CDS.2050,group00068
AAA027L06.genome.CDS.2053,group00476
AAA027L06.genome.CDS.2052,group00189
AAA027L06.genome.CDS.1898,group03445
AAA027L06.genome.CDS.2054,group00456
AAA027L06.genome.CDS.1728,group00820
AAA027L06.genome.CDS.2056,group00143
AAA027L06.genome.CDS.2059,group00591
AAA027L06.genome.CDS.2058,group00630
AAA027L06.genome.CDS.1724,group00896
AAA027L06.genome.CDS.1725,group00894
AAA027L06.genome.CDS.1722,group00819
AAA027L06.genome.CDS.1891,group01514
AAA027L06.genome.CDS.2428,group00059
AAA027L06.genome.CDS.1721,group00872
AAA027L06.genome.CDS.2293,group00955
AAA027L06.genome.CDS.2119,group00044
AAA027L06.genome.CDS.2291,group02150
AAA027L06.genome.CDS.2290,group01972
AAA027L06.genome.CDS.2297,group00135
AAA027L06.genome.CDS.2296,group01028
AAA027L06.genome.CDS.2295,group00978
AAA027L06.genome.CDS.1442,group00191
AAA027L06.genome.CDS.2110,group00803
AAA027L06.genome.CDS.2111,group00473
AAA027L06.genome.CDS.2112,group00648
AAA027L06.genome.CDS.2298,group00234
AAA027L06.genome.CDS.2114,group00950
AAA027L06.genome.CDS.2280,group00116
AAA027L06.genome.CDS.2116,group01460
AAA027L06.genome.CDS.2117,group01499
AAA027L06.genome.CDS.2274,group03458
AAA027L06.genome.CDS.2240,group03457
AAA027L06.genome.CDS.2429,group00158
AAA027L06.genome.CDS.2370,group01067
AAA027L06.genome.CDS.2371,group01314
AAA027L06.genome.CDS.1474,group00493
AAA027L06.genome.CDS.2373,group00416
AAA027L06.genome.CDS.2374,group00721
AAA027L06.genome.CDS.2375,group00695
AAA027L06.genome.CDS.1470,group00107
AAA027L06.genome.CDS.2377,group01111
AAA027L06.genome.CDS.1577,group00354
AAA027L06.genome.CDS.2379,group00804
AAA027L06.genome.CDS.1575,group01199
AAA027L06.genome.CDS.2272,group00396
AAA027L06.genome.CDS.1573,group00275
AAA027L06.genome.CDS.1572,group00392
AAA027L06.genome.CDS.1478,group00423
AAA027L06.genome.CDS.1570,group00453
AAA027L06.genome.CDS.1640,group00017
AAA027L06.genome.CDS.2419,group03469
AAA027L06.genome.CDS.2208,group01163
AAA027L06.genome.CDS.2209,group03454
AAA027L06.genome.CDS.2094,group00214
AAA027L06.genome.CDS.2204,group00552
AAA027L06.genome.CDS.2205,group00035
AAA027L06.genome.CDS.2206,group00582
AAA027L06.genome.CDS.1729,group00824
AAA027L06.genome.CDS.2200,group00020
AAA027L06.genome.CDS.2097,group00174
AAA027L06.genome.CDS.2202,group00821
AAA027L06.genome.CDS.2203,group01162
AAA027L06.genome.CDS.1894,group02437
AAA027L06.genome.CDS.1979,group01840
AAA027L06.genome.CDS.1978,group02362
AAA027L06.genome.CDS.288,group02899
AAA027L06.genome.CDS.1727,group00844
AAA027L06.genome.CDS.1973,group01725
AAA027L06.genome.CDS.1972,group01593
AAA027L06.genome.CDS.1971,group01497
AAA027L06.genome.CDS.1970,group01479
AAA027L06.genome.CDS.1977,group01262
AAA027L06.genome.CDS.1976,group01330
AAA027L06.genome.CDS.1975,group01536
AAA027L06.genome.CDS.1974,group01617
AAA027L06.genome.CDS.1375,group00620
AAA027L06.genome.CDS.1374,group00343
AAA027L06.genome.CDS.1377,group00798
AAA027L06.genome.CDS.1376,group00798
AAA027L06.genome.CDS.1371,group00704
AAA027L06.genome.CDS.1370,group00810
AAA027L06.genome.CDS.1373,group00735
AAA027L06.genome.CDS.1372,group00475
AAA027L06.genome.CDS.1890,group00842
AAA027L06.genome.CDS.1765,group00960
AAA027L06.genome.CDS.1379,group00889
AAA027L06.genome.CDS.1378,group00736
AAA027L06.genome.CDS.1723,group00895
AAA027L06.genome.CDS.2411,group00382
AAA027L06.genome.CDS.1988,group00173
AAA027L06.genome.CDS.1892,group01414
AAA027L06.genome.CDS.1394,group00194
AAA027L06.genome.CDS.2410,group00999
AAA027L06.genome.CDS.1274,group01047
AAA027L06.genome.CDS.1276,group01074
AAA027L06.genome.CDS.1277,group01373
AAA027L06.genome.CDS.1270,group00787
AAA027L06.genome.CDS.1271,group00434
AAA027L06.genome.CDS.1272,group01527
AAA027L06.genome.CDS.1273,group01411
AAA027L06.genome.CDS.1388,group00449
AAA027L06.genome.CDS.1389,group00387
AAA027L06.genome.CDS.2292,group03464
AAA027L06.genome.CDS.1380,group00385
AAA027L06.genome.CDS.1381,group00233
AAA027L06.genome.CDS.1382,group00420
AAA027L06.genome.CDS.1383,group00758
AAA027L06.genome.CDS.1384,group00359
AAA027L06.genome.CDS.1385,group00315
AAA027L06.genome.CDS.1386,group00358
AAA027L06.genome.CDS.1387,group00448
AAA027L06.genome.CDS.2372,group01039
AAA027L06.genome.CDS.2417,group00362
AAA027L06.genome.CDS.1704,group02030
AAA027L06.genome.CDS.1538,group00414
AAA027L06.genome.CDS.1209,group00581
AAA027L06.genome.CDS.1208,group00525
AAA027L06.genome.CDS.1807,group00714
AAA027L06.genome.CDS.1201,group00763
AAA027L06.genome.CDS.1203,group00822
AAA027L06.genome.CDS.1202,group00615
AAA027L06.genome.CDS.1205,group00644
AAA027L06.genome.CDS.1204,group00005
AAA027L06.genome.CDS.1207,group00698
AAA027L06.genome.CDS.1206,group00723
AAA027L06.genome.CDS.1624,group00732
AAA027L06.genome.CDS.1345,group00966
AAA027L06.genome.CDS.2277,group03462
AAA027L06.genome.CDS.2276,group03460
AAA027L06.genome.CDS.2299,group00305
AAA027L06.genome.CDS.1842,group00110
AAA027L06.genome.CDS.2420,group00257
AAA027L06.genome.CDS.2113,group00809
AAA027L06.genome.CDS.2348,group03466
AAA027L06.genome.CDS.2016,group01300
AAA027L06.genome.CDS.541,group03433
AAA027L06.genome.CDS.1911,group02767
AAA027L06.genome.CDS.2279,group03461
AAA027L06.genome.CDS.1910,group02768
AAA027L06.genome.CDS.1913,group03442
AAA027L06.genome.CDS.1912,group02977
AAA027L06.genome.CDS.1402,group02976
AAA027L06.genome.CDS.1409,group00211
AAA027L06.genome.CDS.1298,group00831
AAA027L06.genome.CDS.1639,group01120
AAA027L06.genome.CDS.1447,group01096
AAA027L06.genome.CDS.2427,group00852
AAA027L06.genome.CDS.1473,group00415
AAA027L06.genome.CDS.1914,group01034
AAA027L06.genome.CDS.1757,group00007
AAA027L06.genome.CDS.2087,group00100
AAA027L06.genome.CDS.1755,group00325
AAA027L06.genome.CDS.1754,group00006
AAA027L06.genome.CDS.1753,group01123
AAA027L06.genome.CDS.1752,group01149
AAA027L06.genome.CDS.2080,group02446
AAA027L06.genome.CDS.1750,group00984
AAA027L06.genome.CDS.1444,group00254
AAA027L06.genome.CDS.2343,group00322
AAA027L06.genome.CDS.2088,group00099
AAA027L06.genome.CDS.1758,group03434
AAA027L06.genome.CDS.2068,group01375
AAA027L06.genome.CDS.2342,group00279
AAA027L06.genome.CDS.1299,group00811
AAA027L06.genome.CDS.2142,group00118
AAA027L06.genome.CDS.2376,group00406
AAA027L06.genome.CDS.2345,group00459
AAA027L06.genome.CDS.1989,group01426
AAA027L06.genome.CDS.2141,group00119
AAA027L06.genome.CDS.2344,group00237
AAA027L06.genome.CDS.1858,group00146
AAA027L06.genome.CDS.1859,group00065
AAA027L06.genome.CDS.2156,group00579
AAA027L06.genome.CDS.2157,group00596
AAA027L06.genome.CDS.2150,group00198
AAA027L06.genome.CDS.2347,group00215
AAA027L06.genome.CDS.2152,group00175
AAA027L06.genome.CDS.2153,group01055
AAA027L06.genome.CDS.1850,group00765
AAA027L06.genome.CDS.2014,group00558
AAA027L06.genome.CDS.1852,group00246
AAA027L06.genome.CDS.1853,group00192
AAA027L06.genome.CDS.2011,group00557
AAA027L06.genome.CDS.1855,group00186
AAA027L06.genome.CDS.2013,group00558
AAA027L06.genome.CDS.1857,group00126
AAA027L06.genome.CDS.1897,group01375
AAA027L06.genome.CDS.1650,group00713
AAA027L06.genome.CDS.1353,group00624
AAA027L06.genome.CDS.1539,group00413
AAA027L06.genome.CDS.1533,group00719
AAA027L06.genome.CDS.2235,group01221
AAA027L06.genome.CDS.2234,group01075
AAA027L06.genome.CDS.75,group01770
AAA027L06.genome.CDS.2236,group01278
AAA027L06.genome.CDS.2231,group01212
AAA027L06.genome.CDS.2230,group00744
AAA027L06.genome.CDS.2233,group00474
AAA027L06.genome.CDS.2232,group01213
AAA027L06.genome.CDS.2151,group00091
AAA027L06.genome.CDS.2338,group00890
AAA027L06.genome.CDS.2239,group00729
AAA027L06.genome.CDS.2238,group01277
AAA027L06.genome.CDS.1925,group00141
AAA027L06.genome.CDS.2121,group00013
AAA027L06.genome.CDS.1476,group03420
AAA027L06.genome.CDS.2123,group00694
AAA027L06.genome.CDS.2063,group00371
AAA027L06.genome.CDS.2125,group00603
AAA027L06.genome.CDS.2124,group00604
AAA027L06.genome.CDS.2127,group01046
AAA027L06.genome.CDS.1477,group00585
AAA027L06.genome.CDS.2129,group00212
AAA027L06.genome.CDS.2128,group00403
AAA027L06.genome.CDS.1614,group00069
AAA027L06.genome.CDS.1615,group01187
AAA027L06.genome.CDS.1612,group00264
AAA027L06.genome.CDS.1613,group01836
AAA027L06.genome.CDS.1610,group00968
AAA027L06.genome.CDS.1611,group00501
AAA027L06.genome.CDS.1928,group00386
AAA027L06.genome.CDS.2446,group00892
AAA027L06.genome.CDS.1475,group00600
AAA027L06.genome.CDS.1588,group00240
AAA027L06.genome.CDS.2335,group00766
AAA027L06.genome.CDS.1586,group00437
AAA027L06.genome.CDS.1587,group00225
AAA027L06.genome.CDS.935,group00689
AAA027L06.genome.CDS.1585,group00245
AAA027L06.genome.CDS.1582,group00250
AAA027L06.genome.CDS.1531,group03422
AAA027L06.genome.CDS.1580,group00160
AAA027L06.genome.CDS.1581,group00219
AAA027L06.genome.CDS.2346,group00057
AAA027L06.genome.CDS.2337,group00375
AAA027L06.genome.CDS.1579,group00159
AAA027L06.genome.CDS.1351,group00341
AAA027L06.genome.CDS.1578,group00134
AAA027L06.genome.CDS.2331,group00855
AAA027L06.genome.CDS.2349,group03465
AAA027L06.genome.CDS.2271,group00929
AAA027L06.genome.CDS.2422,group00136
AAA027L06.genome.CDS.2423,group00657
AAA027L06.genome.CDS.2424,group00299
AAA027L06.genome.CDS.2425,group00106
AAA027L06.genome.CDS.2426,group00104
AAA027L06.genome.CDS.1408,group00182
AAA027L06.genome.CDS.2341,group00953
AAA027L06.genome.CDS.1406,group00164
AAA027L06.genome.CDS.1405,group00195
AAA027L06.genome.CDS.2333,group00429
AAA027L06.genome.CDS.1403,group00168
AAA027L06.genome.CDS.2273,group00955
AAA027L06.genome.CDS.1401,group03452
AAA027L06.genome.CDS.1400,group00265
AAA027L06.genome.CDS.1920,group00364
AAA027L06.genome.CDS.1921,group00080
AAA027L06.genome.CDS.1922,group00291
AAA027L06.genome.CDS.1574,group00970
AAA027L06.genome.CDS.1924,group00379
AAA027L06.genome.CDS.2339,group00128
AAA027L06.genome.CDS.2448,group00297
AAA027L06.genome.CDS.1927,group00439
AAA027L06.genome.CDS.2334,group00260
AAA027L06.genome.CDS.1532,group00599
AAA027L06.genome.CDS.2336,group00044
AAA027L06.genome.CDS.1530,group00261
AAA027L06.genome.CDS.1537,group00235
AAA027L06.genome.CDS.1536,group03421
AAA027L06.genome.CDS.1535,group00235
AAA027L06.genome.CDS.1534,group00200
AAA027L06.genome.CDS.432,group02229
AAA027L06.genome.CDS.1877,group02057
AAA027L06.genome.CDS.1361,group00011
AAA027L06.genome.CDS.1479,group00588
AAA027L06.genome.CDS.1616,group00782
AAA027L06.genome.CDS.1245,group00229
AAA027L06.genome.CDS.1244,group00609
AAA027L06.genome.CDS.1247,group00123
AAA027L06.genome.CDS.1329,group00490
AAA027L06.genome.CDS.1241,group00673
AAA027L06.genome.CDS.1240,group00902
AAA027L06.genome.CDS.1243,group00350
AAA027L06.genome.CDS.1242,group00267
AAA027L06.genome.CDS.1322,group00001
AAA027L06.genome.CDS.1323,group00002
AAA027L06.genome.CDS.1320,group00549
AAA027L06.genome.CDS.1321,group00003
AAA027L06.genome.CDS.1326,group00469
AAA027L06.genome.CDS.1248,group00948
AAA027L06.genome.CDS.1324,group00635
AAA027L06.genome.CDS.1325,group00427
AAA027L06.genome.CDS.2158,group00734
AAA027L06.genome.CDS.2039,group00370
AAA027L06.genome.CDS.1506,group01406
AAA027L06.genome.CDS.2038,group01029
AAA027L06.genome.CDS.2241,group03456
AAA027L06.genome.CDS.1832,group00077
AAA027L06.genome.CDS.2242,group01571
AAA027L06.genome.CDS.2102,group00946
AAA027L06.genome.CDS.2076,group00878
AAA027L06.genome.CDS.2244,group01311
AAA027L06.genome.CDS.2146,group00093
AAA027L06.genome.CDS.1716,group03430
AAA027L06.genome.CDS.1731,group00715
AAA027L06.genome.CDS.1355,group00509
AAA027L06.genome.CDS.1503,group00404
AAA027L06.genome.CDS.2270,group01024
AAA027L06.genome.CDS.2207,group00400
AAA027L06.genome.CDS.2243,group02507
AAA027L06.genome.CDS.2246,group00038
AAA027L06.genome.CDS.2057,group00485
AAA027L06.genome.CDS.2247,group00529
AAA027L06.genome.CDS.1328,group00489
AAA027L06.genome.CDS.2201,group00508
AAA027L06.genome.CDS.2018,group00945
AAA027L06.genome.CDS.2269,group01289
AAA027L06.genome.CDS.1571,group00012
AAA027L06.genome.CDS.1899,group02832
AAA027L06.genome.CDS.1981,group01106
AAA027L06.genome.CDS.1621,group00871
AAA027L06.genome.CDS.2304,group00770
AAA027L06.genome.CDS.1700,group00583
AAA027L06.genome.CDS.1814,group00711
AAA027L06.genome.CDS.1815,group00850
AAA027L06.genome.CDS.1816,group00797
AAA027L06.genome.CDS.1817,group00391
AAA027L06.genome.CDS.1810,group00324
AAA027L06.genome.CDS.1811,group00701
AAA027L06.genome.CDS.1812,group00685
AAA027L06.genome.CDS.1813,group00760
AAA027L06.genome.CDS.1471,group00527
AAA027L06.genome.CDS.1818,group00589
AAA027L06.genome.CDS.1819,group00651
AAA027L06.genome.CDS.2090,group00438
AAA027L06.genome.CDS.1456,group01974
AAA027L06.genome.CDS.1249,group01042
AAA027L06.genome.CDS.1327,group00733
AAA027L06.genome.CDS.1667,group01238
AAA027L06.genome.CDS.1666,group00368
AAA027L06.genome.CDS.1665,group00401
AAA027L06.genome.CDS.1664,group00645
AAA027L06.genome.CDS.1663,group00639
AAA027L06.genome.CDS.1789,group03436
AAA027L06.genome.CDS.1661,group00116
AAA027L06.genome.CDS.1660,group03427
AAA027L06.genome.CDS.1784,group00938
AAA027L06.genome.CDS.1785,group00612
AAA027L06.genome.CDS.1786,group00002
AAA027L06.genome.CDS.1787,group00215
AAA027L06.genome.CDS.1780,group02174
AAA027L06.genome.CDS.1781,group00029
AAA027L06.genome.CDS.1669,group00365
AAA027L06.genome.CDS.1783,group03435
AAA027L06.genome.CDS.2042,group00864
AAA027L06.genome.CDS.1860,group00338
AAA027L06.genome.CDS.1863,group00147
AAA027L06.genome.CDS.1710,group00693
AAA027L06.genome.CDS.1865,group02380
AAA027L06.genome.CDS.1864,group00111
AAA027L06.genome.CDS.1715,group00597
AAA027L06.genome.CDS.1714,group00464
AAA027L06.genome.CDS.1869,group01018
AAA027L06.genome.CDS.1868,group00827
AAA027L06.genome.CDS.2048,group00064
AAA027L06.genome.CDS.1718,group00791
AAA027L06.genome.CDS.1643,group01312
AAA027L06.genome.CDS.2284,group00162
AAA027L06.genome.CDS.2285,group01579
AAA027L06.genome.CDS.2286,group03463
AAA027L06.genome.CDS.2287,group00006
AAA027L06.genome.CDS.2169,group01503
AAA027L06.genome.CDS.2281,group02438
AAA027L06.genome.CDS.2282,group00939
AAA027L06.genome.CDS.2283,group00867
AAA027L06.genome.CDS.2165,group00550
AAA027L06.genome.CDS.2164,group00393
AAA027L06.genome.CDS.2167,group00551
AAA027L06.genome.CDS.2166,group00617
AAA027L06.genome.CDS.2288,group02105
AAA027L06.genome.CDS.2289,group00541
AAA027L06.genome.CDS.2163,group00374
AAA027L06.genome.CDS.2195,group00536
AAA027L06.genome.CDS.2447,group00227
AAA027L06.genome.CDS.2159,group00774
AAA027L06.genome.CDS.1647,group00524
AAA027L06.genome.CDS.1646,group00986
AAA027L06.genome.CDS.1749,group00016
AAA027L06.genome.CDS.377,group00027
AAA027L06.genome.CDS.1600,group01311
AAA027L06.genome.CDS.1560,group00655
AAA027L06.genome.CDS.1649,group00661
AAA027L06.genome.CDS.2307,group00671
AAA027L06.genome.CDS.1563,group00218
AAA027L06.genome.CDS.2301,group00113
AAA027L06.genome.CDS.1565,group00249
AAA027L06.genome.CDS.1566,group00674
AAA027L06.genome.CDS.1567,group00699
AAA027L06.genome.CDS.2262,group00646
AAA027L06.genome.CDS.1569,group00471
AAA027L06.genome.CDS.2260,group00079
AAA027L06.genome.CDS.2261,group00939
AAA027L06.genome.CDS.2309,group00311
AAA027L06.genome.CDS.2267,group00220
AAA027L06.genome.CDS.2264,group00384
AAA027L06.genome.CDS.2265,group00251
AAA027L06.genome.CDS.1895,group00935
AAA027L06.genome.CDS.2168,group00710
AAA027L06.genome.CDS.809,group00574
AAA027L06.genome.CDS.1733,group00688
AAA027L06.genome.CDS.2332,group00649
AAA027L06.genome.CDS.2043,group00998
