MEint3864.genome.CDS.832,group00589
MEint3864.genome.CDS.1198,group00645
MEint3864.genome.CDS.1579,group00687
MEint3864.genome.CDS.959,group01036
MEint3864.genome.CDS.901,group00049
MEint3864.genome.CDS.1377,group00718
MEint3864.genome.CDS.814,group00284
MEint3864.genome.CDS.1376,group00410
MEint3864.genome.CDS.291,group00668
MEint3864.genome.CDS.1358,group00328
MEint3864.genome.CDS.948,group00545
MEint3864.genome.CDS.1446,group02083
MEint3864.genome.CDS.958,group00770
MEint3864.genome.CDS.965,group00090
MEint3864.genome.CDS.1571,group00342
MEint3864.genome.CDS.1228,group00855
MEint3864.genome.CDS.1479,group00331
MEint3864.genome.CDS.1172,group00072
MEint3864.genome.CDS.1171,group00985
MEint3864.genome.CDS.1170,group00248
MEint3864.genome.CDS.1177,group00115
MEint3864.genome.CDS.1176,group00122
MEint3864.genome.CDS.1175,group00098
MEint3864.genome.CDS.1174,group00097
MEint3864.genome.CDS.1379,group00206
MEint3864.genome.CDS.1179,group00145
MEint3864.genome.CDS.1178,group00172
MEint3864.genome.CDS.1077,group00898
MEint3864.genome.CDS.1502,group00177
MEint3864.genome.CDS.1506,group00862
MEint3864.genome.CDS.1151,group01822
MEint3864.genome.CDS.1507,group00942
MEint3864.genome.CDS.920,group00096
MEint3864.genome.CDS.906,group00750
MEint3864.genome.CDS.817,group00425
MEint3864.genome.CDS.1504,group00725
MEint3864.genome.CDS.1505,group00383
MEint3864.genome.CDS.1278,group00419
MEint3864.genome.CDS.873,group00416
MEint3864.genome.CDS.1150,group00212
MEint3864.genome.CDS.870,group00034
MEint3864.genome.CDS.810,group00079
MEint3864.genome.CDS.1501,group00301
MEint3864.genome.CDS.1027,group02055
MEint3864.genome.CDS.1189,group01572
MEint3864.genome.CDS.779,group00655
MEint3864.genome.CDS.778,group00477
MEint3864.genome.CDS.777,group00318
MEint3864.genome.CDS.819,group00362
MEint3864.genome.CDS.1359,group00688
MEint3864.genome.CDS.811,group04058
MEint3864.genome.CDS.1271,group00118
MEint3864.genome.CDS.1512,group00833
MEint3864.genome.CDS.1508,group00505
MEint3864.genome.CDS.1261,group00272
MEint3864.genome.CDS.1509,group00500
MEint3864.genome.CDS.1487,group00310
MEint3864.genome.CDS.954,group01248
MEint3864.genome.CDS.1485,group00796
MEint3864.genome.CDS.956,group00891
MEint3864.genome.CDS.818,group00394
MEint3864.genome.CDS.950,group01168
MEint3864.genome.CDS.953,group01132
MEint3864.genome.CDS.952,group00357
MEint3864.genome.CDS.1524,group00930
MEint3864.genome.CDS.1525,group00931
MEint3864.genome.CDS.816,group00202
MEint3864.genome.CDS.1527,group00768
MEint3864.genome.CDS.1520,group01139
MEint3864.genome.CDS.1521,group00727
MEint3864.genome.CDS.1522,group00538
MEint3864.genome.CDS.1523,group00846
MEint3864.genome.CDS.1199,group00401
MEint3864.genome.CDS.1051,group01278
MEint3864.genome.CDS.1052,group01221
MEint3864.genome.CDS.1053,group01075
MEint3864.genome.CDS.1054,group00474
MEint3864.genome.CDS.1055,group01212
MEint3864.genome.CDS.1056,group00744
MEint3864.genome.CDS.1057,group00795
MEint3864.genome.CDS.1191,group00067
MEint3864.genome.CDS.1059,group02396
MEint3864.genome.CDS.1193,group00163
MEint3864.genome.CDS.1570,group00004
MEint3864.genome.CDS.1195,group00592
MEint3864.genome.CDS.1251,group00326
MEint3864.genome.CDS.1197,group00639
MEint3864.genome.CDS.1196,group00116
MEint3864.genome.CDS.1292,group00596
MEint3864.genome.CDS.1293,group00734
MEint3864.genome.CDS.1290,group01211
MEint3864.genome.CDS.1291,group00579
MEint3864.genome.CDS.1296,group00521
MEint3864.genome.CDS.1297,group00374
MEint3864.genome.CDS.1294,group00774
MEint3864.genome.CDS.1295,group00689
MEint3864.genome.CDS.1353,group00054
MEint3864.genome.CDS.1352,group00070
MEint3864.genome.CDS.1298,group00393
MEint3864.genome.CDS.1350,group00262
MEint3864.genome.CDS.1357,group01708
MEint3864.genome.CDS.1356,group01287
MEint3864.genome.CDS.1355,group01643
MEint3864.genome.CDS.1354,group00165
MEint3864.genome.CDS.1238,group00924
MEint3864.genome.CDS.257,group01301
MEint3864.genome.CDS.1266,group00506
MEint3864.genome.CDS.1530,group00563
MEint3864.genome.CDS.1028,group01684
MEint3864.genome.CDS.887,group00719
MEint3864.genome.CDS.886,group00599
MEint3864.genome.CDS.885,group00261
MEint3864.genome.CDS.884,group00031
MEint3864.genome.CDS.883,group00405
MEint3864.genome.CDS.882,group00989
MEint3864.genome.CDS.881,group01222
MEint3864.genome.CDS.880,group00353
MEint3864.genome.CDS.1227,group00179
MEint3864.genome.CDS.1226,group00180
MEint3864.genome.CDS.1225,group00238
MEint3864.genome.CDS.1224,group00913
MEint3864.genome.CDS.1223,group01021
MEint3864.genome.CDS.1222,group00027
MEint3864.genome.CDS.1221,group00240
MEint3864.genome.CDS.888,group00200
MEint3864.genome.CDS.1559,group02188
MEint3864.genome.CDS.921,group00007
MEint3864.genome.CDS.922,group00495
MEint3864.genome.CDS.923,group00325
MEint3864.genome.CDS.924,group00006
MEint3864.genome.CDS.925,group00006
MEint3864.genome.CDS.1169,group04055
MEint3864.genome.CDS.927,group01397
MEint3864.genome.CDS.1418,group00000
MEint3864.genome.CDS.929,group01123
MEint3864.genome.CDS.1553,group02280
MEint3864.genome.CDS.1552,group00814
MEint3864.genome.CDS.1555,group02281
MEint3864.genome.CDS.1554,group04065
MEint3864.genome.CDS.1557,group01390
MEint3864.genome.CDS.1556,group01680
MEint3864.genome.CDS.1537,group00073
MEint3864.genome.CDS.1396,group01022
MEint3864.genome.CDS.910,group00152
MEint3864.genome.CDS.1466,group00665
MEint3864.genome.CDS.1393,group00785
MEint3864.genome.CDS.1526,group00961
MEint3864.genome.CDS.1019,group01029
MEint3864.genome.CDS.1128,group00976
MEint3864.genome.CDS.1082,group01230
MEint3864.genome.CDS.535,group01368
MEint3864.genome.CDS.534,group01321
MEint3864.genome.CDS.1087,group01114
MEint3864.genome.CDS.1086,group02015
MEint3864.genome.CDS.1085,group00369
MEint3864.genome.CDS.1084,group00399
MEint3864.genome.CDS.1120,group00632
MEint3864.genome.CDS.1121,group01376
MEint3864.genome.CDS.1122,group00882
MEint3864.genome.CDS.1088,group00029
MEint3864.genome.CDS.1124,group00063
MEint3864.genome.CDS.1125,group00082
MEint3864.genome.CDS.1126,group00150
MEint3864.genome.CDS.1127,group00129
MEint3864.genome.CDS.876,group00406
MEint3864.genome.CDS.1011,group00276
MEint3864.genome.CDS.1135,group00925
MEint3864.genome.CDS.1399,group01022
MEint3864.genome.CDS.1013,group00703
MEint3864.genome.CDS.1548,group00510
MEint3864.genome.CDS.968,group00109
MEint3864.genome.CDS.969,group00772
MEint3864.genome.CDS.1397,group01745
MEint3864.genome.CDS.1454,group00444
MEint3864.genome.CDS.1394,group01732
MEint3864.genome.CDS.1018,group00370
MEint3864.genome.CDS.1392,group01800
MEint3864.genome.CDS.1391,group00327
MEint3864.genome.CDS.1390,group01851
MEint3864.genome.CDS.1014,group00998
MEint3864.genome.CDS.1015,group00864
MEint3864.genome.CDS.1016,group00355
MEint3864.genome.CDS.1017,group00277
MEint3864.genome.CDS.1010,group00761
MEint3864.genome.CDS.1456,group01396
MEint3864.genome.CDS.1012,group00677
MEint3864.genome.CDS.1398,group00653
MEint3864.genome.CDS.1339,group00483
MEint3864.genome.CDS.1457,group00227
MEint3864.genome.CDS.1458,group00297
MEint3864.genome.CDS.1459,group00412
MEint3864.genome.CDS.1338,group00076
MEint3864.genome.CDS.964,group00246
MEint3864.genome.CDS.1455,group00892
MEint3864.genome.CDS.966,group00765
MEint3864.genome.CDS.967,group00317
MEint3864.genome.CDS.960,group00576
MEint3864.genome.CDS.1451,group00089
MEint3864.genome.CDS.1452,group00048
MEint3864.genome.CDS.1453,group00882
MEint3864.genome.CDS.1089,group00956
MEint3864.genome.CDS.962,group00548
MEint3864.genome.CDS.902,group00114
MEint3864.genome.CDS.963,group00192
MEint3864.genome.CDS.1300,group00071
MEint3864.genome.CDS.1301,group00631
MEint3864.genome.CDS.1302,group00910
MEint3864.genome.CDS.1303,group01007
MEint3864.genome.CDS.1304,group01119
MEint3864.genome.CDS.1305,group00012
MEint3864.genome.CDS.1306,group01483
MEint3864.genome.CDS.1307,group02317
MEint3864.genome.CDS.1308,group01241
MEint3864.genome.CDS.1309,group00068
MEint3864.genome.CDS.1063,group01030
MEint3864.genome.CDS.1062,group00613
MEint3864.genome.CDS.1065,group00254
MEint3864.genome.CDS.1064,group00337
MEint3864.genome.CDS.1067,group00191
MEint3864.genome.CDS.1066,group00081
MEint3864.genome.CDS.1515,group00454
MEint3864.genome.CDS.1514,group00840
MEint3864.genome.CDS.841,group00904
MEint3864.genome.CDS.840,group00972
MEint3864.genome.CDS.1511,group01137
MEint3864.genome.CDS.846,group00164
MEint3864.genome.CDS.1513,group00398
MEint3864.genome.CDS.1239,group00279
MEint3864.genome.CDS.1263,group00408
MEint3864.genome.CDS.1262,group00380
MEint3864.genome.CDS.849,group00168
MEint3864.genome.CDS.1260,group00584
MEint3864.genome.CDS.1267,group00269
MEint3864.genome.CDS.1518,group01511
MEint3864.genome.CDS.1265,group00507
MEint3864.genome.CDS.1264,group00388
MEint3864.genome.CDS.955,group01026
MEint3864.genome.CDS.957,group00728
MEint3864.genome.CDS.1484,group00849
MEint3864.genome.CDS.1483,group02870
MEint3864.genome.CDS.1482,group00130
MEint3864.genome.CDS.1465,group00526
MEint3864.genome.CDS.1481,group00360
MEint3864.genome.CDS.932,group00067
MEint3864.genome.CDS.1480,group00332
MEint3864.genome.CDS.1467,group01597
MEint3864.genome.CDS.1429,group00140
MEint3864.genome.CDS.1428,group00221
MEint3864.genome.CDS.930,group04048
MEint3864.genome.CDS.815,group00306
MEint3864.genome.CDS.1421,group01791
MEint3864.genome.CDS.1420,group00884
MEint3864.genome.CDS.1423,group00112
MEint3864.genome.CDS.1422,group00558
MEint3864.genome.CDS.1425,group00813
MEint3864.genome.CDS.1424,group00661
MEint3864.genome.CDS.1427,group00153
MEint3864.genome.CDS.936,group00066
MEint3864.genome.CDS.1164,group00537
MEint3864.genome.CDS.1165,group01687
MEint3864.genome.CDS.1166,group00011
MEint3864.genome.CDS.1167,group00636
MEint3864.genome.CDS.1160,group02376
MEint3864.genome.CDS.1463,group00376
MEint3864.genome.CDS.1162,group00795
MEint3864.genome.CDS.1068,group02146
MEint3864.genome.CDS.1517,group01109
MEint3864.genome.CDS.934,group01572
MEint3864.genome.CDS.1601,group00690
MEint3864.genome.CDS.1600,group00614
MEint3864.genome.CDS.1603,group01038
MEint3864.genome.CDS.1602,group00641
MEint3864.genome.CDS.812,group00999
MEint3864.genome.CDS.1488,group01447
MEint3864.genome.CDS.1540,group01181
MEint3864.genome.CDS.1541,group00014
MEint3864.genome.CDS.1037,group01507
MEint3864.genome.CDS.1516,group00384
MEint3864.genome.CDS.1469,group00875
MEint3864.genome.CDS.1468,group00640
MEint3864.genome.CDS.878,group00481
MEint3864.genome.CDS.1060,group00433
MEint3864.genome.CDS.661,group00441
MEint3864.genome.CDS.669,group01059
MEint3864.genome.CDS.780,group01093
MEint3864.genome.CDS.781,group00607
MEint3864.genome.CDS.782,group00218
MEint3864.genome.CDS.783,group01337
MEint3864.genome.CDS.784,group00407
MEint3864.genome.CDS.785,group00249
MEint3864.genome.CDS.786,group00666
MEint3864.genome.CDS.788,group01608
MEint3864.genome.CDS.789,group01359
MEint3864.genome.CDS.1069,group01098
MEint3864.genome.CDS.843,group00430
MEint3864.genome.CDS.842,group01121
MEint3864.genome.CDS.1269,group00995
MEint3864.genome.CDS.1111,group02014
MEint3864.genome.CDS.1110,group02013
MEint3864.genome.CDS.1113,group00691
MEint3864.genome.CDS.1268,group00779
MEint3864.genome.CDS.1115,group00671
MEint3864.genome.CDS.1114,group00311
MEint3864.genome.CDS.1117,group00783
MEint3864.genome.CDS.1116,group01246
MEint3864.genome.CDS.1119,group00278
MEint3864.genome.CDS.1118,group00210
MEint3864.genome.CDS.1510,group01095
MEint3864.genome.CDS.845,group00075
MEint3864.genome.CDS.809,group00498
MEint3864.genome.CDS.808,group00377
MEint3864.genome.CDS.713,group01695
MEint3864.genome.CDS.806,group00293
MEint3864.genome.CDS.805,group00314
MEint3864.genome.CDS.804,group00659
MEint3864.genome.CDS.803,group00313
MEint3864.genome.CDS.802,group00858
MEint3864.genome.CDS.801,group00162
MEint3864.genome.CDS.828,group00278
MEint3864.genome.CDS.1498,group02033
MEint3864.genome.CDS.1499,group02578
MEint3864.genome.CDS.1490,group00504
MEint3864.genome.CDS.1491,group00043
MEint3864.genome.CDS.1492,group00099
MEint3864.genome.CDS.1493,group00700
MEint3864.genome.CDS.1494,group00566
MEint3864.genome.CDS.1495,group00675
MEint3864.genome.CDS.1496,group01728
MEint3864.genome.CDS.1497,group04064
MEint3864.genome.CDS.1025,group00475
MEint3864.genome.CDS.1024,group00735
MEint3864.genome.CDS.1188,group00147
MEint3864.genome.CDS.1026,group00704
MEint3864.genome.CDS.1021,group00888
MEint3864.genome.CDS.1020,group00025
MEint3864.genome.CDS.1023,group00536
MEint3864.genome.CDS.1022,group00308
MEint3864.genome.CDS.1182,group00708
MEint3864.genome.CDS.1183,group00312
MEint3864.genome.CDS.1180,group01004
MEint3864.genome.CDS.1181,group00244
MEint3864.genome.CDS.1186,group00826
MEint3864.genome.CDS.1187,group01091
MEint3864.genome.CDS.1184,group00458
MEint3864.genome.CDS.1185,group00887
MEint3864.genome.CDS.1058,group02864
MEint3864.genome.CDS.1348,group00452
MEint3864.genome.CDS.1349,group00028
MEint3864.genome.CDS.1190,group00111
MEint3864.genome.CDS.1345,group01525
MEint3864.genome.CDS.1346,group00211
MEint3864.genome.CDS.1347,group00915
MEint3864.genome.CDS.1340,group00018
MEint3864.genome.CDS.1341,group00555
MEint3864.genome.CDS.1342,group01367
MEint3864.genome.CDS.1192,group00190
MEint3864.genome.CDS.1194,group00544
MEint3864.genome.CDS.1230,group01010
MEint3864.genome.CDS.1231,group00429
MEint3864.genome.CDS.1232,group00260
MEint3864.genome.CDS.1233,group00766
MEint3864.genome.CDS.1234,group00044
MEint3864.genome.CDS.1235,group00375
MEint3864.genome.CDS.1236,group00890
MEint3864.genome.CDS.1237,group00128
MEint3864.genome.CDS.1331,group04060
MEint3864.genome.CDS.1330,group00393
MEint3864.genome.CDS.1332,group00390
MEint3864.genome.CDS.1335,group00773
MEint3864.genome.CDS.1334,group00263
MEint3864.genome.CDS.1337,group00756
MEint3864.genome.CDS.1336,group01217
MEint3864.genome.CDS.933,group00111
MEint3864.genome.CDS.1464,group00799
MEint3864.genome.CDS.931,group04049
MEint3864.genome.CDS.1549,group00983
MEint3864.genome.CDS.937,group00258
MEint3864.genome.CDS.1460,group00296
MEint3864.genome.CDS.935,group00147
MEint3864.genome.CDS.1462,group00252
MEint3864.genome.CDS.1542,group01176
MEint3864.genome.CDS.1543,group00017
MEint3864.genome.CDS.939,group00065
MEint3864.genome.CDS.938,group00338
MEint3864.genome.CDS.1546,group00748
MEint3864.genome.CDS.1547,group01196
MEint3864.genome.CDS.1544,group00954
MEint3864.genome.CDS.1545,group01513
MEint3864.genome.CDS.1410,group00738
MEint3864.genome.CDS.1351,group00851
MEint3864.genome.CDS.1299,group02867
MEint3864.genome.CDS.988,group00591
MEint3864.genome.CDS.989,group00630
MEint3864.genome.CDS.986,group00334
MEint3864.genome.CDS.987,group00170
MEint3864.genome.CDS.984,group00196
MEint3864.genome.CDS.985,group00295
MEint3864.genome.CDS.982,group00077
MEint3864.genome.CDS.983,group00101
MEint3864.genome.CDS.980,group00085
MEint3864.genome.CDS.981,group00019
MEint3864.genome.CDS.1519,group00940
MEint3864.genome.CDS.1094,group00857
MEint3864.genome.CDS.1095,group01474
MEint3864.genome.CDS.1096,group00266
MEint3864.genome.CDS.1097,group01741
MEint3864.genome.CDS.1159,group01895
MEint3864.genome.CDS.1158,group02849
MEint3864.genome.CDS.1092,group02019
MEint3864.genome.CDS.1093,group01366
MEint3864.genome.CDS.1155,group00906
MEint3864.genome.CDS.1154,group00272
MEint3864.genome.CDS.1157,group00173
MEint3864.genome.CDS.1156,group01436
MEint3864.genome.CDS.1098,group01188
MEint3864.genome.CDS.1099,group00043
MEint3864.genome.CDS.1153,group00443
MEint3864.genome.CDS.1152,group01414
MEint3864.genome.CDS.112,group00642
MEint3864.genome.CDS.189,group00757
MEint3864.genome.CDS.1249,group00492
MEint3864.genome.CDS.1475,group00831
MEint3864.genome.CDS.765,group01088
MEint3864.genome.CDS.1388,group02869
MEint3864.genome.CDS.1389,group01476
MEint3864.genome.CDS.1380,group00320
MEint3864.genome.CDS.1381,group00184
MEint3864.genome.CDS.1382,group00307
MEint3864.genome.CDS.1383,group00030
MEint3864.genome.CDS.1384,group00243
MEint3864.genome.CDS.1385,group00321
MEint3864.genome.CDS.1386,group00908
MEint3864.genome.CDS.1387,group00088
MEint3864.genome.CDS.1599,group00947
MEint3864.genome.CDS.1598,group00414
MEint3864.genome.CDS.1595,group00856
MEint3864.genome.CDS.1594,group00488
MEint3864.genome.CDS.1597,group00413
MEint3864.genome.CDS.1596,group00823
MEint3864.genome.CDS.1591,group00291
MEint3864.genome.CDS.1590,group04067
MEint3864.genome.CDS.1593,group00364
MEint3864.genome.CDS.1592,group00080
MEint3864.genome.CDS.1558,group01826
MEint3864.genome.CDS.792,group01473
MEint3864.genome.CDS.979,group00041
MEint3864.genome.CDS.978,group00294
