AAA044O16.genome.CDS.1804,group00808
AAA044O16.genome.CDS.2448,group00539
AAA044O16.genome.CDS.2209,group01001
AAA044O16.genome.CDS.2208,group00590
AAA044O16.genome.CDS.2207,group00052
AAA044O16.genome.CDS.2206,group00730
AAA044O16.genome.CDS.2205,group00784
AAA044O16.genome.CDS.2204,group00176
AAA044O16.genome.CDS.2203,group00979
AAA044O16.genome.CDS.2202,group00753
AAA044O16.genome.CDS.2201,group00442
AAA044O16.genome.CDS.2200,group00372
AAA044O16.genome.CDS.2356,group00827
AAA044O16.genome.CDS.1549,group01744
AAA044O16.genome.CDS.1548,group01743
AAA044O16.genome.CDS.1545,group01546
AAA044O16.genome.CDS.1544,group01696
AAA044O16.genome.CDS.1547,group01520
AAA044O16.genome.CDS.1546,group01714
AAA044O16.genome.CDS.1541,group00048
AAA044O16.genome.CDS.1540,group00882
AAA044O16.genome.CDS.1543,group01231
AAA044O16.genome.CDS.1542,group03780
AAA044O16.genome.CDS.1789,group00460
AAA044O16.genome.CDS.1788,group03787
AAA044O16.genome.CDS.1839,group02841
AAA044O16.genome.CDS.1838,group01054
AAA044O16.genome.CDS.1835,group01311
AAA044O16.genome.CDS.1782,group03790
AAA044O16.genome.CDS.1781,group02150
AAA044O16.genome.CDS.1836,group02840
AAA044O16.genome.CDS.1787,group03788
AAA044O16.genome.CDS.1786,group03789
AAA044O16.genome.CDS.1833,group00777
AAA044O16.genome.CDS.1784,group02836
AAA044O16.genome.CDS.1941,group01202
AAA044O16.genome.CDS.1940,group00957
AAA044O16.genome.CDS.1943,group02182
AAA044O16.genome.CDS.1942,group01923
AAA044O16.genome.CDS.1945,group01874
AAA044O16.genome.CDS.1944,group02842
AAA044O16.genome.CDS.1947,group01407
AAA044O16.genome.CDS.1946,group03782
AAA044O16.genome.CDS.1949,group02449
AAA044O16.genome.CDS.1496,group00527
AAA044O16.genome.CDS.1495,group00556
AAA044O16.genome.CDS.1494,group00415
AAA044O16.genome.CDS.1492,group00600
AAA044O16.genome.CDS.1491,group00585
AAA044O16.genome.CDS.1490,group00423
AAA044O16.genome.CDS.882,group00776
AAA044O16.genome.CDS.1232,group00864
AAA044O16.genome.CDS.1236,group01029
AAA044O16.genome.CDS.2148,group00576
AAA044O16.genome.CDS.2149,group01036
AAA044O16.genome.CDS.2140,group00135
AAA044O16.genome.CDS.2141,group00646
AAA044O16.genome.CDS.2142,group00234
AAA044O16.genome.CDS.2143,group00305
AAA044O16.genome.CDS.2144,group00854
AAA044O16.genome.CDS.2145,group00587
AAA044O16.genome.CDS.2146,group02175
AAA044O16.genome.CDS.2147,group00113
AAA044O16.genome.CDS.2328,group01543
AAA044O16.genome.CDS.2329,group00795
AAA044O16.genome.CDS.2324,group00593
AAA044O16.genome.CDS.2325,group00256
AAA044O16.genome.CDS.2326,group03834
AAA044O16.genome.CDS.2327,group00537
AAA044O16.genome.CDS.2320,group03836
AAA044O16.genome.CDS.2321,group03835
AAA044O16.genome.CDS.2322,group00543
AAA044O16.genome.CDS.2323,group01032
AAA044O16.genome.CDS.2456,group00537
AAA044O16.genome.CDS.1826,group02838
AAA044O16.genome.CDS.2454,group00815
AAA044O16.genome.CDS.2455,group00780
AAA044O16.genome.CDS.2452,group00973
AAA044O16.genome.CDS.2453,group01522
AAA044O16.genome.CDS.2450,group00096
AAA044O16.genome.CDS.2451,group01071
AAA044O16.genome.CDS.1796,group00623
AAA044O16.genome.CDS.2458,group01003
AAA044O16.genome.CDS.2459,group00628
AAA044O16.genome.CDS.2210,group00668
AAA044O16.genome.CDS.2211,group01247
AAA044O16.genome.CDS.2212,group00029
AAA044O16.genome.CDS.2213,group00956
AAA044O16.genome.CDS.2214,group00786
AAA044O16.genome.CDS.2215,group00816
AAA044O16.genome.CDS.2216,group01571
AAA044O16.genome.CDS.2218,group00266
AAA044O16.genome.CDS.2219,group01188
AAA044O16.genome.CDS.1823,group00015
AAA044O16.genome.CDS.2544,group00607
AAA044O16.genome.CDS.1820,group00868
AAA044O16.genome.CDS.2545,group01093
AAA044O16.genome.CDS.1793,group00732
AAA044O16.genome.CDS.2230,group01447
AAA044O16.genome.CDS.2547,group00477
AAA044O16.genome.CDS.2236,group00947
AAA044O16.genome.CDS.2541,group00249
AAA044O16.genome.CDS.2542,group00407
AAA044O16.genome.CDS.2543,group00218
AAA044O16.genome.CDS.1558,group01447
AAA044O16.genome.CDS.1559,group03851
AAA044O16.genome.CDS.1556,group02756
AAA044O16.genome.CDS.1557,group00310
AAA044O16.genome.CDS.1554,group01174
AAA044O16.genome.CDS.1555,group00816
AAA044O16.genome.CDS.1552,group03832
AAA044O16.genome.CDS.1553,group02830
AAA044O16.genome.CDS.1550,group01671
AAA044O16.genome.CDS.1551,group00012
AAA044O16.genome.CDS.438,group02044
AAA044O16.genome.CDS.1798,group00782
AAA044O16.genome.CDS.1799,group01187
AAA044O16.genome.CDS.1828,group02300
AAA044O16.genome.CDS.1794,group00775
AAA044O16.genome.CDS.1827,group02839
AAA044O16.genome.CDS.1824,group02837
AAA044O16.genome.CDS.1797,group00602
AAA044O16.genome.CDS.1790,group00440
AAA044O16.genome.CDS.1791,group00288
AAA044O16.genome.CDS.1792,group00367
AAA044O16.genome.CDS.1821,group01824
AAA044O16.genome.CDS.1480,group00304
AAA044O16.genome.CDS.1481,group00344
AAA044O16.genome.CDS.1482,group00446
AAA044O16.genome.CDS.1483,group01169
AAA044O16.genome.CDS.1484,group00008
AAA044O16.genome.CDS.1485,group00465
AAA044O16.genome.CDS.1952,group01300
AAA044O16.genome.CDS.1953,group01673
AAA044O16.genome.CDS.1950,group01663
AAA044O16.genome.CDS.1951,group00935
AAA044O16.genome.CDS.1956,group00742
AAA044O16.genome.CDS.1957,group01121
AAA044O16.genome.CDS.1954,group01329
AAA044O16.genome.CDS.1487,group00466
AAA044O16.genome.CDS.1488,group00741
AAA044O16.genome.CDS.1489,group00588
AAA044O16.genome.CDS.1958,group01383
AAA044O16.genome.CDS.1959,group02068
AAA044O16.genome.CDS.2139,group01028
AAA044O16.genome.CDS.2138,group00978
AAA044O16.genome.CDS.2135,group00396
AAA044O16.genome.CDS.2134,group00859
AAA044O16.genome.CDS.2137,group00817
AAA044O16.genome.CDS.2136,group00955
AAA044O16.genome.CDS.2131,group00009
AAA044O16.genome.CDS.2130,group01296
AAA044O16.genome.CDS.2133,group01024
AAA044O16.genome.CDS.2066,group01905
AAA044O16.genome.CDS.1315,group00382
AAA044O16.genome.CDS.2041,group01216
AAA044O16.genome.CDS.2040,group03826
AAA044O16.genome.CDS.2043,group01180
AAA044O16.genome.CDS.2042,group01228
AAA044O16.genome.CDS.2045,group02790
AAA044O16.genome.CDS.2044,group03825
AAA044O16.genome.CDS.2046,group03824
AAA044O16.genome.CDS.2049,group00016
AAA044O16.genome.CDS.2048,group03822
AAA044O16.genome.CDS.2683,group00481
AAA044O16.genome.CDS.2682,group01111
AAA044O16.genome.CDS.2681,group00406
AAA044O16.genome.CDS.2680,group00695
AAA044O16.genome.CDS.2687,group01176
AAA044O16.genome.CDS.2686,group02853
AAA044O16.genome.CDS.2685,group00353
AAA044O16.genome.CDS.2684,group00804
AAA044O16.genome.CDS.2689,group01968
AAA044O16.genome.CDS.2688,group01222
AAA044O16.genome.CDS.2669,group00969
AAA044O16.genome.CDS.2668,group00451
AAA044O16.genome.CDS.2661,group00996
AAA044O16.genome.CDS.2660,group00650
AAA044O16.genome.CDS.2663,group00185
AAA044O16.genome.CDS.2665,group00483
AAA044O16.genome.CDS.2664,group00076
AAA044O16.genome.CDS.2667,group00555
AAA044O16.genome.CDS.2666,group00018
AAA044O16.genome.CDS.2265,group00833
AAA044O16.genome.CDS.2264,group01137
AAA044O16.genome.CDS.2595,group00077
AAA044O16.genome.CDS.2594,group00019
AAA044O16.genome.CDS.2261,group02238
AAA044O16.genome.CDS.2260,group00500
AAA044O16.genome.CDS.2591,group00294
AAA044O16.genome.CDS.2262,group01369
AAA044O16.genome.CDS.2269,group01138
AAA044O16.genome.CDS.2268,group01005
AAA044O16.genome.CDS.2599,group00334
AAA044O16.genome.CDS.2598,group00295
AAA044O16.genome.CDS.2469,group00806
AAA044O16.genome.CDS.2468,group00123
AAA044O16.genome.CDS.2463,group00478
AAA044O16.genome.CDS.2462,group00572
AAA044O16.genome.CDS.2460,group00201
AAA044O16.genome.CDS.2467,group00948
AAA044O16.genome.CDS.2466,group01042
AAA044O16.genome.CDS.2465,group01148
AAA044O16.genome.CDS.2464,group01760
AAA044O16.genome.CDS.1562,group01900
AAA044O16.genome.CDS.1561,group00977
AAA044O16.genome.CDS.1560,group03850
AAA044O16.genome.CDS.1567,group01271
AAA044O16.genome.CDS.1566,group00023
AAA044O16.genome.CDS.1565,group00706
AAA044O16.genome.CDS.1564,group00705
AAA044O16.genome.CDS.1569,group02460
AAA044O16.genome.CDS.1568,group01020
AAA044O16.genome.CDS.1761,group01750
AAA044O16.genome.CDS.1812,group01064
AAA044O16.genome.CDS.1763,group03799
AAA044O16.genome.CDS.1762,group00929
AAA044O16.genome.CDS.1817,group01136
AAA044O16.genome.CDS.1764,group03798
AAA044O16.genome.CDS.1815,group01652
AAA044O16.genome.CDS.1814,group01193
AAA044O16.genome.CDS.1769,group01915
AAA044O16.genome.CDS.1768,group03794
AAA044O16.genome.CDS.1819,group01122
AAA044O16.genome.CDS.1818,group01748
AAA044O16.genome.CDS.1967,group01292
AAA044O16.genome.CDS.1966,group00290
AAA044O16.genome.CDS.1965,group01638
AAA044O16.genome.CDS.1964,group00639
AAA044O16.genome.CDS.1963,group00102
AAA044O16.genome.CDS.1962,group00987
AAA044O16.genome.CDS.1961,group01586
AAA044O16.genome.CDS.1960,group02429
AAA044O16.genome.CDS.1969,group02844
AAA044O16.genome.CDS.1968,group00038
AAA044O16.genome.CDS.1589,group00094
AAA044O16.genome.CDS.1588,group00503
AAA044O16.genome.CDS.1581,group01626
AAA044O16.genome.CDS.1580,group02833
AAA044O16.genome.CDS.1583,group02834
AAA044O16.genome.CDS.1582,group01626
AAA044O16.genome.CDS.1585,group00077
AAA044O16.genome.CDS.1584,group02452
AAA044O16.genome.CDS.1587,group00759
AAA044O16.genome.CDS.1586,group00019
AAA044O16.genome.CDS.2128,group01442
AAA044O16.genome.CDS.2129,group01549
AAA044O16.genome.CDS.2126,group00034
AAA044O16.genome.CDS.2127,group01470
AAA044O16.genome.CDS.2124,group00510
AAA044O16.genome.CDS.2125,group01517
AAA044O16.genome.CDS.2123,group01261
AAA044O16.genome.CDS.2120,group00748
AAA044O16.genome.CDS.2121,group01834
AAA044O16.genome.CDS.2052,group02264
AAA044O16.genome.CDS.2053,group03821
AAA044O16.genome.CDS.2050,group00004
AAA044O16.genome.CDS.2051,group01646
AAA044O16.genome.CDS.2056,group01551
AAA044O16.genome.CDS.2057,group00173
AAA044O16.genome.CDS.2054,group00897
AAA044O16.genome.CDS.2055,group03820
AAA044O16.genome.CDS.2058,group01405
AAA044O16.genome.CDS.2059,group02463
AAA044O16.genome.CDS.2694,group01134
AAA044O16.genome.CDS.2695,group00537
AAA044O16.genome.CDS.2696,group03846
AAA044O16.genome.CDS.2697,group01085
AAA044O16.genome.CDS.2690,group00697
AAA044O16.genome.CDS.2691,group02854
AAA044O16.genome.CDS.2692,group02169
AAA044O16.genome.CDS.2693,group01052
AAA044O16.genome.CDS.2698,group00687
AAA044O16.genome.CDS.2699,group01747
AAA044O16.genome.CDS.2678,group00416
AAA044O16.genome.CDS.2679,group00721
AAA044O16.genome.CDS.2672,group01090
AAA044O16.genome.CDS.2673,group01144
AAA044O16.genome.CDS.2670,group00834
AAA044O16.genome.CDS.2671,group00586
AAA044O16.genome.CDS.2676,group00802
AAA044O16.genome.CDS.2677,group01330
AAA044O16.genome.CDS.2674,group00421
AAA044O16.genome.CDS.2675,group00034
AAA044O16.genome.CDS.2276,group00528
AAA044O16.genome.CDS.2277,group00417
AAA044O16.genome.CDS.2275,group00418
AAA044O16.genome.CDS.2272,group01633
AAA044O16.genome.CDS.2273,group01379
AAA044O16.genome.CDS.2270,group01056
AAA044O16.genome.CDS.2271,group01454
AAA044O16.genome.CDS.2278,group00739
AAA044O16.genome.CDS.2279,group01108
AAA044O16.genome.CDS.2588,group00335
AAA044O16.genome.CDS.2589,group00125
AAA044O16.genome.CDS.2580,group00317
AAA044O16.genome.CDS.2581,group00109
AAA044O16.genome.CDS.2582,group00772
AAA044O16.genome.CDS.2583,group00601
AAA044O16.genome.CDS.2584,group00336
AAA044O16.genome.CDS.2585,group00040
AAA044O16.genome.CDS.2586,group00110
AAA044O16.genome.CDS.2587,group00120
AAA044O16.genome.CDS.1923,group00604
AAA044O16.genome.CDS.2478,group00351
AAA044O16.genome.CDS.1922,group00603
AAA044O16.genome.CDS.2474,group00673
AAA044O16.genome.CDS.2475,group00902
AAA044O16.genome.CDS.2476,group00154
AAA044O16.genome.CDS.2477,group00303
AAA044O16.genome.CDS.2470,group00229
AAA044O16.genome.CDS.1921,group01092
AAA044O16.genome.CDS.2472,group00350
AAA044O16.genome.CDS.2473,group00267
AAA044O16.genome.CDS.1432,group00379
AAA044O16.genome.CDS.1927,group00473
AAA044O16.genome.CDS.1926,group00648
AAA044O16.genome.CDS.1437,group00488
AAA044O16.genome.CDS.1436,group00364
AAA044O16.genome.CDS.1619,group00255
AAA044O16.genome.CDS.1618,group00011
AAA044O16.genome.CDS.1611,group00054
AAA044O16.genome.CDS.1610,group00165
AAA044O16.genome.CDS.1613,group02794
AAA044O16.genome.CDS.1612,group00070
AAA044O16.genome.CDS.1615,group00542
AAA044O16.genome.CDS.1614,group00570
AAA044O16.genome.CDS.1617,group00636
AAA044O16.genome.CDS.1616,group00056
AAA044O16.genome.CDS.1574,group02334
AAA044O16.genome.CDS.1575,group01993
AAA044O16.genome.CDS.1576,group02832
AAA044O16.genome.CDS.1577,group00479
AAA044O16.genome.CDS.1570,group02831
AAA044O16.genome.CDS.1571,group02659
AAA044O16.genome.CDS.1572,group02360
AAA044O16.genome.CDS.1573,group02348
AAA044O16.genome.CDS.1578,group00352
AAA044O16.genome.CDS.1579,group03853
AAA044O16.genome.CDS.1772,group03793
AAA044O16.genome.CDS.1805,group00501
AAA044O16.genome.CDS.1806,group00927
AAA044O16.genome.CDS.1771,group02689
AAA044O16.genome.CDS.1776,group03791
AAA044O16.genome.CDS.1777,group02151
AAA044O16.genome.CDS.1802,group01053
AAA044O16.genome.CDS.1803,group00264
AAA044O16.genome.CDS.1778,group02835
AAA044O16.genome.CDS.1779,group02419
AAA044O16.genome.CDS.1808,group00926
AAA044O16.genome.CDS.1809,group00971
AAA044O16.genome.CDS.1978,group01067
AAA044O16.genome.CDS.1979,group01591
AAA044O16.genome.CDS.1970,group02040
AAA044O16.genome.CDS.1971,group02049
AAA044O16.genome.CDS.1972,group02237
AAA044O16.genome.CDS.1973,group02181
AAA044O16.genome.CDS.1974,group01106
AAA044O16.genome.CDS.1975,group01831
AAA044O16.genome.CDS.1976,group00598
AAA044O16.genome.CDS.1977,group00992
AAA044O16.genome.CDS.1598,group00832
AAA044O16.genome.CDS.1599,group00149
AAA044O16.genome.CDS.1592,group00191
AAA044O16.genome.CDS.1593,group00142
AAA044O16.genome.CDS.1590,group00254
AAA044O16.genome.CDS.1591,group00081
AAA044O16.genome.CDS.1596,group01234
AAA044O16.genome.CDS.1597,group00253
AAA044O16.genome.CDS.1594,group01066
AAA044O16.genome.CDS.1595,group00539
AAA044O16.genome.CDS.2113,group00814
AAA044O16.genome.CDS.2112,group00232
AAA044O16.genome.CDS.2111,group00562
AAA044O16.genome.CDS.2110,group00161
AAA044O16.genome.CDS.2117,group00224
AAA044O16.genome.CDS.2116,group00033
AAA044O16.genome.CDS.2115,group00327
AAA044O16.genome.CDS.2114,group00966
AAA044O16.genome.CDS.2119,group00983
AAA044O16.genome.CDS.2118,group03831
AAA044O16.genome.CDS.2067,group03817
AAA044O16.genome.CDS.1765,group03797
AAA044O16.genome.CDS.2065,group01492
AAA044O16.genome.CDS.2064,group01613
AAA044O16.genome.CDS.2063,group01452
AAA044O16.genome.CDS.2062,group01436
AAA044O16.genome.CDS.2061,group03818
AAA044O16.genome.CDS.2060,group03819
AAA044O16.genome.CDS.2069,group03815
AAA044O16.genome.CDS.2068,group03816
AAA044O16.genome.CDS.2649,group01075
AAA044O16.genome.CDS.2648,group00474
AAA044O16.genome.CDS.2647,group01213
AAA044O16.genome.CDS.2646,group01212
AAA044O16.genome.CDS.2645,group00744
AAA044O16.genome.CDS.2644,group00839
AAA044O16.genome.CDS.2643,group01406
AAA044O16.genome.CDS.2642,group00692
AAA044O16.genome.CDS.2641,group01063
AAA044O16.genome.CDS.2640,group00574
AAA044O16.genome.CDS.2249,group00552
AAA044O16.genome.CDS.2248,group00035
AAA044O16.genome.CDS.2243,group00302
AAA044O16.genome.CDS.2242,group00865
AAA044O16.genome.CDS.2241,group00438
AAA044O16.genome.CDS.2240,group01038
AAA044O16.genome.CDS.2247,group00582
AAA044O16.genome.CDS.2246,group00400
AAA044O16.genome.CDS.2245,group01163
AAA044O16.genome.CDS.2244,group00178
AAA044O16.genome.CDS.2481,group01258
AAA044O16.genome.CDS.2480,group00828
AAA044O16.genome.CDS.2483,group00982
AAA044O16.genome.CDS.2482,group03843
AAA044O16.genome.CDS.2485,group00638
AAA044O16.genome.CDS.2484,group00169
AAA044O16.genome.CDS.2487,group00002
AAA044O16.genome.CDS.2486,group00340
AAA044O16.genome.CDS.2489,group00794
AAA044O16.genome.CDS.2488,group00635
AAA044O16.genome.CDS.2614,group00591
AAA044O16.genome.CDS.1110,group03849
AAA044O16.genome.CDS.2615,group00630
AAA044O16.genome.CDS.79,group00565
AAA044O16.genome.CDS.2616,group00485
AAA044O16.genome.CDS.1608,group00411
AAA044O16.genome.CDS.1609,group00914
AAA044O16.genome.CDS.1602,group00937
AAA044O16.genome.CDS.1603,group00167
AAA044O16.genome.CDS.1600,group00898
AAA044O16.genome.CDS.1601,group00108
AAA044O16.genome.CDS.1606,group00399
AAA044O16.genome.CDS.1607,group00369
AAA044O16.genome.CDS.1605,group01184
AAA044O16.genome.CDS.1747,group01091
AAA044O16.genome.CDS.1746,group01284
AAA044O16.genome.CDS.1745,group01132
AAA044O16.genome.CDS.1744,group01365
AAA044O16.genome.CDS.1743,group01511
AAA044O16.genome.CDS.1742,group00073
AAA044O16.genome.CDS.1741,group02637
AAA044O16.genome.CDS.1740,group01181
AAA044O16.genome.CDS.1749,group00917
AAA044O16.genome.CDS.1748,group00826
AAA044O16.genome.CDS.1909,group00995
AAA044O16.genome.CDS.1908,group00119
AAA044O16.genome.CDS.1905,group00046
AAA044O16.genome.CDS.1904,group00055
AAA044O16.genome.CDS.1907,group00118
AAA044O16.genome.CDS.1906,group00015
AAA044O16.genome.CDS.1901,group00148
AAA044O16.genome.CDS.1900,group00419
AAA044O16.genome.CDS.1903,group00093
AAA044O16.genome.CDS.1902,group00092
AAA044O16.genome.CDS.602,group03803
AAA044O16.genome.CDS.607,group03805
AAA044O16.genome.CDS.2353,group00546
AAA044O16.genome.CDS.2597,group00196
AAA044O16.genome.CDS.2596,group00101
AAA044O16.genome.CDS.2267,group00731
AAA044O16.genome.CDS.2266,group00743
AAA044O16.genome.CDS.2593,group00085
AAA044O16.genome.CDS.2592,group00041
AAA044O16.genome.CDS.2263,group01095
AAA044O16.genome.CDS.2590,group00166
AAA044O16.genome.CDS.2104,group00509
AAA044O16.genome.CDS.2105,group00231
AAA044O16.genome.CDS.2106,group00624
AAA044O16.genome.CDS.2107,group00625
AAA044O16.genome.CDS.2100,group01677
AAA044O16.genome.CDS.2101,group00043
AAA044O16.genome.CDS.2102,group01472
AAA044O16.genome.CDS.2103,group00186
AAA044O16.genome.CDS.2108,group00341
AAA044O16.genome.CDS.2109,group00561
AAA044O16.genome.CDS.2617,group00143
AAA044O16.genome.CDS.2346,group01515
AAA044O16.genome.CDS.2611,group00188
AAA044O16.genome.CDS.1341,group00976
AAA044O16.genome.CDS.2612,group03847
AAA044O16.genome.CDS.2613,group00193
AAA044O16.genome.CDS.2078,group00809
AAA044O16.genome.CDS.2079,group02170
AAA044O16.genome.CDS.2070,group00173
AAA044O16.genome.CDS.2071,group01157
AAA044O16.genome.CDS.2072,group03814
AAA044O16.genome.CDS.2073,group03813
AAA044O16.genome.CDS.2074,group01935
AAA044O16.genome.CDS.2075,group03812
AAA044O16.genome.CDS.2076,group03811
AAA044O16.genome.CDS.2077,group01094
AAA044O16.genome.CDS.2650,group00729
AAA044O16.genome.CDS.2651,group00712
AAA044O16.genome.CDS.2652,group00886
AAA044O16.genome.CDS.2653,group02618
AAA044O16.genome.CDS.2654,group00789
AAA044O16.genome.CDS.2655,group00883
AAA044O16.genome.CDS.2656,group00788
AAA044O16.genome.CDS.2657,group00911
AAA044O16.genome.CDS.2658,group00270
AAA044O16.genome.CDS.2659,group00726
AAA044O16.genome.CDS.2258,group00942
AAA044O16.genome.CDS.2259,group00505
AAA044O16.genome.CDS.2254,group00512
AAA044O16.genome.CDS.2255,group00725
AAA044O16.genome.CDS.2256,group00383
AAA044O16.genome.CDS.2257,group00862
AAA044O16.genome.CDS.2250,group01162
AAA044O16.genome.CDS.2251,group00051
AAA044O16.genome.CDS.2252,group00301
AAA044O16.genome.CDS.2253,group00177
AAA044O16.genome.CDS.2491,group00026
AAA044O16.genome.CDS.2496,group00713
AAA044O16.genome.CDS.2497,group00661
AAA044O16.genome.CDS.2494,group00221
AAA044O16.genome.CDS.2495,group00153
AAA044O16.genome.CDS.2498,group00112
AAA044O16.genome.CDS.2499,group00524
AAA044O16.genome.CDS.2603,group01385
