AAA027J17.genome.CDS.1638,group00580
AAA027J17.genome.CDS.1402,group00786
AAA027J17.genome.CDS.1401,group00816
AAA027J17.genome.CDS.1400,group02019
AAA027J17.genome.CDS.1782,group00177
AAA027J17.genome.CDS.1668,group00738
AAA027J17.genome.CDS.1036,group00673
AAA027J17.genome.CDS.1037,group00267
AAA027J17.genome.CDS.1034,group00154
AAA027J17.genome.CDS.1035,group00902
AAA027J17.genome.CDS.1032,group00351
AAA027J17.genome.CDS.1033,group00303
AAA027J17.genome.CDS.1030,group00828
AAA027J17.genome.CDS.1031,group00428
AAA027J17.genome.CDS.1038,group00350
AAA027J17.genome.CDS.1039,group00609
AAA027J17.genome.CDS.1292,group00217
AAA027J17.genome.CDS.1428,group00375
AAA027J17.genome.CDS.1290,group00718
AAA027J17.genome.CDS.1732,group01030
AAA027J17.genome.CDS.1291,group01014
AAA027J17.genome.CDS.1297,group00307
AAA027J17.genome.CDS.1339,group01308
AAA027J17.genome.CDS.1469,group00775
AAA027J17.genome.CDS.1231,group01075
AAA027J17.genome.CDS.915,group01838
AAA027J17.genome.CDS.1245,group00711
AAA027J17.genome.CDS.1244,group00760
AAA027J17.genome.CDS.1247,group00797
AAA027J17.genome.CDS.1246,group00850
AAA027J17.genome.CDS.1241,group00324
AAA027J17.genome.CDS.1240,group00563
AAA027J17.genome.CDS.1243,group00685
AAA027J17.genome.CDS.1242,group00701
AAA027J17.genome.CDS.1322,group01416
AAA027J17.genome.CDS.1323,group01658
AAA027J17.genome.CDS.1320,group01543
AAA027J17.genome.CDS.1321,group01910
AAA027J17.genome.CDS.1326,group00256
AAA027J17.genome.CDS.1327,group00593
AAA027J17.genome.CDS.1324,group01103
AAA027J17.genome.CDS.1325,group01933
AAA027J17.genome.CDS.1468,group00845
AAA027J17.genome.CDS.1350,group01620
AAA027J17.genome.CDS.1425,group00924
AAA027J17.genome.CDS.25,group00702
AAA027J17.genome.CDS.1424,group00953
AAA027J17.genome.CDS.1713,group01142
AAA027J17.genome.CDS.1860,group03983
AAA027J17.genome.CDS.1711,group00356
AAA027J17.genome.CDS.1862,group00418
AAA027J17.genome.CDS.1717,group00663
AAA027J17.genome.CDS.1864,group00009
AAA027J17.genome.CDS.1715,group01194
AAA027J17.genome.CDS.1714,group00559
AAA027J17.genome.CDS.1869,group00748
AAA027J17.genome.CDS.1868,group00954
AAA027J17.genome.CDS.1719,group00105
AAA027J17.genome.CDS.1598,group00389
AAA027J17.genome.CDS.1814,group00636
AAA027J17.genome.CDS.2032,group00047
AAA027J17.genome.CDS.2031,group00068
AAA027J17.genome.CDS.2030,group01137
AAA027J17.genome.CDS.1810,group00100
AAA027J17.genome.CDS.1811,group00570
AAA027J17.genome.CDS.2035,group04001
AAA027J17.genome.CDS.2034,group00355
AAA027J17.genome.CDS.2039,group00235
AAA027J17.genome.CDS.2038,group00191
AAA027J17.genome.CDS.1818,group00638
AAA027J17.genome.CDS.1819,group00169
AAA027J17.genome.CDS.1336,group01990
AAA027J17.genome.CDS.1480,group00402
AAA027J17.genome.CDS.1667,group00991
AAA027J17.genome.CDS.1666,group00921
AAA027J17.genome.CDS.1665,group00920
AAA027J17.genome.CDS.1664,group00919
AAA027J17.genome.CDS.1663,group00885
AAA027J17.genome.CDS.1789,group02217
AAA027J17.genome.CDS.1661,group00847
AAA027J17.genome.CDS.1660,group00791
AAA027J17.genome.CDS.1784,group00725
AAA027J17.genome.CDS.1785,group01340
AAA027J17.genome.CDS.1786,group00383
AAA027J17.genome.CDS.1787,group00862
AAA027J17.genome.CDS.1780,group00051
AAA027J17.genome.CDS.1412,group00176
AAA027J17.genome.CDS.1669,group00709
AAA027J17.genome.CDS.1783,group00512
AAA027J17.genome.CDS.1008,group01031
AAA027J17.genome.CDS.1148,group00657
AAA027J17.genome.CDS.1149,group00299
AAA027J17.genome.CDS.1146,group00136
AAA027J17.genome.CDS.1147,group00136
AAA027J17.genome.CDS.1144,group00257
AAA027J17.genome.CDS.1145,group00381
AAA027J17.genome.CDS.1142,group00394
AAA027J17.genome.CDS.1143,group00362
AAA027J17.genome.CDS.1140,group00202
AAA027J17.genome.CDS.1141,group00425
AAA027J17.genome.CDS.1300,group00321
AAA027J17.genome.CDS.1068,group00347
AAA027J17.genome.CDS.1612,group00159
AAA027J17.genome.CDS.1003,group00644
AAA027J17.genome.CDS.1446,group02441
AAA027J17.genome.CDS.1550,group00002
AAA027J17.genome.CDS.1553,group00549
AAA027J17.genome.CDS.2043,group00770
AAA027J17.genome.CDS.1560,group00494
AAA027J17.genome.CDS.1561,group00462
AAA027J17.genome.CDS.1562,group00298
AAA027J17.genome.CDS.1552,group00003
AAA027J17.genome.CDS.1564,group00171
AAA027J17.genome.CDS.1565,group00697
AAA027J17.genome.CDS.1566,group00511
AAA027J17.genome.CDS.1567,group00209
AAA027J17.genome.CDS.1568,group00103
AAA027J17.genome.CDS.1569,group00087
AAA027J17.genome.CDS.1910,group00832
AAA027J17.genome.CDS.1554,group00520
AAA027J17.genome.CDS.1918,group00671
AAA027J17.genome.CDS.1448,group00015
AAA027J17.genome.CDS.1557,group00622
AAA027J17.genome.CDS.1060,group00479
AAA027J17.genome.CDS.1911,group00253
AAA027J17.genome.CDS.1442,group02440
AAA027J17.genome.CDS.1913,group00539
AAA027J17.genome.CDS.1440,group02439
AAA027J17.genome.CDS.1447,group03996
AAA027J17.genome.CDS.1914,group01066
AAA027J17.genome.CDS.1445,group03997
AAA027J17.genome.CDS.1916,group00728
AAA027J17.genome.CDS.1544,group00809
AAA027J17.genome.CDS.1188,group00731
AAA027J17.genome.CDS.1968,group00947
AAA027J17.genome.CDS.1969,group00162
AAA027J17.genome.CDS.1964,group01005
AAA027J17.genome.CDS.1966,group00079
AAA027J17.genome.CDS.1967,group00614
AAA027J17.genome.CDS.1960,group00150
AAA027J17.genome.CDS.1961,group00129
AAA027J17.genome.CDS.1962,group00976
AAA027J17.genome.CDS.1963,group00743
AAA027J17.genome.CDS.2041,group01029
AAA027J17.genome.CDS.1281,group01165
AAA027J17.genome.CDS.1280,group00379
AAA027J17.genome.CDS.1283,group00737
AAA027J17.genome.CDS.1282,group00141
AAA027J17.genome.CDS.1285,group00386
AAA027J17.genome.CDS.1284,group00439
AAA027J17.genome.CDS.1287,group00050
AAA027J17.genome.CDS.1286,group00139
AAA027J17.genome.CDS.1289,group00410
AAA027J17.genome.CDS.1288,group00333
AAA027J17.genome.CDS.1894,group00294
AAA027J17.genome.CDS.1563,group00008
AAA027J17.genome.CDS.1727,group02683
AAA027J17.genome.CDS.2046,group00997
AAA027J17.genome.CDS.1159,group00309
AAA027J17.genome.CDS.1896,group00757
AAA027J17.genome.CDS.1050,group00815
AAA027J17.genome.CDS.1198,group00416
AAA027J17.genome.CDS.1890,group00813
AAA027J17.genome.CDS.1410,group00730
AAA027J17.genome.CDS.1723,group00368
AAA027J17.genome.CDS.1366,group01756
AAA027J17.genome.CDS.1367,group00871
AAA027J17.genome.CDS.1364,group00906
AAA027J17.genome.CDS.1365,group01693
AAA027J17.genome.CDS.1362,group02135
AAA027J17.genome.CDS.1363,group01920
AAA027J17.genome.CDS.1049,group00628
AAA027J17.genome.CDS.1048,group00201
AAA027J17.genome.CDS.1047,group00572
AAA027J17.genome.CDS.1046,group00478
AAA027J17.genome.CDS.1045,group01148
AAA027J17.genome.CDS.1044,group01042
AAA027J17.genome.CDS.1043,group00948
AAA027J17.genome.CDS.1042,group00123
AAA027J17.genome.CDS.1368,group00138
AAA027J17.genome.CDS.1040,group00229
AAA027J17.genome.CDS.1058,group00073
AAA027J17.genome.CDS.1059,group00352
AAA027J17.genome.CDS.2042,group02771
AAA027J17.genome.CDS.1421,group00237
AAA027J17.genome.CDS.1805,group00132
AAA027J17.genome.CDS.1846,group00238
AAA027J17.genome.CDS.1874,group00966
AAA027J17.genome.CDS.2009,group00286
AAA027J17.genome.CDS.1873,group00327
AAA027J17.genome.CDS.1845,group00601
AAA027J17.genome.CDS.1218,group00749
AAA027J17.genome.CDS.1219,group00996
AAA027J17.genome.CDS.2004,group03991
AAA027J17.genome.CDS.1212,group02432
AAA027J17.genome.CDS.1213,group00555
AAA027J17.genome.CDS.1210,group00451
AAA027J17.genome.CDS.1211,group02215
AAA027J17.genome.CDS.1216,group00076
AAA027J17.genome.CDS.1217,group00185
AAA027J17.genome.CDS.1214,group00018
AAA027J17.genome.CDS.1842,group00846
AAA027J17.genome.CDS.2005,group03992
AAA027J17.genome.CDS.2044,group04002
AAA027J17.genome.CDS.1840,group00317
AAA027J17.genome.CDS.1748,group00137
AAA027J17.genome.CDS.1749,group00393
AAA027J17.genome.CDS.1621,group00240
AAA027J17.genome.CDS.1620,group00225
AAA027J17.genome.CDS.1627,group00156
AAA027J17.genome.CDS.950,group01138
AAA027J17.genome.CDS.1625,group00204
AAA027J17.genome.CDS.1624,group00450
AAA027J17.genome.CDS.1740,group00053
AAA027J17.genome.CDS.1741,group00349
AAA027J17.genome.CDS.1742,group00378
AAA027J17.genome.CDS.1628,group00124
AAA027J17.genome.CDS.1744,group00194
AAA027J17.genome.CDS.1745,group00058
AAA027J17.genome.CDS.1746,group00137
AAA027J17.genome.CDS.1747,group00348
AAA027J17.genome.CDS.1912,group01016
AAA027J17.genome.CDS.1829,group00338
AAA027J17.genome.CDS.1828,group00258
AAA027J17.genome.CDS.1825,group00810
AAA027J17.genome.CDS.1915,group00142
AAA027J17.genome.CDS.1827,group00066
AAA027J17.genome.CDS.1826,group00704
AAA027J17.genome.CDS.1821,group01455
AAA027J17.genome.CDS.1820,group00982
AAA027J17.genome.CDS.1823,group01141
AAA027J17.genome.CDS.1822,group00977
AAA027J17.genome.CDS.1443,group01761
AAA027J17.genome.CDS.1499,group00734
AAA027J17.genome.CDS.1917,group00891
AAA027J17.genome.CDS.1330,group00626
AAA027J17.genome.CDS.1444,group02044
AAA027J17.genome.CDS.1422,group00322
AAA027J17.genome.CDS.1137,group00382
AAA027J17.genome.CDS.1136,group00999
AAA027J17.genome.CDS.1135,group00363
AAA027J17.genome.CDS.1134,group00545
AAA027J17.genome.CDS.1133,group00621
AAA027J17.genome.CDS.1132,group01409
AAA027J17.genome.CDS.1131,group01279
AAA027J17.genome.CDS.1130,group00693
AAA027J17.genome.CDS.1558,group00874
AAA027J17.genome.CDS.1139,group00306
AAA027J17.genome.CDS.1138,group00284
AAA027J17.genome.CDS.1955,group00314
AAA027J17.genome.CDS.1954,group00293
AAA027J17.genome.CDS.1485,group00805
AAA027J17.genome.CDS.1956,group00659
AAA027J17.genome.CDS.1951,group00064
AAA027J17.genome.CDS.1529,group00403
AAA027J17.genome.CDS.1481,group00560
AAA027J17.genome.CDS.1952,group00836
AAA027J17.genome.CDS.1524,group00380
AAA027J17.genome.CDS.1525,group00272
AAA027J17.genome.CDS.1526,group00443
AAA027J17.genome.CDS.1527,group00949
AAA027J17.genome.CDS.1959,group00082
AAA027J17.genome.CDS.1958,group00858
AAA027J17.genome.CDS.1489,group00958
AAA027J17.genome.CDS.1523,group00408
AAA027J17.genome.CDS.1788,group00942
AAA027J17.genome.CDS.1539,group01408
AAA027J17.genome.CDS.1835,group00548
AAA027J17.genome.CDS.1923,group00752
AAA027J17.genome.CDS.449,group02772
AAA027J17.genome.CDS.1559,group00667
AAA027J17.genome.CDS.1411,group00784
AAA027J17.genome.CDS.1009,group00637
AAA027J17.genome.CDS.1413,group00979
AAA027J17.genome.CDS.1414,group00753
AAA027J17.genome.CDS.1415,group00442
AAA027J17.genome.CDS.1416,group00372
AAA027J17.genome.CDS.1417,group00251
AAA027J17.genome.CDS.1551,group00001
AAA027J17.genome.CDS.1419,group00220
AAA027J17.genome.CDS.1001,group00822
AAA027J17.genome.CDS.1000,group00615
AAA027J17.genome.CDS.1555,group00463
AAA027J17.genome.CDS.1799,group00084
AAA027J17.genome.CDS.1005,group00698
AAA027J17.genome.CDS.1556,group00517
AAA027J17.genome.CDS.1533,group00604
AAA027J17.genome.CDS.1798,group00086
AAA027J17.genome.CDS.1532,group00603
AAA027J17.genome.CDS.1427,group00890
AAA027J17.genome.CDS.1418,group00287
AAA027J17.genome.CDS.1886,group00683
AAA027J17.genome.CDS.1388,group00569
AAA027J17.genome.CDS.1019,group00017
AAA027J17.genome.CDS.1792,group01562
AAA027J17.genome.CDS.1534,group00694
AAA027J17.genome.CDS.1658,group00873
AAA027J17.genome.CDS.1790,group00505
AAA027J17.genome.CDS.1308,group01004
AAA027J17.genome.CDS.1866,group00014
AAA027J17.genome.CDS.1271,group00940
AAA027J17.genome.CDS.1794,group01501
AAA027J17.genome.CDS.1346,group02767
AAA027J17.genome.CDS.1256,group00664
AAA027J17.genome.CDS.1257,group00197
AAA027J17.genome.CDS.1254,group00632
AAA027J17.genome.CDS.1255,group00672
AAA027J17.genome.CDS.1252,group00210
AAA027J17.genome.CDS.1253,group00278
AAA027J17.genome.CDS.1250,group00651
AAA027J17.genome.CDS.1318,group02433
AAA027J17.genome.CDS.1317,group01880
AAA027J17.genome.CDS.1316,group01331
AAA027J17.genome.CDS.1315,group00062
AAA027J17.genome.CDS.1314,group00097
AAA027J17.genome.CDS.1313,group00098
AAA027J17.genome.CDS.1258,group00514
AAA027J17.genome.CDS.1259,group00330
AAA027J17.genome.CDS.1781,group00301
AAA027J17.genome.CDS.1311,group00115
AAA027J17.genome.CDS.1872,group00224
AAA027J17.genome.CDS.2050,group00677
AAA027J17.genome.CDS.1706,group01200
AAA027J17.genome.CDS.1871,group00983
AAA027J17.genome.CDS.1876,group01806
AAA027J17.genome.CDS.1701,group01453
AAA027J17.genome.CDS.1702,group01542
AAA027J17.genome.CDS.1703,group01210
AAA027J17.genome.CDS.1114,group01106
AAA027J17.genome.CDS.1879,group02016
AAA027J17.genome.CDS.1708,group01350
AAA027J17.genome.CDS.1709,group00000
AAA027J17.genome.CDS.2024,group00554
AAA027J17.genome.CDS.2025,group00353
AAA027J17.genome.CDS.2027,group03999
AAA027J17.genome.CDS.2020,group00319
AAA027J17.genome.CDS.2021,group00583
AAA027J17.genome.CDS.2022,group00222
AAA027J17.genome.CDS.2023,group00876
AAA027J17.genome.CDS.1098,group01617
