AAA041L13.genome.CDS.4,group01117
AAA041L13.genome.CDS.2536,group02808
AAA041L13.genome.CDS.2537,group04430
AAA041L13.genome.CDS.2538,group04429
AAA041L13.genome.CDS.2539,group02455
AAA041L13.genome.CDS.2826,group02817
AAA041L13.genome.CDS.2049,group00736
AAA041L13.genome.CDS.1579,group00291
AAA041L13.genome.CDS.1578,group00491
AAA041L13.genome.CDS.1575,group00141
AAA041L13.genome.CDS.1574,group00737
AAA041L13.genome.CDS.1577,group00379
AAA041L13.genome.CDS.1576,group01165
AAA041L13.genome.CDS.1571,group00516
AAA041L13.genome.CDS.1570,group00634
AAA041L13.genome.CDS.1573,group00016
AAA041L13.genome.CDS.1572,group00004
AAA041L13.genome.CDS.2778,group04512
AAA041L13.genome.CDS.2779,group04514
AAA041L13.genome.CDS.2046,group00233
AAA041L13.genome.CDS.437,group00799
AAA041L13.genome.CDS.1159,group02451
AAA041L13.genome.CDS.1791,group00415
AAA041L13.genome.CDS.1790,group00493
AAA041L13.genome.CDS.1793,group00527
AAA041L13.genome.CDS.1792,group00556
AAA041L13.genome.CDS.1795,group00518
AAA041L13.genome.CDS.1794,group00107
AAA041L13.genome.CDS.1797,group00162
AAA041L13.genome.CDS.2773,group01223
AAA041L13.genome.CDS.1799,group00313
AAA041L13.genome.CDS.1798,group00858
AAA041L13.genome.CDS.2057,group00633
AAA041L13.genome.CDS.2056,group04302
AAA041L13.genome.CDS.2055,group04301
AAA041L13.genome.CDS.2054,group00475
AAA041L13.genome.CDS.2053,group00735
AAA041L13.genome.CDS.2052,group00343
AAA041L13.genome.CDS.2051,group00620
AAA041L13.genome.CDS.2050,group00798
AAA041L13.genome.CDS.2059,group00304
AAA041L13.genome.CDS.2058,group00344
AAA041L13.genome.CDS.2835,group04538
AAA041L13.genome.CDS.2834,group02527
AAA041L13.genome.CDS.2837,group04536
AAA041L13.genome.CDS.2836,group04537
AAA041L13.genome.CDS.2831,group04540
AAA041L13.genome.CDS.2830,group04541
AAA041L13.genome.CDS.2833,group02289
AAA041L13.genome.CDS.2832,group04539
AAA041L13.genome.CDS.2839,group04534
AAA041L13.genome.CDS.2838,group04535
AAA041L13.genome.CDS.592,group00387
AAA041L13.genome.CDS.2674,group00124
AAA041L13.genome.CDS.2949,group00961
AAA041L13.genome.CDS.2948,group00931
AAA041L13.genome.CDS.2239,group00568
AAA041L13.genome.CDS.2238,group00003
AAA041L13.genome.CDS.2233,group00033
AAA041L13.genome.CDS.2940,group04593
AAA041L13.genome.CDS.2943,group04600
AAA041L13.genome.CDS.2942,group02235
AAA041L13.genome.CDS.2237,group00827
AAA041L13.genome.CDS.2944,group04599
AAA041L13.genome.CDS.2947,group01518
AAA041L13.genome.CDS.2946,group02046
AAA041L13.genome.CDS.2309,group02296
AAA041L13.genome.CDS.2308,group02296
AAA041L13.genome.CDS.2307,group02296
AAA041L13.genome.CDS.2306,group01827
AAA041L13.genome.CDS.2305,group04391
AAA041L13.genome.CDS.2304,group04392
AAA041L13.genome.CDS.2303,group02520
AAA041L13.genome.CDS.2302,group00966
AAA041L13.genome.CDS.2301,group00327
AAA041L13.genome.CDS.2300,group00033
AAA041L13.genome.CDS.1962,group01005
AAA041L13.genome.CDS.1963,group01138
AAA041L13.genome.CDS.1960,group02534
AAA041L13.genome.CDS.1961,group00731
AAA041L13.genome.CDS.1966,group02803
AAA041L13.genome.CDS.1967,group02204
AAA041L13.genome.CDS.1964,group01056
AAA041L13.genome.CDS.1965,group01260
AAA041L13.genome.CDS.1968,group01454
AAA041L13.genome.CDS.1969,group01779
AAA041L13.genome.CDS.1896,group00976
AAA041L13.genome.CDS.1897,group00095
AAA041L13.genome.CDS.1894,group00150
AAA041L13.genome.CDS.1895,group00129
AAA041L13.genome.CDS.1892,group00063
AAA041L13.genome.CDS.1893,group00082
AAA041L13.genome.CDS.1890,group00882
AAA041L13.genome.CDS.1891,group00048
AAA041L13.genome.CDS.1898,group00151
AAA041L13.genome.CDS.1899,group00208
AAA041L13.genome.CDS.2545,group04427
AAA041L13.genome.CDS.2544,group04428
AAA041L13.genome.CDS.2547,group04426
AAA041L13.genome.CDS.2546,group01652
AAA041L13.genome.CDS.2541,group02809
AAA041L13.genome.CDS.2540,group02456
AAA041L13.genome.CDS.2543,group02810
AAA041L13.genome.CDS.2542,group02024
AAA041L13.genome.CDS.2549,group04424
AAA041L13.genome.CDS.2548,group04425
AAA041L13.genome.CDS.2225,group00543
AAA041L13.genome.CDS.2226,group01032
AAA041L13.genome.CDS.2951,group04601
AAA041L13.genome.CDS.2956,group04604
AAA041L13.genome.CDS.2957,group04603
AAA041L13.genome.CDS.2954,group00210
AAA041L13.genome.CDS.2223,group02550
AAA041L13.genome.CDS.2331,group04370
AAA041L13.genome.CDS.1829,group00270
AAA041L13.genome.CDS.2248,group00552
AAA041L13.genome.CDS.1568,group00439
AAA041L13.genome.CDS.1569,group01009
AAA041L13.genome.CDS.1566,group00139
AAA041L13.genome.CDS.1567,group00386
AAA041L13.genome.CDS.1564,group00333
AAA041L13.genome.CDS.1565,group00050
AAA041L13.genome.CDS.1562,group00718
AAA041L13.genome.CDS.1563,group00410
AAA041L13.genome.CDS.1560,group00217
AAA041L13.genome.CDS.1561,group01014
AAA041L13.genome.CDS.1368,group04564
AAA041L13.genome.CDS.1369,group04563
AAA041L13.genome.CDS.101,group00708
AAA041L13.genome.CDS.1417,group04591
AAA041L13.genome.CDS.1414,group04587
AAA041L13.genome.CDS.1419,group04592
AAA041L13.genome.CDS.1782,group00465
AAA041L13.genome.CDS.1783,group00447
AAA041L13.genome.CDS.1780,group01169
AAA041L13.genome.CDS.1781,group00008
AAA041L13.genome.CDS.1786,group00588
AAA041L13.genome.CDS.1787,group00423
AAA041L13.genome.CDS.1784,group00466
AAA041L13.genome.CDS.723,group04312
AAA041L13.genome.CDS.1788,group00585
AAA041L13.genome.CDS.1789,group00600
AAA041L13.genome.CDS.1098,group04446
AAA041L13.genome.CDS.1816,group00964
AAA041L13.genome.CDS.1817,group00769
AAA041L13.genome.CDS.1814,group00697
AAA041L13.genome.CDS.2700,group04488
AAA041L13.genome.CDS.1812,group00811
AAA041L13.genome.CDS.2254,group00942
AAA041L13.genome.CDS.2048,group00889
AAA041L13.genome.CDS.2827,group04533
AAA041L13.genome.CDS.2825,group04532
AAA041L13.genome.CDS.2822,group04522
AAA041L13.genome.CDS.2823,group02523
AAA041L13.genome.CDS.2820,group04524
AAA041L13.genome.CDS.2821,group04523
AAA041L13.genome.CDS.2040,group00358
AAA041L13.genome.CDS.2041,group00754
AAA041L13.genome.CDS.2042,group00315
AAA041L13.genome.CDS.2043,group00359
AAA041L13.genome.CDS.2044,group00758
AAA041L13.genome.CDS.2045,group00420
AAA041L13.genome.CDS.2828,group02232
AAA041L13.genome.CDS.2829,group02528
AAA041L13.genome.CDS.2958,group02457
AAA041L13.genome.CDS.2959,group04606
AAA041L13.genome.CDS.2228,group00256
AAA041L13.genome.CDS.2229,group00472
AAA041L13.genome.CDS.2224,group02422
AAA041L13.genome.CDS.2953,group00278
AAA041L13.genome.CDS.2950,group00768
AAA041L13.genome.CDS.2227,group00593
AAA041L13.genome.CDS.2220,group04351
AAA041L13.genome.CDS.2221,group02552
AAA041L13.genome.CDS.2222,group02551
AAA041L13.genome.CDS.2955,group01972
AAA041L13.genome.CDS.2246,group00582
AAA041L13.genome.CDS.2310,group04390
AAA041L13.genome.CDS.2311,group04389
AAA041L13.genome.CDS.2312,group04388
AAA041L13.genome.CDS.2313,group04387
AAA041L13.genome.CDS.2314,group04386
AAA041L13.genome.CDS.2315,group04385
AAA041L13.genome.CDS.2316,group04384
AAA041L13.genome.CDS.2317,group04383
AAA041L13.genome.CDS.2318,group04382
AAA041L13.genome.CDS.2319,group04381
AAA041L13.genome.CDS.2247,group00035
AAA041L13.genome.CDS.1957,group01579
AAA041L13.genome.CDS.1956,group02038
AAA041L13.genome.CDS.1955,group00429
AAA041L13.genome.CDS.1953,group00766
AAA041L13.genome.CDS.1952,group00044
AAA041L13.genome.CDS.1951,group00375
AAA041L13.genome.CDS.1950,group00890
AAA041L13.genome.CDS.1959,group04594
AAA041L13.genome.CDS.2245,group00400
AAA041L13.genome.CDS.1766,group00389
AAA041L13.genome.CDS.2556,group04439
AAA041L13.genome.CDS.2557,group04438
AAA041L13.genome.CDS.2554,group04441
AAA041L13.genome.CDS.2555,group04440
AAA041L13.genome.CDS.2552,group04421
AAA041L13.genome.CDS.2553,group01972
AAA041L13.genome.CDS.2550,group04423
AAA041L13.genome.CDS.2551,group04422
AAA041L13.genome.CDS.2558,group04437
AAA041L13.genome.CDS.2559,group04436
AAA041L13.genome.CDS.1815,group00722
AAA041L13.genome.CDS.288,group00110
AAA041L13.genome.CDS.1553,group00307
AAA041L13.genome.CDS.1552,group00533
AAA041L13.genome.CDS.1551,group00532
AAA041L13.genome.CDS.1550,group00470
AAA041L13.genome.CDS.1557,group01752
AAA041L13.genome.CDS.1556,group00184
AAA041L13.genome.CDS.1555,group00535
AAA041L13.genome.CDS.1554,group00534
AAA041L13.genome.CDS.1559,group00206
AAA041L13.genome.CDS.1558,group00320
AAA041L13.genome.CDS.1427,group04602
AAA041L13.genome.CDS.1426,group02801
AAA041L13.genome.CDS.1810,group00441
AAA041L13.genome.CDS.2840,group02531
AAA041L13.genome.CDS.2841,group02530
AAA041L13.genome.CDS.2842,group02529
AAA041L13.genome.CDS.2843,group04544
AAA041L13.genome.CDS.2660,group04467
AAA041L13.genome.CDS.2845,group04542
AAA041L13.genome.CDS.1049,group02800
AAA041L13.genome.CDS.1048,group00687
AAA041L13.genome.CDS.2846,group02545
AAA041L13.genome.CDS.2847,group02544
AAA041L13.genome.CDS.513,group04596
AAA041L13.genome.CDS.2039,group00448
AAA041L13.genome.CDS.2038,group00449
AAA041L13.genome.CDS.2035,group00137
AAA041L13.genome.CDS.2034,group00058
AAA041L13.genome.CDS.2036,group00348
AAA041L13.genome.CDS.2031,group00378
AAA041L13.genome.CDS.511,group00260
AAA041L13.genome.CDS.2033,group00194
AAA041L13.genome.CDS.2032,group00300
AAA041L13.genome.CDS.517,group04595
AAA041L13.genome.CDS.2141,group04348
AAA041L13.genome.CDS.2140,group04349
AAA041L13.genome.CDS.2143,group04346
AAA041L13.genome.CDS.2142,group04347
AAA041L13.genome.CDS.2145,group04344
AAA041L13.genome.CDS.2144,group04345
AAA041L13.genome.CDS.2147,group04342
AAA041L13.genome.CDS.2146,group04343
AAA041L13.genome.CDS.2149,group04340
AAA041L13.genome.CDS.2148,group04341
AAA041L13.genome.CDS.2783,group01510
AAA041L13.genome.CDS.2782,group02170
AAA041L13.genome.CDS.2781,group04513
AAA041L13.genome.CDS.2780,group01687
AAA041L13.genome.CDS.2787,group00256
AAA041L13.genome.CDS.2786,group04519
AAA041L13.genome.CDS.2785,group02297
AAA041L13.genome.CDS.2784,group01105
AAA041L13.genome.CDS.2967,group02458
AAA041L13.genome.CDS.2966,group00597
AAA041L13.genome.CDS.2965,group04298
AAA041L13.genome.CDS.2964,group04607
AAA041L13.genome.CDS.2963,group04608
AAA041L13.genome.CDS.2962,group02822
AAA041L13.genome.CDS.2961,group00259
AAA041L13.genome.CDS.2960,group04605
AAA041L13.genome.CDS.2819,group04525
AAA041L13.genome.CDS.2818,group04526
AAA041L13.genome.CDS.2253,group00862
AAA041L13.genome.CDS.2813,group04531
AAA041L13.genome.CDS.2812,group02522
AAA041L13.genome.CDS.2811,group00963
AAA041L13.genome.CDS.2810,group00170
AAA041L13.genome.CDS.2817,group04527
AAA041L13.genome.CDS.2816,group04528
AAA041L13.genome.CDS.2815,group04529
AAA041L13.genome.CDS.2814,group04530
AAA041L13.genome.CDS.2497,group02106
AAA041L13.genome.CDS.2496,group04413
AAA041L13.genome.CDS.2495,group04414
AAA041L13.genome.CDS.2494,group04415
AAA041L13.genome.CDS.2493,group02454
AAA041L13.genome.CDS.2360,group00159
AAA041L13.genome.CDS.2363,group00275
AAA041L13.genome.CDS.2362,group00354
AAA041L13.genome.CDS.1940,group00372
AAA041L13.genome.CDS.1941,group00251
AAA041L13.genome.CDS.1942,group00287
AAA041L13.genome.CDS.1943,group00220
AAA041L13.genome.CDS.2369,group00027
AAA041L13.genome.CDS.1945,group00237
AAA041L13.genome.CDS.2499,group04411
AAA041L13.genome.CDS.2498,group04412
AAA041L13.genome.CDS.2569,group00808
AAA041L13.genome.CDS.2568,group00501
AAA041L13.genome.CDS.2563,group04432
AAA041L13.genome.CDS.2562,group04433
AAA041L13.genome.CDS.2561,group04434
AAA041L13.genome.CDS.2560,group04435
AAA041L13.genome.CDS.2567,group00927
AAA041L13.genome.CDS.2566,group01019
AAA041L13.genome.CDS.2565,group00926
AAA041L13.genome.CDS.2564,group04431
AAA041L13.genome.CDS.24,group00066
AAA041L13.genome.CDS.2769,group01036
AAA041L13.genome.CDS.2768,group01316
AAA041L13.genome.CDS.2761,group00072
AAA041L13.genome.CDS.2760,group00985
AAA041L13.genome.CDS.2763,group00097
AAA041L13.genome.CDS.2762,group00062
AAA041L13.genome.CDS.2765,group01387
AAA041L13.genome.CDS.2764,group01299
AAA041L13.genome.CDS.2767,group01410
AAA041L13.genome.CDS.2766,group01320
AAA041L13.genome.CDS.1904,group00121
AAA041L13.genome.CDS.2610,group04448
AAA041L13.genome.CDS.935,group04394
AAA041L13.genome.CDS.2613,group04459
AAA041L13.genome.CDS.1907,group00059
AAA041L13.genome.CDS.1900,group00273
AAA041L13.genome.CDS.2614,group00480
AAA041L13.genome.CDS.2617,group04456
AAA041L13.genome.CDS.2616,group04457
AAA041L13.genome.CDS.2652,group00714
AAA041L13.genome.CDS.1524,group01071
AAA041L13.genome.CDS.2690,group04478
AAA041L13.genome.CDS.1544,group00088
AAA041L13.genome.CDS.1545,group00908
AAA041L13.genome.CDS.1546,group00321
AAA041L13.genome.CDS.1547,group00243
AAA041L13.genome.CDS.1541,group00312
AAA041L13.genome.CDS.1542,group00458
AAA041L13.genome.CDS.1543,group00887
AAA041L13.genome.CDS.1548,group00030
AAA041L13.genome.CDS.1549,group00468
AAA041L13.genome.CDS.1300,group04515
AAA041L13.genome.CDS.2295,group01113
AAA041L13.genome.CDS.2294,group00748
AAA041L13.genome.CDS.2297,group01307
AAA041L13.genome.CDS.2920,group00438
AAA041L13.genome.CDS.2927,group04586
AAA041L13.genome.CDS.2290,group00161
AAA041L13.genome.CDS.2925,group01945
AAA041L13.genome.CDS.2292,group00814
AAA041L13.genome.CDS.1059,group02502
AAA041L13.genome.CDS.2028,group00083
AAA041L13.genome.CDS.2029,group00053
AAA041L13.genome.CDS.2026,group00061
AAA041L13.genome.CDS.2027,group00265
AAA041L13.genome.CDS.2024,group00656
AAA041L13.genome.CDS.2025,group00187
AAA041L13.genome.CDS.2023,group00207
AAA041L13.genome.CDS.2020,group01712
AAA041L13.genome.CDS.2021,group01482
AAA041L13.genome.CDS.2152,group04337
AAA041L13.genome.CDS.2153,group04336
AAA041L13.genome.CDS.2150,group04339
AAA041L13.genome.CDS.2151,group04338
AAA041L13.genome.CDS.2156,group04334
AAA041L13.genome.CDS.2157,group04333
AAA041L13.genome.CDS.2154,group02804
AAA041L13.genome.CDS.2155,group04335
AAA041L13.genome.CDS.2158,group02231
AAA041L13.genome.CDS.2159,group04332
AAA041L13.genome.CDS.2794,group02526
AAA041L13.genome.CDS.2795,group02504
AAA041L13.genome.CDS.2796,group02525
AAA041L13.genome.CDS.2797,group00133
AAA041L13.genome.CDS.2790,group04516
AAA041L13.genome.CDS.2791,group02527
AAA041L13.genome.CDS.2793,group02297
AAA041L13.genome.CDS.2798,group00830
AAA041L13.genome.CDS.2799,group00480
AAA041L13.genome.CDS.2808,group00295
AAA041L13.genome.CDS.2809,group00334
AAA041L13.genome.CDS.2804,group02816
AAA041L13.genome.CDS.2805,group01062
AAA041L13.genome.CDS.2806,group00101
AAA041L13.genome.CDS.2807,group00196
AAA041L13.genome.CDS.2800,group00138
AAA041L13.genome.CDS.2801,group00323
AAA041L13.genome.CDS.2802,group00484
AAA041L13.genome.CDS.2803,group00547
AAA041L13.genome.CDS.2332,group02519
AAA041L13.genome.CDS.2333,group04393
AAA041L13.genome.CDS.2446,group00968
AAA041L13.genome.CDS.2376,group00185
AAA041L13.genome.CDS.2377,group00076
AAA041L13.genome.CDS.2374,group00996
AAA041L13.genome.CDS.2375,group00749
AAA041L13.genome.CDS.2372,group00726
AAA041L13.genome.CDS.1938,group00753
AAA041L13.genome.CDS.2370,group00240
AAA041L13.genome.CDS.2371,group00225
AAA041L13.genome.CDS.1935,group00784
AAA041L13.genome.CDS.2336,group00524
AAA041L13.genome.CDS.1937,group00979
AAA041L13.genome.CDS.1936,group00176
AAA041L13.genome.CDS.1931,group01001
AAA041L13.genome.CDS.1930,group00668
AAA041L13.genome.CDS.1933,group00052
AAA041L13.genome.CDS.1932,group00590
AAA041L13.genome.CDS.2488,group02232
AAA041L13.genome.CDS.2489,group04416
AAA041L13.genome.CDS.2334,group01110
AAA041L13.genome.CDS.2480,group00014
AAA041L13.genome.CDS.2481,group01743
AAA041L13.genome.CDS.2482,group01744
AAA041L13.genome.CDS.2443,group00990
AAA041L13.genome.CDS.2484,group04420
AAA041L13.genome.CDS.2485,group04419
AAA041L13.genome.CDS.2486,group04418
AAA041L13.genome.CDS.2487,group04417
AAA041L13.genome.CDS.2579,group01657
AAA041L13.genome.CDS.2574,group00782
AAA041L13.genome.CDS.2575,group00602
AAA041L13.genome.CDS.2576,group00623
AAA041L13.genome.CDS.2577,group02811
AAA041L13.genome.CDS.2570,group00264
AAA041L13.genome.CDS.2571,group01053
AAA041L13.genome.CDS.2572,group04442
AAA041L13.genome.CDS.2573,group00069
AAA041L13.genome.CDS.1841,group01213
AAA041L13.genome.CDS.1840,group00474
AAA041L13.genome.CDS.1843,group00744
AAA041L13.genome.CDS.1842,group01212
AAA041L13.genome.CDS.1845,group01406
AAA041L13.genome.CDS.1844,group00839
AAA041L13.genome.CDS.1847,group01063
AAA041L13.genome.CDS.1846,group00692
AAA041L13.genome.CDS.2772,group00891
AAA041L13.genome.CDS.1848,group00574
AAA041L13.genome.CDS.2770,group00770
AAA041L13.genome.CDS.2771,group00728
AAA041L13.genome.CDS.2776,group01074
AAA041L13.genome.CDS.2777,group01903
AAA041L13.genome.CDS.2774,group01047
AAA041L13.genome.CDS.2775,group02001
AAA041L13.genome.CDS.1973,group01605
AAA041L13.genome.CDS.1972,group01379
AAA041L13.genome.CDS.1979,group01907
AAA041L13.genome.CDS.1978,group00031
AAA041L13.genome.CDS.1689,group01007
AAA041L13.genome.CDS.1688,group00910
AAA041L13.genome.CDS.1683,group00686
AAA041L13.genome.CDS.1682,group00981
AAA041L13.genome.CDS.1681,group01080
AAA041L13.genome.CDS.1687,group00631
AAA041L13.genome.CDS.1686,group00071
AAA041L13.genome.CDS.1685,group01186
AAA041L13.genome.CDS.1684,group00683
AAA041L13.genome.CDS.1449,group01145
AAA041L13.genome.CDS.1448,group01167
AAA041L13.genome.CDS.1444,group01428
AAA041L13.genome.CDS.1447,group01116
AAA041L13.genome.CDS.1446,group01076
AAA041L13.genome.CDS.1441,group01482
AAA041L13.genome.CDS.1948,group00924
AAA041L13.genome.CDS.1443,group01438
AAA041L13.genome.CDS.1442,group01505
AAA041L13.genome.CDS.1949,group00128
AAA041L13.genome.CDS.2012,group01595
AAA041L13.genome.CDS.2011,group01651
AAA041L13.genome.CDS.2010,group01655
AAA041L13.genome.CDS.2017,group01813
AAA041L13.genome.CDS.2016,group00058
AAA041L13.genome.CDS.2015,group01427
AAA041L13.genome.CDS.2014,group01596
AAA041L13.genome.CDS.2019,group01711
AAA041L13.genome.CDS.2018,group01403
AAA041L13.genome.CDS.1599,group00745
AAA041L13.genome.CDS.1598,group00952
AAA041L13.genome.CDS.1597,group00009
AAA041L13.genome.CDS.1596,group00499
AAA041L13.genome.CDS.1595,group00989
AAA041L13.genome.CDS.1594,group00405
AAA041L13.genome.CDS.1593,group00031
AAA041L13.genome.CDS.1592,group00261
AAA041L13.genome.CDS.1591,group00599
AAA041L13.genome.CDS.1590,group00719
AAA041L13.genome.CDS.2167,group04325
AAA041L13.genome.CDS.2166,group04326
AAA041L13.genome.CDS.2165,group04327
AAA041L13.genome.CDS.2164,group04328
AAA041L13.genome.CDS.2163,group04329
AAA041L13.genome.CDS.2162,group04330
AAA041L13.genome.CDS.2161,group02547
AAA041L13.genome.CDS.2160,group04331
AAA041L13.genome.CDS.2169,group04323
AAA041L13.genome.CDS.2168,group04324
AAA041L13.genome.CDS.2905,group04577
AAA041L13.genome.CDS.2904,group00843
AAA041L13.genome.CDS.2907,group02524
AAA041L13.genome.CDS.2906,group04576
AAA041L13.genome.CDS.2901,group02532
AAA041L13.genome.CDS.2903,group00143
AAA041L13.genome.CDS.2902,group02819
AAA041L13.genome.CDS.2909,group04574
AAA041L13.genome.CDS.1928,group00029
AAA041L13.genome.CDS.1929,group01247
AAA041L13.genome.CDS.1926,group00816
AAA041L13.genome.CDS.1927,group01166
AAA041L13.genome.CDS.1924,group00857
AAA041L13.genome.CDS.1925,group01571
AAA041L13.genome.CDS.1922,group01188
AAA041L13.genome.CDS.1923,group00266
AAA041L13.genome.CDS.1920,group00306
AAA041L13.genome.CDS.1921,group04597
AAA041L13.genome.CDS.2646,group00711
AAA041L13.genome.CDS.2349,group00001
AAA041L13.genome.CDS.2348,group00002
AAA041L13.genome.CDS.2863,group04551
AAA041L13.genome.CDS.2343,group00140
AAA041L13.genome.CDS.2342,group00228
AAA041L13.genome.CDS.2341,group00221
AAA041L13.genome.CDS.2340,group00153
AAA041L13.genome.CDS.2347,group00635
AAA041L13.genome.CDS.2346,group00794
AAA041L13.genome.CDS.2345,group00203
AAA041L13.genome.CDS.2344,group00026
AAA041L13.genome.CDS.2645,group00850
AAA041L13.genome.CDS.2642,group00589
AAA041L13.genome.CDS.2865,group04549
AAA041L13.genome.CDS.2581,group04444
AAA041L13.genome.CDS.2580,group04445
AAA041L13.genome.CDS.2583,group00752
AAA041L13.genome.CDS.2582,group04443
AAA041L13.genome.CDS.2585,group00397
AAA041L13.genome.CDS.2584,group01011
AAA041L13.genome.CDS.2587,group00479
AAA041L13.genome.CDS.2586,group00352
AAA041L13.genome.CDS.2589,group00475
AAA041L13.genome.CDS.2588,group00735
AAA041L13.genome.CDS.1852,group00888
AAA041L13.genome.CDS.1853,group00025
AAA041L13.genome.CDS.1850,group00536
AAA041L13.genome.CDS.1851,group00308
