TBepi2754.genome.CDS.2299,group01116
TBepi2754.genome.CDS.2734,group01505
TBepi2754.genome.CDS.2735,group01482
TBepi2754.genome.CDS.2732,group00079
TBepi2754.genome.CDS.2733,group01431
TBepi2754.genome.CDS.2730,group01759
TBepi2754.genome.CDS.2731,group02726
TBepi2754.genome.CDS.2738,group01555
TBepi2754.genome.CDS.2739,group01787
TBepi2754.genome.CDS.2602,group00471
TBepi2754.genome.CDS.2603,group00699
TBepi2754.genome.CDS.2600,group00012
TBepi2754.genome.CDS.2601,group00453
TBepi2754.genome.CDS.2606,group00952
TBepi2754.genome.CDS.2607,group02192
TBepi2754.genome.CDS.2604,group00614
TBepi2754.genome.CDS.2605,group01831
TBepi2754.genome.CDS.2608,group02395
TBepi2754.genome.CDS.2609,group02193
TBepi2754.genome.CDS.1522,group00106
TBepi2754.genome.CDS.1835,group00534
TBepi2754.genome.CDS.1856,group01331
TBepi2754.genome.CDS.1836,group00307
TBepi2754.genome.CDS.2428,group00685
TBepi2754.genome.CDS.2429,group00701
TBepi2754.genome.CDS.2422,group00783
TBepi2754.genome.CDS.2423,group00651
TBepi2754.genome.CDS.2420,group00278
TBepi2754.genome.CDS.2421,group00210
TBepi2754.genome.CDS.2426,group00797
TBepi2754.genome.CDS.2427,group00850
TBepi2754.genome.CDS.2424,group00589
TBepi2754.genome.CDS.2425,group00391
TBepi2754.genome.CDS.1524,group00657
TBepi2754.genome.CDS.1525,group00771
TBepi2754.genome.CDS.1683,group00413
TBepi2754.genome.CDS.1682,group00823
TBepi2754.genome.CDS.1681,group00856
TBepi2754.genome.CDS.1680,group00488
TBepi2754.genome.CDS.1687,group00719
TBepi2754.genome.CDS.1686,group00200
TBepi2754.genome.CDS.1933,group00345
TBepi2754.genome.CDS.1684,group00414
TBepi2754.genome.CDS.2444,group00384
TBepi2754.genome.CDS.2445,group00454
TBepi2754.genome.CDS.2446,group00840
TBepi2754.genome.CDS.2331,group00960
TBepi2754.genome.CDS.2336,group01345
TBepi2754.genome.CDS.2337,group01182
TBepi2754.genome.CDS.2334,group00933
TBepi2754.genome.CDS.2443,group01109
TBepi2754.genome.CDS.1395,group00218
TBepi2754.genome.CDS.1646,group00194
TBepi2754.genome.CDS.1645,group00300
TBepi2754.genome.CDS.1644,group00378
TBepi2754.genome.CDS.1391,group00477
TBepi2754.genome.CDS.1642,group00053
TBepi2754.genome.CDS.1641,group00083
TBepi2754.genome.CDS.1640,group00265
TBepi2754.genome.CDS.1399,group00134
TBepi2754.genome.CDS.1398,group00354
TBepi2754.genome.CDS.1649,group00348
TBepi2754.genome.CDS.1648,group00137
TBepi2754.genome.CDS.1809,group01593
TBepi2754.genome.CDS.1808,group00959
TBepi2754.genome.CDS.1805,group00845
TBepi2754.genome.CDS.1804,group02387
TBepi2754.genome.CDS.1807,group00732
TBepi2754.genome.CDS.1806,group00775
TBepi2754.genome.CDS.1801,group00782
TBepi2754.genome.CDS.1800,group01187
TBepi2754.genome.CDS.1803,group00623
TBepi2754.genome.CDS.1802,group00602
TBepi2754.genome.CDS.119,group00376
TBepi2754.genome.CDS.1738,group01149
TBepi2754.genome.CDS.1737,group01123
TBepi2754.genome.CDS.1736,group00289
TBepi2754.genome.CDS.1735,group00006
TBepi2754.genome.CDS.1734,group00325
TBepi2754.genome.CDS.1733,group00007
TBepi2754.genome.CDS.1732,group00849
TBepi2754.genome.CDS.1731,group00796
TBepi2754.genome.CDS.1730,group01059
TBepi2754.genome.CDS.2123,group00408
TBepi2754.genome.CDS.2122,group00388
TBepi2754.genome.CDS.2121,group00507
TBepi2754.genome.CDS.2120,group00506
TBepi2754.genome.CDS.2127,group03955
TBepi2754.genome.CDS.2126,group01402
TBepi2754.genome.CDS.2125,group00272
TBepi2754.genome.CDS.2124,group00380
TBepi2754.genome.CDS.2129,group01377
TBepi2754.genome.CDS.2128,group01378
TBepi2754.genome.CDS.1920,group00492
TBepi2754.genome.CDS.2637,group01205
TBepi2754.genome.CDS.2636,group01846
TBepi2754.genome.CDS.2635,group01747
TBepi2754.genome.CDS.2634,group01692
TBepi2754.genome.CDS.2633,group02725
TBepi2754.genome.CDS.2632,group02724
TBepi2754.genome.CDS.2631,group01347
TBepi2754.genome.CDS.2630,group01914
TBepi2754.genome.CDS.2639,group02018
TBepi2754.genome.CDS.2638,group01186
TBepi2754.genome.CDS.2387,group00633
TBepi2754.genome.CDS.2386,group00951
TBepi2754.genome.CDS.2385,group01072
TBepi2754.genome.CDS.2384,group01013
TBepi2754.genome.CDS.2383,group00472
TBepi2754.genome.CDS.2382,group00472
TBepi2754.genome.CDS.2381,group01406
TBepi2754.genome.CDS.2380,group01402
TBepi2754.genome.CDS.2389,group00241
TBepi2754.genome.CDS.2388,group00554
TBepi2754.genome.CDS.2419,group00632
TBepi2754.genome.CDS.2418,group01058
TBepi2754.genome.CDS.2417,group00664
TBepi2754.genome.CDS.2416,group00197
TBepi2754.genome.CDS.2415,group00514
TBepi2754.genome.CDS.2414,group01089
TBepi2754.genome.CDS.2413,group01065
TBepi2754.genome.CDS.2412,group00330
TBepi2754.genome.CDS.2411,group00213
TBepi2754.genome.CDS.2410,group00213
TBepi2754.genome.CDS.2259,group01953
TBepi2754.genome.CDS.2258,group03962
TBepi2754.genome.CDS.2709,group01438
TBepi2754.genome.CDS.2708,group00865
TBepi2754.genome.CDS.2703,group00829
TBepi2754.genome.CDS.2702,group01801
TBepi2754.genome.CDS.2253,group00010
TBepi2754.genome.CDS.2700,group02112
TBepi2754.genome.CDS.2707,group00302
TBepi2754.genome.CDS.2706,group01872
TBepi2754.genome.CDS.2257,group03963
TBepi2754.genome.CDS.2256,group01634
TBepi2754.genome.CDS.1291,group02129
TBepi2754.genome.CDS.52,group01662
TBepi2754.genome.CDS.1848,group00731
TBepi2754.genome.CDS.1386,group00431
TBepi2754.genome.CDS.1387,group00389
TBepi2754.genome.CDS.1384,group00089
TBepi2754.genome.CDS.1385,group00436
TBepi2754.genome.CDS.1382,group00239
TBepi2754.genome.CDS.1383,group00717
TBepi2754.genome.CDS.1380,group00675
TBepi2754.genome.CDS.1381,group00271
TBepi2754.genome.CDS.1388,group00426
TBepi2754.genome.CDS.1389,group00318
TBepi2754.genome.CDS.1658,group00217
TBepi2754.genome.CDS.1659,group01014
TBepi2754.genome.CDS.1650,group00387
TBepi2754.genome.CDS.1652,group00448
TBepi2754.genome.CDS.1653,group02599
TBepi2754.genome.CDS.1654,group00535
TBepi2754.genome.CDS.1655,group00184
TBepi2754.genome.CDS.1656,group00320
TBepi2754.genome.CDS.1657,group00206
TBepi2754.genome.CDS.1818,group01220
TBepi2754.genome.CDS.1552,group01230
TBepi2754.genome.CDS.1816,group02714
TBepi2754.genome.CDS.1817,group01198
TBepi2754.genome.CDS.1814,group01826
TBepi2754.genome.CDS.1815,group02063
TBepi2754.genome.CDS.1812,group00440
TBepi2754.genome.CDS.1813,group00460
TBepi2754.genome.CDS.1810,group00367
TBepi2754.genome.CDS.1811,group00288
TBepi2754.genome.CDS.120,group02710
TBepi2754.genome.CDS.1720,group01320
TBepi2754.genome.CDS.1721,group01387
TBepi2754.genome.CDS.1722,group01299
TBepi2754.genome.CDS.1723,group01299
TBepi2754.genome.CDS.1724,group01869
TBepi2754.genome.CDS.1725,group00043
TBepi2754.genome.CDS.1726,group00504
TBepi2754.genome.CDS.1727,group00569
TBepi2754.genome.CDS.1729,group00310
TBepi2754.genome.CDS.2134,group01252
TBepi2754.genome.CDS.2135,group00674
TBepi2754.genome.CDS.2136,group01780
TBepi2754.genome.CDS.2137,group02029
TBepi2754.genome.CDS.2130,group01451
TBepi2754.genome.CDS.2131,group01854
TBepi2754.genome.CDS.2132,group01376
TBepi2754.genome.CDS.2133,group01419
TBepi2754.genome.CDS.2138,group00092
TBepi2754.genome.CDS.2139,group00148
TBepi2754.genome.CDS.2398,group00909
TBepi2754.genome.CDS.2399,group01080
TBepi2754.genome.CDS.2390,group00223
TBepi2754.genome.CDS.2391,group01164
TBepi2754.genome.CDS.2392,group02130
TBepi2754.genome.CDS.2393,group00319
TBepi2754.genome.CDS.2394,group00583
TBepi2754.genome.CDS.2395,group00684
TBepi2754.genome.CDS.2396,group00869
TBepi2754.genome.CDS.2397,group00117
TBepi2754.genome.CDS.2628,group00812
TBepi2754.genome.CDS.2629,group02397
TBepi2754.genome.CDS.2620,group01015
TBepi2754.genome.CDS.2621,group01193
TBepi2754.genome.CDS.2622,group00990
TBepi2754.genome.CDS.2623,group01064
TBepi2754.genome.CDS.2624,group00967
TBepi2754.genome.CDS.2625,group00968
TBepi2754.genome.CDS.2626,group00971
TBepi2754.genome.CDS.2627,group01304
TBepi2754.genome.CDS.2400,group00686
TBepi2754.genome.CDS.2401,group00910
TBepi2754.genome.CDS.2402,group01007
TBepi2754.genome.CDS.2403,group01584
TBepi2754.genome.CDS.2404,group02393
TBepi2754.genome.CDS.2405,group00451
TBepi2754.genome.CDS.2406,group01548
TBepi2754.genome.CDS.2407,group01142
TBepi2754.genome.CDS.2408,group00559
TBepi2754.genome.CDS.2409,group00371
TBepi2754.genome.CDS.2248,group02142
TBepi2754.genome.CDS.2249,group01625
TBepi2754.genome.CDS.2718,group00395
TBepi2754.genome.CDS.2719,group00021
TBepi2754.genome.CDS.2242,group00711
TBepi2754.genome.CDS.2243,group01133
TBepi2754.genome.CDS.2240,group00756
TBepi2754.genome.CDS.2717,group01173
TBepi2754.genome.CDS.2246,group01768
TBepi2754.genome.CDS.2711,group01388
TBepi2754.genome.CDS.2244,group01174
TBepi2754.genome.CDS.2713,group01981
TBepi2754.genome.CDS.1819,group01276
TBepi2754.genome.CDS.1629,group00612
TBepi2754.genome.CDS.1628,group00361
TBepi2754.genome.CDS.1625,group00057
TBepi2754.genome.CDS.1624,group00060
TBepi2754.genome.CDS.1627,group00002
TBepi2754.genome.CDS.1626,group00215
TBepi2754.genome.CDS.1621,group00751
TBepi2754.genome.CDS.1620,group00497
TBepi2754.genome.CDS.1623,group00152
TBepi2754.genome.CDS.1622,group00905
TBepi2754.genome.CDS.1823,group00435
TBepi2754.genome.CDS.1822,group01466
TBepi2754.genome.CDS.1821,group00818
TBepi2754.genome.CDS.1532,group00337
TBepi2754.genome.CDS.1827,group03945
TBepi2754.genome.CDS.1534,group01081
TBepi2754.genome.CDS.1825,group01879
TBepi2754.genome.CDS.1824,group00934
TBepi2754.genome.CDS.1539,group02135
TBepi2754.genome.CDS.1538,group02695
TBepi2754.genome.CDS.1829,group00280
TBepi2754.genome.CDS.1828,group00214
TBepi2754.genome.CDS.1755,group00153
TBepi2754.genome.CDS.1754,group00221
TBepi2754.genome.CDS.1757,group00661
TBepi2754.genome.CDS.1756,group00713
TBepi2754.genome.CDS.1751,group00203
TBepi2754.genome.CDS.1750,group00794
TBepi2754.genome.CDS.1753,group00140
TBepi2754.genome.CDS.1752,group00026
TBepi2754.genome.CDS.1759,group00524
TBepi2754.genome.CDS.1758,group00112
TBepi2754.genome.CDS.2099,group00176
TBepi2754.genome.CDS.2098,group00979
TBepi2754.genome.CDS.2093,group00287
TBepi2754.genome.CDS.2092,group00220
TBepi2754.genome.CDS.2091,group00459
TBepi2754.genome.CDS.2090,group00237
TBepi2754.genome.CDS.2097,group00753
TBepi2754.genome.CDS.2096,group00442
TBepi2754.genome.CDS.2095,group00372
TBepi2754.genome.CDS.2094,group00251
TBepi2754.genome.CDS.2659,group00416
TBepi2754.genome.CDS.2658,group00721
TBepi2754.genome.CDS.2655,group00481
TBepi2754.genome.CDS.2654,group00804
TBepi2754.genome.CDS.2657,group00695
TBepi2754.genome.CDS.2656,group00406
TBepi2754.genome.CDS.2651,group00958
TBepi2754.genome.CDS.2650,group01312
TBepi2754.genome.CDS.2653,group01758
TBepi2754.genome.CDS.2652,group00353
TBepi2754.genome.CDS.712,group01018
TBepi2754.genome.CDS.2475,group00246
TBepi2754.genome.CDS.2474,group00192
TBepi2754.genome.CDS.2477,group00765
TBepi2754.genome.CDS.2476,group00090
TBepi2754.genome.CDS.2471,group01360
TBepi2754.genome.CDS.2470,group01268
TBepi2754.genome.CDS.2473,group00548
TBepi2754.genome.CDS.2472,group01224
TBepi2754.genome.CDS.2479,group00109
TBepi2754.genome.CDS.2478,group00317
TBepi2754.genome.CDS.2279,group00425
TBepi2754.genome.CDS.2278,group00394
TBepi2754.genome.CDS.2277,group00362
TBepi2754.genome.CDS.2276,group01877
TBepi2754.genome.CDS.2275,group00639
TBepi2754.genome.CDS.2274,group00116
TBepi2754.genome.CDS.2273,group00592
TBepi2754.genome.CDS.2272,group00544
TBepi2754.genome.CDS.2271,group00163
TBepi2754.genome.CDS.2270,group00190
TBepi2754.genome.CDS.2509,group00925
TBepi2754.genome.CDS.2508,group00327
TBepi2754.genome.CDS.2501,group01918
TBepi2754.genome.CDS.2500,group02010
TBepi2754.genome.CDS.2503,group00941
TBepi2754.genome.CDS.2502,group01883
TBepi2754.genome.CDS.2505,group00352
TBepi2754.genome.CDS.2504,group02165
TBepi2754.genome.CDS.2507,group01800
TBepi2754.genome.CDS.2506,group01633
TBepi2754.genome.CDS.403,group00045
TBepi2754.genome.CDS.1638,group01038
TBepi2754.genome.CDS.1639,group00061
TBepi2754.genome.CDS.1636,group00690
TBepi2754.genome.CDS.1637,group00641
TBepi2754.genome.CDS.1634,group00495
TBepi2754.genome.CDS.1635,group00947
TBepi2754.genome.CDS.1632,group00316
TBepi2754.genome.CDS.1633,group00007
TBepi2754.genome.CDS.1630,group00014
TBepi2754.genome.CDS.1631,group01126
TBepi2754.genome.CDS.1834,group00438
TBepi2754.genome.CDS.1523,group00299
TBepi2754.genome.CDS.1520,group00852
TBepi2754.genome.CDS.1837,group00533
TBepi2754.genome.CDS.1830,group00409
TBepi2754.genome.CDS.1527,group00800
TBepi2754.genome.CDS.1832,group02715
TBepi2754.genome.CDS.1833,group03946
TBepi2754.genome.CDS.1528,group00669
TBepi2754.genome.CDS.1529,group00643
TBepi2754.genome.CDS.1838,group00532
TBepi2754.genome.CDS.1839,group00470
TBepi2754.genome.CDS.1672,group00737
TBepi2754.genome.CDS.1673,group00141
TBepi2754.genome.CDS.1906,group01107
TBepi2754.genome.CDS.1671,group00016
TBepi2754.genome.CDS.1900,group00809
TBepi2754.genome.CDS.1901,group00648
TBepi2754.genome.CDS.1746,group01423
TBepi2754.genome.CDS.1747,group00729
TBepi2754.genome.CDS.1744,group00660
TBepi2754.genome.CDS.1745,group00605
TBepi2754.genome.CDS.1742,group00004
TBepi2754.genome.CDS.1743,group00342
TBepi2754.genome.CDS.1740,group00984
TBepi2754.genome.CDS.1741,group00016
TBepi2754.genome.CDS.1903,group00473
TBepi2754.genome.CDS.1748,group00529
TBepi2754.genome.CDS.1749,group00038
TBepi2754.genome.CDS.659,group00955
TBepi2754.genome.CDS.2088,group00279
TBepi2754.genome.CDS.2089,group00322
TBepi2754.genome.CDS.2084,group01148
TBepi2754.genome.CDS.2085,group01042
TBepi2754.genome.CDS.2086,group01822
TBepi2754.genome.CDS.2087,group00948
TBepi2754.genome.CDS.2080,group00201
TBepi2754.genome.CDS.2081,group00572
TBepi2754.genome.CDS.2082,group00478
TBepi2754.genome.CDS.2083,group01148
TBepi2754.genome.CDS.2648,group01493
TBepi2754.genome.CDS.2649,group01283
TBepi2754.genome.CDS.2646,group01535
TBepi2754.genome.CDS.2647,group01781
TBepi2754.genome.CDS.2644,group02079
TBepi2754.genome.CDS.2645,group01380
TBepi2754.genome.CDS.2642,group00033
TBepi2754.genome.CDS.2643,group01959
TBepi2754.genome.CDS.2640,group01928
TBepi2754.genome.CDS.2641,group01890
TBepi2754.genome.CDS.279,group01356
TBepi2754.genome.CDS.274,group00449
TBepi2754.genome.CDS.2466,group01927
TBepi2754.genome.CDS.2464,group01359
TBepi2754.genome.CDS.2465,group01264
TBepi2754.genome.CDS.2462,group01190
TBepi2754.genome.CDS.2463,group01068
TBepi2754.genome.CDS.2460,group01926
TBepi2754.genome.CDS.2461,group02191
TBepi2754.genome.CDS.2468,group00355
TBepi2754.genome.CDS.2469,group01297
TBepi2754.genome.CDS.2260,group02391
TBepi2754.genome.CDS.2261,group03965
TBepi2754.genome.CDS.2262,group00146
TBepi2754.genome.CDS.2263,group00065
TBepi2754.genome.CDS.2264,group00338
TBepi2754.genome.CDS.2265,group00258
TBepi2754.genome.CDS.2266,group00066
TBepi2754.genome.CDS.2267,group00147
TBepi2754.genome.CDS.2268,group00111
TBepi2754.genome.CDS.2269,group00067
TBepi2754.genome.CDS.2518,group00716
TBepi2754.genome.CDS.2519,group01425
TBepi2754.genome.CDS.2512,group02125
TBepi2754.genome.CDS.2513,group01263
TBepi2754.genome.CDS.2510,group02126
TBepi2754.genome.CDS.2511,group01087
TBepi2754.genome.CDS.2516,group00846
TBepi2754.genome.CDS.2517,group01420
TBepi2754.genome.CDS.2514,group01783
TBepi2754.genome.CDS.2515,group01300
TBepi2754.genome.CDS.471,group01457
TBepi2754.genome.CDS.2497,group00085
TBepi2754.genome.CDS.2496,group00041
TBepi2754.genome.CDS.2366,group01422
TBepi2754.genome.CDS.2493,group00125
TBepi2754.genome.CDS.2492,group00335
TBepi2754.genome.CDS.2363,group01073
TBepi2754.genome.CDS.2362,group00531
TBepi2754.genome.CDS.2714,group02400
TBepi2754.genome.CDS.2715,group01993
TBepi2754.genome.CDS.2716,group01239
TBepi2754.genome.CDS.2241,group00760
TBepi2754.genome.CDS.2710,group01166
TBepi2754.genome.CDS.2247,group01101
TBepi2754.genome.CDS.2712,group02005
TBepi2754.genome.CDS.1603,group00825
TBepi2754.genome.CDS.1602,group01049
TBepi2754.genome.CDS.1601,group00914
TBepi2754.genome.CDS.1600,group00575
TBepi2754.genome.CDS.1607,group00502
TBepi2754.genome.CDS.1605,group00841
TBepi2754.genome.CDS.1604,group00637
TBepi2754.genome.CDS.1609,group01717
TBepi2754.genome.CDS.1608,group00032
TBepi2754.genome.CDS.1999,group00908
TBepi2754.genome.CDS.1998,group00321
TBepi2754.genome.CDS.1993,group01158
TBepi2754.genome.CDS.1992,group02275
TBepi2754.genome.CDS.1991,group03952
TBepi2754.genome.CDS.1990,group03953
TBepi2754.genome.CDS.1997,group00243
TBepi2754.genome.CDS.1996,group00030
TBepi2754.genome.CDS.1995,group01623
TBepi2754.genome.CDS.1994,group00939
TBepi2754.genome.CDS.1517,group00157
TBepi2754.genome.CDS.1516,group00121
TBepi2754.genome.CDS.1515,group00274
TBepi2754.genome.CDS.1514,group00309
TBepi2754.genome.CDS.1513,group00273
TBepi2754.genome.CDS.1512,group00208
TBepi2754.genome.CDS.1511,group00151
TBepi2754.genome.CDS.1510,group00095
TBepi2754.genome.CDS.1519,group00059
TBepi2754.genome.CDS.1518,group00158
TBepi2754.genome.CDS.1170,group01029
TBepi2754.genome.CDS.1779,group01370
TBepi2754.genome.CDS.1778,group01618
TBepi2754.genome.CDS.1773,group00009
TBepi2754.genome.CDS.1772,group01198
TBepi2754.genome.CDS.1771,group01220
TBepi2754.genome.CDS.1770,group01276
TBepi2754.genome.CDS.1777,group01515
TBepi2754.genome.CDS.1776,group01559
TBepi2754.genome.CDS.1775,group01465
TBepi2754.genome.CDS.1774,group01737
TBepi2754.genome.CDS.2185,group00688
TBepi2754.genome.CDS.2184,group00328
TBepi2754.genome.CDS.2187,group01512
TBepi2754.genome.CDS.2186,group00611
TBepi2754.genome.CDS.2181,group00595
TBepi2754.genome.CDS.2183,group03960
TBepi2754.genome.CDS.2182,group00616
TBepi2754.genome.CDS.645,group02736
TBepi2754.genome.CDS.2189,group00652
TBepi2754.genome.CDS.2188,group01023
TBepi2754.genome.CDS.2071,group00315
TBepi2754.genome.CDS.2070,group00359
TBepi2754.genome.CDS.2073,group00358
TBepi2754.genome.CDS.2072,group00754
TBepi2754.genome.CDS.2075,group00973
TBepi2754.genome.CDS.2074,group00187
TBepi2754.genome.CDS.2077,group00815
TBepi2754.genome.CDS.2076,group01302
TBepi2754.genome.CDS.2079,group01003
TBepi2754.genome.CDS.2078,group00096
TBepi2754.genome.CDS.2673,group01002
TBepi2754.genome.CDS.2672,group01051
TBepi2754.genome.CDS.2671,group01061
TBepi2754.genome.CDS.2670,group00451
TBepi2754.genome.CDS.2677,group00076
TBepi2754.genome.CDS.2676,group00483
TBepi2754.genome.CDS.2675,group00018
TBepi2754.genome.CDS.2674,group00555
TBepi2754.genome.CDS.2679,group01318
TBepi2754.genome.CDS.2678,group01872
TBepi2754.genome.CDS.2699,group01992
TBepi2754.genome.CDS.2698,group01413
TBepi2754.genome.CDS.2691,group00433
TBepi2754.genome.CDS.2690,group00780
TBepi2754.genome.CDS.2693,group01276
TBepi2754.genome.CDS.2692,group01988
TBepi2754.genome.CDS.2695,group02399
TBepi2754.genome.CDS.2694,group02398
TBepi2754.genome.CDS.2697,group00829
TBepi2754.genome.CDS.2696,group00537
TBepi2754.genome.CDS.2215,group00862
TBepi2754.genome.CDS.2214,group00942
TBepi2754.genome.CDS.2217,group00105
TBepi2754.genome.CDS.2216,group00383
TBepi2754.genome.CDS.2211,group01222
TBepi2754.genome.CDS.2210,group00505
TBepi2754.genome.CDS.2213,group01796
TBepi2754.genome.CDS.2212,group01338
TBepi2754.genome.CDS.2219,group01324
TBepi2754.genome.CDS.2218,group01143
TBepi2754.genome.CDS.2529,group01442
TBepi2754.genome.CDS.2528,group01470
TBepi2754.genome.CDS.2527,group00034
TBepi2754.genome.CDS.2526,group01517
TBepi2754.genome.CDS.2525,group02037
TBepi2754.genome.CDS.2524,group01672
TBepi2754.genome.CDS.2523,group00747
TBepi2754.genome.CDS.2522,group00014
TBepi2754.genome.CDS.2521,group00831
TBepi2754.genome.CDS.2520,group00876
TBepi2754.genome.CDS.2329,group01965
TBepi2754.genome.CDS.2328,group01615
TBepi2754.genome.CDS.2459,group01516
TBepi2754.genome.CDS.2458,group01591
TBepi2754.genome.CDS.2321,group00369
TBepi2754.genome.CDS.2320,group00411
TBepi2754.genome.CDS.2451,group00687
TBepi2754.genome.CDS.2322,group00399
TBepi2754.genome.CDS.2325,group02190
TBepi2754.genome.CDS.2324,group00024
TBepi2754.genome.CDS.2455,group01942
