bin_7_acI-B2.genome.CDS.1369,group00700
bin_7_acI-B2.genome.CDS.2990,group01971
bin_7_acI-B2.genome.CDS.2993,group00848
bin_7_acI-B2.genome.CDS.2992,group00974
bin_7_acI-B2.genome.CDS.2999,group00563
bin_7_acI-B2.genome.CDS.2998,group00324
bin_7_acI-B2.genome.CDS.2977,group01706
bin_7_acI-B2.genome.CDS.2199,group01860
bin_7_acI-B2.genome.CDS.2198,group01704
bin_7_acI-B2.genome.CDS.2195,group00687
bin_7_acI-B2.genome.CDS.2194,group00795
bin_7_acI-B2.genome.CDS.2197,group01962
bin_7_acI-B2.genome.CDS.2196,group02058
bin_7_acI-B2.genome.CDS.2191,group01961
bin_7_acI-B2.genome.CDS.2190,group04840
bin_7_acI-B2.genome.CDS.2193,group02093
bin_7_acI-B2.genome.CDS.2192,group04839
bin_7_acI-B2.genome.CDS.2649,group00715
bin_7_acI-B2.genome.CDS.3733,group00880
bin_7_acI-B2.genome.CDS.3800,group04988
bin_7_acI-B2.genome.CDS.3801,group04987
bin_7_acI-B2.genome.CDS.3802,group04986
bin_7_acI-B2.genome.CDS.3803,group02539
bin_7_acI-B2.genome.CDS.3804,group02281
bin_7_acI-B2.genome.CDS.3805,group02280
bin_7_acI-B2.genome.CDS.3806,group02279
bin_7_acI-B2.genome.CDS.3807,group02278
bin_7_acI-B2.genome.CDS.3336,group00555
bin_7_acI-B2.genome.CDS.3809,group01863
bin_7_acI-B2.genome.CDS.2643,group00412
bin_7_acI-B2.genome.CDS.2642,group00296
bin_7_acI-B2.genome.CDS.3337,group00018
bin_7_acI-B2.genome.CDS.2049,group02509
bin_7_acI-B2.genome.CDS.2048,group00598
bin_7_acI-B2.genome.CDS.2047,group00760
bin_7_acI-B2.genome.CDS.2046,group00711
bin_7_acI-B2.genome.CDS.2045,group01203
bin_7_acI-B2.genome.CDS.2044,group01701
bin_7_acI-B2.genome.CDS.2043,group01131
bin_7_acI-B2.genome.CDS.2042,group00950
bin_7_acI-B2.genome.CDS.2041,group00033
bin_7_acI-B2.genome.CDS.2040,group00479
bin_7_acI-B2.genome.CDS.3248,group00760
bin_7_acI-B2.genome.CDS.3249,group00711
bin_7_acI-B2.genome.CDS.3246,group00263
bin_7_acI-B2.genome.CDS.3247,group00756
bin_7_acI-B2.genome.CDS.3244,group00390
bin_7_acI-B2.genome.CDS.3245,group01048
bin_7_acI-B2.genome.CDS.3242,group00397
bin_7_acI-B2.genome.CDS.3243,group00486
bin_7_acI-B2.genome.CDS.3240,group00752
bin_7_acI-B2.genome.CDS.3241,group01011
bin_7_acI-B2.genome.CDS.512,group01059
bin_7_acI-B2.genome.CDS.2458,group01971
bin_7_acI-B2.genome.CDS.2459,group01966
bin_7_acI-B2.genome.CDS.3103,group01170
bin_7_acI-B2.genome.CDS.3102,group01265
bin_7_acI-B2.genome.CDS.3105,group01069
bin_7_acI-B2.genome.CDS.3104,group00868
bin_7_acI-B2.genome.CDS.3107,group01841
bin_7_acI-B2.genome.CDS.3106,group01564
bin_7_acI-B2.genome.CDS.3109,group04928
bin_7_acI-B2.genome.CDS.2451,group02492
bin_7_acI-B2.genome.CDS.2452,group04856
bin_7_acI-B2.genome.CDS.2453,group01072
bin_7_acI-B2.genome.CDS.2454,group00951
bin_7_acI-B2.genome.CDS.2455,group00633
bin_7_acI-B2.genome.CDS.2456,group04855
bin_7_acI-B2.genome.CDS.2457,group04864
bin_7_acI-B2.genome.CDS.263,group01635
bin_7_acI-B2.genome.CDS.2298,group02275
bin_7_acI-B2.genome.CDS.2299,group01158
bin_7_acI-B2.genome.CDS.2296,group00732
bin_7_acI-B2.genome.CDS.2297,group00959
bin_7_acI-B2.genome.CDS.2294,group00845
bin_7_acI-B2.genome.CDS.2295,group00775
bin_7_acI-B2.genome.CDS.2292,group00623
bin_7_acI-B2.genome.CDS.2293,group02387
bin_7_acI-B2.genome.CDS.2290,group00782
bin_7_acI-B2.genome.CDS.2291,group00602
bin_7_acI-B2.genome.CDS.3079,group00086
bin_7_acI-B2.genome.CDS.3078,group00084
bin_7_acI-B2.genome.CDS.3075,group04923
bin_7_acI-B2.genome.CDS.3074,group02858
bin_7_acI-B2.genome.CDS.3077,group00627
bin_7_acI-B2.genome.CDS.3076,group00205
bin_7_acI-B2.genome.CDS.3071,group00878
bin_7_acI-B2.genome.CDS.3070,group04924
bin_7_acI-B2.genome.CDS.3073,group01731
bin_7_acI-B2.genome.CDS.3072,group00642
bin_7_acI-B2.genome.CDS.2670,group00216
bin_7_acI-B2.genome.CDS.2671,group00438
bin_7_acI-B2.genome.CDS.2672,group00863
bin_7_acI-B2.genome.CDS.2673,group00573
bin_7_acI-B2.genome.CDS.2674,group00660
bin_7_acI-B2.genome.CDS.2675,group00605
bin_7_acI-B2.genome.CDS.2676,group01423
bin_7_acI-B2.genome.CDS.2678,group02511
bin_7_acI-B2.genome.CDS.2679,group00529
bin_7_acI-B2.genome.CDS.3655,group00488
bin_7_acI-B2.genome.CDS.3654,group00364
bin_7_acI-B2.genome.CDS.3657,group00823
bin_7_acI-B2.genome.CDS.3656,group00856
bin_7_acI-B2.genome.CDS.2708,group00199
bin_7_acI-B2.genome.CDS.2709,group00577
bin_7_acI-B2.genome.CDS.3653,group00080
bin_7_acI-B2.genome.CDS.3652,group00291
bin_7_acI-B2.genome.CDS.2704,group00428
bin_7_acI-B2.genome.CDS.2705,group00828
bin_7_acI-B2.genome.CDS.2706,group01020
bin_7_acI-B2.genome.CDS.2707,group00023
bin_7_acI-B2.genome.CDS.3659,group00414
bin_7_acI-B2.genome.CDS.3658,group00413
bin_7_acI-B2.genome.CDS.2702,group00303
bin_7_acI-B2.genome.CDS.2703,group00351
bin_7_acI-B2.genome.CDS.3497,group00180
bin_7_acI-B2.genome.CDS.3496,group00179
bin_7_acI-B2.genome.CDS.3495,group00531
bin_7_acI-B2.genome.CDS.3494,group01073
bin_7_acI-B2.genome.CDS.3493,group01706
bin_7_acI-B2.genome.CDS.3492,group01640
bin_7_acI-B2.genome.CDS.3491,group01422
bin_7_acI-B2.genome.CDS.3490,group02286
bin_7_acI-B2.genome.CDS.3499,group00913
bin_7_acI-B2.genome.CDS.3498,group00238
bin_7_acI-B2.genome.CDS.1720,group04977
bin_7_acI-B2.genome.CDS.2854,group04901
bin_7_acI-B2.genome.CDS.2855,group04900
bin_7_acI-B2.genome.CDS.2856,group04899
bin_7_acI-B2.genome.CDS.2857,group01164
bin_7_acI-B2.genome.CDS.2850,group01005
bin_7_acI-B2.genome.CDS.2851,group00500
bin_7_acI-B2.genome.CDS.2852,group00505
bin_7_acI-B2.genome.CDS.2853,group01222
bin_7_acI-B2.genome.CDS.2858,group01997
bin_7_acI-B2.genome.CDS.2859,group02130
bin_7_acI-B2.genome.CDS.90,group00399
bin_7_acI-B2.genome.CDS.3228,group01355
bin_7_acI-B2.genome.CDS.3063,group00078
bin_7_acI-B2.genome.CDS.3226,group01288
bin_7_acI-B2.genome.CDS.3227,group01233
bin_7_acI-B2.genome.CDS.3813,group02510
bin_7_acI-B2.genome.CDS.3812,group01133
bin_7_acI-B2.genome.CDS.3811,group00941
bin_7_acI-B2.genome.CDS.3817,group01603
bin_7_acI-B2.genome.CDS.3816,group01385
bin_7_acI-B2.genome.CDS.3815,group00013
bin_7_acI-B2.genome.CDS.3814,group01326
bin_7_acI-B2.genome.CDS.3819,group01176
bin_7_acI-B2.genome.CDS.3818,group00866
bin_7_acI-B2.genome.CDS.2078,group02274
bin_7_acI-B2.genome.CDS.2079,group04885
bin_7_acI-B2.genome.CDS.2072,group01958
bin_7_acI-B2.genome.CDS.2073,group01779
bin_7_acI-B2.genome.CDS.2070,group01859
bin_7_acI-B2.genome.CDS.2071,group01454
bin_7_acI-B2.genome.CDS.2076,group01311
bin_7_acI-B2.genome.CDS.2077,group01780
bin_7_acI-B2.genome.CDS.2074,group01379
bin_7_acI-B2.genome.CDS.2075,group02540
bin_7_acI-B2.genome.CDS.3259,group00419
bin_7_acI-B2.genome.CDS.3258,group00148
bin_7_acI-B2.genome.CDS.3251,group00774
bin_7_acI-B2.genome.CDS.3250,group01441
bin_7_acI-B2.genome.CDS.3253,group01743
bin_7_acI-B2.genome.CDS.3252,group01119
bin_7_acI-B2.genome.CDS.3255,group01671
bin_7_acI-B2.genome.CDS.3254,group01744
bin_7_acI-B2.genome.CDS.3257,group00092
bin_7_acI-B2.genome.CDS.1784,group00680
bin_7_acI-B2.genome.CDS.3512,group01313
bin_7_acI-B2.genome.CDS.2449,group04857
bin_7_acI-B2.genome.CDS.2448,group04858
bin_7_acI-B2.genome.CDS.2443,group02478
bin_7_acI-B2.genome.CDS.2442,group04861
bin_7_acI-B2.genome.CDS.2441,group01013
bin_7_acI-B2.genome.CDS.2440,group00472
bin_7_acI-B2.genome.CDS.2447,group04859
bin_7_acI-B2.genome.CDS.2446,group02836
bin_7_acI-B2.genome.CDS.2445,group04860
bin_7_acI-B2.genome.CDS.2444,group02421
bin_7_acI-B2.genome.CDS.2256,group00277
bin_7_acI-B2.genome.CDS.704,group04886
bin_7_acI-B2.genome.CDS.2289,group01187
bin_7_acI-B2.genome.CDS.2288,group01782
bin_7_acI-B2.genome.CDS.2281,group00071
bin_7_acI-B2.genome.CDS.2280,group00631
bin_7_acI-B2.genome.CDS.2283,group01185
bin_7_acI-B2.genome.CDS.2282,group00981
bin_7_acI-B2.genome.CDS.2285,group00264
bin_7_acI-B2.genome.CDS.2284,group01186
bin_7_acI-B2.genome.CDS.2287,group00069
bin_7_acI-B2.genome.CDS.2286,group01053
bin_7_acI-B2.genome.CDS.3008,group04916
bin_7_acI-B2.genome.CDS.3001,group00714
bin_7_acI-B2.genome.CDS.3002,group00768
bin_7_acI-B2.genome.CDS.3003,group00961
bin_7_acI-B2.genome.CDS.3004,group00931
bin_7_acI-B2.genome.CDS.3005,group00930
bin_7_acI-B2.genome.CDS.3006,group01139
bin_7_acI-B2.genome.CDS.3007,group02087
bin_7_acI-B2.genome.CDS.1863,group04828
bin_7_acI-B2.genome.CDS.928,group02294
bin_7_acI-B2.genome.CDS.927,group01579
bin_7_acI-B2.genome.CDS.2663,group01927
bin_7_acI-B2.genome.CDS.2662,group01814
bin_7_acI-B2.genome.CDS.2661,group00355
bin_7_acI-B2.genome.CDS.2660,group00619
bin_7_acI-B2.genome.CDS.2667,group01190
bin_7_acI-B2.genome.CDS.2665,group01359
bin_7_acI-B2.genome.CDS.2664,group01264
bin_7_acI-B2.genome.CDS.2669,group04884
bin_7_acI-B2.genome.CDS.2668,group01926
bin_7_acI-B2.genome.CDS.3714,group00527
bin_7_acI-B2.genome.CDS.3715,group00107
bin_7_acI-B2.genome.CDS.3716,group04969
bin_7_acI-B2.genome.CDS.3717,group00286
bin_7_acI-B2.genome.CDS.3710,group00600
bin_7_acI-B2.genome.CDS.3711,group00493
bin_7_acI-B2.genome.CDS.3712,group00415
bin_7_acI-B2.genome.CDS.3713,group00556
bin_7_acI-B2.genome.CDS.3718,group00867
bin_7_acI-B2.genome.CDS.3719,group00162
bin_7_acI-B2.genome.CDS.1405,group00476
bin_7_acI-B2.genome.CDS.3620,group00579
bin_7_acI-B2.genome.CDS.3621,group02099
bin_7_acI-B2.genome.CDS.3622,group02807
bin_7_acI-B2.genome.CDS.3623,group00468
bin_7_acI-B2.genome.CDS.3624,group00470
bin_7_acI-B2.genome.CDS.3625,group00532
bin_7_acI-B2.genome.CDS.3626,group00533
bin_7_acI-B2.genome.CDS.2718,group00467
bin_7_acI-B2.genome.CDS.2717,group01112
bin_7_acI-B2.genome.CDS.3629,group00534
bin_7_acI-B2.genome.CDS.2715,group00007
bin_7_acI-B2.genome.CDS.2714,group00325
bin_7_acI-B2.genome.CDS.2713,group00006
bin_7_acI-B2.genome.CDS.2712,group00289
bin_7_acI-B2.genome.CDS.2711,group01123
bin_7_acI-B2.genome.CDS.2710,group00745
bin_7_acI-B2.genome.CDS.1082,group04931
bin_7_acI-B2.genome.CDS.2847,group01260
bin_7_acI-B2.genome.CDS.2846,group02274
bin_7_acI-B2.genome.CDS.2845,group04897
bin_7_acI-B2.genome.CDS.2844,group00674
bin_7_acI-B2.genome.CDS.2843,group01252
bin_7_acI-B2.genome.CDS.2842,group01419
bin_7_acI-B2.genome.CDS.2841,group04898
bin_7_acI-B2.genome.CDS.2840,group04896
bin_7_acI-B2.genome.CDS.2849,group01138
bin_7_acI-B2.genome.CDS.2848,group01056
bin_7_acI-B2.genome.CDS.3538,group00209
bin_7_acI-B2.genome.CDS.3539,group00103
bin_7_acI-B2.genome.CDS.3534,group01227
bin_7_acI-B2.genome.CDS.3535,group04965
bin_7_acI-B2.genome.CDS.3536,group02085
bin_7_acI-B2.genome.CDS.3537,group00511
bin_7_acI-B2.genome.CDS.3530,group04967
bin_7_acI-B2.genome.CDS.3531,group01784
bin_7_acI-B2.genome.CDS.3532,group04966
bin_7_acI-B2.genome.CDS.3533,group02491
bin_7_acI-B2.genome.CDS.88,group02541
bin_7_acI-B2.genome.CDS.2946,group02298
bin_7_acI-B2.genome.CDS.1396,group00170
bin_7_acI-B2.genome.CDS.2548,group02538
bin_7_acI-B2.genome.CDS.3398,group00705
bin_7_acI-B2.genome.CDS.3399,group00810
bin_7_acI-B2.genome.CDS.3090,group00487
bin_7_acI-B2.genome.CDS.3828,group01962
bin_7_acI-B2.genome.CDS.3829,group01961
bin_7_acI-B2.genome.CDS.3826,group00787
bin_7_acI-B2.genome.CDS.3391,group00807
bin_7_acI-B2.genome.CDS.3824,group01317
bin_7_acI-B2.genome.CDS.3393,group00638
bin_7_acI-B2.genome.CDS.3394,group00169
bin_7_acI-B2.genome.CDS.3395,group00982
bin_7_acI-B2.genome.CDS.3396,group00977
bin_7_acI-B2.genome.CDS.3821,group01860
bin_7_acI-B2.genome.CDS.2065,group01857
bin_7_acI-B2.genome.CDS.2064,group02273
bin_7_acI-B2.genome.CDS.2067,group01858
bin_7_acI-B2.genome.CDS.2066,group04872
bin_7_acI-B2.genome.CDS.2061,group00656
bin_7_acI-B2.genome.CDS.2060,group00187
bin_7_acI-B2.genome.CDS.2063,group00712
bin_7_acI-B2.genome.CDS.2062,group00207
bin_7_acI-B2.genome.CDS.2069,group00932
bin_7_acI-B2.genome.CDS.2540,group00006
bin_7_acI-B2.genome.CDS.2541,group00325
bin_7_acI-B2.genome.CDS.2476,group01073
bin_7_acI-B2.genome.CDS.2477,group00531
bin_7_acI-B2.genome.CDS.2474,group01640
bin_7_acI-B2.genome.CDS.2475,group01706
bin_7_acI-B2.genome.CDS.2472,group01422
bin_7_acI-B2.genome.CDS.2473,group02338
bin_7_acI-B2.genome.CDS.2470,group01342
bin_7_acI-B2.genome.CDS.2471,group01269
bin_7_acI-B2.genome.CDS.2783,group01370
bin_7_acI-B2.genome.CDS.2478,group00179
bin_7_acI-B2.genome.CDS.2479,group00180
bin_7_acI-B2.genome.CDS.2513,group01285
bin_7_acI-B2.genome.CDS.2274,group01284
bin_7_acI-B2.genome.CDS.2275,group02051
bin_7_acI-B2.genome.CDS.2276,group01936
bin_7_acI-B2.genome.CDS.2277,group02052
bin_7_acI-B2.genome.CDS.2270,group01135
bin_7_acI-B2.genome.CDS.2271,group00613
bin_7_acI-B2.genome.CDS.2272,group01254
bin_7_acI-B2.genome.CDS.2273,group01705
bin_7_acI-B2.genome.CDS.2278,group00628
bin_7_acI-B2.genome.CDS.2279,group01031
bin_7_acI-B2.genome.CDS.3019,group04919
bin_7_acI-B2.genome.CDS.3018,group02287
bin_7_acI-B2.genome.CDS.3013,group00840
bin_7_acI-B2.genome.CDS.3012,group00454
bin_7_acI-B2.genome.CDS.3011,group00384
bin_7_acI-B2.genome.CDS.3010,group01109
bin_7_acI-B2.genome.CDS.3017,group00398
bin_7_acI-B2.genome.CDS.3016,group01181
bin_7_acI-B2.genome.CDS.3015,group01201
bin_7_acI-B2.genome.CDS.3014,group01244
bin_7_acI-B2.genome.CDS.2380,group00308
bin_7_acI-B2.genome.CDS.2381,group02392
bin_7_acI-B2.genome.CDS.2382,group00353
bin_7_acI-B2.genome.CDS.2383,group00574
bin_7_acI-B2.genome.CDS.2384,group01063
bin_7_acI-B2.genome.CDS.2385,group00692
bin_7_acI-B2.genome.CDS.2386,group00839
bin_7_acI-B2.genome.CDS.2387,group00744
bin_7_acI-B2.genome.CDS.2388,group01261
bin_7_acI-B2.genome.CDS.2389,group00762
bin_7_acI-B2.genome.CDS.295,group02536
bin_7_acI-B2.genome.CDS.930,group02295
bin_7_acI-B2.genome.CDS.2498,group00790
bin_7_acI-B2.genome.CDS.2499,group01398
bin_7_acI-B2.genome.CDS.2494,group02717
bin_7_acI-B2.genome.CDS.2495,group00015
bin_7_acI-B2.genome.CDS.2496,group00777
bin_7_acI-B2.genome.CDS.2497,group04869
bin_7_acI-B2.genome.CDS.2490,group01638
bin_7_acI-B2.genome.CDS.2491,group01335
bin_7_acI-B2.genome.CDS.2492,group01925
bin_7_acI-B2.genome.CDS.2493,group00036
bin_7_acI-B2.genome.CDS.3707,group00588
bin_7_acI-B2.genome.CDS.3706,group00741
bin_7_acI-B2.genome.CDS.3705,group00466
bin_7_acI-B2.genome.CDS.3704,group00447
bin_7_acI-B2.genome.CDS.3703,group00465
bin_7_acI-B2.genome.CDS.3702,group00008
bin_7_acI-B2.genome.CDS.3701,group01169
bin_7_acI-B2.genome.CDS.2659,group00618
bin_7_acI-B2.genome.CDS.2656,group00594
bin_7_acI-B2.genome.CDS.2657,group00522
bin_7_acI-B2.genome.CDS.2654,group01088
bin_7_acI-B2.genome.CDS.2655,group00595
bin_7_acI-B2.genome.CDS.2652,group00328
bin_7_acI-B2.genome.CDS.2653,group00616
bin_7_acI-B2.genome.CDS.2650,group00611
bin_7_acI-B2.genome.CDS.3708,group00423
bin_7_acI-B2.genome.CDS.3112,group04926
bin_7_acI-B2.genome.CDS.2428,group01421
bin_7_acI-B2.genome.CDS.3633,group00206
bin_7_acI-B2.genome.CDS.3632,group04970
bin_7_acI-B2.genome.CDS.2728,group01641
bin_7_acI-B2.genome.CDS.2729,group00670
bin_7_acI-B2.genome.CDS.3637,group00333
bin_7_acI-B2.genome.CDS.3636,group00410
bin_7_acI-B2.genome.CDS.3635,group00718
bin_7_acI-B2.genome.CDS.3634,group00217
bin_7_acI-B2.genome.CDS.2722,group01302
bin_7_acI-B2.genome.CDS.2723,group00973
bin_7_acI-B2.genome.CDS.2720,group00017
bin_7_acI-B2.genome.CDS.2721,group00815
bin_7_acI-B2.genome.CDS.2726,group04887
bin_7_acI-B2.genome.CDS.2727,group01054
bin_7_acI-B2.genome.CDS.2724,group01432
bin_7_acI-B2.genome.CDS.2725,group02024
bin_7_acI-B2.genome.CDS.1090,group01635
