AAA023D18.genome.CDS.834,group00573
AAA023D18.genome.CDS.909,group01080
AAA023D18.genome.CDS.1509,group00960
AAA023D18.genome.CDS.1508,group00707
AAA023D18.genome.CDS.1507,group00709
AAA023D18.genome.CDS.1506,group00575
AAA023D18.genome.CDS.1505,group00825
AAA023D18.genome.CDS.1504,group01850
AAA023D18.genome.CDS.1503,group00212
AAA023D18.genome.CDS.1502,group00403
AAA023D18.genome.CDS.1501,group00180
AAA023D18.genome.CDS.1500,group03640
AAA023D18.genome.CDS.1392,group00237
AAA023D18.genome.CDS.864,group00560
AAA023D18.genome.CDS.1393,group00459
AAA023D18.genome.CDS.865,group00402
AAA023D18.genome.CDS.964,group00368
AAA023D18.genome.CDS.1390,group00279
AAA023D18.genome.CDS.1046,group00480
AAA023D18.genome.CDS.1159,group00723
AAA023D18.genome.CDS.1391,group00322
AAA023D18.genome.CDS.1049,group00484
AAA023D18.genome.CDS.900,group00015
AAA023D18.genome.CDS.784,group00528
AAA023D18.genome.CDS.903,group01346
AAA023D18.genome.CDS.758,group00570
AAA023D18.genome.CDS.902,group02290
AAA023D18.genome.CDS.1451,group00347
AAA023D18.genome.CDS.759,group00509
AAA023D18.genome.CDS.905,group00583
AAA023D18.genome.CDS.777,group00712
AAA023D18.genome.CDS.904,group01054
AAA023D18.genome.CDS.1253,group00849
AAA023D18.genome.CDS.907,group00869
AAA023D18.genome.CDS.1520,group00024
AAA023D18.genome.CDS.906,group00684
AAA023D18.genome.CDS.1398,group00442
AAA023D18.genome.CDS.1522,group01172
AAA023D18.genome.CDS.1219,group02106
AAA023D18.genome.CDS.762,group00625
AAA023D18.genome.CDS.1257,group00504
AAA023D18.genome.CDS.1351,group00250
AAA023D18.genome.CDS.1256,group00569
AAA023D18.genome.CDS.750,group01558
AAA023D18.genome.CDS.1112,group02894
AAA023D18.genome.CDS.1527,group01680
AAA023D18.genome.CDS.1216,group00505
AAA023D18.genome.CDS.1526,group00096
AAA023D18.genome.CDS.1016,group00071
AAA023D18.genome.CDS.754,group00011
AAA023D18.genome.CDS.775,group00954
AAA023D18.genome.CDS.1212,group00833
AAA023D18.genome.CDS.888,group00968
AAA023D18.genome.CDS.1211,group00743
AAA023D18.genome.CDS.1359,group00329
AAA023D18.genome.CDS.1459,group01001
AAA023D18.genome.CDS.1458,group00668
AAA023D18.genome.CDS.1076,group01009
AAA023D18.genome.CDS.1512,group03647
AAA023D18.genome.CDS.1513,group00179
AAA023D18.genome.CDS.761,group00624
AAA023D18.genome.CDS.773,group00510
AAA023D18.genome.CDS.889,group00990
AAA023D18.genome.CDS.763,group00341
AAA023D18.genome.CDS.862,group00767
AAA023D18.genome.CDS.863,group01140
AAA023D18.genome.CDS.860,group01120
AAA023D18.genome.CDS.861,group00805
AAA023D18.genome.CDS.866,group00435
AAA023D18.genome.CDS.867,group00868
AAA023D18.genome.CDS.1048,group00323
AAA023D18.genome.CDS.1102,group00809
AAA023D18.genome.CDS.901,group01311
AAA023D18.genome.CDS.1262,group01366
AAA023D18.genome.CDS.868,group03614
AAA023D18.genome.CDS.869,group00460
AAA023D18.genome.CDS.1042,group00879
AAA023D18.genome.CDS.1453,group01528
AAA023D18.genome.CDS.1040,group00492
AAA023D18.genome.CDS.1041,group00461
AAA023D18.genome.CDS.1100,group01285
AAA023D18.genome.CDS.1260,group01474
AAA023D18.genome.CDS.1107,group01107
AAA023D18.genome.CDS.1261,group00857
AAA023D18.genome.CDS.1092,group00603
AAA023D18.genome.CDS.1106,group00803
AAA023D18.genome.CDS.1266,group00558
AAA023D18.genome.CDS.760,group00231
AAA023D18.genome.CDS.1264,group00786
AAA023D18.genome.CDS.1265,group00557
AAA023D18.genome.CDS.765,group00161
AAA023D18.genome.CDS.1105,group00997
AAA023D18.genome.CDS.767,group00232
AAA023D18.genome.CDS.1148,group03641
AAA023D18.genome.CDS.1147,group00411
AAA023D18.genome.CDS.881,group00602
AAA023D18.genome.CDS.1145,group00399
AAA023D18.genome.CDS.1104,group00473
AAA023D18.genome.CDS.884,group00069
AAA023D18.genome.CDS.885,group00264
AAA023D18.genome.CDS.1141,group00937
AAA023D18.genome.CDS.887,group02019
AAA023D18.genome.CDS.1460,group02015
AAA023D18.genome.CDS.1461,group03628
AAA023D18.genome.CDS.1462,group01005
AAA023D18.genome.CDS.1463,group01138
AAA023D18.genome.CDS.1464,group01056
AAA023D18.genome.CDS.1465,group01384
AAA023D18.genome.CDS.1466,group01054
AAA023D18.genome.CDS.1467,group00262
AAA023D18.genome.CDS.1468,group00028
AAA023D18.genome.CDS.1469,group00452
AAA023D18.genome.CDS.1142,group00167
AAA023D18.genome.CDS.1549,group00928
AAA023D18.genome.CDS.1548,group00115
AAA023D18.genome.CDS.1268,group00755
AAA023D18.genome.CDS.1406,group00735
AAA023D18.genome.CDS.1543,group00568
AAA023D18.genome.CDS.1542,group00443
AAA023D18.genome.CDS.1541,group00212
AAA023D18.genome.CDS.1540,group03654
AAA023D18.genome.CDS.1547,group00122
AAA023D18.genome.CDS.1546,group02090
AAA023D18.genome.CDS.1545,group03656
AAA023D18.genome.CDS.1544,group03655
AAA023D18.genome.CDS.248,group03633
AAA023D18.genome.CDS.1267,group01300
AAA023D18.genome.CDS.1318,group00276
AAA023D18.genome.CDS.1319,group00677
AAA023D18.genome.CDS.1407,group00475
AAA023D18.genome.CDS.1312,group00047
AAA023D18.genome.CDS.1311,group00189
AAA023D18.genome.CDS.1316,group00064
AAA023D18.genome.CDS.1317,group00962
AAA023D18.genome.CDS.1314,group00068
AAA023D18.genome.CDS.1381,group00596
AAA023D18.genome.CDS.1380,group03625
AAA023D18.genome.CDS.1383,group00774
AAA023D18.genome.CDS.1382,group00734
AAA023D18.genome.CDS.1385,group00521
AAA023D18.genome.CDS.1384,group00689
AAA023D18.genome.CDS.1387,group00128
AAA023D18.genome.CDS.1386,group01027
AAA023D18.genome.CDS.1389,group00924
AAA023D18.genome.CDS.1388,group00128
AAA023D18.genome.CDS.1217,group02750
AAA023D18.genome.CDS.782,group01037
AAA023D18.genome.CDS.1077,group00439
AAA023D18.genome.CDS.1047,group00138
AAA023D18.genome.CDS.1131,group00191
AAA023D18.genome.CDS.1405,group00343
AAA023D18.genome.CDS.1023,group01590
AAA023D18.genome.CDS.1433,group00892
AAA023D18.genome.CDS.769,group00966
AAA023D18.genome.CDS.1402,group00784
AAA023D18.genome.CDS.826,group00281
AAA023D18.genome.CDS.827,group00214
AAA023D18.genome.CDS.1263,group00816
AAA023D18.genome.CDS.824,group00174
AAA023D18.genome.CDS.825,group01017
AAA023D18.genome.CDS.1431,group00875
AAA023D18.genome.CDS.1006,group01495
AAA023D18.genome.CDS.823,group00285
AAA023D18.genome.CDS.1004,group00468
AAA023D18.genome.CDS.980,group00854
AAA023D18.genome.CDS.821,group00074
AAA023D18.genome.CDS.945,group02058
AAA023D18.genome.CDS.944,group00687
AAA023D18.genome.CDS.947,group01058
AAA023D18.genome.CDS.946,group01500
AAA023D18.genome.CDS.941,group00036
AAA023D18.genome.CDS.940,group01686
AAA023D18.genome.CDS.943,group00795
AAA023D18.genome.CDS.942,group02902
AAA023D18.genome.CDS.949,group00536
AAA023D18.genome.CDS.948,group01774
AAA023D18.genome.CDS.1401,group00176
AAA023D18.genome.CDS.1437,group00771
AAA023D18.genome.CDS.1044,group00133
AAA023D18.genome.CDS.339,group01356
AAA023D18.genome.CDS.1037,group00445
AAA023D18.genome.CDS.1036,group00268
AAA023D18.genome.CDS.932,group00434
AAA023D18.genome.CDS.933,group00787
AAA023D18.genome.CDS.1033,group00720
AAA023D18.genome.CDS.935,group01485
AAA023D18.genome.CDS.936,group00859
AAA023D18.genome.CDS.937,group00036
AAA023D18.genome.CDS.938,group01131
AAA023D18.genome.CDS.939,group00000
AAA023D18.genome.CDS.1039,group00404
AAA023D18.genome.CDS.1436,group00557
AAA023D18.genome.CDS.839,group00203
AAA023D18.genome.CDS.838,group00794
AAA023D18.genome.CDS.1428,group00526
AAA023D18.genome.CDS.1429,group00665
AAA023D18.genome.CDS.831,group00438
AAA023D18.genome.CDS.830,group00216
AAA023D18.genome.CDS.1426,group00376
AAA023D18.genome.CDS.832,group00863
AAA023D18.genome.CDS.1420,group00227
AAA023D18.genome.CDS.1421,group00297
AAA023D18.genome.CDS.837,group00696
AAA023D18.genome.CDS.1423,group00296
AAA023D18.genome.CDS.1103,group00648
AAA023D18.genome.CDS.1356,group00225
AAA023D18.genome.CDS.1357,group00240
AAA023D18.genome.CDS.1354,group00245
AAA023D18.genome.CDS.1355,group00437
AAA023D18.genome.CDS.1352,group01097
AAA023D18.genome.CDS.1353,group02862
AAA023D18.genome.CDS.1350,group00219
AAA023D18.genome.CDS.1218,group02138
AAA023D18.genome.CDS.1078,group00386
AAA023D18.genome.CDS.1399,group00753
AAA023D18.genome.CDS.1215,group00500
AAA023D18.genome.CDS.1214,group01095
AAA023D18.genome.CDS.1213,group01137
AAA023D18.genome.CDS.755,group00636
AAA023D18.genome.CDS.1358,group00027
AAA023D18.genome.CDS.1210,group00688
AAA023D18.genome.CDS.1510,group02182
AAA023D18.genome.CDS.1511,group01172
AAA023D18.genome.CDS.1109,group03645
AAA023D18.genome.CDS.1108,group03646
AAA023D18.genome.CDS.1514,group00822
AAA023D18.genome.CDS.1516,group00197
AAA023D18.genome.CDS.1517,group03648
AAA023D18.genome.CDS.1518,group00238
AAA023D18.genome.CDS.1519,group00913
AAA023D18.genome.CDS.1101,group00950
AAA023D18.genome.CDS.1452,group00658
AAA023D18.genome.CDS.1455,group03627
AAA023D18.genome.CDS.1454,group00242
AAA023D18.genome.CDS.1457,group01247
AAA023D18.genome.CDS.1456,group00029
AAA023D18.genome.CDS.1435,group03626
AAA023D18.genome.CDS.919,group01542
AAA023D18.genome.CDS.1059,group00235
AAA023D18.genome.CDS.1191,group01149
AAA023D18.genome.CDS.1146,group00369
AAA023D18.genome.CDS.1192,group01012
AAA023D18.genome.CDS.1193,group00984
AAA023D18.genome.CDS.1055,group00261
AAA023D18.genome.CDS.1054,group00031
AAA023D18.genome.CDS.997,group03634
AAA023D18.genome.CDS.1057,group00719
AAA023D18.genome.CDS.854,group03619
AAA023D18.genome.CDS.853,group03620
AAA023D18.genome.CDS.1228,group00301
AAA023D18.genome.CDS.852,group03621
AAA023D18.genome.CDS.1229,group00051
AAA023D18.genome.CDS.1269,group00945
AAA023D18.genome.CDS.1053,group00405
AAA023D18.genome.CDS.1052,group00989
AAA023D18.genome.CDS.1144,group01184
AAA023D18.genome.CDS.786,group00739
AAA023D18.genome.CDS.1170,group00114
AAA023D18.genome.CDS.1143,group01230
AAA023D18.genome.CDS.1226,group01437
AAA023D18.genome.CDS.1227,group00177
AAA023D18.genome.CDS.1073,group00004
AAA023D18.genome.CDS.874,group00790
AAA023D18.genome.CDS.877,group00775
AAA023D18.genome.CDS.1070,group00141
AAA023D18.genome.CDS.978,group01902
AAA023D18.genome.CDS.979,group01073
AAA023D18.genome.CDS.1075,group00634
AAA023D18.genome.CDS.1074,group00516
AAA023D18.genome.CDS.974,group01514
AAA023D18.genome.CDS.975,group01414
AAA023D18.genome.CDS.1079,group00139
AAA023D18.genome.CDS.977,group01404
AAA023D18.genome.CDS.879,group01526
AAA023D18.genome.CDS.878,group00845
AAA023D18.genome.CDS.972,group01668
AAA023D18.genome.CDS.973,group00842
AAA023D18.genome.CDS.969,group02438
AAA023D18.genome.CDS.968,group00116
AAA023D18.genome.CDS.1099,group01460
AAA023D18.genome.CDS.1151,group00165
AAA023D18.genome.CDS.899,group01938
AAA023D18.genome.CDS.1153,group00045
AAA023D18.genome.CDS.1154,group00637
AAA023D18.genome.CDS.1155,group01031
AAA023D18.genome.CDS.1156,group00581
AAA023D18.genome.CDS.1157,group00525
AAA023D18.genome.CDS.1158,group00698
AAA023D18.genome.CDS.1090,group00694
AAA023D18.genome.CDS.1093,group01336
AAA023D18.genome.CDS.890,group01652
AAA023D18.genome.CDS.1095,group01245
AAA023D18.genome.CDS.896,group01490
AAA023D18.genome.CDS.895,group01136
AAA023D18.genome.CDS.1096,group00044
AAA023D18.genome.CDS.800,group00001
AAA023D18.genome.CDS.801,group00003
AAA023D18.genome.CDS.1417,group00340
AAA023D18.genome.CDS.1416,group00638
AAA023D18.genome.CDS.1411,group01141
AAA023D18.genome.CDS.1410,group00705
AAA023D18.genome.CDS.1413,group01455
AAA023D18.genome.CDS.1412,group00977
AAA023D18.genome.CDS.471,group02217
AAA023D18.genome.CDS.809,group00494
AAA023D18.genome.CDS.1419,group00011
AAA023D18.genome.CDS.474,group00725
AAA023D18.genome.CDS.962,group00230
AAA023D18.genome.CDS.1179,group00060
AAA023D18.genome.CDS.1140,group00108
AAA023D18.genome.CDS.1550,group00071
AAA023D18.genome.CDS.778,group00009
AAA023D18.genome.CDS.1272,group01669
AAA023D18.genome.CDS.991,group03635
AAA023D18.genome.CDS.1299,group00889
AAA023D18.genome.CDS.776,group00014
AAA023D18.genome.CDS.1329,group00692
AAA023D18.genome.CDS.1328,group00888
AAA023D18.genome.CDS.1327,group00025
AAA023D18.genome.CDS.1326,group01029
AAA023D18.genome.CDS.1325,group00370
AAA023D18.genome.CDS.1324,group00277
AAA023D18.genome.CDS.1323,group00355
AAA023D18.genome.CDS.1322,group00864
AAA023D18.genome.CDS.1321,group00998
AAA023D18.genome.CDS.1320,group00703
AAA023D18.genome.CDS.1529,group01025
AAA023D18.genome.CDS.1528,group00242
AAA023D18.genome.CDS.1259,group00266
AAA023D18.genome.CDS.1258,group00043
AAA023D18.genome.CDS.1396,group00251
AAA023D18.genome.CDS.1397,group00372
AAA023D18.genome.CDS.1394,group00220
AAA023D18.genome.CDS.1395,group00287
AAA023D18.genome.CDS.1521,group03649
AAA023D18.genome.CDS.1252,group00007
AAA023D18.genome.CDS.1523,group03650
AAA023D18.genome.CDS.1250,group00690
AAA023D18.genome.CDS.1525,group00611
AAA023D18.genome.CDS.1524,group00033
AAA023D18.genome.CDS.1255,group01059
AAA023D18.genome.CDS.1254,group00796
AAA023D18.genome.CDS.1174,group00750
AAA023D18.genome.CDS.1175,group01086
AAA023D18.genome.CDS.803,group00520
AAA023D18.genome.CDS.1189,group00289
AAA023D18.genome.CDS.1127,group00503
AAA023D18.genome.CDS.1126,group00759
AAA023D18.genome.CDS.893,group01015
AAA023D18.genome.CDS.805,group00517
AAA023D18.genome.CDS.87,group00140
AAA023D18.genome.CDS.1122,group03642
AAA023D18.genome.CDS.1472,group03629
AAA023D18.genome.CDS.892,group01193
AAA023D18.genome.CDS.883,group01187
AAA023D18.genome.CDS.1289,group00387
AAA023D18.genome.CDS.1129,group00254
AAA023D18.genome.CDS.1087,group00320
AAA023D18.genome.CDS.807,group00874
AAA023D18.genome.CDS.1011,group03631
AAA023D18.genome.CDS.875,group00959
AAA023D18.genome.CDS.812,group00008
AAA023D18.genome.CDS.1198,group00282
AAA023D18.genome.CDS.1404,group00620
AAA023D18.genome.CDS.1012,group03630
AAA023D18.genome.CDS.998,group01034
AAA023D18.genome.CDS.999,group01033
AAA023D18.genome.CDS.996,group02042
AAA023D18.genome.CDS.1015,group00787
AAA023D18.genome.CDS.994,group01620
AAA023D18.genome.CDS.995,group01914
AAA023D18.genome.CDS.992,group02436
AAA023D18.genome.CDS.993,group01394
AAA023D18.genome.CDS.990,group02903
AAA023D18.genome.CDS.1403,group00798
AAA023D18.genome.CDS.923,group01060
AAA023D18.genome.CDS.922,group01200
AAA023D18.genome.CDS.921,group01108
AAA023D18.genome.CDS.920,group01210
AAA023D18.genome.CDS.927,group00356
AAA023D18.genome.CDS.815,group00209
AAA023D18.genome.CDS.925,group00000
AAA023D18.genome.CDS.924,group01350
AAA023D18.genome.CDS.534,group03657
AAA023D18.genome.CDS.929,group01303
AAA023D18.genome.CDS.928,group01364
AAA023D18.genome.CDS.1183,group00612
AAA023D18.genome.CDS.1182,group00002
AAA023D18.genome.CDS.1181,group00215
AAA023D18.genome.CDS.1180,group00057
AAA023D18.genome.CDS.1187,group00325
AAA023D18.genome.CDS.1186,group00495
AAA023D18.genome.CDS.1185,group00007
AAA023D18.genome.CDS.1184,group00938
AAA023D18.genome.CDS.1020,group01527
AAA023D18.genome.CDS.1021,group01793
AAA023D18.genome.CDS.1022,group01978
AAA023D18.genome.CDS.1188,group00006
AAA023D18.genome.CDS.840,group00026
AAA023D18.genome.CDS.1025,group00543
AAA023D18.genome.CDS.842,group00228
AAA023D18.genome.CDS.843,group00221
AAA023D18.genome.CDS.1097,group01408
AAA023D18.genome.CDS.1169,group00049
AAA023D18.genome.CDS.1168,group00010
AAA023D18.genome.CDS.1202,group00619
AAA023D18.genome.CDS.1203,group00618
AAA023D18.genome.CDS.1204,group00610
AAA023D18.genome.CDS.1205,group00522
AAA023D18.genome.CDS.1206,group00594
AAA023D18.genome.CDS.1207,group00595
AAA023D18.genome.CDS.1208,group00616
AAA023D18.genome.CDS.1160,group00644
AAA023D18.genome.CDS.741,group00615
AAA023D18.genome.CDS.1162,group00822
AAA023D18.genome.CDS.1165,group00662
AAA023D18.genome.CDS.1164,group00763
AAA023D18.genome.CDS.1167,group00541
AAA023D18.genome.CDS.1166,group00540
AAA023D18.genome.CDS.282,group02899
AAA023D18.genome.CDS.1296,group00420
AAA023D18.genome.CDS.1448,group01669
AAA023D18.genome.CDS.1294,group00359
AAA023D18.genome.CDS.1293,group00315
AAA023D18.genome.CDS.1292,group00358
AAA023D18.genome.CDS.1291,group00448
AAA023D18.genome.CDS.1290,group00449
AAA023D18.genome.CDS.1442,group00792
AAA023D18.genome.CDS.1443,group00037
AAA023D18.genome.CDS.1440,group00669
AAA023D18.genome.CDS.1117,group02895
AAA023D18.genome.CDS.1446,group00613
AAA023D18.genome.CDS.1111,group02893
AAA023D18.genome.CDS.1444,group00337
AAA023D18.genome.CDS.1113,group02243
AAA023D18.genome.CDS.1445,group01030
AAA023D18.genome.CDS.1045,group00830
AAA023D18.genome.CDS.894,group01675
AAA023D18.genome.CDS.106,group03617
AAA023D18.genome.CDS.108,group03615
AAA023D18.genome.CDS.926,group01545
AAA023D18.genome.CDS.1369,group00396
AAA023D18.genome.CDS.1368,group00955
AAA023D18.genome.CDS.1363,group00234
AAA023D18.genome.CDS.1362,group00305
AAA023D18.genome.CDS.1361,group00587
AAA023D18.genome.CDS.1367,group00817
AAA023D18.genome.CDS.1366,group00978
AAA023D18.genome.CDS.1365,group01028
AAA023D18.genome.CDS.1364,group00135
AAA023D18.genome.CDS.793,group00733
AAA023D18.genome.CDS.1279,group00083
AAA023D18.genome.CDS.1072,group00016
AAA023D18.genome.CDS.1026,group01032
AAA023D18.genome.CDS.1028,group00256
AAA023D18.genome.CDS.1278,group00265
AAA023D18.genome.CDS.1029,group00519
AAA023D18.genome.CDS.1173,group00455
AAA023D18.genome.CDS.848,group00524
AAA023D18.genome.CDS.849,group02838
AAA023D18.genome.CDS.1499,group00766
AAA023D18.genome.CDS.1498,group00260
AAA023D18.genome.CDS.1495,group01092
AAA023D18.genome.CDS.1494,group00851
AAA023D18.genome.CDS.1497,group03639
AAA023D18.genome.CDS.1496,group01046
AAA023D18.genome.CDS.1491,group00672
AAA023D18.genome.CDS.1490,group00664
AAA023D18.genome.CDS.1493,group00070
AAA023D18.genome.CDS.1492,group00876
AAA023D18.genome.CDS.563,group00047
AAA023D18.genome.CDS.844,group00153
AAA023D18.genome.CDS.560,group00476
AAA023D18.genome.CDS.845,group00713
AAA023D18.genome.CDS.846,group00661
AAA023D18.genome.CDS.1330,group01063
AAA023D18.genome.CDS.847,group00112
AAA023D18.genome.CDS.1331,group00574
AAA023D18.genome.CDS.1024,group01873
AAA023D18.genome.CDS.1064,group00488
AAA023D18.genome.CDS.1065,group00364
AAA023D18.genome.CDS.1066,group00080
AAA023D18.genome.CDS.1067,group00291
AAA023D18.genome.CDS.1060,group00414
AAA023D18.genome.CDS.1061,group00413
AAA023D18.genome.CDS.1062,group00823
AAA023D18.genome.CDS.1063,group00856
AAA023D18.genome.CDS.967,group00639
AAA023D18.genome.CDS.966,group00645
AAA023D18.genome.CDS.965,group00401
AAA023D18.genome.CDS.1027,group00593
AAA023D18.genome.CDS.963,group01238
AAA023D18.genome.CDS.1069,group00379
AAA023D18.genome.CDS.961,group00365
AAA023D18.genome.CDS.960,group00105
AAA023D18.genome.CDS.1251,group00947
AAA023D18.genome.CDS.1176,group00226
AAA023D18.genome.CDS.1125,group01096
AAA023D18.genome.CDS.1124,group01315
AAA023D18.genome.CDS.1088,group00184
AAA023D18.genome.CDS.1089,group00030
AAA023D18.genome.CDS.1121,group02450
AAA023D18.genome.CDS.1120,group03643
AAA023D18.genome.CDS.1339,group03659
AAA023D18.genome.CDS.1082,group00410
AAA023D18.genome.CDS.1083,group00718
AAA023D18.genome.CDS.1080,group00050
AAA023D18.genome.CDS.1081,group00333
AAA023D18.genome.CDS.1086,group00206
AAA023D18.genome.CDS.1128,group00094
AAA023D18.genome.CDS.1084,group01014
AAA023D18.genome.CDS.1085,group00217
AAA023D18.genome.CDS.813,group00171
AAA023D18.genome.CDS.1010,group02171
AAA023D18.genome.CDS.811,group00298
AAA023D18.genome.CDS.810,group00462
AAA023D18.genome.CDS.817,group00087
AAA023D18.genome.CDS.816,group00103
AAA023D18.genome.CDS.1400,group00979
AAA023D18.genome.CDS.814,group00511
AAA023D18.genome.CDS.1019,group01979
AAA023D18.genome.CDS.1018,group00183
AAA023D18.genome.CDS.819,group00946
AAA023D18.genome.CDS.818,group00039
AAA023D18.genome.CDS.1071,group00737
AAA023D18.genome.CDS.1408,group00704
AAA023D18.genome.CDS.1409,group00810
AAA023D18.genome.CDS.876,group00732
AAA023D18.genome.CDS.798,group02900
AAA023D18.genome.CDS.799,group02901
AAA023D18.genome.CDS.794,group00469
AAA023D18.genome.CDS.795,group00427
AAA023D18.genome.CDS.796,group00635
AAA023D18.genome.CDS.797,group00002
AAA023D18.genome.CDS.790,group00686
AAA023D18.genome.CDS.791,group00490
AAA023D18.genome.CDS.792,group00489
AAA023D18.genome.CDS.870,group00440
AAA023D18.genome.CDS.224,group01327
AAA023D18.genome.CDS.766,group00562
AAA023D18.genome.CDS.873,group01043
AAA023D18.genome.CDS.1338,group01930
AAA023D18.genome.CDS.872,group00367
AAA023D18.genome.CDS.1239,group01166
AAA023D18.genome.CDS.1238,group00865
AAA023D18.genome.CDS.1332,group00353
AAA023D18.genome.CDS.1333,group00308
AAA023D18.genome.CDS.1334,group01930
AAA023D18.genome.CDS.1335,group03661
AAA023D18.genome.CDS.1336,group03660
AAA023D18.genome.CDS.1231,group00552
AAA023D18.genome.CDS.1230,group01162
AAA023D18.genome.CDS.1233,group00582
AAA023D18.genome.CDS.1232,group00035
AAA023D18.genome.CDS.1235,group01163
AAA023D18.genome.CDS.1234,group00400
AAA023D18.genome.CDS.1237,group00302
AAA023D18.genome.CDS.1236,group00178
AAA023D18.genome.CDS.756,group00056
AAA023D18.genome.CDS.1200,group00523
AAA023D18.genome.CDS.1538,group02588
AAA023D18.genome.CDS.1539,group00991
AAA023D18.genome.CDS.1248,group01038
AAA023D18.genome.CDS.1249,group00641
AAA023D18.genome.CDS.1201,group00580
AAA023D18.genome.CDS.1244,group01841
AAA023D18.genome.CDS.1533,group03652
AAA023D18.genome.CDS.1246,group01564
AAA023D18.genome.CDS.1531,group03651
AAA023D18.genome.CDS.1536,group00319
AAA023D18.genome.CDS.1241,group00670
AAA023D18.genome.CDS.1534,group03653
AAA023D18.genome.CDS.1243,group00988
AAA023D18.genome.CDS.1532,group00964
AAA023D18.genome.CDS.1013,group00010
AAA023D18.genome.CDS.1245,group01682
AAA023D18.genome.CDS.1530,group02898
AAA023D18.genome.CDS.757,group00542
AAA023D18.genome.CDS.768,group00814
AAA023D18.genome.CDS.1247,group01842
AAA023D18.genome.CDS.1240,group01683
AAA023D18.genome.CDS.134,group03613
AAA023D18.genome.CDS.1537,group00921
AAA023D18.genome.CDS.1161,group00005
AAA023D18.genome.CDS.1242,group02359
AAA023D18.genome.CDS.1209,group00328
AAA023D18.genome.CDS.1535,group00603
AAA023D18.genome.CDS.1163,group00615
AAA023D18.genome.CDS.970,group00939
AAA023D18.genome.CDS.1297,group00233
AAA023D18.genome.CDS.971,group00922
AAA023D18.genome.CDS.96,group03624
AAA023D18.genome.CDS.1014,group02095
AAA023D18.genome.CDS.1449,group00345
AAA023D18.genome.CDS.1178,group00152
AAA023D18.genome.CDS.871,group00288
AAA023D18.genome.CDS.1118,group00363
AAA023D18.genome.CDS.1119,group03644
AAA023D18.genome.CDS.1150,group00054
AAA023D18.genome.CDS.880,group00623
