AAA278O22.genome.CDS.1833,group00711
AAA278O22.genome.CDS.2067,group04269
AAA278O22.genome.CDS.2066,group00886
AAA278O22.genome.CDS.2065,group00712
AAA278O22.genome.CDS.2064,group01075
AAA278O22.genome.CDS.2188,group00398
AAA278O22.genome.CDS.2189,group00248
AAA278O22.genome.CDS.2061,group00273
AAA278O22.genome.CDS.2060,group00208
AAA278O22.genome.CDS.2184,group01109
AAA278O22.genome.CDS.1930,group00795
AAA278O22.genome.CDS.2186,group00454
AAA278O22.genome.CDS.2187,group00840
AAA278O22.genome.CDS.2180,group00846
AAA278O22.genome.CDS.2181,group01421
AAA278O22.genome.CDS.2069,group00883
AAA278O22.genome.CDS.2068,group00789
AAA278O22.genome.CDS.2113,group01563
AAA278O22.genome.CDS.2112,group01562
AAA278O22.genome.CDS.2111,group01713
AAA278O22.genome.CDS.2117,group01679
AAA278O22.genome.CDS.2116,group01336
AAA278O22.genome.CDS.2115,group01375
AAA278O22.genome.CDS.2114,group01501
AAA278O22.genome.CDS.968,group00382
AAA278O22.genome.CDS.2119,group00657
AAA278O22.genome.CDS.1933,group00628
AAA278O22.genome.CDS.1645,group01843
AAA278O22.genome.CDS.1873,group00282
AAA278O22.genome.CDS.686,group00071
AAA278O22.genome.CDS.199,group01314
AAA278O22.genome.CDS.334,group00125
AAA278O22.genome.CDS.1783,group01902
AAA278O22.genome.CDS.336,group00166
AAA278O22.genome.CDS.1304,group00432
AAA278O22.genome.CDS.1303,group00734
AAA278O22.genome.CDS.1302,group00596
AAA278O22.genome.CDS.1738,group00827
AAA278O22.genome.CDS.1300,group01211
AAA278O22.genome.CDS.1736,group00568
AAA278O22.genome.CDS.1737,group00003
AAA278O22.genome.CDS.1734,group00001
AAA278O22.genome.CDS.1735,group01932
AAA278O22.genome.CDS.1732,group00052
AAA278O22.genome.CDS.1837,group00302
AAA278O22.genome.CDS.1309,group01027
AAA278O22.genome.CDS.1874,group00457
AAA278O22.genome.CDS.1429,group00959
AAA278O22.genome.CDS.1938,group01681
AAA278O22.genome.CDS.1281,group00055
AAA278O22.genome.CDS.1830,group00559
AAA278O22.genome.CDS.1941,group01456
AAA278O22.genome.CDS.1940,group01364
AAA278O22.genome.CDS.1943,group00787
AAA278O22.genome.CDS.1942,group00010
AAA278O22.genome.CDS.1945,group00656
AAA278O22.genome.CDS.1944,group00207
AAA278O22.genome.CDS.1947,group00061
AAA278O22.genome.CDS.1946,group00187
AAA278O22.genome.CDS.1949,group00083
AAA278O22.genome.CDS.1948,group00265
AAA278O22.genome.CDS.1495,group00120
AAA278O22.genome.CDS.1832,group01441
AAA278O22.genome.CDS.1493,group00040
AAA278O22.genome.CDS.1492,group00336
AAA278O22.genome.CDS.1491,group00601
AAA278O22.genome.CDS.1490,group00772
AAA278O22.genome.CDS.1422,group01805
AAA278O22.genome.CDS.1423,group00460
AAA278O22.genome.CDS.1936,group01554
AAA278O22.genome.CDS.1421,group02181
AAA278O22.genome.CDS.1839,group01209
AAA278O22.genome.CDS.1838,group00865
AAA278O22.genome.CDS.1424,group00440
AAA278O22.genome.CDS.1397,group04238
AAA278O22.genome.CDS.1835,group01186
AAA278O22.genome.CDS.1399,group01774
AAA278O22.genome.CDS.1428,group00790
AAA278O22.genome.CDS.1836,group00178
AAA278O22.genome.CDS.1831,group01142
AAA278O22.genome.CDS.1786,group01354
AAA278O22.genome.CDS.1785,group01404
AAA278O22.genome.CDS.1784,group01073
AAA278O22.genome.CDS.972,group00621
AAA278O22.genome.CDS.1549,group00240
AAA278O22.genome.CDS.1548,group00225
AAA278O22.genome.CDS.1545,group04248
AAA278O22.genome.CDS.1544,group00245
AAA278O22.genome.CDS.1547,group00437
AAA278O22.genome.CDS.1546,group02144
AAA278O22.genome.CDS.1541,group00160
AAA278O22.genome.CDS.1540,group00159
AAA278O22.genome.CDS.1609,group01292
AAA278O22.genome.CDS.1542,group00219
AAA278O22.genome.CDS.1772,group00000
AAA278O22.genome.CDS.740,group00847
AAA278O22.genome.CDS.1805,group00111
AAA278O22.genome.CDS.1294,group01119
AAA278O22.genome.CDS.1950,group00053
AAA278O22.genome.CDS.1770,group00935
AAA278O22.genome.CDS.1909,group00709
AAA278O22.genome.CDS.1807,group00190
AAA278O22.genome.CDS.1194,group01233
AAA278O22.genome.CDS.1776,group01034
AAA278O22.genome.CDS.1777,group00536
AAA278O22.genome.CDS.1646,group04261
AAA278O22.genome.CDS.1647,group04260
AAA278O22.genome.CDS.2249,group00103
AAA278O22.genome.CDS.2248,group00209
AAA278O22.genome.CDS.1642,group04263
AAA278O22.genome.CDS.2018,group00377
AAA278O22.genome.CDS.1169,group01164
AAA278O22.genome.CDS.1168,group00223
AAA278O22.genome.CDS.1167,group00241
AAA278O22.genome.CDS.2242,group00494
AAA278O22.genome.CDS.1165,group00906
AAA278O22.genome.CDS.1803,group00066
AAA278O22.genome.CDS.2247,group00511
AAA278O22.genome.CDS.1782,group00294
AAA278O22.genome.CDS.2245,group00008
AAA278O22.genome.CDS.2244,group00298
AAA278O22.genome.CDS.2051,group00882
AAA278O22.genome.CDS.1394,group04241
AAA278O22.genome.CDS.1543,group00250
AAA278O22.genome.CDS.1778,group01558
AAA278O22.genome.CDS.2183,group00940
AAA278O22.genome.CDS.2057,group00976
AAA278O22.genome.CDS.2346,group00050
AAA278O22.genome.CDS.1779,group01620
AAA278O22.genome.CDS.1518,group00717
AAA278O22.genome.CDS.1956,group00137
AAA278O22.genome.CDS.2012,group00162
AAA278O22.genome.CDS.1979,group00565
AAA278O22.genome.CDS.1295,group00774
AAA278O22.genome.CDS.1809,group00116
AAA278O22.genome.CDS.1321,group00346
AAA278O22.genome.CDS.2058,group00095
AAA278O22.genome.CDS.1937,group02094
AAA278O22.genome.CDS.2190,group00985
AAA278O22.genome.CDS.1957,group00348
AAA278O22.genome.CDS.1640,group00528
AAA278O22.genome.CDS.2196,group00115
AAA278O22.genome.CDS.1365,group01308
AAA278O22.genome.CDS.1320,group00347
AAA278O22.genome.CDS.1479,group00327
AAA278O22.genome.CDS.1478,group00033
AAA278O22.genome.CDS.1268,group00272
AAA278O22.genome.CDS.1342,group00728
AAA278O22.genome.CDS.1341,group00770
AAA278O22.genome.CDS.1340,group01036
AAA278O22.genome.CDS.1347,group00181
AAA278O22.genome.CDS.1346,group01314
AAA278O22.genome.CDS.1345,group00671
AAA278O22.genome.CDS.1344,group01223
AAA278O22.genome.CDS.1260,group00603
AAA278O22.genome.CDS.1349,group01389
AAA278O22.genome.CDS.1263,group00403
AAA278O22.genome.CDS.1264,group00212
AAA278O22.genome.CDS.1265,group01449
AAA278O22.genome.CDS.1266,group02452
AAA278O22.genome.CDS.1267,group00443
AAA278O22.genome.CDS.1842,group00051
AAA278O22.genome.CDS.874,group00875
AAA278O22.genome.CDS.2310,group00215
AAA278O22.genome.CDS.1157,group00307
AAA278O22.genome.CDS.1955,group00058
AAA278O22.genome.CDS.1639,group00686
AAA278O22.genome.CDS.1775,group01033
AAA278O22.genome.CDS.1733,group02353
AAA278O22.genome.CDS.1578,group01184
AAA278O22.genome.CDS.1898,group00873
AAA278O22.genome.CDS.1174,group00869
AAA278O22.genome.CDS.1579,group01230
AAA278O22.genome.CDS.881,group00376
AAA278O22.genome.CDS.1198,group01252
AAA278O22.genome.CDS.1199,group01176
AAA278O22.genome.CDS.1196,group01709
AAA278O22.genome.CDS.1197,group00674
AAA278O22.genome.CDS.1395,group04240
AAA278O22.genome.CDS.1195,group01355
AAA278O22.genome.CDS.1192,group00653
AAA278O22.genome.CDS.1193,group01288
AAA278O22.genome.CDS.1190,group01413
AAA278O22.genome.CDS.1191,group01516
AAA278O22.genome.CDS.1862,group00006
AAA278O22.genome.CDS.1863,group00289
AAA278O22.genome.CDS.1860,group00325
AAA278O22.genome.CDS.1861,group00006
AAA278O22.genome.CDS.1866,group01012
AAA278O22.genome.CDS.1867,group00984
AAA278O22.genome.CDS.1864,group01123
AAA278O22.genome.CDS.1865,group01149
AAA278O22.genome.CDS.1219,group01803
AAA278O22.genome.CDS.98,group04227
AAA278O22.genome.CDS.1869,group00004
AAA278O22.genome.CDS.1596,group00019
AAA278O22.genome.CDS.1351,group00524
AAA278O22.genome.CDS.2023,group00332
AAA278O22.genome.CDS.1332,group00234
AAA278O22.genome.CDS.1745,group00472
AAA278O22.genome.CDS.1296,group00914
AAA278O22.genome.CDS.1743,group01072
AAA278O22.genome.CDS.2026,group00880
AAA278O22.genome.CDS.2025,group00441
AAA278O22.genome.CDS.1740,group00022
AAA278O22.genome.CDS.2140,group00059
AAA278O22.genome.CDS.2141,group00158
AAA278O22.genome.CDS.2029,group00697
AAA278O22.genome.CDS.2143,group00121
AAA278O22.genome.CDS.1299,group00259
AAA278O22.genome.CDS.1298,group01055
AAA278O22.genome.CDS.2146,group01248
AAA278O22.genome.CDS.1748,group00005
AAA278O22.genome.CDS.342,group00878
AAA278O22.genome.CDS.1715,group00569
AAA278O22.genome.CDS.1468,group01517
AAA278O22.genome.CDS.1469,group00510
AAA278O22.genome.CDS.1466,group01470
AAA278O22.genome.CDS.1336,group02048
AAA278O22.genome.CDS.1464,group01549
AAA278O22.genome.CDS.1465,group01442
AAA278O22.genome.CDS.1462,group00729
AAA278O22.genome.CDS.1460,group02911
AAA278O22.genome.CDS.1337,group01701
AAA278O22.genome.CDS.1996,group00008
AAA278O22.genome.CDS.1997,group00465
AAA278O22.genome.CDS.1994,group00446
AAA278O22.genome.CDS.1995,group01169
AAA278O22.genome.CDS.1992,group00304
AAA278O22.genome.CDS.1993,group00344
AAA278O22.genome.CDS.1990,group00530
AAA278O22.genome.CDS.1991,group00422
AAA278O22.genome.CDS.1787,group02088
AAA278O22.genome.CDS.1211,group02368
AAA278O22.genome.CDS.346,group00567
AAA278O22.genome.CDS.1431,group00775
AAA278O22.genome.CDS.1644,group04262
AAA278O22.genome.CDS.1998,group00447
AAA278O22.genome.CDS.1999,group00466
AAA278O22.genome.CDS.2359,group00060
AAA278O22.genome.CDS.2211,group00468
AAA278O22.genome.CDS.2212,group02460
AAA278O22.genome.CDS.2213,group04231
AAA278O22.genome.CDS.2214,group01888
AAA278O22.genome.CDS.2215,group01010
AAA278O22.genome.CDS.2216,group00429
AAA278O22.genome.CDS.2217,group00260
AAA278O22.genome.CDS.2351,group00793
AAA278O22.genome.CDS.2219,group00044
AAA278O22.genome.CDS.2353,group00193
AAA278O22.genome.CDS.2352,group00496
AAA278O22.genome.CDS.2355,group00571
AAA278O22.genome.CDS.1338,group00113
AAA278O22.genome.CDS.2357,group00057
AAA278O22.genome.CDS.2356,group00143
AAA278O22.genome.CDS.1512,group00099
AAA278O22.genome.CDS.1513,group00700
AAA278O22.genome.CDS.2285,group00333
AAA278O22.genome.CDS.1511,group00100
AAA278O22.genome.CDS.2283,group01896
AAA278O22.genome.CDS.2329,group00863
AAA278O22.genome.CDS.2199,group01004
AAA278O22.genome.CDS.1515,group00675
AAA278O22.genome.CDS.2324,group00670
AAA278O22.genome.CDS.2325,group04245
AAA278O22.genome.CDS.1427,group01043
AAA278O22.genome.CDS.1519,group00089
AAA278O22.genome.CDS.2320,group04244
AAA278O22.genome.CDS.1900,group00791
AAA278O22.genome.CDS.1903,group00885
AAA278O22.genome.CDS.1902,group00861
AAA278O22.genome.CDS.1682,group00731
AAA278O22.genome.CDS.2243,group00462
AAA278O22.genome.CDS.1680,group01138
AAA278O22.genome.CDS.1681,group01005
