MEint1363.genome.CDS.1680,group01599
MEint1363.genome.CDS.1189,group00301
MEint1363.genome.CDS.1580,group00312
MEint1363.genome.CDS.1581,group00708
MEint1363.genome.CDS.1582,group00244
MEint1363.genome.CDS.1851,group01055
MEint1363.genome.CDS.1856,group00434
MEint1363.genome.CDS.1585,group00664
MEint1363.genome.CDS.1586,group01058
MEint1363.genome.CDS.1587,group00632
MEint1363.genome.CDS.1588,group00278
MEint1363.genome.CDS.1589,group00210
MEint1363.genome.CDS.1858,group00175
MEint1363.genome.CDS.1859,group00091
MEint1363.genome.CDS.1517,group02962
MEint1363.genome.CDS.1516,group00027
MEint1363.genome.CDS.1515,group00240
MEint1363.genome.CDS.1514,group00225
MEint1363.genome.CDS.1513,group00437
MEint1363.genome.CDS.1699,group00693
MEint1363.genome.CDS.1511,group00250
MEint1363.genome.CDS.1510,group00219
MEint1363.genome.CDS.1694,group00067
MEint1363.genome.CDS.1571,group00470
MEint1363.genome.CDS.1696,group00597
MEint1363.genome.CDS.1697,group00464
MEint1363.genome.CDS.1690,group00066
MEint1363.genome.CDS.1691,group00147
MEint1363.genome.CDS.1519,group00237
MEint1363.genome.CDS.1570,group00532
MEint1363.genome.CDS.1108,group00143
MEint1363.genome.CDS.1109,group00571
MEint1363.genome.CDS.1458,group01225
MEint1363.genome.CDS.1459,group00395
MEint1363.genome.CDS.997,group00822
MEint1363.genome.CDS.1105,group00591
MEint1363.genome.CDS.1106,group00630
MEint1363.genome.CDS.1455,group01413
MEint1363.genome.CDS.993,group00698
MEint1363.genome.CDS.1101,group00084
MEint1363.genome.CDS.1450,group01664
MEint1363.genome.CDS.1103,group00188
MEint1363.genome.CDS.1480,group00566
MEint1363.genome.CDS.1257,group00300
MEint1363.genome.CDS.1731,group00811
MEint1363.genome.CDS.1140,group00649
MEint1363.genome.CDS.1250,group00448
MEint1363.genome.CDS.1628,group00072
MEint1363.genome.CDS.1251,group00449
MEint1363.genome.CDS.1070,group00254
MEint1363.genome.CDS.1029,group00057
MEint1363.genome.CDS.1072,group00503
MEint1363.genome.CDS.1073,group00408
MEint1363.genome.CDS.1074,group00388
MEint1363.genome.CDS.1075,group00507
MEint1363.genome.CDS.1076,group00506
MEint1363.genome.CDS.1233,group02114
MEint1363.genome.CDS.1171,group00762
MEint1363.genome.CDS.1170,group00156
MEint1363.genome.CDS.1173,group00204
MEint1363.genome.CDS.1172,group00373
MEint1363.genome.CDS.1175,group00329
MEint1363.genome.CDS.1546,group01059
MEint1363.genome.CDS.1177,group02467
MEint1363.genome.CDS.1176,group00027
MEint1363.genome.CDS.1666,group01427
MEint1363.genome.CDS.1779,group00381
MEint1363.genome.CDS.1547,group01447
MEint1363.genome.CDS.1452,group01709
MEint1363.genome.CDS.1773,group00104
MEint1363.genome.CDS.1629,group00062
MEint1363.genome.CDS.1771,group00059
MEint1363.genome.CDS.1770,group00158
MEint1363.genome.CDS.1777,group00136
MEint1363.genome.CDS.1776,group00657
MEint1363.genome.CDS.1775,group00299
MEint1363.genome.CDS.1774,group00106
MEint1363.genome.CDS.1542,group00857
MEint1363.genome.CDS.1311,group00949
MEint1363.genome.CDS.1482,group00099
MEint1363.genome.CDS.1235,group01961
MEint1363.genome.CDS.1806,group01639
MEint1363.genome.CDS.1831,group00587
MEint1363.genome.CDS.1259,group00349
MEint1363.genome.CDS.1238,group00829
MEint1363.genome.CDS.71,group04033
MEint1363.genome.CDS.1626,group00248
MEint1363.genome.CDS.1740,group00640
MEint1363.genome.CDS.1559,group00718
MEint1363.genome.CDS.1548,group00569
MEint1363.genome.CDS.1068,group00191
MEint1363.genome.CDS.959,group00706
MEint1363.genome.CDS.1549,group00504
MEint1363.genome.CDS.724,group01076
MEint1363.genome.CDS.1016,group00049
MEint1363.genome.CDS.1254,group00137
MEint1363.genome.CDS.1255,group00058
MEint1363.genome.CDS.1256,group00194
MEint1363.genome.CDS.1064,group00832
MEint1363.genome.CDS.1319,group00881
MEint1363.genome.CDS.1318,group00699
MEint1363.genome.CDS.1252,group00387
MEint1363.genome.CDS.1253,group00348
MEint1363.genome.CDS.1315,group00408
MEint1363.genome.CDS.1314,group00380
MEint1363.genome.CDS.1317,group00674
MEint1363.genome.CDS.1316,group00249
MEint1363.genome.CDS.1258,group00378
MEint1363.genome.CDS.1833,group00598
MEint1363.genome.CDS.1313,group00272
MEint1363.genome.CDS.1312,group00443
MEint1363.genome.CDS.1492,group00205
MEint1363.genome.CDS.1748,group00366
MEint1363.genome.CDS.1493,group00627
MEint1363.genome.CDS.1060,group00937
MEint1363.genome.CDS.1490,group00878
MEint1363.genome.CDS.1614,group01821
MEint1363.genome.CDS.950,group00154
MEint1363.genome.CDS.1487,group00155
MEint1363.genome.CDS.957,group01271
MEint1363.genome.CDS.1340,group00599
MEint1363.genome.CDS.1497,group00090
MEint1363.genome.CDS.1341,group00719
MEint1363.genome.CDS.1494,group00548
MEint1363.genome.CDS.1888,group00966
MEint1363.genome.CDS.1346,group00823
MEint1363.genome.CDS.1495,group00192
MEint1363.genome.CDS.1611,group00687
MEint1363.genome.CDS.1401,group01212
MEint1363.genome.CDS.1486,group00567
MEint1363.genome.CDS.1612,group01757
MEint1363.genome.CDS.1879,group00171
MEint1363.genome.CDS.1613,group02250
MEint1363.genome.CDS.1014,group00541
MEint1363.genome.CDS.1015,group00010
MEint1363.genome.CDS.1310,group00212
MEint1363.genome.CDS.1012,group00662
MEint1363.genome.CDS.1013,group00540
MEint1363.genome.CDS.1386,group00185
MEint1363.genome.CDS.1387,group00749
MEint1363.genome.CDS.1384,group00483
MEint1363.genome.CDS.1385,group00076
MEint1363.genome.CDS.1382,group00555
MEint1363.genome.CDS.1407,group00574
MEint1363.genome.CDS.1380,group00834
MEint1363.genome.CDS.1381,group00969
MEint1363.genome.CDS.1451,group01347
MEint1363.genome.CDS.1011,group00763
MEint1363.genome.CDS.1184,group00582
MEint1363.genome.CDS.1388,group00996
MEint1363.genome.CDS.1389,group00650
MEint1363.genome.CDS.1658,group01025
MEint1363.genome.CDS.1659,group00242
MEint1363.genome.CDS.1551,group04039
MEint1363.genome.CDS.1550,group00043
MEint1363.genome.CDS.1557,group00333
MEint1363.genome.CDS.1556,group00050
MEint1363.genome.CDS.1227,group01164
MEint1363.genome.CDS.1871,group00779
MEint1363.genome.CDS.1650,group01699
MEint1363.genome.CDS.1651,group01264
MEint1363.genome.CDS.1652,group02495
MEint1363.genome.CDS.1653,group01057
MEint1363.genome.CDS.1654,group01359
MEint1363.genome.CDS.1155,group00262
MEint1363.genome.CDS.1656,group00707
MEint1363.genome.CDS.1657,group00024
MEint1363.genome.CDS.1154,group00851
MEint1363.genome.CDS.1874,group00507
MEint1363.genome.CDS.1620,group00940
MEint1363.genome.CDS.1152,group00054
MEint1363.genome.CDS.971,group00747
MEint1363.genome.CDS.970,group00042
MEint1363.genome.CDS.973,group00702
MEint1363.genome.CDS.972,group00017
MEint1363.genome.CDS.975,group00923
MEint1363.genome.CDS.1018,group00578
MEint1363.genome.CDS.976,group01147
MEint1363.genome.CDS.979,group00575
MEint1363.genome.CDS.978,group01118
MEint1363.genome.CDS.656,group00846
MEint1363.genome.CDS.1877,group00298
MEint1363.genome.CDS.1135,group00375
MEint1363.genome.CDS.1134,group00890
MEint1363.genome.CDS.1137,group00766
MEint1363.genome.CDS.1136,group00044
MEint1363.genome.CDS.1423,group04038
MEint1363.genome.CDS.1422,group00977
MEint1363.genome.CDS.1133,group00128
MEint1363.genome.CDS.1420,group00982
MEint1363.genome.CDS.1816,group00347
MEint1363.genome.CDS.1817,group00346
MEint1363.genome.CDS.1815,group00658
MEint1363.genome.CDS.1139,group00429
MEint1363.genome.CDS.1138,group00260
MEint1363.genome.CDS.1810,group00401
MEint1363.genome.CDS.1202,group01291
MEint1363.genome.CDS.1038,group00635
MEint1363.genome.CDS.1039,group00002
MEint1363.genome.CDS.1199,group01352
MEint1363.genome.CDS.1034,group00140
MEint1363.genome.CDS.1035,group00026
MEint1363.genome.CDS.1036,group00203
MEint1363.genome.CDS.1037,group00794
MEint1363.genome.CDS.1030,group00215
MEint1363.genome.CDS.1031,group00002
MEint1363.genome.CDS.1032,group00221
MEint1363.genome.CDS.1033,group00228
MEint1363.genome.CDS.1126,group01232
MEint1363.genome.CDS.1530,group00784
MEint1363.genome.CDS.1870,group00995
MEint1363.genome.CDS.1178,group01038
MEint1363.genome.CDS.1821,group00396
MEint1363.genome.CDS.1820,group00929
MEint1363.genome.CDS.1827,group00646
MEint1363.genome.CDS.1123,group00251
MEint1363.genome.CDS.1049,group02299
MEint1363.genome.CDS.1048,group00311
MEint1363.genome.CDS.1722,group00293
MEint1363.genome.CDS.1723,group00377
MEint1363.genome.CDS.1724,group01079
MEint1363.genome.CDS.1120,group00703
MEint1363.genome.CDS.1726,group00360
MEint1363.genome.CDS.1727,group00332
MEint1363.genome.CDS.1728,group00331
MEint1363.genome.CDS.1729,group00441
MEint1363.genome.CDS.1043,group00704
MEint1363.genome.CDS.1536,group01247
MEint1363.genome.CDS.1045,group00752
MEint1363.genome.CDS.1044,group00810
MEint1363.genome.CDS.1047,group00691
MEint1363.genome.CDS.1046,group00870
MEint1363.genome.CDS.1287,group00984
MEint1363.genome.CDS.1553,group00439
MEint1363.genome.CDS.857,group04046
MEint1363.genome.CDS.1286,group00016
MEint1363.genome.CDS.1829,group00305
MEint1363.genome.CDS.1284,group00342
MEint1363.genome.CDS.1552,group01009
MEint1363.genome.CDS.1281,group00282
MEint1363.genome.CDS.1280,group00457
MEint1363.genome.CDS.1159,group00211
MEint1363.genome.CDS.1832,group00922
MEint1363.genome.CDS.1429,group01309
MEint1363.genome.CDS.987,group00581
MEint1363.genome.CDS.1185,group00035
MEint1363.genome.CDS.1186,group00552
MEint1363.genome.CDS.1187,group01162
MEint1363.genome.CDS.1269,group02143
MEint1363.genome.CDS.1158,group00915
MEint1363.genome.CDS.1182,group01163
MEint1363.genome.CDS.1183,group00400
MEint1363.genome.CDS.1265,group00656
MEint1363.genome.CDS.1264,group00187
MEint1363.genome.CDS.1267,group01337
MEint1363.genome.CDS.1266,group00207
MEint1363.genome.CDS.1261,group00083
MEint1363.genome.CDS.1260,group00053
MEint1363.genome.CDS.1263,group00061
MEint1363.genome.CDS.1262,group00265
MEint1363.genome.CDS.1157,group00452
MEint1363.genome.CDS.1124,group00287
MEint1363.genome.CDS.1502,group00601
MEint1363.genome.CDS.1435,group00079
MEint1363.genome.CDS.1342,group00200
MEint1363.genome.CDS.1615,group01450
MEint1363.genome.CDS.1616,group01891
MEint1363.genome.CDS.1617,group02168
MEint1363.genome.CDS.1610,group00795
MEint1363.genome.CDS.1347,group00856
MEint1363.genome.CDS.1344,group00414
MEint1363.genome.CDS.1345,group00413
MEint1363.genome.CDS.1348,group00488
MEint1363.genome.CDS.996,group00005
MEint1363.genome.CDS.1618,group02149
MEint1363.genome.CDS.1619,group01421
MEint1363.genome.CDS.1193,group01655
MEint1363.genome.CDS.1219,group00017
MEint1363.genome.CDS.1503,group00336
MEint1363.genome.CDS.1867,group00015
MEint1363.genome.CDS.1866,group00046
MEint1363.genome.CDS.1865,group00055
MEint1363.genome.CDS.1864,group00093
MEint1363.genome.CDS.1863,group00092
MEint1363.genome.CDS.1862,group00148
MEint1363.genome.CDS.1861,group00419
MEint1363.genome.CDS.1860,group00198
MEint1363.genome.CDS.995,group00644
MEint1363.genome.CDS.1869,group00119
MEint1363.genome.CDS.1868,group00118
MEint1363.genome.CDS.1661,group00997
MEint1363.genome.CDS.1660,group00803
MEint1363.genome.CDS.1663,group01595
MEint1363.genome.CDS.1662,group04042
MEint1363.genome.CDS.1665,group01596
MEint1363.genome.CDS.1664,group01462
MEint1363.genome.CDS.1667,group00058
MEint1363.genome.CDS.1462,group00821
MEint1363.genome.CDS.1669,group01403
MEint1363.genome.CDS.1668,group01813
MEint1363.genome.CDS.1508,group00159
MEint1363.genome.CDS.1509,group00160
MEint1363.genome.CDS.1461,group00508
MEint1363.genome.CDS.1460,group00020
MEint1363.genome.CDS.1467,group01093
MEint1363.genome.CDS.1466,group00607
MEint1363.genome.CDS.1465,group00218
MEint1363.genome.CDS.1464,group00407
MEint1363.genome.CDS.1500,group00109
MEint1363.genome.CDS.1501,group00772
MEint1363.genome.CDS.1469,group00477
MEint1363.genome.CDS.1468,group00655
MEint1363.genome.CDS.1504,group01039
MEint1363.genome.CDS.1505,group00785
MEint1363.genome.CDS.1506,group00354
MEint1363.genome.CDS.1507,group00134
MEint1363.genome.CDS.1213,group00910
MEint1363.genome.CDS.1554,group00386
MEint1363.genome.CDS.858,group01729
MEint1363.genome.CDS.948,group00673
MEint1363.genome.CDS.949,group00902
MEint1363.genome.CDS.1709,group00889
MEint1363.genome.CDS.1481,group00700
MEint1363.genome.CDS.941,group00948
MEint1363.genome.CDS.1483,group00100
MEint1363.genome.CDS.943,group00806
MEint1363.genome.CDS.944,group00229
MEint1363.genome.CDS.945,group00609
MEint1363.genome.CDS.946,group00350
MEint1363.genome.CDS.947,group00267
MEint1363.genome.CDS.1005,group00005
MEint1363.genome.CDS.1007,group01207
MEint1363.genome.CDS.1006,group00822
MEint1363.genome.CDS.939,group01148
MEint1363.genome.CDS.1000,group00515
MEint1363.genome.CDS.1003,group00662
MEint1363.genome.CDS.1002,group00763
MEint1363.genome.CDS.1162,group00164
MEint1363.genome.CDS.934,group00628
MEint1363.genome.CDS.1160,group00182
MEint1363.genome.CDS.284,group01146
MEint1363.genome.CDS.1166,group00900
MEint1363.genome.CDS.1008,group00859
MEint1363.genome.CDS.1164,group00078
MEint1363.genome.CDS.1165,group00168
MEint1363.genome.CDS.992,group00255
MEint1363.genome.CDS.1768,group00121
MEint1363.genome.CDS.1769,group00157
MEint1363.genome.CDS.1764,group00208
MEint1363.genome.CDS.1765,group00273
MEint1363.genome.CDS.1766,group00309
MEint1363.genome.CDS.1767,group00274
MEint1363.genome.CDS.1760,group00129
MEint1363.genome.CDS.1761,group00976
MEint1363.genome.CDS.1762,group00095
MEint1363.genome.CDS.1763,group00151
MEint1363.genome.CDS.1368,group00406
MEint1363.genome.CDS.1701,group02979
MEint1363.genome.CDS.1242,group02476
MEint1363.genome.CDS.991,group00525
MEint1363.genome.CDS.1705,group00758
MEint1363.genome.CDS.1719,group01900
MEint1363.genome.CDS.1718,group00977
MEint1363.genome.CDS.1413,group01029
MEint1363.genome.CDS.1245,group00758
MEint1363.genome.CDS.1220,group00909
MEint1363.genome.CDS.1711,group00798
MEint1363.genome.CDS.1710,group00736
MEint1363.genome.CDS.1092,group01189
MEint1363.genome.CDS.1712,group00620
MEint1363.genome.CDS.1715,group00169
MEint1363.genome.CDS.1714,group04043
MEint1363.genome.CDS.1717,group01455
MEint1363.genome.CDS.1716,group00982
MEint1363.genome.CDS.735,group00338
MEint1363.genome.CDS.1222,group00869
MEint1363.genome.CDS.1150,group00411
MEint1363.genome.CDS.1846,group00734
MEint1363.genome.CDS.1225,group00319
MEint1363.genome.CDS.1362,group00439
MEint1363.genome.CDS.1826,group00135
MEint1363.genome.CDS.1410,group00308
MEint1363.genome.CDS.1248,group00754
MEint1363.genome.CDS.1555,group00139
MEint1363.genome.CDS.1308,group01092
MEint1363.genome.CDS.1309,group00403
MEint1363.genome.CDS.1306,group00604
MEint1363.genome.CDS.1307,group00603
MEint1363.genome.CDS.1304,group00809
MEint1363.genome.CDS.1305,group00694
MEint1363.genome.CDS.1302,group00473
MEint1363.genome.CDS.1303,group00648
MEint1363.genome.CDS.1300,group00612
MEint1363.genome.CDS.1301,group00361
MEint1363.genome.CDS.1229,group00223
MEint1363.genome.CDS.1059,group00167
MEint1363.genome.CDS.1695,group00190
MEint1363.genome.CDS.1825,group01028
MEint1363.genome.CDS.1489,group00127
MEint1363.genome.CDS.1558,group00410
MEint1363.genome.CDS.1488,group00132
MEint1363.genome.CDS.1655,group00960
MEint1363.genome.CDS.1288,group01012
MEint1363.genome.CDS.1873,group00506
MEint1363.genome.CDS.1600,group00714
MEint1363.genome.CDS.1232,group01096
MEint1363.genome.CDS.1056,group01036
MEint1363.genome.CDS.1291,group00289
MEint1363.genome.CDS.1518,group00322
MEint1363.genome.CDS.940,group01042
MEint1363.genome.CDS.1020,group00871
MEint1363.genome.CDS.1876,group04045
MEint1363.genome.CDS.942,group00123
MEint1363.genome.CDS.1603,group00931
MEint1363.genome.CDS.1121,group00998
MEint1363.genome.CDS.1602,group00961
MEint1363.genome.CDS.1485,group00781
MEint1363.genome.CDS.1021,group00455
MEint1363.genome.CDS.958,group00023
MEint1363.genome.CDS.1353,group00379
MEint1363.genome.CDS.1484,group00131
MEint1363.genome.CDS.1544,group00849
MEint1363.genome.CDS.1545,group00796
MEint1363.genome.CDS.1230,group00241
MEint1363.genome.CDS.1231,group00554
MEint1363.genome.CDS.1540,group01753
MEint1363.genome.CDS.1541,group00816
MEint1363.genome.CDS.1234,group02981
MEint1363.genome.CDS.1543,group00007
MEint1363.genome.CDS.1625,group00398
MEint1363.genome.CDS.1624,group00840
MEint1363.genome.CDS.1627,group00985
MEint1363.genome.CDS.1239,group02047
MEint1363.genome.CDS.1621,group01109
MEint1363.genome.CDS.1855,group01208
MEint1363.genome.CDS.1622,group00384
MEint1363.genome.CDS.1605,group01916
MEint1363.genome.CDS.1356,group00737
MEint1363.genome.CDS.1168,group00292
MEint1363.genome.CDS.1169,group00124
MEint1363.genome.CDS.863,group01024
MEint1363.genome.CDS.1001,group00615
MEint1363.genome.CDS.938,group01760
MEint1363.genome.CDS.1823,group00817
MEint1363.genome.CDS.1822,group00955
MEint1363.genome.CDS.1533,group00590
MEint1363.genome.CDS.1125,group00220
MEint1363.genome.CDS.1535,group00668
MEint1363.genome.CDS.1534,group01001
MEint1363.genome.CDS.1537,group00029
MEint1363.genome.CDS.1824,group00978
MEint1363.genome.CDS.1539,group01166
MEint1363.genome.CDS.1538,group00786
MEint1363.genome.CDS.1285,group00004
MEint1363.genome.CDS.1828,group00234
MEint1363.genome.CDS.1283,group00724
MEint1363.genome.CDS.1282,group01161
MEint1363.genome.CDS.1128,group00459
MEint1363.genome.CDS.1129,group00237
MEint1363.genome.CDS.1438,group02401
MEint1363.genome.CDS.935,group00201
MEint1363.genome.CDS.1163,group00195
MEint1363.genome.CDS.1430,group01281
MEint1363.genome.CDS.1431,group00012
MEint1363.genome.CDS.1432,group01256
MEint1363.genome.CDS.1433,group01284
MEint1363.genome.CDS.1434,group01431
MEint1363.genome.CDS.937,group00478
MEint1363.genome.CDS.1436,group01665
MEint1363.genome.CDS.1437,group01000
MEint1363.genome.CDS.936,group00572
MEint1363.genome.CDS.1009,group00515
MEint1363.genome.CDS.1167,group00513
MEint1363.genome.CDS.280,group00583
MEint1363.genome.CDS.1237,group02245
MEint1363.genome.CDS.1755,group00882
MEint1363.genome.CDS.1754,group00444
MEint1363.genome.CDS.1757,group00063
MEint1363.genome.CDS.1756,group00048
MEint1363.genome.CDS.1751,group00297
MEint1363.genome.CDS.1750,group00412
MEint1363.genome.CDS.1753,group00892
MEint1363.genome.CDS.1752,group00227
MEint1363.genome.CDS.1052,group01223
MEint1363.genome.CDS.1053,group00891
MEint1363.genome.CDS.1050,group00671
MEint1363.genome.CDS.1051,group01246
MEint1363.genome.CDS.1759,group00150
MEint1363.genome.CDS.1758,group00082
MEint1363.genome.CDS.1054,group00728
MEint1363.genome.CDS.1055,group00770
MEint1363.genome.CDS.1057,group01184
MEint1363.genome.CDS.1427,group01830
MEint1363.genome.CDS.1426,group01347
MEint1363.genome.CDS.1425,group01709
MEint1363.genome.CDS.1424,group00653
MEint1363.genome.CDS.1131,group00279
MEint1363.genome.CDS.1130,group00322
MEint1363.genome.CDS.1852,group00755
MEint1363.genome.CDS.1421,group01455
MEint1363.genome.CDS.1853,group00914
MEint1363.genome.CDS.1132,group00924
MEint1363.genome.CDS.1850,group00259
MEint1363.genome.CDS.1583,group00514
MEint1363.genome.CDS.285,group02030
MEint1363.genome.CDS.1520,group00459
MEint1363.genome.CDS.1584,group00197
MEint1363.genome.CDS.1857,group01189
MEint1363.genome.CDS.1854,group01209
MEint1363.genome.CDS.1278,group00580
MEint1363.genome.CDS.1279,group00523
MEint1363.genome.CDS.1276,group00619
MEint1363.genome.CDS.1277,group01390
MEint1363.genome.CDS.1274,group00610
MEint1363.genome.CDS.1275,group00618
MEint1363.genome.CDS.1272,group00594
MEint1363.genome.CDS.1273,group00522
MEint1363.genome.CDS.1270,group00729
MEint1363.genome.CDS.1271,group00595
MEint1363.genome.CDS.1521,group01232
MEint1363.genome.CDS.1428,group01351
MEint1363.genome.CDS.1236,group01951
MEint1363.genome.CDS.1377,group01630
MEint1363.genome.CDS.1376,group01144
MEint1363.genome.CDS.1375,group00421
MEint1363.genome.CDS.1374,group00034
MEint1363.genome.CDS.1373,group00802
MEint1363.genome.CDS.1372,group00939
MEint1363.genome.CDS.1371,group00416
MEint1363.genome.CDS.1370,group00721
MEint1363.genome.CDS.1379,group00586
MEint1363.genome.CDS.1378,group01090
MEint1363.genome.CDS.986,group01031
MEint1363.genome.CDS.1089,group00198
MEint1363.genome.CDS.1088,group00419
MEint1363.genome.CDS.1085,group00093
MEint1363.genome.CDS.1084,group00055
MEint1363.genome.CDS.1087,group00148
MEint1363.genome.CDS.1086,group00092
MEint1363.genome.CDS.1081,group00118
MEint1363.genome.CDS.1080,group00119
MEint1363.genome.CDS.1083,group00046
MEint1363.genome.CDS.1082,group00015
MEint1363.genome.CDS.1527,group00753
MEint1363.genome.CDS.1698,group00283
MEint1363.genome.CDS.1512,group00245
MEint1363.genome.CDS.1672,group01482
MEint1363.genome.CDS.1673,group01505
MEint1363.genome.CDS.1670,group01711
MEint1363.genome.CDS.1671,group01712
MEint1363.genome.CDS.1676,group01117
MEint1363.genome.CDS.1674,group01438
MEint1363.genome.CDS.1675,group01428
MEint1363.genome.CDS.1678,group01116
MEint1363.genome.CDS.1679,group01167
MEint1363.genome.CDS.1524,group00251
MEint1363.genome.CDS.1474,group00436
MEint1363.genome.CDS.1475,group00089
MEint1363.genome.CDS.1476,group00717
MEint1363.genome.CDS.1477,group00239
MEint1363.genome.CDS.1470,group00318
MEint1363.genome.CDS.1471,group00426
MEint1363.genome.CDS.1472,group00389
MEint1363.genome.CDS.1689,group00258
MEint1363.genome.CDS.1575,group00321
MEint1363.genome.CDS.1574,group00243
MEint1363.genome.CDS.1577,group00088
MEint1363.genome.CDS.1576,group00908
MEint1363.genome.CDS.1478,group00271
MEint1363.genome.CDS.1479,group00675
MEint1363.genome.CDS.1573,group00030
MEint1363.genome.CDS.1572,group00468
MEint1363.genome.CDS.1885,group00562
MEint1363.genome.CDS.1884,group00161
MEint1363.genome.CDS.1887,group00814
MEint1363.genome.CDS.1886,group00232
MEint1363.genome.CDS.1881,group00209
MEint1363.genome.CDS.1880,group00511
MEint1363.genome.CDS.1883,group00087
MEint1363.genome.CDS.1882,group00103
MEint1363.genome.CDS.1889,group00327
MEint1363.genome.CDS.1525,group00372
MEint1363.genome.CDS.1498,group00765
MEint1363.genome.CDS.1499,group00317
MEint1363.genome.CDS.1692,group01572
MEint1363.genome.CDS.953,group00428
MEint1363.genome.CDS.952,group00351
MEint1363.genome.CDS.951,group00303
MEint1363.genome.CDS.1491,group00642
MEint1363.genome.CDS.1496,group00246
MEint1363.genome.CDS.956,group01020
MEint1363.genome.CDS.955,group01258
MEint1363.genome.CDS.954,group00828
MEint1363.genome.CDS.1878,group00008
MEint1363.genome.CDS.1400,group01213
MEint1363.genome.CDS.1403,group00839
MEint1363.genome.CDS.1402,group00744
MEint1363.genome.CDS.1405,group00692
MEint1363.genome.CDS.1404,group01406
MEint1363.genome.CDS.1010,group00615
MEint1363.genome.CDS.1406,group01063
MEint1363.genome.CDS.1409,group00536
MEint1363.genome.CDS.1156,group00028
MEint1363.genome.CDS.1872,group00269
MEint1363.genome.CDS.1383,group00018
MEint1363.genome.CDS.1153,group00070
MEint1363.genome.CDS.1875,group00388
MEint1363.genome.CDS.1151,group00165
MEint1363.genome.CDS.1019,group00654
MEint1363.genome.CDS.1791,group00621
MEint1363.genome.CDS.1790,group00545
MEint1363.genome.CDS.1793,group00482
MEint1363.genome.CDS.1792,group01168
MEint1363.genome.CDS.1795,group01248
MEint1363.genome.CDS.1794,group00357
MEint1363.genome.CDS.1797,group01052
MEint1363.genome.CDS.1796,group01026
MEint1363.genome.CDS.1799,group01572
MEint1363.genome.CDS.1798,group00147
MEint1363.genome.CDS.1647,group01048
MEint1363.genome.CDS.999,group00859
MEint1363.genome.CDS.1646,group00390
MEint1363.genome.CDS.998,group01207
MEint1363.genome.CDS.1645,group00486
MEint1363.genome.CDS.1294,group00325
MEint1363.genome.CDS.1456,group02050
MEint1363.genome.CDS.1644,group00479
MEint1363.genome.CDS.1457,group00021
MEint1363.genome.CDS.1391,group00270
