AB141P03.genome.CDS.737,group00649
AB141P03.genome.CDS.1047,group00656
AB141P03.genome.CDS.914,group00290
AB141P03.genome.CDS.1045,group00061
AB141P03.genome.CDS.682,group02784
AB141P03.genome.CDS.768,group00201
AB141P03.genome.CDS.681,group00670
AB141P03.genome.CDS.686,group03912
AB141P03.genome.CDS.687,group03911
AB141P03.genome.CDS.684,group01340
AB141P03.genome.CDS.685,group03913
AB141P03.genome.CDS.761,group00311
AB141P03.genome.CDS.760,group00691
AB141P03.genome.CDS.688,group01166
AB141P03.genome.CDS.762,group01838
AB141P03.genome.CDS.765,group00728
AB141P03.genome.CDS.764,group00891
AB141P03.genome.CDS.767,group00572
AB141P03.genome.CDS.766,group00478
AB141P03.genome.CDS.689,group01038
AB141P03.genome.CDS.817,group01407
AB141P03.genome.CDS.816,group02411
AB141P03.genome.CDS.815,group02056
AB141P03.genome.CDS.814,group01687
AB141P03.genome.CDS.813,group01754
AB141P03.genome.CDS.812,group01114
AB141P03.genome.CDS.811,group01202
AB141P03.genome.CDS.810,group00957
AB141P03.genome.CDS.1022,group00798
AB141P03.genome.CDS.819,group01479
AB141P03.genome.CDS.818,group01478
AB141P03.genome.CDS.862,group00564
AB141P03.genome.CDS.863,group00565
AB141P03.genome.CDS.860,group00445
AB141P03.genome.CDS.861,group00268
AB141P03.genome.CDS.866,group00584
AB141P03.genome.CDS.864,group00720
AB141P03.genome.CDS.865,group00519
AB141P03.genome.CDS.970,group00713
AB141P03.genome.CDS.971,group00153
AB141P03.genome.CDS.1026,group00233
AB141P03.genome.CDS.1027,group00420
AB141P03.genome.CDS.870,group01560
AB141P03.genome.CDS.1349,group00382
AB141P03.genome.CDS.1011,group00982
AB141P03.genome.CDS.1220,group00542
AB141P03.genome.CDS.1221,group00570
AB141P03.genome.CDS.1226,group00341
AB141P03.genome.CDS.1224,group00624
AB141P03.genome.CDS.1159,group00189
AB141P03.genome.CDS.1341,group01063
AB141P03.genome.CDS.1340,group00692
AB141P03.genome.CDS.1228,group00161
AB141P03.genome.CDS.1342,group00879
AB141P03.genome.CDS.1345,group02885
AB141P03.genome.CDS.1344,group03928
AB141P03.genome.CDS.1347,group02887
AB141P03.genome.CDS.1346,group02886
AB141P03.genome.CDS.1158,group00047
AB141P03.genome.CDS.1010,group00169
AB141P03.genome.CDS.1013,group00977
AB141P03.genome.CDS.1012,group01455
AB141P03.genome.CDS.1015,group00705
AB141P03.genome.CDS.1014,group01141
AB141P03.genome.CDS.1017,group00704
AB141P03.genome.CDS.1016,group00810
AB141P03.genome.CDS.1150,group00009
AB141P03.genome.CDS.1018,group00475
AB141P03.genome.CDS.1152,group00677
AB141P03.genome.CDS.1153,group00276
AB141P03.genome.CDS.1154,group00962
AB141P03.genome.CDS.1155,group00064
AB141P03.genome.CDS.1157,group00068
AB141P03.genome.CDS.1086,group01518
AB141P03.genome.CDS.1087,group00846
AB141P03.genome.CDS.1084,group00601
AB141P03.genome.CDS.1085,group00772
AB141P03.genome.CDS.1129,group00825
AB141P03.genome.CDS.1128,group00045
AB141P03.genome.CDS.1080,group00335
AB141P03.genome.CDS.1081,group00120
AB141P03.genome.CDS.1125,group00581
AB141P03.genome.CDS.1124,group00525
AB141P03.genome.CDS.1127,group00637
AB141P03.genome.CDS.1126,group01031
AB141P03.genome.CDS.1121,group00644
AB141P03.genome.CDS.1120,group00005
AB141P03.genome.CDS.1123,group00698
AB141P03.genome.CDS.1089,group00317
AB141P03.genome.CDS.317,group02890
AB141P03.genome.CDS.729,group00924
AB141P03.genome.CDS.728,group00953
AB141P03.genome.CDS.724,group00459
AB141P03.genome.CDS.727,group00279
AB141P03.genome.CDS.726,group00322
AB141P03.genome.CDS.721,group00251
AB141P03.genome.CDS.720,group00372
AB141P03.genome.CDS.723,group00220
AB141P03.genome.CDS.1083,group00040
AB141P03.genome.CDS.923,group00252
AB141P03.genome.CDS.922,group00376
AB141P03.genome.CDS.921,group00799
AB141P03.genome.CDS.920,group00526
AB141P03.genome.CDS.927,group00297
AB141P03.genome.CDS.926,group00412
AB141P03.genome.CDS.925,group00296
AB141P03.genome.CDS.924,group00366
AB141P03.genome.CDS.929,group00892
AB141P03.genome.CDS.928,group00227
AB141P03.genome.CDS.1348,group00284
AB141P03.genome.CDS.859,group00326
AB141P03.genome.CDS.858,group00404
AB141P03.genome.CDS.1088,group00109
AB141P03.genome.CDS.853,group00628
AB141P03.genome.CDS.852,group00815
AB141P03.genome.CDS.851,group01000
AB141P03.genome.CDS.850,group01302
AB141P03.genome.CDS.857,group03923
AB141P03.genome.CDS.856,group00478
AB141P03.genome.CDS.855,group00572
AB141P03.genome.CDS.854,group00201
AB141P03.genome.CDS.180,group00681
AB141P03.genome.CDS.106,group00681
AB141P03.genome.CDS.1370,group01925
AB141P03.genome.CDS.1371,group00413
AB141P03.genome.CDS.1372,group03939
AB141P03.genome.CDS.1373,group00025
AB141P03.genome.CDS.1374,group00025
AB141P03.genome.CDS.1375,group00414
AB141P03.genome.CDS.1376,group00235
AB141P03.genome.CDS.1377,group00669
AB141P03.genome.CDS.1378,group00643
AB141P03.genome.CDS.1379,group03941
AB141P03.genome.CDS.1305,group00289
AB141P03.genome.CDS.1304,group00006
AB141P03.genome.CDS.1307,group00337
AB141P03.genome.CDS.1306,group00037
AB141P03.genome.CDS.1301,group00303
AB141P03.genome.CDS.1300,group00154
AB141P03.genome.CDS.1303,group00325
AB141P03.genome.CDS.1302,group03921
AB141P03.genome.CDS.1309,group00828
AB141P03.genome.CDS.1308,group01030
AB141P03.genome.CDS.1284,group00126
AB141P03.genome.CDS.1285,group00146
AB141P03.genome.CDS.1286,group00110
AB141P03.genome.CDS.1287,group02633
AB141P03.genome.CDS.1280,group00543
AB141P03.genome.CDS.1281,group00548
AB141P03.genome.CDS.1282,group00186
AB141P03.genome.CDS.1283,group00013
AB141P03.genome.CDS.1288,group02880
AB141P03.genome.CDS.1114,group00541
AB141P03.genome.CDS.1115,group00540
AB141P03.genome.CDS.1116,group00662
AB141P03.genome.CDS.1117,group00763
AB141P03.genome.CDS.1110,group00578
AB141P03.genome.CDS.1111,group00114
AB141P03.genome.CDS.1112,group00049
AB141P03.genome.CDS.1113,group00010
AB141P03.genome.CDS.1118,group00615
AB141P03.genome.CDS.1119,group00822
AB141P03.genome.CDS.1279,group01158
AB141P03.genome.CDS.1278,group01634
AB141P03.genome.CDS.1271,group00517
AB141P03.genome.CDS.1270,group00622
AB141P03.genome.CDS.1273,group00520
AB141P03.genome.CDS.1272,group00463
AB141P03.genome.CDS.1275,group00000
AB141P03.genome.CDS.1274,group00974
AB141P03.genome.CDS.1277,group00626
AB141P03.genome.CDS.1276,group02216
AB141P03.genome.CDS.1149,group01037
AB141P03.genome.CDS.1028,group00758
AB141P03.genome.CDS.1029,group00359
AB141P03.genome.CDS.978,group00696
AB141P03.genome.CDS.979,group00038
AB141P03.genome.CDS.974,group00140
AB141P03.genome.CDS.975,group00026
AB141P03.genome.CDS.976,group00203
AB141P03.genome.CDS.977,group00794
AB141P03.genome.CDS.1024,group00889
AB141P03.genome.CDS.1025,group00385
AB141P03.genome.CDS.972,group00221
AB141P03.genome.CDS.973,group00228
AB141P03.genome.CDS.12,group02267
AB141P03.genome.CDS.1059,group00651
AB141P03.genome.CDS.1058,group00589
AB141P03.genome.CDS.1055,group00850
AB141P03.genome.CDS.1054,group00711
AB141P03.genome.CDS.1057,group00391
AB141P03.genome.CDS.1056,group00797
AB141P03.genome.CDS.1051,group00701
AB141P03.genome.CDS.1050,group00324
AB141P03.genome.CDS.1053,group00760
AB141P03.genome.CDS.1052,group00685
AB141P03.genome.CDS.679,group03915
AB141P03.genome.CDS.678,group03916
AB141P03.genome.CDS.677,group01490
AB141P03.genome.CDS.676,group01170
AB141P03.genome.CDS.675,group01720
AB141P03.genome.CDS.674,group00865
AB141P03.genome.CDS.673,group00302
AB141P03.genome.CDS.672,group00178
AB141P03.genome.CDS.671,group01163
AB141P03.genome.CDS.670,group00582
AB141P03.genome.CDS.776,group00096
AB141P03.genome.CDS.777,group00102
AB141P03.genome.CDS.775,group00629
AB141P03.genome.CDS.772,group01302
AB141P03.genome.CDS.773,group00973
AB141P03.genome.CDS.770,group00815
AB141P03.genome.CDS.771,group01000
AB141P03.genome.CDS.778,group00073
AB141P03.genome.CDS.779,group00352
AB141P03.genome.CDS.722,group00287
AB141P03.genome.CDS.414,group00336
AB141P03.genome.CDS.804,group00434
AB141P03.genome.CDS.805,group01189
AB141P03.genome.CDS.806,group00707
AB141P03.genome.CDS.807,group00960
AB141P03.genome.CDS.800,group00024
AB141P03.genome.CDS.801,group01850
AB141P03.genome.CDS.802,group01573
AB141P03.genome.CDS.803,group01208
AB141P03.genome.CDS.808,group01182
AB141P03.genome.CDS.809,group01214
AB141P03.genome.CDS.899,group00293
AB141P03.genome.CDS.898,group00314
AB141P03.genome.CDS.897,group00659
AB141P03.genome.CDS.896,group00313
AB141P03.genome.CDS.895,group00858
AB141P03.genome.CDS.894,group00162
AB141P03.genome.CDS.893,group00867
AB141P03.genome.CDS.892,group00518
AB141P03.genome.CDS.891,group00286
AB141P03.genome.CDS.890,group00107
AB141P03.genome.CDS.789,group01047
AB141P03.genome.CDS.788,group01411
AB141P03.genome.CDS.275,group00288
AB141P03.genome.CDS.783,group01303
AB141P03.genome.CDS.782,group01485
AB141P03.genome.CDS.781,group00859
AB141P03.genome.CDS.780,group00479
AB141P03.genome.CDS.787,group01527
AB141P03.genome.CDS.786,group00434
AB141P03.genome.CDS.785,group00787
AB141P03.genome.CDS.784,group01771
AB141P03.genome.CDS.524,group00702
AB141P03.genome.CDS.1240,group00633
AB141P03.genome.CDS.1241,group00033
AB141P03.genome.CDS.1242,group03917
AB141P03.genome.CDS.1243,group00305
AB141P03.genome.CDS.1244,group00587
AB141P03.genome.CDS.1245,group00113
AB141P03.genome.CDS.1246,group00576
AB141P03.genome.CDS.1247,group00770
AB141P03.genome.CDS.1248,group02415
AB141P03.genome.CDS.1249,group02201
AB141P03.genome.CDS.1235,group00472
AB141P03.genome.CDS.1234,group00256
AB141P03.genome.CDS.1237,group02057
AB141P03.genome.CDS.1236,group01013
AB141P03.genome.CDS.1231,group03918
AB141P03.genome.CDS.1339,group00703
AB141P03.genome.CDS.1233,group00593
AB141P03.genome.CDS.1232,group01032
AB141P03.genome.CDS.1334,group00492
AB141P03.genome.CDS.1335,group00123
AB141P03.genome.CDS.1336,group01075
AB141P03.genome.CDS.1337,group01221
AB141P03.genome.CDS.1239,group00951
AB141P03.genome.CDS.1331,group02884
AB141P03.genome.CDS.1332,group03925
AB141P03.genome.CDS.1333,group00461
AB141P03.genome.CDS.613,group03919
AB141P03.genome.CDS.918,group00640
AB141P03.genome.CDS.1064,group00672
AB141P03.genome.CDS.1065,group00664
AB141P03.genome.CDS.1066,group00197
AB141P03.genome.CDS.1067,group00514
AB141P03.genome.CDS.1060,group00783
AB141P03.genome.CDS.1061,group00210
AB141P03.genome.CDS.1062,group00278
AB141P03.genome.CDS.1063,group00632
AB141P03.genome.CDS.1143,group00490
AB141P03.genome.CDS.1142,group00489
AB141P03.genome.CDS.1141,group00733
AB141P03.genome.CDS.1140,group00469
AB141P03.genome.CDS.1068,group00330
AB141P03.genome.CDS.1069,group00213
AB141P03.genome.CDS.1145,group00739
AB141P03.genome.CDS.1144,group01084
AB141P03.genome.CDS.1147,group00528
AB141P03.genome.CDS.1099,group00612
AB141P03.genome.CDS.1098,group00938
AB141P03.genome.CDS.57,group00237
AB141P03.genome.CDS.1043,group00083
AB141P03.genome.CDS.1091,group00090
AB141P03.genome.CDS.1090,group00765
AB141P03.genome.CDS.1093,group00192
AB141P03.genome.CDS.1092,group00246
AB141P03.genome.CDS.1095,group03942
AB141P03.genome.CDS.910,group00831
AB141P03.genome.CDS.1097,group00007
AB141P03.genome.CDS.1096,group00495
AB141P03.genome.CDS.1041,group00349
AB141P03.genome.CDS.554,group00561
AB141P03.genome.CDS.916,group00876
AB141P03.genome.CDS.1146,group00417
AB141P03.genome.CDS.985,group00216
AB141P03.genome.CDS.984,group00438
AB141P03.genome.CDS.738,group00855
AB141P03.genome.CDS.986,group00409
AB141P03.genome.CDS.981,group00573
AB141P03.genome.CDS.1044,group00265
AB141P03.genome.CDS.983,group00863
AB141P03.genome.CDS.982,group01006
AB141P03.genome.CDS.732,group00375
AB141P03.genome.CDS.733,group00044
AB141P03.genome.CDS.730,group00128
AB141P03.genome.CDS.915,group00222
AB141P03.genome.CDS.736,group00429
AB141P03.genome.CDS.988,group00214
AB141P03.genome.CDS.734,group00766
AB141P03.genome.CDS.735,group00260
AB141P03.genome.CDS.930,group00444
AB141P03.genome.CDS.931,group00288
AB141P03.genome.CDS.932,group00367
AB141P03.genome.CDS.933,group01837
AB141P03.genome.CDS.934,group00959
AB141P03.genome.CDS.935,group00732
AB141P03.genome.CDS.936,group00775
AB141P03.genome.CDS.937,group00845
AB141P03.genome.CDS.938,group00871
AB141P03.genome.CDS.939,group00623
AB141P03.genome.CDS.748,group00676
AB141P03.genome.CDS.747,group00835
AB141P03.genome.CDS.746,group01083
AB141P03.genome.CDS.745,group01021
AB141P03.genome.CDS.744,group00913
AB141P03.genome.CDS.743,group00238
AB141P03.genome.CDS.742,group00180
AB141P03.genome.CDS.741,group00179
AB141P03.genome.CDS.740,group00531
AB141P03.genome.CDS.849,group00973
AB141P03.genome.CDS.840,group01485
AB141P03.genome.CDS.841,group00859
AB141P03.genome.CDS.842,group00479
AB141P03.genome.CDS.843,group00352
AB141P03.genome.CDS.844,group00073
AB141P03.genome.CDS.845,group00102
AB141P03.genome.CDS.846,group00096
AB141P03.genome.CDS.847,group00629
AB141P03.genome.CDS.989,group00281
AB141P03.genome.CDS.769,group00628
AB141P03.genome.CDS.1071,group00101
AB141P03.genome.CDS.683,group03914
AB141P03.genome.CDS.1070,group00196
AB141P03.genome.CDS.1363,group03935
AB141P03.genome.CDS.1362,group03936
AB141P03.genome.CDS.1361,group03934
AB141P03.genome.CDS.1360,group00993
AB141P03.genome.CDS.1367,group00563
AB141P03.genome.CDS.1366,group01666
AB141P03.genome.CDS.1365,group03937
AB141P03.genome.CDS.1364,group01406
AB141P03.genome.CDS.1369,group00574
AB141P03.genome.CDS.1368,group02888
AB141P03.genome.CDS.1020,group00343
AB141P03.genome.CDS.1079,group00125
AB141P03.genome.CDS.1078,group00757
AB141P03.genome.CDS.763,group00671
AB141P03.genome.CDS.1297,group00370
AB141P03.genome.CDS.1296,group01029
AB141P03.genome.CDS.1295,group00025
AB141P03.genome.CDS.1294,group03920
AB141P03.genome.CDS.1293,group01669
AB141P03.genome.CDS.1292,group01365
AB141P03.genome.CDS.1291,group00613
AB141P03.genome.CDS.1290,group02881
AB141P03.genome.CDS.1021,group00620
AB141P03.genome.CDS.1299,group00355
AB141P03.genome.CDS.1298,group00277
AB141P03.genome.CDS.1107,group01086
AB141P03.genome.CDS.1106,group00226
AB141P03.genome.CDS.1105,group00905
AB141P03.genome.CDS.1104,group00152
AB141P03.genome.CDS.1103,group00060
AB141P03.genome.CDS.1102,group00057
AB141P03.genome.CDS.1101,group00215
AB141P03.genome.CDS.1100,group00002
AB141P03.genome.CDS.1109,group00455
AB141P03.genome.CDS.1108,group00750
AB141P03.genome.CDS.1208,group00657
AB141P03.genome.CDS.1209,group00299
AB141P03.genome.CDS.1204,group00362
AB141P03.genome.CDS.1205,group00257
AB141P03.genome.CDS.1206,group00381
AB141P03.genome.CDS.1207,group00136
AB141P03.genome.CDS.1200,group00306
AB141P03.genome.CDS.1201,group00202
AB141P03.genome.CDS.1202,group00425
AB141P03.genome.CDS.1203,group00394
AB141P03.genome.CDS.164,group01770
AB141P03.genome.CDS.1198,group00923
AB141P03.genome.CDS.1199,group01147
AB141P03.genome.CDS.1194,group00747
AB141P03.genome.CDS.1195,group00017
AB141P03.genome.CDS.1197,group00018
AB141P03.genome.CDS.1190,group00746
AB141P03.genome.CDS.1191,group00467
AB141P03.genome.CDS.1192,group01070
AB141P03.genome.CDS.1193,group00042
AB141P03.genome.CDS.1023,group00736
AB141P03.genome.CDS.949,group00435
AB141P03.genome.CDS.948,group03927
AB141P03.genome.CDS.1039,group00300
AB141P03.genome.CDS.1038,group00194
AB141P03.genome.CDS.1033,group00449
AB141P03.genome.CDS.1032,group00448
AB141P03.genome.CDS.1031,group00358
AB141P03.genome.CDS.1030,group00315
AB141P03.genome.CDS.1037,group00058
AB141P03.genome.CDS.944,group01836
AB141P03.genome.CDS.947,group00460
AB141P03.genome.CDS.946,group00440
AB141P03.genome.CDS.668,group01163
AB141P03.genome.CDS.669,group00400
AB141P03.genome.CDS.1082,group00110
AB141P03.genome.CDS.661,group03938
AB141P03.genome.CDS.703,group01474
AB141P03.genome.CDS.702,group00780
AB141P03.genome.CDS.700,group00043
AB141P03.genome.CDS.707,group00786
AB141P03.genome.CDS.706,group00816
AB141P03.genome.CDS.705,group01366
AB141P03.genome.CDS.704,group00857
AB141P03.genome.CDS.709,group01247
AB141P03.genome.CDS.708,group00029
AB141P03.genome.CDS.1019,group00735
AB141P03.genome.CDS.831,group01074
AB141P03.genome.CDS.830,group01373
AB141P03.genome.CDS.833,group01047
AB141P03.genome.CDS.835,group01527
AB141P03.genome.CDS.834,group01411
AB141P03.genome.CDS.837,group00787
AB141P03.genome.CDS.836,group00434
AB141P03.genome.CDS.839,group01303
AB141P03.genome.CDS.838,group01771
AB141P03.genome.CDS.888,group00556
AB141P03.genome.CDS.889,group00527
AB141P03.genome.CDS.884,group00585
AB141P03.genome.CDS.885,group00600
AB141P03.genome.CDS.886,group00493
AB141P03.genome.CDS.887,group00415
AB141P03.genome.CDS.880,group00466
AB141P03.genome.CDS.881,group00741
AB141P03.genome.CDS.882,group00588
AB141P03.genome.CDS.883,group00423
AB141P03.genome.CDS.798,group00242
AB141P03.genome.CDS.799,group01025
AB141P03.genome.CDS.791,group01074
AB141P03.genome.CDS.792,group01373
AB141P03.genome.CDS.793,group00345
AB141P03.genome.CDS.794,group00346
AB141P03.genome.CDS.795,group00347
AB141P03.genome.CDS.796,group00658
AB141P03.genome.CDS.797,group01528
AB141P03.genome.CDS.247,group00875
AB141P03.genome.CDS.1253,group02879
AB141P03.genome.CDS.1252,group02878
AB141P03.genome.CDS.1251,group00670
AB141P03.genome.CDS.1250,group01398
AB141P03.genome.CDS.1257,group00267
AB141P03.genome.CDS.1256,group00350
AB141P03.genome.CDS.1255,group00609
AB141P03.genome.CDS.1254,group00229
AB141P03.genome.CDS.1259,group00902
AB141P03.genome.CDS.1258,group00673
AB141P03.genome.CDS.1230,group00232
AB141P03.genome.CDS.1329,group00790
AB141P03.genome.CDS.1328,group03924
AB141P03.genome.CDS.1327,group00744
AB141P03.genome.CDS.1326,group01212
AB141P03.genome.CDS.1325,group00363
AB141P03.genome.CDS.1324,group00999
AB141P03.genome.CDS.1323,group00308
AB141P03.genome.CDS.1322,group00353
AB141P03.genome.CDS.1321,group00200
AB141P03.genome.CDS.1320,group00719
AB141P03.genome.CDS.122,group01770
AB141P03.genome.CDS.1151,group00712
AB141P03.genome.CDS.1330,group00553
AB141P03.genome.CDS.1238,group01072
AB141P03.genome.CDS.1077,group00166
AB141P03.genome.CDS.1076,group00294
AB141P03.genome.CDS.1075,group00041
AB141P03.genome.CDS.1074,group00085
AB141P03.genome.CDS.1073,group00019
AB141P03.genome.CDS.1072,group00077
AB141P03.genome.CDS.1178,group00023
AB141P03.genome.CDS.1179,group00199
AB141P03.genome.CDS.1176,group01020
AB141P03.genome.CDS.1177,group01271
AB141P03.genome.CDS.1174,group00001
AB141P03.genome.CDS.1175,group00568
AB141P03.genome.CDS.1172,group00793
AB141P03.genome.CDS.1173,group00496
AB141P03.genome.CDS.1170,group00371
AB141P03.genome.CDS.1171,group00247
AB141P03.genome.CDS.992,group00285
AB141P03.genome.CDS.993,group00893
AB141P03.genome.CDS.990,group01017
AB141P03.genome.CDS.991,group00174
AB141P03.genome.CDS.996,group00946
AB141P03.genome.CDS.997,group00039
AB141P03.genome.CDS.994,group00074
AB141P03.genome.CDS.995,group00801
AB141P03.genome.CDS.629,group00428
AB141P03.genome.CDS.998,group00087
AB141P03.genome.CDS.999,group00103
AB141P03.genome.CDS.908,group00880
AB141P03.genome.CDS.909,group00811
AB141P03.genome.CDS.33,group00266
AB141P03.genome.CDS.905,group00332
AB141P03.genome.CDS.904,group00360
AB141P03.genome.CDS.907,group00441
AB141P03.genome.CDS.906,group00331
AB141P03.genome.CDS.901,group00377
AB141P03.genome.CDS.900,group00144
AB141P03.genome.CDS.903,group00079
AB141P03.genome.CDS.902,group00498
AB141P03.genome.CDS.695,group00849
AB141P03.genome.CDS.694,group00007
AB141P03.genome.CDS.697,group01059
AB141P03.genome.CDS.696,group00796
AB141P03.genome.CDS.691,group00690
AB141P03.genome.CDS.690,group00641
AB141P03.genome.CDS.693,group00947
AB141P03.genome.CDS.692,group00614
AB141P03.genome.CDS.754,group00486
AB141P03.genome.CDS.755,group00397
AB141P03.genome.CDS.756,group02876
AB141P03.genome.CDS.757,group01011
AB141P03.genome.CDS.750,group00756
AB141P03.genome.CDS.751,group00263
AB141P03.genome.CDS.752,group01048
AB141P03.genome.CDS.753,group00390
AB141P03.genome.CDS.941,group00782
AB141P03.genome.CDS.940,group00602
AB141P03.genome.CDS.943,group00069
AB141P03.genome.CDS.942,group01187
AB141P03.genome.CDS.1036,group00137
AB141P03.genome.CDS.1035,group00348
AB141P03.genome.CDS.1034,group00387
AB141P03.genome.CDS.572,group01036
AB141P03.genome.CDS.1356,group01213
AB141P03.genome.CDS.1357,group03932
AB141P03.genome.CDS.1354,group03931
AB141P03.genome.CDS.1355,group01607
AB141P03.genome.CDS.1352,group02597
AB141P03.genome.CDS.1353,group02470
AB141P03.genome.CDS.1350,group03929
AB141P03.genome.CDS.1351,group03930
AB141P03.genome.CDS.1358,group00839
AB141P03.genome.CDS.1359,group03933
AB141P03.genome.CDS.875,group00446
AB141P03.genome.CDS.874,group00344
AB141P03.genome.CDS.877,group00008
AB141P03.genome.CDS.876,group01169
AB141P03.genome.CDS.871,group00530
AB141P03.genome.CDS.919,group00665
AB141P03.genome.CDS.873,group00304
AB141P03.genome.CDS.872,group00422
AB141P03.genome.CDS.879,group00447
AB141P03.genome.CDS.878,group00465
AB141P03.genome.CDS.1148,group00418
AB141P03.genome.CDS.81,group00912
AB141P03.genome.CDS.1122,group00723
AB141P03.genome.CDS.758,group00752
AB141P03.genome.CDS.759,group00870
AB141P03.genome.CDS.1219,group00056
AB141P03.genome.CDS.1218,group00636
AB141P03.genome.CDS.1217,group00011
AB141P03.genome.CDS.1216,group00121
AB141P03.genome.CDS.1215,group00157
AB141P03.genome.CDS.1214,group00158
AB141P03.genome.CDS.1213,group00059
AB141P03.genome.CDS.1212,group00852
AB141P03.genome.CDS.1211,group00104
AB141P03.genome.CDS.1210,group00106
AB141P03.genome.CDS.1189,group00745
AB141P03.genome.CDS.1188,group00433
AB141P03.genome.CDS.1187,group01159
AB141P03.genome.CDS.1186,group00010
AB141P03.genome.CDS.1185,group01496
AB141P03.genome.CDS.1184,group01803
AB141P03.genome.CDS.1183,group01931
AB141P03.genome.CDS.1182,group01385
AB141P03.genome.CDS.1181,group01094
AB141P03.genome.CDS.1180,group00577
AB141P03.genome.CDS.699,group00504
AB141P03.genome.CDS.698,group00569
AB141P03.genome.CDS.1008,group00340
AB141P03.genome.CDS.1009,group00638
AB141P03.genome.CDS.1006,group00462
AB141P03.genome.CDS.1007,group00011
AB141P03.genome.CDS.1004,group00008
AB141P03.genome.CDS.1005,group00298
AB141P03.genome.CDS.1002,group00697
AB141P03.genome.CDS.1003,group00171
AB141P03.genome.CDS.1000,group00209
AB141P03.genome.CDS.1001,group00511
AB141P03.genome.CDS.1138,group00635
AB141P03.genome.CDS.1139,group00427
AB141P03.genome.CDS.1132,group00936
AB141P03.genome.CDS.1133,group03943
AB141P03.genome.CDS.1130,group00575
AB141P03.genome.CDS.1131,group01118
AB141P03.genome.CDS.1136,group00001
AB141P03.genome.CDS.1137,group00002
AB141P03.genome.CDS.1134,group00549
AB141P03.genome.CDS.1135,group00003
AB141P03.genome.CDS.912,group00964
AB141P03.genome.CDS.652,group02891
AB141P03.genome.CDS.710,group00668
AB141P03.genome.CDS.711,group01001
AB141P03.genome.CDS.712,group00590
AB141P03.genome.CDS.713,group00052
AB141P03.genome.CDS.714,group00730
AB141P03.genome.CDS.715,group00784
AB141P03.genome.CDS.716,group00176
AB141P03.genome.CDS.717,group00979
AB141P03.genome.CDS.718,group00753
AB141P03.genome.CDS.719,group00442
AB141P03.genome.CDS.956,group01120
AB141P03.genome.CDS.957,group00017
AB141P03.genome.CDS.954,group00652
AB141P03.genome.CDS.955,group00805
AB141P03.genome.CDS.952,group01140
AB141P03.genome.CDS.953,group00767
AB141P03.genome.CDS.950,group00402
AB141P03.genome.CDS.951,group00560
AB141P03.genome.CDS.958,group00914
AB141P03.genome.CDS.959,group00958
AB141P03.genome.CDS.731,group00890
AB141P03.genome.CDS.828,group00346
AB141P03.genome.CDS.829,group00345
AB141P03.genome.CDS.826,group00658
AB141P03.genome.CDS.827,group00347
AB141P03.genome.CDS.824,group00242
AB141P03.genome.CDS.825,group01528
AB141P03.genome.CDS.822,group00024
AB141P03.genome.CDS.823,group01025
AB141P03.genome.CDS.820,group01573
AB141P03.genome.CDS.821,group01850
AB141P03.genome.CDS.1094,group00548
