AAA028G02.genome.CDS.1340,group03393
AAA028G02.genome.CDS.2211,group00421
AAA028G02.genome.CDS.2210,group01144
AAA028G02.genome.CDS.2213,group00802
AAA028G02.genome.CDS.2212,group00034
AAA028G02.genome.CDS.1324,group01792
AAA028G02.genome.CDS.2214,group01330
AAA028G02.genome.CDS.2217,group00695
AAA028G02.genome.CDS.1327,group00988
AAA028G02.genome.CDS.2219,group01111
AAA028G02.genome.CDS.1329,group03381
AAA028G02.genome.CDS.1443,group01884
AAA028G02.genome.CDS.1442,group01816
AAA028G02.genome.CDS.1445,group02627
AAA028G02.genome.CDS.1444,group02068
AAA028G02.genome.CDS.1447,group01333
AAA028G02.genome.CDS.2319,group00600
AAA028G02.genome.CDS.2220,group00481
AAA028G02.genome.CDS.2144,group00963
AAA028G02.genome.CDS.1715,group00778
AAA028G02.genome.CDS.1855,group00400
AAA028G02.genome.CDS.1523,group00173
AAA028G02.genome.CDS.797,group00041
AAA028G02.genome.CDS.1372,group01963
AAA028G02.genome.CDS.2581,group00154
AAA028G02.genome.CDS.381,group03345
AAA028G02.genome.CDS.385,group00693
AAA028G02.genome.CDS.2325,group00447
AAA028G02.genome.CDS.2324,group00466
AAA028G02.genome.CDS.704,group00262
AAA028G02.genome.CDS.2326,group00465
AAA028G02.genome.CDS.2321,group00423
AAA028G02.genome.CDS.2320,group00585
AAA028G02.genome.CDS.2323,group00741
AAA028G02.genome.CDS.1938,group00228
AAA028G02.genome.CDS.2282,group00376
AAA028G02.genome.CDS.2280,group00366
AAA028G02.genome.CDS.2281,group00252
AAA028G02.genome.CDS.2329,group00446
AAA028G02.genome.CDS.2328,group01169
AAA028G02.genome.CDS.2284,group00526
AAA028G02.genome.CDS.2285,group00965
AAA028G02.genome.CDS.1874,group00731
AAA028G02.genome.CDS.1587,group00348
AAA028G02.genome.CDS.2048,group00211
AAA028G02.genome.CDS.2049,group00182
AAA028G02.genome.CDS.2100,group00566
AAA028G02.genome.CDS.2045,group00028
AAA028G02.genome.CDS.2046,group00452
AAA028G02.genome.CDS.2313,group00518
AAA028G02.genome.CDS.2040,group03362
AAA028G02.genome.CDS.1458,group02804
AAA028G02.genome.CDS.2042,group00070
AAA028G02.genome.CDS.2043,group00851
AAA028G02.genome.CDS.1742,group03360
AAA028G02.genome.CDS.1743,group01574
AAA028G02.genome.CDS.2102,group00099
AAA028G02.genome.CDS.1746,group00347
AAA028G02.genome.CDS.2573,group00550
AAA028G02.genome.CDS.1744,group02349
AAA028G02.genome.CDS.1745,group00658
AAA028G02.genome.CDS.1870,group01095
AAA028G02.genome.CDS.1748,group00345
AAA028G02.genome.CDS.1749,group03358
AAA028G02.genome.CDS.1036,group00706
AAA028G02.genome.CDS.1871,group01137
AAA028G02.genome.CDS.1584,group00194
AAA028G02.genome.CDS.1585,group00058
AAA028G02.genome.CDS.1586,group00137
AAA028G02.genome.CDS.1352,group02035
AAA028G02.genome.CDS.1669,group02938
AAA028G02.genome.CDS.1668,group03350
AAA028G02.genome.CDS.1582,group00378
AAA028G02.genome.CDS.1338,group03395
AAA028G02.genome.CDS.1665,group00036
AAA028G02.genome.CDS.1664,group00025
AAA028G02.genome.CDS.1667,group02345
AAA028G02.genome.CDS.1666,group02374
AAA028G02.genome.CDS.1588,group00387
AAA028G02.genome.CDS.1589,group00449
AAA028G02.genome.CDS.1663,group01405
AAA028G02.genome.CDS.1662,group01765
AAA028G02.genome.CDS.2039,group01054
AAA028G02.genome.CDS.2131,group00335
AAA028G02.genome.CDS.2132,group00125
AAA028G02.genome.CDS.2133,group00166
AAA028G02.genome.CDS.2134,group00294
AAA028G02.genome.CDS.2248,group00257
AAA028G02.genome.CDS.2136,group00085
AAA028G02.genome.CDS.2137,group00019
AAA028G02.genome.CDS.412,group03359
AAA028G02.genome.CDS.2139,group00101
AAA028G02.genome.CDS.2033,group01204
AAA028G02.genome.CDS.2249,group00381
AAA028G02.genome.CDS.2035,group02416
AAA028G02.genome.CDS.417,group03354
AAA028G02.genome.CDS.142,group00424
AAA028G02.genome.CDS.1660,group02698
AAA028G02.genome.CDS.1886,group00489
AAA028G02.genome.CDS.1399,group01072
AAA028G02.genome.CDS.2648,group03399
AAA028G02.genome.CDS.1446,group01345
AAA028G02.genome.CDS.2037,group02840
AAA028G02.genome.CDS.2642,group00399
AAA028G02.genome.CDS.2643,group00369
AAA028G02.genome.CDS.2640,group01230
AAA028G02.genome.CDS.1777,group01035
AAA028G02.genome.CDS.2646,group00165
AAA028G02.genome.CDS.2647,group00054
AAA028G02.genome.CDS.2644,group00411
AAA028G02.genome.CDS.2645,group00914
AAA028G02.genome.CDS.2130,group00120
AAA028G02.genome.CDS.609,group03367
AAA028G02.genome.CDS.2428,group00320
AAA028G02.genome.CDS.2429,group00206
AAA028G02.genome.CDS.2426,group00184
AAA028G02.genome.CDS.2427,group01752
AAA028G02.genome.CDS.2424,group00534
AAA028G02.genome.CDS.1550,group01698
AAA028G02.genome.CDS.1477,group00680
AAA028G02.genome.CDS.2423,group00307
AAA028G02.genome.CDS.2420,group00532
AAA028G02.genome.CDS.2421,group00533
AAA028G02.genome.CDS.2240,group00999
AAA028G02.genome.CDS.1328,group03321
AAA028G02.genome.CDS.2241,group00382
AAA028G02.genome.CDS.1511,group02202
AAA028G02.genome.CDS.2209,group01090
AAA028G02.genome.CDS.1945,group00524
AAA028G02.genome.CDS.2036,group01311
AAA028G02.genome.CDS.1655,group00817
AAA028G02.genome.CDS.2138,group00077
AAA028G02.genome.CDS.1903,group01017
AAA028G02.genome.CDS.2030,group00015
AAA028G02.genome.CDS.2490,group01833
AAA028G02.genome.CDS.1330,group02817
AAA028G02.genome.CDS.2218,group00406
AAA028G02.genome.CDS.1651,group01024
AAA028G02.genome.CDS.2394,group03385
AAA028G02.genome.CDS.2395,group01762
AAA028G02.genome.CDS.2396,group01664
AAA028G02.genome.CDS.2032,group01763
AAA028G02.genome.CDS.2390,group02945
AAA028G02.genome.CDS.2391,group02946
AAA028G02.genome.CDS.2392,group03387
AAA028G02.genome.CDS.2393,group03386
AAA028G02.genome.CDS.1364,group01913
AAA028G02.genome.CDS.2254,group00104
AAA028G02.genome.CDS.2257,group00158
AAA028G02.genome.CDS.1367,group01997
AAA028G02.genome.CDS.2251,group00657
AAA028G02.genome.CDS.1361,group02464
AAA028G02.genome.CDS.2253,group00106
AAA028G02.genome.CDS.2252,group00299
AAA028G02.genome.CDS.1856,group00582
AAA028G02.genome.CDS.1688,group01839
AAA028G02.genome.CDS.1854,group01163
AAA028G02.genome.CDS.1570,group01085
AAA028G02.genome.CDS.1852,group00302
AAA028G02.genome.CDS.1853,group00178
AAA028G02.genome.CDS.1919,group00494
AAA028G02.genome.CDS.1851,group00865
AAA028G02.genome.CDS.1917,group00298
AAA028G02.genome.CDS.1916,group00008
AAA028G02.genome.CDS.1915,group00171
AAA028G02.genome.CDS.1914,group00511
AAA028G02.genome.CDS.1913,group00209
AAA028G02.genome.CDS.1912,group00103
AAA028G02.genome.CDS.1911,group00087
AAA028G02.genome.CDS.1859,group01162
AAA028G02.genome.CDS.2237,group00621
AAA028G02.genome.CDS.2471,group00920
AAA028G02.genome.CDS.729,group03375
AAA028G02.genome.CDS.2541,group00282
AAA028G02.genome.CDS.2236,group01168
AAA028G02.genome.CDS.1658,group00234
AAA028G02.genome.CDS.2258,group00157
AAA028G02.genome.CDS.2235,group00482
AAA028G02.genome.CDS.1659,group02021
AAA028G02.genome.CDS.1405,group03416
AAA028G02.genome.CDS.2553,group00616
AAA028G02.genome.CDS.1568,group02178
AAA028G02.genome.CDS.2498,group00615
AAA028G02.genome.CDS.2556,group00611
AAA028G02.genome.CDS.1400,group00951
AAA028G02.genome.CDS.1403,group00827
AAA028G02.genome.CDS.1402,group00022
AAA028G02.genome.CDS.1562,group00004
AAA028G02.genome.CDS.1342,group03392
AAA028G02.genome.CDS.1560,group00634
AAA028G02.genome.CDS.2559,group00824
AAA028G02.genome.CDS.2497,group00822
AAA028G02.genome.CDS.2496,group00005
AAA028G02.genome.CDS.2495,group00644
AAA028G02.genome.CDS.1565,group01245
AAA028G02.genome.CDS.2088,group01195
AAA028G02.genome.CDS.2000,group00845
AAA028G02.genome.CDS.1469,group03323
AAA028G02.genome.CDS.2001,group00623
AAA028G02.genome.CDS.2080,group00699
AAA028G02.genome.CDS.2081,group00249
AAA028G02.genome.CDS.2082,group00407
AAA028G02.genome.CDS.2230,group01222
AAA028G02.genome.CDS.2084,group00607
AAA028G02.genome.CDS.2085,group01093
AAA028G02.genome.CDS.2086,group00655
AAA028G02.genome.CDS.2621,group00352
AAA028G02.genome.CDS.1406,group02847
AAA028G02.genome.CDS.2489,group00032
AAA028G02.genome.CDS.1927,group00549
AAA028G02.genome.CDS.2641,group01184
AAA028G02.genome.CDS.2169,group00355
AAA028G02.genome.CDS.2114,group00548
AAA028G02.genome.CDS.1990,group02942
AAA028G02.genome.CDS.2361,group00323
AAA028G02.genome.CDS.1461,group03330
AAA028G02.genome.CDS.1398,group01013
AAA028G02.genome.CDS.2009,group00501
AAA028G02.genome.CDS.2238,group00545
AAA028G02.genome.CDS.2398,group00689
AAA028G02.genome.CDS.1529,group01105
AAA028G02.genome.CDS.2168,group00998
AAA028G02.genome.CDS.2029,group03364
AAA028G02.genome.CDS.2491,group00525
AAA028G02.genome.CDS.1170,group00226
AAA028G02.genome.CDS.2198,group03373
AAA028G02.genome.CDS.1708,group00286
AAA028G02.genome.CDS.1709,group01061
AAA028G02.genome.CDS.1706,group01067
AAA028G02.genome.CDS.1707,group01591
AAA028G02.genome.CDS.1704,group00598
AAA028G02.genome.CDS.1705,group00992
AAA028G02.genome.CDS.1702,group01883
AAA028G02.genome.CDS.1703,group01106
AAA028G02.genome.CDS.1700,group02176
AAA028G02.genome.CDS.2318,group00493
AAA028G02.genome.CDS.2075,group00275
AAA028G02.genome.CDS.2074,group00354
AAA028G02.genome.CDS.2077,group00012
AAA028G02.genome.CDS.2076,group00392
AAA028G02.genome.CDS.2071,group00160
AAA028G02.genome.CDS.2070,group00219
AAA028G02.genome.CDS.2073,group00134
AAA028G02.genome.CDS.2566,group00819
AAA028G02.genome.CDS.2372,group02484
AAA028G02.genome.CDS.2373,group02485
AAA028G02.genome.CDS.2370,group02477
AAA028G02.genome.CDS.2371,group02246
AAA028G02.genome.CDS.2376,group01145
AAA028G02.genome.CDS.2377,group01167
AAA028G02.genome.CDS.2375,group01599
AAA028G02.genome.CDS.2606,group00096
AAA028G02.genome.CDS.2607,group00430
AAA028G02.genome.CDS.2604,group00973
AAA028G02.genome.CDS.2605,group01071
AAA028G02.genome.CDS.2178,group01063
AAA028G02.genome.CDS.2179,group00692
AAA028G02.genome.CDS.2600,group00537
AAA028G02.genome.CDS.2601,group00780
AAA028G02.genome.CDS.2174,group00888
AAA028G02.genome.CDS.2563,group00894
AAA028G02.genome.CDS.2176,group01882
AAA028G02.genome.CDS.2177,group00574
AAA028G02.genome.CDS.2170,group00277
AAA028G02.genome.CDS.2171,group00370
AAA028G02.genome.CDS.2608,group00144
AAA028G02.genome.CDS.2173,group00025
AAA028G02.genome.CDS.1632,group00561
AAA028G02.genome.CDS.1633,group00161
AAA028G02.genome.CDS.1630,group00625
AAA028G02.genome.CDS.2425,group00535
AAA028G02.genome.CDS.1636,group00814
AAA028G02.genome.CDS.2561,group00844
AAA028G02.genome.CDS.1634,group00562
AAA028G02.genome.CDS.2351,group00492
AAA028G02.genome.CDS.2422,group00307
AAA028G02.genome.CDS.1638,group00327
AAA028G02.genome.CDS.1411,group01022
AAA028G02.genome.CDS.109,group02911
AAA028G02.genome.CDS.2485,group01031
AAA028G02.genome.CDS.2486,group00841
AAA028G02.genome.CDS.2172,group01029
AAA028G02.genome.CDS.2109,group00127
AAA028G02.genome.CDS.2108,group00132
AAA028G02.genome.CDS.2261,group00274
AAA028G02.genome.CDS.1681,group02940
AAA028G02.genome.CDS.287,group00542
AAA028G02.genome.CDS.2101,group00700
AAA028G02.genome.CDS.2480,group00575
AAA028G02.genome.CDS.2103,group00100
AAA028G02.genome.CDS.2357,group00133
AAA028G02.genome.CDS.2105,group00781
AAA028G02.genome.CDS.2104,group00131
AAA028G02.genome.CDS.2107,group00155
AAA028G02.genome.CDS.1552,group03333
AAA028G02.genome.CDS.1838,group00569
AAA028G02.genome.CDS.2127,group01540
AAA028G02.genome.CDS.2602,group00815
AAA028G02.genome.CDS.2482,group00825
AAA028G02.genome.CDS.2466,group00944
AAA028G02.genome.CDS.2483,group00045
AAA028G02.genome.CDS.2359,group00480
AAA028G02.genome.CDS.1343,group03391
AAA028G02.genome.CDS.1441,group02143
AAA028G02.genome.CDS.2518,group00057
AAA028G02.genome.CDS.2519,group00215
AAA028G02.genome.CDS.2516,group00152
AAA028G02.genome.CDS.2517,group00060
AAA028G02.genome.CDS.2514,group00751
AAA028G02.genome.CDS.2515,group00905
AAA028G02.genome.CDS.2513,group00497
AAA028G02.genome.CDS.2510,group00750
AAA028G02.genome.CDS.2511,group01086
AAA028G02.genome.CDS.2603,group01522
AAA028G02.genome.CDS.2549,group00522
AAA028G02.genome.CDS.1900,group00280
AAA028G02.genome.CDS.2190,group01343
AAA028G02.genome.CDS.1385,group01976
AAA028G02.genome.CDS.2521,group00361
AAA028G02.genome.CDS.2457,group00666
AAA028G02.genome.CDS.2379,group01076
AAA028G02.genome.CDS.2456,group01922
AAA028G02.genome.CDS.2576,group00587
AAA028G02.genome.CDS.1524,group01436
AAA028G02.genome.CDS.1526,group01046
AAA028G02.genome.CDS.1527,group00813
AAA028G02.genome.CDS.2455,group00800
AAA028G02.genome.CDS.2454,group00669
AAA028G02.genome.CDS.1522,group02170
AAA028G02.genome.CDS.2452,group00792
AAA028G02.genome.CDS.1689,group01121
AAA028G02.genome.CDS.1521,group01740
AAA028G02.genome.CDS.1687,group01369
AAA028G02.genome.CDS.1686,group00930
AAA028G02.genome.CDS.1685,group00039
AAA028G02.genome.CDS.1684,group01329
AAA028G02.genome.CDS.1683,group01673
AAA028G02.genome.CDS.1682,group01300
AAA028G02.genome.CDS.1528,group01510
AAA028G02.genome.CDS.1680,group01659
AAA028G02.genome.CDS.2124,group01444
AAA028G02.genome.CDS.1520,group01113
AAA028G02.genome.CDS.2554,group00328
AAA028G02.genome.CDS.2450,group00337
AAA028G02.genome.CDS.1849,group01038
AAA028G02.genome.CDS.1829,group01316
AAA028G02.genome.CDS.2052,group00195
AAA028G02.genome.CDS.1827,group00266
AAA028G02.genome.CDS.1826,group00857
AAA028G02.genome.CDS.1825,group02756
AAA028G02.genome.CDS.1824,group00816
AAA028G02.genome.CDS.1823,group00786
AAA028G02.genome.CDS.1822,group03369
AAA028G02.genome.CDS.1821,group00956
AAA028G02.genome.CDS.1820,group00029
AAA028G02.genome.CDS.1892,group00529
AAA028G02.genome.CDS.1893,group00605
AAA028G02.genome.CDS.1890,group00696
AAA028G02.genome.CDS.1891,group00038
AAA028G02.genome.CDS.1896,group01006
AAA028G02.genome.CDS.1897,group00863
AAA028G02.genome.CDS.1894,group00660
AAA028G02.genome.CDS.1895,group00573
AAA028G02.genome.CDS.1953,group01631
AAA028G02.genome.CDS.1952,group01934
AAA028G02.genome.CDS.1898,group00216
AAA028G02.genome.CDS.1899,group00409
AAA028G02.genome.CDS.1957,group00866
AAA028G02.genome.CDS.1956,group01759
AAA028G02.genome.CDS.1955,group01661
AAA028G02.genome.CDS.2056,group00292
AAA028G02.genome.CDS.625,group00950
AAA028G02.genome.CDS.1354,group02311
AAA028G02.genome.CDS.2200,group00185
AAA028G02.genome.CDS.1459,group02805
AAA028G02.genome.CDS.1351,group02073
AAA028G02.genome.CDS.1350,group02074
AAA028G02.genome.CDS.1353,group03403
AAA028G02.genome.CDS.2205,group00451
AAA028G02.genome.CDS.1452,group02764
AAA028G02.genome.CDS.1453,group01983
AAA028G02.genome.CDS.1450,group01981
AAA028G02.genome.CDS.1451,group02068
AAA028G02.genome.CDS.1359,group02846
AAA028G02.genome.CDS.1358,group03410
AAA028G02.genome.CDS.1454,group02458
AAA028G02.genome.CDS.1455,group02936
AAA028G02.genome.CDS.2096,group00717
AAA028G02.genome.CDS.1563,group00016
AAA028G02.genome.CDS.2568,group00873
AAA028G02.genome.CDS.1536,group01231
AAA028G02.genome.CDS.2247,group00362
AAA028G02.genome.CDS.1887,group00733
AAA028G02.genome.CDS.1424,group02424
AAA028G02.genome.CDS.1752,group03355
AAA028G02.genome.CDS.1847,group00690
AAA028G02.genome.CDS.2337,group01251
AAA028G02.genome.CDS.2334,group00530
AAA028G02.genome.CDS.2335,group01616
AAA028G02.genome.CDS.2332,group00304
AAA028G02.genome.CDS.2333,group00422
AAA028G02.genome.CDS.2330,group00633
AAA028G02.genome.CDS.2331,group00344
AAA028G02.genome.CDS.308,group03340
AAA028G02.genome.CDS.1013,group03371
AAA028G02.genome.CDS.2338,group01130
AAA028G02.genome.CDS.1449,group02400
AAA028G02.genome.CDS.2195,group00270
AAA028G02.genome.CDS.2472,group00919
AAA028G02.genome.CDS.2058,group00156
AAA028G02.genome.CDS.688,group03365
AAA028G02.genome.CDS.2528,group00325
AAA028G02.genome.CDS.2381,group01428
AAA028G02.genome.CDS.1776,group01808
AAA028G02.genome.CDS.1775,group00311
AAA028G02.genome.CDS.1774,group00691
AAA028G02.genome.CDS.1773,group00870
AAA028G02.genome.CDS.1772,group02014
AAA028G02.genome.CDS.1525,group01556
AAA028G02.genome.CDS.1770,group00397
AAA028G02.genome.CDS.2312,group00867
AAA028G02.genome.CDS.1040,group01116
AAA028G02.genome.CDS.1779,group00608
AAA028G02.genome.CDS.1778,group01674
AAA028G02.genome.CDS.1868,group00505
AAA028G02.genome.CDS.2436,group00115
AAA028G02.genome.CDS.1678,group01724
AAA028G02.genome.CDS.1679,group02939
AAA028G02.genome.CDS.1676,group01152
AAA028G02.genome.CDS.1677,group00000
AAA028G02.genome.CDS.1674,group03347
AAA028G02.genome.CDS.1675,group01153
AAA028G02.genome.CDS.1672,group03349
AAA028G02.genome.CDS.1673,group03348
AAA028G02.genome.CDS.1670,group01293
AAA028G02.genome.CDS.1671,group00036
AAA028G02.genome.CDS.2145,group01034
AAA028G02.genome.CDS.1593,group00359
AAA028G02.genome.CDS.2147,group00086
AAA028G02.genome.CDS.2146,group00084
AAA028G02.genome.CDS.2141,group00295
AAA028G02.genome.CDS.2140,group00196
AAA028G02.genome.CDS.2143,group00170
AAA028G02.genome.CDS.1592,group00315
AAA028G02.genome.CDS.2022,group02943
AAA028G02.genome.CDS.404,group03352
AAA028G02.genome.CDS.2020,group01136
AAA028G02.genome.CDS.2021,group01748
AAA028G02.genome.CDS.2149,group01270
AAA028G02.genome.CDS.2148,group00188
AAA028G02.genome.CDS.2024,group01731
AAA028G02.genome.CDS.2025,group01122
AAA028G02.genome.CDS.2019,group01015
AAA028G02.genome.CDS.1567,group00897
AAA028G02.genome.CDS.2670,group00118
AAA028G02.genome.CDS.2413,group02947
AAA028G02.genome.CDS.2412,group03389
AAA028G02.genome.CDS.2411,group01340
AAA028G02.genome.CDS.2410,group00790
AAA028G02.genome.CDS.2228,group01124
AAA028G02.genome.CDS.2416,group02949
AAA028G02.genome.CDS.2415,group02453
AAA028G02.genome.CDS.2414,group02948
AAA028G02.genome.CDS.2358,group00830
AAA028G02.genome.CDS.2419,group00470
AAA028G02.genome.CDS.2418,group00468
AAA028G02.genome.CDS.2397,group00521
AAA028G02.genome.CDS.1489,group00067
AAA028G02.genome.CDS.1488,group00190
AAA028G02.genome.CDS.2506,group00114
AAA028G02.genome.CDS.1485,group00592
AAA028G02.genome.CDS.2259,group00121
AAA028G02.genome.CDS.1487,group00163
AAA028G02.genome.CDS.1564,group01577
AAA028G02.genome.CDS.1481,group00401
AAA028G02.genome.CDS.1599,group00674
