acIB-AMD-6.genome.CDS.595,group00565
acIB-AMD-6.genome.CDS.912,group00030
acIB-AMD-6.genome.CDS.915,group00947
acIB-AMD-6.genome.CDS.914,group00614
acIB-AMD-6.genome.CDS.917,group00849
acIB-AMD-6.genome.CDS.916,group00007
acIB-AMD-6.genome.CDS.919,group01059
acIB-AMD-6.genome.CDS.918,group00796
acIB-AMD-6.genome.CDS.793,group00294
acIB-AMD-6.genome.CDS.629,group00714
acIB-AMD-6.genome.CDS.628,group00291
acIB-AMD-6.genome.CDS.1095,group00676
acIB-AMD-6.genome.CDS.623,group00823
acIB-AMD-6.genome.CDS.622,group00413
acIB-AMD-6.genome.CDS.621,group00414
acIB-AMD-6.genome.CDS.620,group00235
acIB-AMD-6.genome.CDS.627,group00080
acIB-AMD-6.genome.CDS.1096,group00835
acIB-AMD-6.genome.CDS.625,group00488
acIB-AMD-6.genome.CDS.624,group00856
acIB-AMD-6.genome.CDS.1097,group01083
acIB-AMD-6.genome.CDS.797,group00077
acIB-AMD-6.genome.CDS.796,group00019
acIB-AMD-6.genome.CDS.1092,group00263
acIB-AMD-6.genome.CDS.1093,group00756
acIB-AMD-6.genome.CDS.648,group00197
acIB-AMD-6.genome.CDS.825,group00811
acIB-AMD-6.genome.CDS.824,group00880
acIB-AMD-6.genome.CDS.827,group00722
acIB-AMD-6.genome.CDS.989,group00100
acIB-AMD-6.genome.CDS.821,group00332
acIB-AMD-6.genome.CDS.820,group00360
acIB-AMD-6.genome.CDS.823,group00441
acIB-AMD-6.genome.CDS.822,group00331
acIB-AMD-6.genome.CDS.982,group00089
acIB-AMD-6.genome.CDS.983,group00239
acIB-AMD-6.genome.CDS.980,group00152
acIB-AMD-6.genome.CDS.981,group00060
acIB-AMD-6.genome.CDS.829,group00207
acIB-AMD-6.genome.CDS.987,group00700
acIB-AMD-6.genome.CDS.984,group00271
acIB-AMD-6.genome.CDS.985,group00675
acIB-AMD-6.genome.CDS.894,group00265
acIB-AMD-6.genome.CDS.828,group02221
acIB-AMD-6.genome.CDS.551,group00828
acIB-AMD-6.genome.CDS.550,group00428
acIB-AMD-6.genome.CDS.553,group01020
acIB-AMD-6.genome.CDS.552,group01258
acIB-AMD-6.genome.CDS.555,group00023
acIB-AMD-6.genome.CDS.554,group01271
acIB-AMD-6.genome.CDS.557,group00577
acIB-AMD-6.genome.CDS.895,group00061
acIB-AMD-6.genome.CDS.559,group00746
acIB-AMD-6.genome.CDS.558,group00745
acIB-AMD-6.genome.CDS.896,group00187
acIB-AMD-6.genome.CDS.1094,group00912
acIB-AMD-6.genome.CDS.792,group00166
acIB-AMD-6.genome.CDS.791,group02786
acIB-AMD-6.genome.CDS.790,group00125
acIB-AMD-6.genome.CDS.1090,group01048
acIB-AMD-6.genome.CDS.1091,group00263
acIB-AMD-6.genome.CDS.795,group00085
acIB-AMD-6.genome.CDS.794,group00041
acIB-AMD-6.genome.CDS.959,group01364
acIB-AMD-6.genome.CDS.799,group00196
acIB-AMD-6.genome.CDS.798,group00101
acIB-AMD-6.genome.CDS.1098,group01021
acIB-AMD-6.genome.CDS.636,group00711
acIB-AMD-6.genome.CDS.675,group00840
acIB-AMD-6.genome.CDS.382,group00476
acIB-AMD-6.genome.CDS.1031,group00710
acIB-AMD-6.genome.CDS.892,group00053
acIB-AMD-6.genome.CDS.386,group03178
acIB-AMD-6.genome.CDS.387,group00380
acIB-AMD-6.genome.CDS.630,group01215
acIB-AMD-6.genome.CDS.677,group00248
acIB-AMD-6.genome.CDS.673,group00940
acIB-AMD-6.genome.CDS.631,group00563
acIB-AMD-6.genome.CDS.670,group00538
acIB-AMD-6.genome.CDS.671,group00727
acIB-AMD-6.genome.CDS.672,group01139
acIB-AMD-6.genome.CDS.897,group00656
acIB-AMD-6.genome.CDS.890,group00378
acIB-AMD-6.genome.CDS.958,group00356
acIB-AMD-6.genome.CDS.676,group00398
acIB-AMD-6.genome.CDS.893,group00083
acIB-AMD-6.genome.CDS.678,group00985
acIB-AMD-6.genome.CDS.954,group01336
acIB-AMD-6.genome.CDS.773,group00046
acIB-AMD-6.genome.CDS.1035,group00334
acIB-AMD-6.genome.CDS.898,group00207
acIB-AMD-6.genome.CDS.899,group00356
acIB-AMD-6.genome.CDS.777,group00148
acIB-AMD-6.genome.CDS.952,group00604
acIB-AMD-6.genome.CDS.1003,group00711
acIB-AMD-6.genome.CDS.1002,group00760
acIB-AMD-6.genome.CDS.1001,group00685
acIB-AMD-6.genome.CDS.956,group01245
acIB-AMD-6.genome.CDS.708,group01670
acIB-AMD-6.genome.CDS.1006,group00391
acIB-AMD-6.genome.CDS.1005,group00797
acIB-AMD-6.genome.CDS.259,group00518
acIB-AMD-6.genome.CDS.704,group00059
acIB-AMD-6.genome.CDS.705,group00158
acIB-AMD-6.genome.CDS.674,group00454
acIB-AMD-6.genome.CDS.707,group00121
acIB-AMD-6.genome.CDS.700,group00299
acIB-AMD-6.genome.CDS.701,group00106
acIB-AMD-6.genome.CDS.702,group00104
acIB-AMD-6.genome.CDS.774,group00055
acIB-AMD-6.genome.CDS.779,group00198
acIB-AMD-6.genome.CDS.953,group00694
acIB-AMD-6.genome.CDS.776,group00092
acIB-AMD-6.genome.CDS.891,group00349
acIB-AMD-6.genome.CDS.634,group00685
acIB-AMD-6.genome.CDS.778,group00419
acIB-AMD-6.genome.CDS.1054,group00225
acIB-AMD-6.genome.CDS.1000,group00701
acIB-AMD-6.genome.CDS.1007,group00589
acIB-AMD-6.genome.CDS.709,group00274
acIB-AMD-6.genome.CDS.964,group00010
acIB-AMD-6.genome.CDS.741,group00190
acIB-AMD-6.genome.CDS.170,group00208
acIB-AMD-6.genome.CDS.966,group00036
acIB-AMD-6.genome.CDS.1055,group00437
acIB-AMD-6.genome.CDS.743,group00544
acIB-AMD-6.genome.CDS.960,group01691
acIB-AMD-6.genome.CDS.706,group00157
acIB-AMD-6.genome.CDS.745,group00291
acIB-AMD-6.genome.CDS.771,group00118
acIB-AMD-6.genome.CDS.962,group01456
acIB-AMD-6.genome.CDS.747,group00379
acIB-AMD-6.genome.CDS.703,group00852
acIB-AMD-6.genome.CDS.878,group00086
acIB-AMD-6.genome.CDS.879,group00188
acIB-AMD-6.genome.CDS.872,group00642
acIB-AMD-6.genome.CDS.873,group02662
acIB-AMD-6.genome.CDS.870,group00127
acIB-AMD-6.genome.CDS.871,group00878
acIB-AMD-6.genome.CDS.876,group00084
acIB-AMD-6.genome.CDS.877,group02787
acIB-AMD-6.genome.CDS.874,group00205
acIB-AMD-6.genome.CDS.875,group00627
acIB-AMD-6.genome.CDS.679,group00072
acIB-AMD-6.genome.CDS.586,group00662
acIB-AMD-6.genome.CDS.587,group00540
acIB-AMD-6.genome.CDS.584,group00615
acIB-AMD-6.genome.CDS.585,group00763
acIB-AMD-6.genome.CDS.582,group00005
acIB-AMD-6.genome.CDS.583,group00822
acIB-AMD-6.genome.CDS.580,group00723
acIB-AMD-6.genome.CDS.581,group00644
acIB-AMD-6.genome.CDS.588,group00541
acIB-AMD-6.genome.CDS.589,group00010
acIB-AMD-6.genome.CDS.452,group00875
acIB-AMD-6.genome.CDS.632,group00324
acIB-AMD-6.genome.CDS.965,group00036
acIB-AMD-6.genome.CDS.735,group00338
acIB-AMD-6.genome.CDS.734,group00065
acIB-AMD-6.genome.CDS.737,group00066
acIB-AMD-6.genome.CDS.736,group00258
acIB-AMD-6.genome.CDS.731,group00013
acIB-AMD-6.genome.CDS.730,group00186
acIB-AMD-6.genome.CDS.733,group00146
acIB-AMD-6.genome.CDS.732,group00126
acIB-AMD-6.genome.CDS.739,group00111
acIB-AMD-6.genome.CDS.738,group00147
acIB-AMD-6.genome.CDS.955,group00013
acIB-AMD-6.genome.CDS.1049,group00204
acIB-AMD-6.genome.CDS.1048,group00373
acIB-AMD-6.genome.CDS.1047,group00156
acIB-AMD-6.genome.CDS.1046,group00022
acIB-AMD-6.genome.CDS.1045,group01018
acIB-AMD-6.genome.CDS.1044,group00827
acIB-AMD-6.genome.CDS.1043,group00003
acIB-AMD-6.genome.CDS.1042,group00568
acIB-AMD-6.genome.CDS.1041,group00001
acIB-AMD-6.genome.CDS.1040,group00496
acIB-AMD-6.genome.CDS.902,group02155
acIB-AMD-6.genome.CDS.903,group00333
acIB-AMD-6.genome.CDS.900,group01669
acIB-AMD-6.genome.CDS.901,group03177
acIB-AMD-6.genome.CDS.906,group01014
acIB-AMD-6.genome.CDS.907,group00217
acIB-AMD-6.genome.CDS.904,group00410
acIB-AMD-6.genome.CDS.905,group00718
acIB-AMD-6.genome.CDS.908,group00206
acIB-AMD-6.genome.CDS.909,group00320
acIB-AMD-6.genome.CDS.649,group00514
acIB-AMD-6.genome.CDS.1050,group00450
acIB-AMD-6.genome.CDS.124,group03182
acIB-AMD-6.genome.CDS.1051,group00329
acIB-AMD-6.genome.CDS.641,group00651
acIB-AMD-6.genome.CDS.640,group00589
acIB-AMD-6.genome.CDS.643,group00210
acIB-AMD-6.genome.CDS.642,group00783
acIB-AMD-6.genome.CDS.645,group00632
acIB-AMD-6.genome.CDS.644,group00278
acIB-AMD-6.genome.CDS.647,group00664
acIB-AMD-6.genome.CDS.646,group00672
acIB-AMD-6.genome.CDS.1038,group00247
acIB-AMD-6.genome.CDS.1039,group00793
acIB-AMD-6.genome.CDS.638,group00797
acIB-AMD-6.genome.CDS.639,group00391
acIB-AMD-6.genome.CDS.1032,group00551
acIB-AMD-6.genome.CDS.635,group00760
acIB-AMD-6.genome.CDS.1030,group01503
acIB-AMD-6.genome.CDS.637,group00850
acIB-AMD-6.genome.CDS.1036,group00295
acIB-AMD-6.genome.CDS.1037,group00371
acIB-AMD-6.genome.CDS.1034,group00550
acIB-AMD-6.genome.CDS.633,group00701
acIB-AMD-6.genome.CDS.1056,group00832
acIB-AMD-6.genome.CDS.1057,group00253
acIB-AMD-6.genome.CDS.772,group00015
acIB-AMD-6.genome.CDS.951,group00603
acIB-AMD-6.genome.CDS.836,group00349
acIB-AMD-6.genome.CDS.837,group00378
acIB-AMD-6.genome.CDS.834,group00083
acIB-AMD-6.genome.CDS.835,group00053
acIB-AMD-6.genome.CDS.833,group00265
acIB-AMD-6.genome.CDS.830,group00656
acIB-AMD-6.genome.CDS.831,group00187
acIB-AMD-6.genome.CDS.950,group01092
acIB-AMD-6.genome.CDS.838,group00300
acIB-AMD-6.genome.CDS.839,group00194
acIB-AMD-6.genome.CDS.1089,group00390
acIB-AMD-6.genome.CDS.1088,group00054
acIB-AMD-6.genome.CDS.1083,group00452
acIB-AMD-6.genome.CDS.1082,group00915
acIB-AMD-6.genome.CDS.1081,group00211
acIB-AMD-6.genome.CDS.1080,group00182
acIB-AMD-6.genome.CDS.1087,group00070
acIB-AMD-6.genome.CDS.1086,group00851
acIB-AMD-6.genome.CDS.1085,group00262
acIB-AMD-6.genome.CDS.1084,group00028
acIB-AMD-6.genome.CDS.543,group00350
acIB-AMD-6.genome.CDS.546,group00902
acIB-AMD-6.genome.CDS.547,group00154
acIB-AMD-6.genome.CDS.544,group00267
acIB-AMD-6.genome.CDS.545,group00673
acIB-AMD-6.genome.CDS.990,group00131
acIB-AMD-6.genome.CDS.548,group00303
acIB-AMD-6.genome.CDS.549,group00351
acIB-AMD-6.genome.CDS.784,group00601
acIB-AMD-6.genome.CDS.785,group00336
acIB-AMD-6.genome.CDS.786,group00040
acIB-AMD-6.genome.CDS.787,group00110
acIB-AMD-6.genome.CDS.780,group00091
acIB-AMD-6.genome.CDS.781,group00175
acIB-AMD-6.genome.CDS.783,group03185
acIB-AMD-6.genome.CDS.788,group00120
acIB-AMD-6.genome.CDS.789,group00335
acIB-AMD-6.genome.CDS.882,group01501
acIB-AMD-6.genome.CDS.605,group00133
acIB-AMD-6.genome.CDS.604,group00879
acIB-AMD-6.genome.CDS.768,group00779
acIB-AMD-6.genome.CDS.769,group00995
acIB-AMD-6.genome.CDS.601,group00492
acIB-AMD-6.genome.CDS.600,group00404
acIB-AMD-6.genome.CDS.603,group01406
acIB-AMD-6.genome.CDS.949,group01046
acIB-AMD-6.genome.CDS.946,group00949
acIB-AMD-6.genome.CDS.947,group00212
acIB-AMD-6.genome.CDS.944,group00272
acIB-AMD-6.genome.CDS.945,group00443
acIB-AMD-6.genome.CDS.609,group00323
acIB-AMD-6.genome.CDS.943,group00272
acIB-AMD-6.genome.CDS.940,group00068
acIB-AMD-6.genome.CDS.765,group00507
acIB-AMD-6.genome.CDS.1076,group00151
acIB-AMD-6.genome.CDS.883,group01563
acIB-AMD-6.genome.CDS.1074,group00976
acIB-AMD-6.genome.CDS.1075,group00095
acIB-AMD-6.genome.CDS.1072,group00150
acIB-AMD-6.genome.CDS.1073,group00129
acIB-AMD-6.genome.CDS.1070,group00063
acIB-AMD-6.genome.CDS.1071,group00082
acIB-AMD-6.genome.CDS.957,group01545
acIB-AMD-6.genome.CDS.1078,group00273
acIB-AMD-6.genome.CDS.1079,group00075
acIB-AMD-6.genome.CDS.142,group00122
acIB-AMD-6.genome.CDS.281,group02370
acIB-AMD-6.genome.CDS.668,group01518
acIB-AMD-6.genome.CDS.626,group00364
acIB-AMD-6.genome.CDS.920,group00569
acIB-AMD-6.genome.CDS.921,group00504
acIB-AMD-6.genome.CDS.770,group00119
acIB-AMD-6.genome.CDS.665,group00040
acIB-AMD-6.genome.CDS.117,group00166
acIB-AMD-6.genome.CDS.664,group00110
acIB-AMD-6.genome.CDS.1102,group00179
acIB-AMD-6.genome.CDS.663,group00120
acIB-AMD-6.genome.CDS.1100,group00238
acIB-AMD-6.genome.CDS.1101,group00180
acIB-AMD-6.genome.CDS.925,group01320
acIB-AMD-6.genome.CDS.926,group01188
acIB-AMD-6.genome.CDS.660,group00757
acIB-AMD-6.genome.CDS.775,group00093
acIB-AMD-6.genome.CDS.973,group00578
acIB-AMD-6.genome.CDS.972,group00114
acIB-AMD-6.genome.CDS.614,group00405
acIB-AMD-6.genome.CDS.713,group00151
acIB-AMD-6.genome.CDS.615,group00031
acIB-AMD-6.genome.CDS.849,group00770
acIB-AMD-6.genome.CDS.848,group00728
acIB-AMD-6.genome.CDS.847,group00891
acIB-AMD-6.genome.CDS.846,group00671
acIB-AMD-6.genome.CDS.845,group01838
acIB-AMD-6.genome.CDS.844,group00311
acIB-AMD-6.genome.CDS.843,group00691
acIB-AMD-6.genome.CDS.1016,group00811
acIB-AMD-6.genome.CDS.613,group00989
acIB-AMD-6.genome.CDS.710,group00309
acIB-AMD-6.genome.CDS.975,group00455
acIB-AMD-6.genome.CDS.717,group00150
acIB-AMD-6.genome.CDS.758,group01014
acIB-AMD-6.genome.CDS.716,group00129
acIB-AMD-6.genome.CDS.1012,group00769
acIB-AMD-6.genome.CDS.1013,group00964
acIB-AMD-6.genome.CDS.979,group00905
acIB-AMD-6.genome.CDS.754,group00050
acIB-AMD-6.genome.CDS.618,group00719
acIB-AMD-6.genome.CDS.750,group00737
acIB-AMD-6.genome.CDS.889,group00300
acIB-AMD-6.genome.CDS.726,group00090
acIB-AMD-6.genome.CDS.727,group00246
acIB-AMD-6.genome.CDS.724,group00317
acIB-AMD-6.genome.CDS.725,group00765
acIB-AMD-6.genome.CDS.722,group00846
acIB-AMD-6.genome.CDS.723,group00109
acIB-AMD-6.genome.CDS.720,group00048
acIB-AMD-6.genome.CDS.721,group03184
acIB-AMD-6.genome.CDS.728,group00192
acIB-AMD-6.genome.CDS.729,group00548
acIB-AMD-6.genome.CDS.1103,group00855
acIB-AMD-6.genome.CDS.611,group00547
acIB-AMD-6.genome.CDS.936,group00456
acIB-AMD-6.genome.CDS.935,group00571
acIB-AMD-6.genome.CDS.934,group00143
acIB-AMD-6.genome.CDS.933,group00485
acIB-AMD-6.genome.CDS.932,group00630
acIB-AMD-6.genome.CDS.931,group00591
acIB-AMD-6.genome.CDS.930,group00170
acIB-AMD-6.genome.CDS.610,group00484
acIB-AMD-6.genome.CDS.939,group00047
acIB-AMD-6.genome.CDS.938,group00189
acIB-AMD-6.genome.CDS.154,group03183
acIB-AMD-6.genome.CDS.658,group00294
acIB-AMD-6.genome.CDS.153,group00908
acIB-AMD-6.genome.CDS.652,group00196
acIB-AMD-6.genome.CDS.653,group00101
acIB-AMD-6.genome.CDS.650,group00330
acIB-AMD-6.genome.CDS.651,group00213
acIB-AMD-6.genome.CDS.656,group00085
acIB-AMD-6.genome.CDS.657,group00041
acIB-AMD-6.genome.CDS.654,group00077
acIB-AMD-6.genome.CDS.655,group00019
acIB-AMD-6.genome.CDS.1029,group00430
acIB-AMD-6.genome.CDS.1028,group01102
acIB-AMD-6.genome.CDS.1021,group03181
acIB-AMD-6.genome.CDS.1020,group00332
acIB-AMD-6.genome.CDS.1023,group00929
acIB-AMD-6.genome.CDS.1022,group00396
acIB-AMD-6.genome.CDS.1025,group01289
acIB-AMD-6.genome.CDS.1024,group01024
acIB-AMD-6.genome.CDS.236,group01055
acIB-AMD-6.genome.CDS.1026,group00339
acIB-AMD-6.genome.CDS.809,group00518
acIB-AMD-6.genome.CDS.803,group00197
acIB-AMD-6.genome.CDS.802,group00514
acIB-AMD-6.genome.CDS.801,group00330
acIB-AMD-6.genome.CDS.800,group00213
acIB-AMD-6.genome.CDS.807,group00286
acIB-AMD-6.genome.CDS.806,group00672
acIB-AMD-6.genome.CDS.805,group00664
acIB-AMD-6.genome.CDS.923,group01299
acIB-AMD-6.genome.CDS.976,group00750
acIB-AMD-6.genome.CDS.695,group00321
acIB-AMD-6.genome.CDS.988,group00099
acIB-AMD-6.genome.CDS.826,group00831
acIB-AMD-6.genome.CDS.291,group00137
acIB-AMD-6.genome.CDS.577,group00525
acIB-AMD-6.genome.CDS.576,group00581
acIB-AMD-6.genome.CDS.575,group01031
acIB-AMD-6.genome.CDS.574,group00637
acIB-AMD-6.genome.CDS.573,group00045
acIB-AMD-6.genome.CDS.572,group00825
acIB-AMD-6.genome.CDS.571,group00575
acIB-AMD-6.genome.CDS.570,group01118
acIB-AMD-6.genome.CDS.986,group00566
acIB-AMD-6.genome.CDS.579,group00723
acIB-AMD-6.genome.CDS.578,group00698
acIB-AMD-6.genome.CDS.842,group00870
acIB-AMD-6.genome.CDS.616,group00261
acIB-AMD-6.genome.CDS.617,group00599
acIB-AMD-6.genome.CDS.971,group00049
acIB-AMD-6.genome.CDS.970,group00049
acIB-AMD-6.genome.CDS.612,group00499
acIB-AMD-6.genome.CDS.204,group00141
acIB-AMD-6.genome.CDS.759,group00217
acIB-AMD-6.genome.CDS.974,group00654
acIB-AMD-6.genome.CDS.757,group00718
acIB-AMD-6.genome.CDS.756,group00410
acIB-AMD-6.genome.CDS.755,group00333
acIB-AMD-6.genome.CDS.978,group00226
acIB-AMD-6.genome.CDS.753,group00139
acIB-AMD-6.genome.CDS.752,group00386
acIB-AMD-6.genome.CDS.751,group00439
acIB-AMD-6.genome.CDS.619,group00200
acIB-AMD-6.genome.CDS.1065,group00094
acIB-AMD-6.genome.CDS.1064,group00254
acIB-AMD-6.genome.CDS.1067,group00882
acIB-AMD-6.genome.CDS.1066,group00503
acIB-AMD-6.genome.CDS.1061,group00142
acIB-AMD-6.genome.CDS.1060,group01066
acIB-AMD-6.genome.CDS.1063,group00081
acIB-AMD-6.genome.CDS.1062,group00191
acIB-AMD-6.genome.CDS.1033,group00617
acIB-AMD-6.genome.CDS.1069,group00203
acIB-AMD-6.genome.CDS.1068,group00048
acIB-AMD-6.genome.CDS.689,group00708
acIB-AMD-6.genome.CDS.688,group00244
acIB-AMD-6.genome.CDS.685,group00172
acIB-AMD-6.genome.CDS.684,group00115
acIB-AMD-6.genome.CDS.687,group01004
acIB-AMD-6.genome.CDS.686,group00145
acIB-AMD-6.genome.CDS.681,group00097
acIB-AMD-6.genome.CDS.680,group00062
acIB-AMD-6.genome.CDS.682,group00098
acIB-AMD-6.genome.CDS.299,group03173
acIB-AMD-6.genome.CDS.840,group00058
acIB-AMD-6.genome.CDS.1004,group00850
acIB-AMD-6.genome.CDS.850,group00576
acIB-AMD-6.genome.CDS.998,group00621
acIB-AMD-6.genome.CDS.852,group00587
acIB-AMD-6.genome.CDS.853,group00305
acIB-AMD-6.genome.CDS.854,group00163
acIB-AMD-6.genome.CDS.855,group00190
acIB-AMD-6.genome.CDS.856,group00067
acIB-AMD-6.genome.CDS.857,group00111
acIB-AMD-6.genome.CDS.858,group00147
acIB-AMD-6.genome.CDS.859,group00066
acIB-AMD-6.genome.CDS.993,group00567
acIB-AMD-6.genome.CDS.992,group00781
acIB-AMD-6.genome.CDS.995,group03180
acIB-AMD-6.genome.CDS.994,group00155
acIB-AMD-6.genome.CDS.997,group00714
acIB-AMD-6.genome.CDS.996,group00768
acIB-AMD-6.genome.CDS.607,group00480
acIB-AMD-6.genome.CDS.606,group00830
acIB-AMD-6.genome.CDS.538,group00913
acIB-AMD-6.genome.CDS.1009,group00876
acIB-AMD-6.genome.CDS.602,group00461
acIB-AMD-6.genome.CDS.762,group00380
acIB-AMD-6.genome.CDS.1027,group01125
acIB-AMD-6.genome.CDS.763,group00408
acIB-AMD-6.genome.CDS.760,group00206
acIB-AMD-6.genome.CDS.761,group00320
acIB-AMD-6.genome.CDS.766,group00506
acIB-AMD-6.genome.CDS.767,group00269
acIB-AMD-6.genome.CDS.764,group00388
acIB-AMD-6.genome.CDS.1077,group00208
acIB-AMD-6.genome.CDS.393,group00403
acIB-AMD-6.genome.CDS.928,group00266
acIB-AMD-6.genome.CDS.929,group03179
acIB-AMD-6.genome.CDS.881,group01375
acIB-AMD-6.genome.CDS.880,group00193
acIB-AMD-6.genome.CDS.887,group03175
acIB-AMD-6.genome.CDS.886,group02012
acIB-AMD-6.genome.CDS.885,group01713
acIB-AMD-6.genome.CDS.884,group01562
acIB-AMD-6.genome.CDS.667,group00772
acIB-AMD-6.genome.CDS.666,group00601
acIB-AMD-6.genome.CDS.922,group00043
acIB-AMD-6.genome.CDS.888,group00194
acIB-AMD-6.genome.CDS.924,group01387
acIB-AMD-6.genome.CDS.662,group00335
acIB-AMD-6.genome.CDS.661,group00125
acIB-AMD-6.genome.CDS.927,group02404
acIB-AMD-6.genome.CDS.719,group00063
acIB-AMD-6.genome.CDS.718,group00082
acIB-AMD-6.genome.CDS.1018,group00441
acIB-AMD-6.genome.CDS.1019,group00331
acIB-AMD-6.genome.CDS.1014,group00722
acIB-AMD-6.genome.CDS.1015,group00831
acIB-AMD-6.genome.CDS.711,group00273
acIB-AMD-6.genome.CDS.1017,group00880
acIB-AMD-6.genome.CDS.1010,group00222
acIB-AMD-6.genome.CDS.1011,group00290
acIB-AMD-6.genome.CDS.715,group00976
acIB-AMD-6.genome.CDS.714,group00095
acIB-AMD-6.genome.CDS.818,group00377
acIB-AMD-6.genome.CDS.819,group00498
acIB-AMD-6.genome.CDS.814,group00659
acIB-AMD-6.genome.CDS.815,group00314
acIB-AMD-6.genome.CDS.816,group00293
acIB-AMD-6.genome.CDS.817,group00144
acIB-AMD-6.genome.CDS.810,group00867
acIB-AMD-6.genome.CDS.811,group00162
acIB-AMD-6.genome.CDS.812,group00858
acIB-AMD-6.genome.CDS.813,group00313
acIB-AMD-6.genome.CDS.977,group01086
acIB-AMD-6.genome.CDS.869,group00132
acIB-AMD-6.genome.CDS.868,group03174
acIB-AMD-6.genome.CDS.861,group00338
acIB-AMD-6.genome.CDS.860,group00258
acIB-AMD-6.genome.CDS.863,group00146
acIB-AMD-6.genome.CDS.862,group00065
acIB-AMD-6.genome.CDS.865,group00013
acIB-AMD-6.genome.CDS.864,group00126
acIB-AMD-6.genome.CDS.867,group00548
acIB-AMD-6.genome.CDS.866,group00186
