AAA027M14.genome.CDS.1136,group00380
AAA027M14.genome.CDS.1208,group00009
AAA027M14.genome.CDS.1364,group00469
AAA027M14.genome.CDS.1365,group00427
AAA027M14.genome.CDS.1663,group03006
AAA027M14.genome.CDS.1662,group03007
AAA027M14.genome.CDS.1661,group01761
AAA027M14.genome.CDS.1660,group00197
AAA027M14.genome.CDS.1666,group00311
AAA027M14.genome.CDS.1665,group00021
AAA027M14.genome.CDS.983,group00013
AAA027M14.genome.CDS.925,group00542
AAA027M14.genome.CDS.1139,group00507
AAA027M14.genome.CDS.1261,group00486
AAA027M14.genome.CDS.986,group01408
AAA027M14.genome.CDS.750,group01327
AAA027M14.genome.CDS.755,group02993
AAA027M14.genome.CDS.1108,group00898
AAA027M14.genome.CDS.946,group00889
AAA027M14.genome.CDS.1445,group00252
AAA027M14.genome.CDS.985,group00044
AAA027M14.genome.CDS.1406,group00284
AAA027M14.genome.CDS.131,group00449
AAA027M14.genome.CDS.1519,group03033
AAA027M14.genome.CDS.1518,group01056
AAA027M14.genome.CDS.1511,group00833
AAA027M14.genome.CDS.1510,group01137
AAA027M14.genome.CDS.1513,group01526
AAA027M14.genome.CDS.1512,group00743
AAA027M14.genome.CDS.1515,group00731
AAA027M14.genome.CDS.1514,group03034
AAA027M14.genome.CDS.1517,group01138
AAA027M14.genome.CDS.1516,group01005
AAA027M14.genome.CDS.1216,group00956
AAA027M14.genome.CDS.1105,group00253
AAA027M14.genome.CDS.1568,group01308
AAA027M14.genome.CDS.1569,group02127
AAA027M14.genome.CDS.1444,group00366
AAA027M14.genome.CDS.1600,group01332
AAA027M14.genome.CDS.1564,group02434
AAA027M14.genome.CDS.1565,group01391
AAA027M14.genome.CDS.1566,group01757
AAA027M14.genome.CDS.1567,group02994
AAA027M14.genome.CDS.1560,group01200
AAA027M14.genome.CDS.1561,group00000
AAA027M14.genome.CDS.1562,group00173
AAA027M14.genome.CDS.1563,group00907
AAA027M14.genome.CDS.1645,group00783
AAA027M14.genome.CDS.1602,group01762
AAA027M14.genome.CDS.1100,group00254
AAA027M14.genome.CDS.1644,group00210
AAA027M14.genome.CDS.1212,group03016
AAA027M14.genome.CDS.826,group01314
AAA027M14.genome.CDS.1647,group00589
AAA027M14.genome.CDS.1604,group00383
AAA027M14.genome.CDS.1359,group02408
AAA027M14.genome.CDS.965,group00053
AAA027M14.genome.CDS.1317,group00324
AAA027M14.genome.CDS.1659,group00290
AAA027M14.genome.CDS.1316,group00701
AAA027M14.genome.CDS.1357,group00687
AAA027M14.genome.CDS.1315,group00685
AAA027M14.genome.CDS.1608,group00552
AAA027M14.genome.CDS.574,group00382
AAA027M14.genome.CDS.1442,group00412
AAA027M14.genome.CDS.1351,group00528
AAA027M14.genome.CDS.1350,group00418
AAA027M14.genome.CDS.931,group00340
AAA027M14.genome.CDS.1457,group00964
AAA027M14.genome.CDS.930,group00807
AAA027M14.genome.CDS.1326,group02046
AAA027M14.genome.CDS.969,group00187
AAA027M14.genome.CDS.829,group01776
AAA027M14.genome.CDS.828,group01575
AAA027M14.genome.CDS.980,group00612
AAA027M14.genome.CDS.981,group00361
AAA027M14.genome.CDS.1329,group00072
AAA027M14.genome.CDS.987,group01460
AAA027M14.genome.CDS.984,group01245
AAA027M14.genome.CDS.1109,group00108
AAA027M14.genome.CDS.1106,group00832
AAA027M14.genome.CDS.1107,group00149
AAA027M14.genome.CDS.1104,group01066
AAA027M14.genome.CDS.989,group02102
AAA027M14.genome.CDS.825,group02762
AAA027M14.genome.CDS.1103,group00142
AAA027M14.genome.CDS.827,group01934
AAA027M14.genome.CDS.1101,group00081
AAA027M14.genome.CDS.1320,group00714
AAA027M14.genome.CDS.1088,group02480
AAA027M14.genome.CDS.968,group00061
AAA027M14.genome.CDS.1327,group00846
AAA027M14.genome.CDS.1324,group00727
AAA027M14.genome.CDS.1325,group00538
AAA027M14.genome.CDS.1322,group00961
AAA027M14.genome.CDS.1323,group00931
AAA027M14.genome.CDS.1089,group02924
AAA027M14.genome.CDS.1321,group00768
AAA027M14.genome.CDS.1087,group03003
AAA027M14.genome.CDS.1086,group02923
AAA027M14.genome.CDS.1085,group01746
AAA027M14.genome.CDS.1084,group02479
AAA027M14.genome.CDS.1083,group01133
AAA027M14.genome.CDS.1082,group02922
AAA027M14.genome.CDS.966,group00083
AAA027M14.genome.CDS.967,group00265
AAA027M14.genome.CDS.1032,group00702
AAA027M14.genome.CDS.1033,group00017
AAA027M14.genome.CDS.1030,group00923
AAA027M14.genome.CDS.963,group00378
AAA027M14.genome.CDS.1036,group01070
AAA027M14.genome.CDS.1428,group00208
AAA027M14.genome.CDS.1034,group00747
AAA027M14.genome.CDS.1035,group00042
AAA027M14.genome.CDS.915,group00232
AAA027M14.genome.CDS.1424,group03022
AAA027M14.genome.CDS.917,group00161
AAA027M14.genome.CDS.1039,group00745
AAA027M14.genome.CDS.1421,group00158
AAA027M14.genome.CDS.910,group00224
AAA027M14.genome.CDS.1423,group00121
AAA027M14.genome.CDS.1422,group00157
AAA027M14.genome.CDS.1081,group02921
AAA027M14.genome.CDS.654,group03023
AAA027M14.genome.CDS.1080,group02157
AAA027M14.genome.CDS.1555,group02769
AAA027M14.genome.CDS.1554,group03026
AAA027M14.genome.CDS.1557,group03025
AAA027M14.genome.CDS.1556,group02773
AAA027M14.genome.CDS.1551,group03028
AAA027M14.genome.CDS.1550,group02474
AAA027M14.genome.CDS.1553,group03027
AAA027M14.genome.CDS.1552,group02900
AAA027M14.genome.CDS.1252,group00180
AAA027M14.genome.CDS.1253,group00238
AAA027M14.genome.CDS.1250,group00855
AAA027M14.genome.CDS.1251,group00179
AAA027M14.genome.CDS.1559,group01906
AAA027M14.genome.CDS.1558,group00868
AAA027M14.genome.CDS.1254,group00913
AAA027M14.genome.CDS.1037,group00467
AAA027M14.genome.CDS.1638,group00006
AAA027M14.genome.CDS.1639,group00006
AAA027M14.genome.CDS.1460,group00811
AAA027M14.genome.CDS.1630,group00342
AAA027M14.genome.CDS.1631,group00004
AAA027M14.genome.CDS.1632,group00016
AAA027M14.genome.CDS.1633,group00984
AAA027M14.genome.CDS.1634,group01012
AAA027M14.genome.CDS.1635,group01149
AAA027M14.genome.CDS.1636,group01123
AAA027M14.genome.CDS.1637,group00289
AAA027M14.genome.CDS.1425,group00274
AAA027M14.genome.CDS.952,group00315
AAA027M14.genome.CDS.914,group00814
AAA027M14.genome.CDS.1465,group03021
AAA027M14.genome.CDS.1038,group00746
AAA027M14.genome.CDS.954,group00358
AAA027M14.genome.CDS.1426,group00309
AAA027M14.genome.CDS.957,group00387
AAA027M14.genome.CDS.268,group03002
AAA027M14.genome.CDS.911,group00033
AAA027M14.genome.CDS.1420,group00059
AAA027M14.genome.CDS.959,group00137
AAA027M14.genome.CDS.913,group00966
AAA027M14.genome.CDS.958,group00348
AAA027M14.genome.CDS.912,group00327
AAA027M14.genome.CDS.1414,group00136
AAA027M14.genome.CDS.1143,group00995
AAA027M14.genome.CDS.1140,group00506
AAA027M14.genome.CDS.1448,group00526
AAA027M14.genome.CDS.1417,group00106
AAA027M14.genome.CDS.1146,group00015
AAA027M14.genome.CDS.1337,group00940
AAA027M14.genome.CDS.1411,group00362
AAA027M14.genome.CDS.1144,group00119
AAA027M14.genome.CDS.1187,group00346
AAA027M14.genome.CDS.1145,group00118
AAA027M14.genome.CDS.865,group02932
AAA027M14.genome.CDS.864,group00367
AAA027M14.genome.CDS.867,group00790
AAA027M14.genome.CDS.866,group01043
AAA027M14.genome.CDS.861,group00460
AAA027M14.genome.CDS.860,group02060
AAA027M14.genome.CDS.863,group00288
AAA027M14.genome.CDS.862,group00440
AAA027M14.genome.CDS.869,group00732
AAA027M14.genome.CDS.1071,group00815
AAA027M14.genome.CDS.979,group00014
AAA027M14.genome.CDS.1149,group00093
AAA027M14.genome.CDS.1181,group00550
AAA027M14.genome.CDS.616,group00799
AAA027M14.genome.CDS.924,group00570
AAA027M14.genome.CDS.1473,group00392
AAA027M14.genome.CDS.1470,group00471
AAA027M14.genome.CDS.927,group00636
AAA027M14.genome.CDS.1476,group03024
AAA027M14.genome.CDS.921,group00624
AAA027M14.genome.CDS.922,group00231
AAA027M14.genome.CDS.1475,group00785
AAA027M14.genome.CDS.883,group00926
AAA027M14.genome.CDS.882,group01019
AAA027M14.genome.CDS.1478,group02927
AAA027M14.genome.CDS.880,group00501
AAA027M14.genome.CDS.887,group01064
AAA027M14.genome.CDS.929,group00011
AAA027M14.genome.CDS.978,group01126
AAA027M14.genome.CDS.884,group00971
AAA027M14.genome.CDS.1177,group01606
AAA027M14.genome.CDS.1176,group00598
AAA027M14.genome.CDS.1175,group01574
AAA027M14.genome.CDS.1174,group01027
AAA027M14.genome.CDS.1173,group00521
AAA027M14.genome.CDS.1172,group00689
AAA027M14.genome.CDS.1171,group01243
AAA027M14.genome.CDS.1170,group01041
AAA027M14.genome.CDS.1179,group00551
AAA027M14.genome.CDS.1178,group00710
AAA027M14.genome.CDS.1079,group00430
AAA027M14.genome.CDS.1076,group00038
AAA027M14.genome.CDS.1077,group01292
AAA027M14.genome.CDS.1074,group01071
AAA027M14.genome.CDS.1075,group01835
AAA027M14.genome.CDS.1072,group01522
AAA027M14.genome.CDS.1073,group00973
AAA027M14.genome.CDS.1070,group00950
AAA027M14.genome.CDS.1381,group00087
AAA027M14.genome.CDS.1385,group00074
AAA027M14.genome.CDS.1601,group01725
AAA027M14.genome.CDS.1217,group00029
AAA027M14.genome.CDS.1603,group01664
AAA027M14.genome.CDS.1215,group02925
AAA027M14.genome.CDS.1605,group00725
AAA027M14.genome.CDS.1213,group03015
AAA027M14.genome.CDS.1607,group01162
AAA027M14.genome.CDS.1358,group02481
AAA027M14.genome.CDS.1609,group00035
AAA027M14.genome.CDS.1356,group01205
AAA027M14.genome.CDS.1355,group00537
AAA027M14.genome.CDS.1354,group00739
AAA027M14.genome.CDS.1353,group00417
AAA027M14.genome.CDS.1352,group00686
AAA027M14.genome.CDS.1218,group01001
AAA027M14.genome.CDS.1219,group00590
AAA027M14.genome.CDS.1061,group00948
AAA027M14.genome.CDS.1258,group01011
AAA027M14.genome.CDS.1389,group01017
AAA027M14.genome.CDS.1259,group00729
AAA027M14.genome.CDS.1289,group00470
AAA027M14.genome.CDS.1288,group00532
AAA027M14.genome.CDS.1285,group00534
AAA027M14.genome.CDS.1284,group00535
AAA027M14.genome.CDS.1287,group00533
AAA027M14.genome.CDS.1286,group00307
AAA027M14.genome.CDS.1281,group00320
AAA027M14.genome.CDS.1280,group00206
AAA027M14.genome.CDS.1283,group00184
AAA027M14.genome.CDS.1282,group01752
AAA027M14.genome.CDS.1508,group00500
AAA027M14.genome.CDS.1509,group01095
AAA027M14.genome.CDS.1502,group00195
AAA027M14.genome.CDS.1503,group00164
AAA027M14.genome.CDS.1500,group00168
AAA027M14.genome.CDS.1501,group00078
AAA027M14.genome.CDS.1506,group00211
AAA027M14.genome.CDS.1507,group00505
AAA027M14.genome.CDS.1504,group00075
AAA027M14.genome.CDS.1505,group00182
AAA027M14.genome.CDS.1591,group01659
AAA027M14.genome.CDS.1590,group02339
AAA027M14.genome.CDS.1593,group01226
AAA027M14.genome.CDS.1592,group02996
AAA027M14.genome.CDS.1595,group01366
AAA027M14.genome.CDS.1594,group02995
AAA027M14.genome.CDS.1597,group00029
AAA027M14.genome.CDS.1596,group01476
AAA027M14.genome.CDS.1599,group01884
AAA027M14.genome.CDS.1598,group01114
AAA027M14.genome.CDS.1257,group00752
AAA027M14.genome.CDS.926,group00056
AAA027M14.genome.CDS.1050,group00351
AAA027M14.genome.CDS.490,group00563
AAA027M14.genome.CDS.1051,group00303
AAA027M14.genome.CDS.1102,group00191
AAA027M14.genome.CDS.693,group01379
AAA027M14.genome.CDS.1111,group00212
AAA027M14.genome.CDS.1207,group01571
AAA027M14.genome.CDS.1110,group03010
AAA027M14.genome.CDS.1481,group00134
AAA027M14.genome.CDS.1439,group00892
AAA027M14.genome.CDS.919,group00341
AAA027M14.genome.CDS.193,group00581
AAA027M14.genome.CDS.192,group00502
AAA027M14.genome.CDS.964,group00349
AAA027M14.genome.CDS.1256,group01083
AAA027M14.genome.CDS.1069,group01003
AAA027M14.genome.CDS.1125,group01808
AAA027M14.genome.CDS.1366,group00549
AAA027M14.genome.CDS.1367,group00520
AAA027M14.genome.CDS.995,group00751
AAA027M14.genome.CDS.994,group00905
AAA027M14.genome.CDS.1131,group03009
AAA027M14.genome.CDS.996,group00497
AAA027M14.genome.CDS.1137,group00408
AAA027M14.genome.CDS.990,group00215
AAA027M14.genome.CDS.1135,group00272
AAA027M14.genome.CDS.992,group00060
AAA027M14.genome.CDS.854,group00652
AAA027M14.genome.CDS.855,group00767
AAA027M14.genome.CDS.856,group01140
AAA027M14.genome.CDS.1138,group00388
AAA027M14.genome.CDS.850,group00826
AAA027M14.genome.CDS.851,group00917
AAA027M14.genome.CDS.999,group00750
AAA027M14.genome.CDS.853,group00805
AAA027M14.genome.CDS.849,group01091
AAA027M14.genome.CDS.976,group00495
AAA027M14.genome.CDS.848,group01284
AAA027M14.genome.CDS.1606,group00512
AAA027M14.genome.CDS.1090,group02442
AAA027M14.genome.CDS.1091,group01521
AAA027M14.genome.CDS.1092,group00144
AAA027M14.genome.CDS.1093,group00539
AAA027M14.genome.CDS.1094,group00813
AAA027M14.genome.CDS.1095,group00922
AAA027M14.genome.CDS.1096,group02336
AAA027M14.genome.CDS.1097,group00759
AAA027M14.genome.CDS.1483,group00160
AAA027M14.genome.CDS.1482,group00159
AAA027M14.genome.CDS.971,group00207
AAA027M14.genome.CDS.970,group00656
AAA027M14.genome.CDS.1487,group00437
AAA027M14.genome.CDS.1486,group00245
AAA027M14.genome.CDS.975,group00007
AAA027M14.genome.CDS.974,group00316
AAA027M14.genome.CDS.1007,group00541
AAA027M14.genome.CDS.1335,group00384
AAA027M14.genome.CDS.1005,group00049
AAA027M14.genome.CDS.1004,group00114
AAA027M14.genome.CDS.1003,group00578
AAA027M14.genome.CDS.1002,group00654
AAA027M14.genome.CDS.1438,group00444
AAA027M14.genome.CDS.1000,group00455
AAA027M14.genome.CDS.1436,group00048
AAA027M14.genome.CDS.1437,group00882
AAA027M14.genome.CDS.1434,group00082
AAA027M14.genome.CDS.1435,group00063
AAA027M14.genome.CDS.1432,group00129
AAA027M14.genome.CDS.1433,group00150
AAA027M14.genome.CDS.1009,group00662
AAA027M14.genome.CDS.1129,group01453
AAA027M14.genome.CDS.1336,group01109
AAA027M14.genome.CDS.1331,group00248
AAA027M14.genome.CDS.991,group00057
AAA027M14.genome.CDS.1330,group00985
AAA027M14.genome.CDS.1621,group00026
AAA027M14.genome.CDS.1484,group00219
AAA027M14.genome.CDS.1332,group00398
AAA027M14.genome.CDS.1546,group03029
AAA027M14.genome.CDS.1547,group02772
AAA027M14.genome.CDS.1544,group02617
AAA027M14.genome.CDS.1545,group02901
AAA027M14.genome.CDS.1542,group02896
AAA027M14.genome.CDS.1543,group01652
AAA027M14.genome.CDS.1540,group02138
AAA027M14.genome.CDS.1268,group01909
AAA027M14.genome.CDS.1267,group01394
AAA027M14.genome.CDS.1266,group00631
AAA027M14.genome.CDS.1265,group00773
AAA027M14.genome.CDS.1264,group00263
AAA027M14.genome.CDS.1263,group01048
AAA027M14.genome.CDS.1262,group00390
AAA027M14.genome.CDS.1548,group02928
AAA027M14.genome.CDS.1549,group02218
AAA027M14.genome.CDS.1319,group01215
AAA027M14.genome.CDS.1649,group00987
AAA027M14.genome.CDS.1648,group00752
AAA027M14.genome.CDS.1313,group00797
AAA027M14.genome.CDS.1312,group00391
AAA027M14.genome.CDS.1311,group03018
AAA027M14.genome.CDS.1646,group00651
AAA027M14.genome.CDS.1641,group00842
AAA027M14.genome.CDS.1640,group00672
AAA027M14.genome.CDS.1643,group00278
AAA027M14.genome.CDS.1642,group00632
AAA027M14.genome.CDS.1458,group00722
AAA027M14.genome.CDS.251,group01097
AAA027M14.genome.CDS.1459,group00831
AAA027M14.genome.CDS.1430,group00095
AAA027M14.genome.CDS.908,group00983
AAA027M14.genome.CDS.909,group01307
AAA027M14.genome.CDS.928,group01611
AAA027M14.genome.CDS.1431,group00976
AAA027M14.genome.CDS.1029,group01147
AAA027M14.genome.CDS.916,group00562
AAA027M14.genome.CDS.1028,group00936
AAA027M14.genome.CDS.858,group00402
AAA027M14.genome.CDS.900,group01589
AAA027M14.genome.CDS.1453,group00875
AAA027M14.genome.CDS.1454,group00876
AAA027M14.genome.CDS.907,group01113
AAA027M14.genome.CDS.1152,group00148
AAA027M14.genome.CDS.1456,group00769
AAA027M14.genome.CDS.947,group00385
AAA027M14.genome.CDS.859,group00435
AAA027M14.genome.CDS.512,group02931
AAA027M14.genome.CDS.1496,group00156
AAA027M14.genome.CDS.945,group00736
AAA027M14.genome.CDS.881,group00927
AAA027M14.genome.CDS.942,group00343
AAA027M14.genome.CDS.1491,group00329
AAA027M14.genome.CDS.940,group00475
AAA027M14.genome.CDS.941,group00735
AAA027M14.genome.CDS.1403,group00363
AAA027M14.genome.CDS.1153,group00419
AAA027M14.genome.CDS.1195,group00339
AAA027M14.genome.CDS.1194,group01125
AAA027M14.genome.CDS.935,group00977
AAA027M14.genome.CDS.934,group00982
AAA027M14.genome.CDS.933,group00169
AAA027M14.genome.CDS.1190,group01074
AAA027M14.genome.CDS.1441,group00297
AAA027M14.genome.CDS.1440,group00227
AAA027M14.genome.CDS.1155,group00091
AAA027M14.genome.CDS.1199,group00857
AAA027M14.genome.CDS.1198,group00929
AAA027M14.genome.CDS.939,group00704
AAA027M14.genome.CDS.938,group00810
AAA027M14.genome.CDS.937,group00705
AAA027M14.genome.CDS.1370,group00622
AAA027M14.genome.CDS.1446,group00376
AAA027M14.genome.CDS.1249,group00649
AAA027M14.genome.CDS.1156,group00175
AAA027M14.genome.CDS.1197,group01024
AAA027M14.genome.CDS.1043,group00199
AAA027M14.genome.CDS.1042,group00577
AAA027M14.genome.CDS.1041,group00009
AAA027M14.genome.CDS.1040,group00952
AAA027M14.genome.CDS.1047,group01020
AAA027M14.genome.CDS.1046,group01271
AAA027M14.genome.CDS.1045,group00023
AAA027M14.genome.CDS.1044,group00706
AAA027M14.genome.CDS.1160,group00774
AAA027M14.genome.CDS.1443,group00296
AAA027M14.genome.CDS.1049,group00428
AAA027M14.genome.CDS.1163,group01055
AAA027M14.genome.CDS.1164,group00259
AAA027M14.genome.CDS.1165,group01211
AAA027M14.genome.CDS.1166,group00579
AAA027M14.genome.CDS.932,group00638
AAA027M14.genome.CDS.886,group00967
AAA027M14.genome.CDS.889,group00990
AAA027M14.genome.CDS.1191,group02001
AAA027M14.genome.CDS.1193,group01102
AAA027M14.genome.CDS.998,group01086
AAA027M14.genome.CDS.1192,group01047
AAA027M14.genome.CDS.1612,group01163
AAA027M14.genome.CDS.1613,group01185
AAA027M14.genome.CDS.1610,group00582
AAA027M14.genome.CDS.1343,group02220
AAA027M14.genome.CDS.1344,group02926
AAA027M14.genome.CDS.1345,group01843
AAA027M14.genome.CDS.1346,group03019
AAA027M14.genome.CDS.1347,group02139
AAA027M14.genome.CDS.1348,group01037
AAA027M14.genome.CDS.1349,group00776
AAA027M14.genome.CDS.1618,group00221
AAA027M14.genome.CDS.1619,group00228
AAA027M14.genome.CDS.1018,group00032
AAA027M14.genome.CDS.1390,group00281
AAA027M14.genome.CDS.1449,group00965
AAA027M14.genome.CDS.1298,group00312
AAA027M14.genome.CDS.1299,group00708
AAA027M14.genome.CDS.1296,group00887
AAA027M14.genome.CDS.1297,group00458
AAA027M14.genome.CDS.1294,group00908
AAA027M14.genome.CDS.1295,group00088
AAA027M14.genome.CDS.1292,group00243
AAA027M14.genome.CDS.1293,group00321
AAA027M14.genome.CDS.1290,group00468
AAA027M14.genome.CDS.1291,group00030
AAA027M14.genome.CDS.1581,group01414
AAA027M14.genome.CDS.1539,group02750
AAA027M14.genome.CDS.1538,group01340
AAA027M14.genome.CDS.1537,group02263
AAA027M14.genome.CDS.1536,group02262
AAA027M14.genome.CDS.1535,group00862
AAA027M14.genome.CDS.1534,group00942
AAA027M14.genome.CDS.1533,group03030
AAA027M14.genome.CDS.1532,group03031
AAA027M14.genome.CDS.1531,group01340
AAA027M14.genome.CDS.1530,group02263
AAA027M14.genome.CDS.1582,group01620
AAA027M14.genome.CDS.1583,group01691
AAA027M14.genome.CDS.1580,group02375
AAA027M14.genome.CDS.1398,group00660
AAA027M14.genome.CDS.1586,group02997
AAA027M14.genome.CDS.1587,group01226
AAA027M14.genome.CDS.1584,group02228
AAA027M14.genome.CDS.1248,group03011
AAA027M14.genome.CDS.951,group00359
AAA027M14.genome.CDS.1222,group00784
AAA027M14.genome.CDS.1588,group00355
AAA027M14.genome.CDS.1589,group00814
AAA027M14.genome.CDS.1227,group00372
AAA027M14.genome.CDS.1226,group00442
AAA027M14.genome.CDS.1225,group00753
AAA027M14.genome.CDS.1224,group00979
AAA027M14.genome.CDS.1017,group01833
AAA027M14.genome.CDS.950,group00758
AAA027M14.genome.CDS.1429,group00151
AAA027M14.genome.CDS.1528,group01311
AAA027M14.genome.CDS.1529,group02262
AAA027M14.genome.CDS.888,group01919
AAA027M14.genome.CDS.1196,group01952
AAA027M14.genome.CDS.1168,group00734
AAA027M14.genome.CDS.960,group00058
AAA027M14.genome.CDS.953,group00754
AAA027M14.genome.CDS.1169,group00432
AAA027M14.genome.CDS.918,group00561
AAA027M14.genome.CDS.961,group00194
AAA027M14.genome.CDS.1585,group01583
AAA027M14.genome.CDS.1485,group00250
AAA027M14.genome.CDS.1228,group00251
AAA027M14.genome.CDS.1161,group00914
AAA027M14.genome.CDS.1162,group00755
AAA027M14.genome.CDS.962,group00300
AAA027M14.genome.CDS.1270,group00756
AAA027M14.genome.CDS.1048,group00828
AAA027M14.genome.CDS.1271,group00912
AAA027M14.genome.CDS.898,group00795
AAA027M14.genome.CDS.1124,group01416
AAA027M14.genome.CDS.982,group00002
AAA027M14.genome.CDS.1126,group01933
AAA027M14.genome.CDS.1127,group00031
AAA027M14.genome.CDS.1120,group00795
AAA027M14.genome.CDS.1121,group01543
AAA027M14.genome.CDS.1122,group01910
AAA027M14.genome.CDS.1123,group01103
AAA027M14.genome.CDS.847,group01206
AAA027M14.genome.CDS.846,group00073
AAA027M14.genome.CDS.845,group00938
AAA027M14.genome.CDS.844,group01134
AAA027M14.genome.CDS.1128,group00068
AAA027M14.genome.CDS.842,group01772
AAA027M14.genome.CDS.841,group02108
AAA027M14.genome.CDS.840,group00014
AAA027M14.genome.CDS.1371,group00874
AAA027M14.genome.CDS.1498,group00292
AAA027M14.genome.CDS.1499,group00513
AAA027M14.genome.CDS.948,group00233
AAA027M14.genome.CDS.949,group00420
AAA027M14.genome.CDS.1494,group00373
AAA027M14.genome.CDS.1495,group00762
AAA027M14.genome.CDS.944,group00798
AAA027M14.genome.CDS.1497,group00124
AAA027M14.genome.CDS.1490,group00027
AAA027M14.genome.CDS.943,group00620
AAA027M14.genome.CDS.1492,group00450
AAA027M14.genome.CDS.1493,group00204
AAA027M14.genome.CDS.1151,group00092
AAA027M14.genome.CDS.1150,group03008
AAA027M14.genome.CDS.1401,group00001
AAA027M14.genome.CDS.1400,group00003
AAA027M14.genome.CDS.1407,group00306
AAA027M14.genome.CDS.1154,group00198
AAA027M14.genome.CDS.1157,group01382
AAA027M14.genome.CDS.1404,group00999
AAA027M14.genome.CDS.1159,group01119
AAA027M14.genome.CDS.1158,group00033
AAA027M14.genome.CDS.1409,group00425
AAA027M14.genome.CDS.1408,group00202
AAA027M14.genome.CDS.997,group00226
AAA027M14.genome.CDS.1393,group00409
AAA027M14.genome.CDS.1392,group00280
AAA027M14.genome.CDS.1391,group00214
AAA027M14.genome.CDS.1130,group01505
AAA027M14.genome.CDS.1397,group00573
AAA027M14.genome.CDS.1396,group01006
AAA027M14.genome.CDS.1395,group00863
AAA027M14.genome.CDS.1394,group00216
AAA027M14.genome.CDS.1010,group00763
AAA027M14.genome.CDS.1011,group00615
AAA027M14.genome.CDS.1012,group00644
AAA027M14.genome.CDS.1013,group00723
AAA027M14.genome.CDS.1014,group00698
AAA027M14.genome.CDS.1015,group00255
AAA027M14.genome.CDS.1016,group00525
AAA027M14.genome.CDS.1427,group00273
AAA027M14.genome.CDS.1399,group00605
AAA027M14.genome.CDS.993,group00152
AAA027M14.genome.CDS.1134,group00443
AAA027M14.genome.CDS.1379,group00209
AAA027M14.genome.CDS.1378,group00511
AAA027M14.genome.CDS.1272,group00676
AAA027M14.genome.CDS.1273,group00835
AAA027M14.genome.CDS.1274,group00050
AAA027M14.genome.CDS.1275,group00333
