TBhypo3463.genome.CDS.2345,group00488
TBhypo3463.genome.CDS.2028,group00468
TBhypo3463.genome.CDS.2144,group00660
TBhypo3463.genome.CDS.1548,group00426
TBhypo3463.genome.CDS.2142,group00863
TBhypo3463.genome.CDS.2143,group00573
TBhypo3463.genome.CDS.2140,group00216
TBhypo3463.genome.CDS.1349,group00373
TBhypo3463.genome.CDS.2021,group00061
TBhypo3463.genome.CDS.2020,group00265
TBhypo3463.genome.CDS.2023,group00699
TBhypo3463.genome.CDS.2022,group00614
TBhypo3463.genome.CDS.2025,group00073
TBhypo3463.genome.CDS.910,group02613
TBhypo3463.genome.CDS.2027,group00030
TBhypo3463.genome.CDS.2026,group00762
TBhypo3463.genome.CDS.1288,group01714
TBhypo3463.genome.CDS.1289,group00224
TBhypo3463.genome.CDS.1389,group00548
TBhypo3463.genome.CDS.2371,group00404
TBhypo3463.genome.CDS.1280,group00427
TBhypo3463.genome.CDS.1281,group00469
TBhypo3463.genome.CDS.1282,group00733
TBhypo3463.genome.CDS.2170,group01992
TBhypo3463.genome.CDS.1284,group00490
TBhypo3463.genome.CDS.1285,group01084
TBhypo3463.genome.CDS.1286,group00739
TBhypo3463.genome.CDS.1287,group00417
TBhypo3463.genome.CDS.2410,group01326
TBhypo3463.genome.CDS.2411,group01285
TBhypo3463.genome.CDS.2412,group01603
TBhypo3463.genome.CDS.2282,group00308
TBhypo3463.genome.CDS.2414,group02327
TBhypo3463.genome.CDS.2415,group01999
TBhypo3463.genome.CDS.2416,group02328
TBhypo3463.genome.CDS.1630,group01256
TBhypo3463.genome.CDS.2418,group00363
TBhypo3463.genome.CDS.2419,group00545
TBhypo3463.genome.CDS.2458,group00709
TBhypo3463.genome.CDS.1982,group00555
TBhypo3463.genome.CDS.1488,group00220
TBhypo3463.genome.CDS.1489,group00459
TBhypo3463.genome.CDS.1486,group04791
TBhypo3463.genome.CDS.229,group04788
TBhypo3463.genome.CDS.1484,group01863
TBhypo3463.genome.CDS.1485,group01305
TBhypo3463.genome.CDS.1482,group00181
TBhypo3463.genome.CDS.1483,group00536
TBhypo3463.genome.CDS.1480,group02587
TBhypo3463.genome.CDS.1481,group01110
TBhypo3463.genome.CDS.2187,group00851
TBhypo3463.genome.CDS.1199,group00642
TBhypo3463.genome.CDS.90,group01088
TBhypo3463.genome.CDS.1190,group00008
TBhypo3463.genome.CDS.1191,group00008
TBhypo3463.genome.CDS.1500,group00924
TBhypo3463.genome.CDS.2459,group00944
TBhypo3463.genome.CDS.1690,group00301
TBhypo3463.genome.CDS.1388,group00192
TBhypo3463.genome.CDS.1269,group01348
TBhypo3463.genome.CDS.1927,group04811
TBhypo3463.genome.CDS.1392,group00186
TBhypo3463.genome.CDS.1393,group04785
TBhypo3463.genome.CDS.1390,group02100
TBhypo3463.genome.CDS.1391,group00355
TBhypo3463.genome.CDS.1396,group00985
TBhypo3463.genome.CDS.2248,group00019
TBhypo3463.genome.CDS.1394,group00398
TBhypo3463.genome.CDS.1395,group00248
TBhypo3463.genome.CDS.2245,group00101
TBhypo3463.genome.CDS.2244,group00196
TBhypo3463.genome.CDS.1398,group00062
TBhypo3463.genome.CDS.2246,group01062
TBhypo3463.genome.CDS.2241,group00170
TBhypo3463.genome.CDS.2240,group00963
TBhypo3463.genome.CDS.2243,group00295
TBhypo3463.genome.CDS.2242,group00334
TBhypo3463.genome.CDS.1903,group00583
TBhypo3463.genome.CDS.1980,group01051
TBhypo3463.genome.CDS.1901,group00869
TBhypo3463.genome.CDS.1668,group00132
TBhypo3463.genome.CDS.1907,group00223
TBhypo3463.genome.CDS.1906,group01250
TBhypo3463.genome.CDS.1905,group01164
TBhypo3463.genome.CDS.1904,group00319
TBhypo3463.genome.CDS.1909,group00554
TBhypo3463.genome.CDS.1908,group00241
TBhypo3463.genome.CDS.2045,group00113
TBhypo3463.genome.CDS.2444,group04779
TBhypo3463.genome.CDS.1938,group00925
TBhypo3463.genome.CDS.1994,group01537
TBhypo3463.genome.CDS.1995,group01286
TBhypo3463.genome.CDS.1996,group00670
TBhypo3463.genome.CDS.1997,group01641
TBhypo3463.genome.CDS.1990,group00378
TBhypo3463.genome.CDS.1991,group00349
TBhypo3463.genome.CDS.1992,group00053
TBhypo3463.genome.CDS.1993,group00083
TBhypo3463.genome.CDS.2163,group00050
TBhypo3463.genome.CDS.1998,group01054
TBhypo3463.genome.CDS.1999,group01986
TBhypo3463.genome.CDS.2042,group02110
TBhypo3463.genome.CDS.1415,group00596
TBhypo3463.genome.CDS.1414,group00579
TBhypo3463.genome.CDS.1417,group00689
TBhypo3463.genome.CDS.1416,group00734
TBhypo3463.genome.CDS.1411,group01873
TBhypo3463.genome.CDS.1410,group00635
TBhypo3463.genome.CDS.2489,group00517
TBhypo3463.genome.CDS.2488,group00622
TBhypo3463.genome.CDS.1554,group04799
TBhypo3463.genome.CDS.2486,group00667
TBhypo3463.genome.CDS.2485,group00494
TBhypo3463.genome.CDS.2484,group00462
TBhypo3463.genome.CDS.2483,group00298
TBhypo3463.genome.CDS.1551,group00436
TBhypo3463.genome.CDS.1552,group00089
TBhypo3463.genome.CDS.2480,group00511
TBhypo3463.genome.CDS.2499,group02330
TBhypo3463.genome.CDS.2230,group00877
TBhypo3463.genome.CDS.1461,group00580
TBhypo3463.genome.CDS.2399,group00926
TBhypo3463.genome.CDS.531,group01655
TBhypo3463.genome.CDS.2376,group00565
TBhypo3463.genome.CDS.1262,group02582
TBhypo3463.genome.CDS.1717,group00367
TBhypo3463.genome.CDS.473,group00685
TBhypo3463.genome.CDS.1367,group02096
TBhypo3463.genome.CDS.1868,group00331
TBhypo3463.genome.CDS.1869,group00332
TBhypo3463.genome.CDS.1324,group00715
TBhypo3463.genome.CDS.1860,group00665
TBhypo3463.genome.CDS.1861,group01597
TBhypo3463.genome.CDS.1862,group00640
TBhypo3463.genome.CDS.1863,group00290
TBhypo3463.genome.CDS.1864,group00769
TBhypo3463.genome.CDS.1865,group00811
TBhypo3463.genome.CDS.1866,group00880
TBhypo3463.genome.CDS.1867,group00441
TBhypo3463.genome.CDS.1309,group01646
TBhypo3463.genome.CDS.1308,group01790
TBhypo3463.genome.CDS.940,group01327
TBhypo3463.genome.CDS.1301,group01457
TBhypo3463.genome.CDS.2178,group01357
TBhypo3463.genome.CDS.1303,group01540
TBhypo3463.genome.CDS.1302,group01539
TBhypo3463.genome.CDS.1304,group02583
TBhypo3463.genome.CDS.1307,group01185
TBhypo3463.genome.CDS.1306,group04816
TBhypo3463.genome.CDS.2319,group01602
TBhypo3463.genome.CDS.1984,group00348
TBhypo3463.genome.CDS.2093,group00531
TBhypo3463.genome.CDS.27,group00012
TBhypo3463.genome.CDS.1730,group00210
TBhypo3463.genome.CDS.1731,group00783
TBhypo3463.genome.CDS.1732,group00651
TBhypo3463.genome.CDS.1733,group00589
TBhypo3463.genome.CDS.1734,group00391
TBhypo3463.genome.CDS.1735,group00797
TBhypo3463.genome.CDS.1736,group00850
TBhypo3463.genome.CDS.1738,group00701
TBhypo3463.genome.CDS.1739,group00324
TBhypo3463.genome.CDS.1643,group00153
TBhypo3463.genome.CDS.2065,group00009
TBhypo3463.genome.CDS.2064,group01370
TBhypo3463.genome.CDS.2067,group01220
TBhypo3463.genome.CDS.2066,group01198
TBhypo3463.genome.CDS.2348,group00413
TBhypo3463.genome.CDS.2060,group00780
TBhypo3463.genome.CDS.2063,group01276
TBhypo3463.genome.CDS.2062,group01988
TBhypo3463.genome.CDS.2344,group00364
TBhypo3463.genome.CDS.2313,group00727
TBhypo3463.genome.CDS.2346,group00856
TBhypo3463.genome.CDS.2347,group00823
TBhypo3463.genome.CDS.2340,group01116
TBhypo3463.genome.CDS.2341,group01076
TBhypo3463.genome.CDS.2342,group01117
TBhypo3463.genome.CDS.2312,group01202
TBhypo3463.genome.CDS.1244,group01024
TBhypo3463.genome.CDS.2183,group00411
TBhypo3463.genome.CDS.1541,group00014
TBhypo3463.genome.CDS.2181,group00399
TBhypo3463.genome.CDS.1240,group00817
TBhypo3463.genome.CDS.1241,group00955
TBhypo3463.genome.CDS.2184,group00165
TBhypo3463.genome.CDS.1243,group00396
TBhypo3463.genome.CDS.2188,group00262
TBhypo3463.genome.CDS.2189,group00028
TBhypo3463.genome.CDS.1248,group01255
TBhypo3463.genome.CDS.1249,group00432
TBhypo3463.genome.CDS.1604,group01200
TBhypo3463.genome.CDS.1605,group00980
TBhypo3463.genome.CDS.1606,group00236
TBhypo3463.genome.CDS.1600,group01956
TBhypo3463.genome.CDS.1601,group01500
TBhypo3463.genome.CDS.1602,group01546
TBhypo3463.genome.CDS.1603,group00036
TBhypo3463.genome.CDS.1580,group00325
TBhypo3463.genome.CDS.1608,group01154
TBhypo3463.genome.CDS.1609,group00826
TBhypo3463.genome.CDS.1680,group01313
TBhypo3463.genome.CDS.1356,group00437
TBhypo3463.genome.CDS.2249,group00085
TBhypo3463.genome.CDS.2212,group00505
TBhypo3463.genome.CDS.1839,group00365
TBhypo3463.genome.CDS.1397,group00072
TBhypo3463.genome.CDS.2119,group00434
TBhypo3463.genome.CDS.2118,group01990
TBhypo3463.genome.CDS.2223,group01094
TBhypo3463.genome.CDS.1931,group00890
TBhypo3463.genome.CDS.2131,group01031
TBhypo3463.genome.CDS.2111,group00995
TBhypo3463.genome.CDS.2110,group00779
TBhypo3463.genome.CDS.2113,group00119
TBhypo3463.genome.CDS.2112,group00779
TBhypo3463.genome.CDS.2115,group02498
TBhypo3463.genome.CDS.2114,group04822
TBhypo3463.genome.CDS.2117,group01245
TBhypo3463.genome.CDS.2116,group02497
TBhypo3463.genome.CDS.2174,group01466
TBhypo3463.genome.CDS.1366,group00175
TBhypo3463.genome.CDS.1014,group02306
TBhypo3463.genome.CDS.2460,group00945
TBhypo3463.genome.CDS.1661,group00566
TBhypo3463.genome.CDS.2247,group00077
TBhypo3463.genome.CDS.1339,group01291
TBhypo3463.genome.CDS.2520,group01565
TBhypo3463.genome.CDS.2521,group01804
TBhypo3463.genome.CDS.2449,group00791
TBhypo3463.genome.CDS.2448,group00853
TBhypo3463.genome.CDS.2381,group00076
TBhypo3463.genome.CDS.1526,group00752
TBhypo3463.genome.CDS.1504,group00581
TBhypo3463.genome.CDS.1510,group01537
TBhypo3463.genome.CDS.2442,group00527
TBhypo3463.genome.CDS.2441,group00556
TBhypo3463.genome.CDS.2440,group00415
TBhypo3463.genome.CDS.1514,group00050
TBhypo3463.genome.CDS.1515,group00400
TBhypo3463.genome.CDS.2445,group00819
TBhypo3463.genome.CDS.1517,group00302
TBhypo3463.genome.CDS.2130,group01284
TBhypo3463.genome.CDS.2396,group00967
TBhypo3463.genome.CDS.1556,group00173
TBhypo3463.genome.CDS.1352,group00329
TBhypo3463.genome.CDS.1902,group00684
TBhypo3463.genome.CDS.1959,group01114
TBhypo3463.genome.CDS.262,group00502
TBhypo3463.genome.CDS.1693,group00552
TBhypo3463.genome.CDS.1692,group01162
TBhypo3463.genome.CDS.1691,group00051
TBhypo3463.genome.CDS.2462,group01236
TBhypo3463.genome.CDS.1697,group04807
TBhypo3463.genome.CDS.1696,group00400
TBhypo3463.genome.CDS.1695,group00582
TBhypo3463.genome.CDS.1694,group00035
TBhypo3463.genome.CDS.2259,group01037
TBhypo3463.genome.CDS.1699,group00032
TBhypo3463.genome.CDS.1698,group02591
TBhypo3463.genome.CDS.2030,group00532
TBhypo3463.genome.CDS.1652,group00277
TBhypo3463.genome.CDS.1520,group00849
TBhypo3463.genome.CDS.2229,group00972
TBhypo3463.genome.CDS.2138,group00280
TBhypo3463.genome.CDS.1718,group00288
TBhypo3463.genome.CDS.1650,group01029
TBhypo3463.genome.CDS.1942,group02318
TBhypo3463.genome.CDS.1833,group00679
TBhypo3463.genome.CDS.1832,group00424
TBhypo3463.genome.CDS.1831,group00647
TBhypo3463.genome.CDS.1939,group00650
TBhypo3463.genome.CDS.1837,group01143
TBhypo3463.genome.CDS.1836,group01324
TBhypo3463.genome.CDS.1835,group01353
TBhypo3463.genome.CDS.1834,group00680
TBhypo3463.genome.CDS.1932,group01023
TBhypo3463.genome.CDS.1933,group02315
TBhypo3463.genome.CDS.1851,group04809
TBhypo3463.genome.CDS.1838,group00105
TBhypo3463.genome.CDS.1936,group00249
TBhypo3463.genome.CDS.1937,group01354
TBhypo3463.genome.CDS.1934,group00218
TBhypo3463.genome.CDS.1935,group00407
TBhypo3463.genome.CDS.2234,group00294
TBhypo3463.genome.CDS.1715,group00959
TBhypo3463.genome.CDS.1949,group00049
TBhypo3463.genome.CDS.2235,group00456
TBhypo3463.genome.CDS.1947,group01408
TBhypo3463.genome.CDS.1946,group00044
TBhypo3463.genome.CDS.1945,group00173
TBhypo3463.genome.CDS.1944,group01489
TBhypo3463.genome.CDS.1943,group04813
TBhypo3463.genome.CDS.2236,group00571
TBhypo3463.genome.CDS.1941,group01498
TBhypo3463.genome.CDS.1940,group01690
TBhypo3463.genome.CDS.1345,group00168
TBhypo3463.genome.CDS.1344,group00292
TBhypo3463.genome.CDS.1347,group04784
TBhypo3463.genome.CDS.2237,group00143
TBhypo3463.genome.CDS.1341,group00696
TBhypo3463.genome.CDS.2231,group00903
TBhypo3463.genome.CDS.1343,group00124
TBhypo3463.genome.CDS.2464,group00557
TBhypo3463.genome.CDS.1464,group02586
TBhypo3463.genome.CDS.1465,group00696
TBhypo3463.genome.CDS.1466,group04789
TBhypo3463.genome.CDS.1467,group00636
TBhypo3463.genome.CDS.2238,group00630
TBhypo3463.genome.CDS.2239,group00591
TBhypo3463.genome.CDS.1462,group00523
TBhypo3463.genome.CDS.1463,group00457
TBhypo3463.genome.CDS.2232,group02608
TBhypo3463.genome.CDS.1342,group00156
TBhypo3463.genome.CDS.2368,group00606
TBhypo3463.genome.CDS.2214,group00092
TBhypo3463.genome.CDS.2000,group00973
TBhypo3463.genome.CDS.2147,group00729
TBhypo3463.genome.CDS.2006,group04817
TBhypo3463.genome.CDS.2287,group00892
TBhypo3463.genome.CDS.1460,group00619
TBhypo3463.genome.CDS.1511,group01286
TBhypo3463.genome.CDS.2296,group00151
TBhypo3463.genome.CDS.1348,group00156
TBhypo3463.genome.CDS.2308,group01262
TBhypo3463.genome.CDS.2309,group01182
TBhypo3463.genome.CDS.1553,group00717
TBhypo3463.genome.CDS.2300,group00274
TBhypo3463.genome.CDS.2301,group00121
TBhypo3463.genome.CDS.2302,group00157
TBhypo3463.genome.CDS.2303,group00158
TBhypo3463.genome.CDS.2304,group00059
TBhypo3463.genome.CDS.2305,group00852
TBhypo3463.genome.CDS.2306,group00104
TBhypo3463.genome.CDS.2307,group01358
TBhypo3463.genome.CDS.2361,group00323
TBhypo3463.genome.CDS.2475,group00946
TBhypo3463.genome.CDS.2496,group00086
TBhypo3463.genome.CDS.1512,group00386
TBhypo3463.genome.CDS.1399,group00097
TBhypo3463.genome.CDS.1406,group00549
TBhypo3463.genome.CDS.1640,group00112
TBhypo3463.genome.CDS.1641,group00661
TBhypo3463.genome.CDS.1769,group01141
TBhypo3463.genome.CDS.1768,group00977
TBhypo3463.genome.CDS.1644,group00221
TBhypo3463.genome.CDS.1645,group00140
TBhypo3463.genome.CDS.1646,group00026
TBhypo3463.genome.CDS.1647,group00203
TBhypo3463.genome.CDS.1763,group00807
TBhypo3463.genome.CDS.1649,group00025
TBhypo3463.genome.CDS.1761,group01764
TBhypo3463.genome.CDS.1760,group01650
TBhypo3463.genome.CDS.1767,group00982
TBhypo3463.genome.CDS.1766,group00169
TBhypo3463.genome.CDS.1765,group00638
TBhypo3463.genome.CDS.1764,group00340
TBhypo3463.genome.CDS.2155,group01356
TBhypo3463.genome.CDS.2154,group00184
TBhypo3463.genome.CDS.2157,group00206
TBhypo3463.genome.CDS.2156,group00320
TBhypo3463.genome.CDS.2151,group04776
TBhypo3463.genome.CDS.2150,group00794
TBhypo3463.genome.CDS.2153,group00535
TBhypo3463.genome.CDS.2169,group02112
TBhypo3463.genome.CDS.2014,group00886
TBhypo3463.genome.CDS.2015,group01131
TBhypo3463.genome.CDS.2016,group02109
TBhypo3463.genome.CDS.2017,group01166
TBhypo3463.genome.CDS.2010,group00491
TBhypo3463.genome.CDS.2011,group00291
TBhypo3463.genome.CDS.2012,group00080
TBhypo3463.genome.CDS.2013,group00865
TBhypo3463.genome.CDS.1559,group02102
TBhypo3463.genome.CDS.1299,group01068
TBhypo3463.genome.CDS.1298,group01057
TBhypo3463.genome.CDS.1297,group01579
TBhypo3463.genome.CDS.1558,group02313
TBhypo3463.genome.CDS.1295,group01349
TBhypo3463.genome.CDS.1294,group01789
TBhypo3463.genome.CDS.1293,group01448
TBhypo3463.genome.CDS.1292,group00954
TBhypo3463.genome.CDS.1291,group00748
TBhypo3463.genome.CDS.1290,group00983
TBhypo3463.genome.CDS.2407,group02126
TBhypo3463.genome.CDS.2406,group01087
TBhypo3463.genome.CDS.2405,group02125
TBhypo3463.genome.CDS.2404,group01263
TBhypo3463.genome.CDS.2403,group00808
TBhypo3463.genome.CDS.1413,group04786
TBhypo3463.genome.CDS.2401,group00927
TBhypo3463.genome.CDS.2400,group01019
TBhypo3463.genome.CDS.1227,group02580
TBhypo3463.genome.CDS.1412,group01590
TBhypo3463.genome.CDS.2298,group00273
TBhypo3463.genome.CDS.2409,group00013
TBhypo3463.genome.CDS.2408,group00539
TBhypo3463.genome.CDS.2487,group00874
TBhypo3463.genome.CDS.2299,group00309
TBhypo3463.genome.CDS.1499,group00123
TBhypo3463.genome.CDS.1498,group04792
TBhypo3463.genome.CDS.1555,group04801
TBhypo3463.genome.CDS.1495,group00632
TBhypo3463.genome.CDS.1494,group00278
