TBhypo2152.genome.CDS.1697,group03609
TBhypo2152.genome.CDS.1263,group00143
TBhypo2152.genome.CDS.1265,group00591
TBhypo2152.genome.CDS.1266,group00963
TBhypo2152.genome.CDS.1394,group00088
TBhypo2152.genome.CDS.1395,group00908
TBhypo2152.genome.CDS.1396,group00321
TBhypo2152.genome.CDS.1465,group00373
TBhypo2152.genome.CDS.1390,group00857
TBhypo2152.genome.CDS.1463,group00216
TBhypo2152.genome.CDS.1392,group00956
TBhypo2152.genome.CDS.1393,group00887
TBhypo2152.genome.CDS.1338,group02465
TBhypo2152.genome.CDS.1017,group00473
TBhypo2152.genome.CDS.1209,group00542
TBhypo2152.genome.CDS.1799,group00561
TBhypo2152.genome.CDS.1016,group00997
TBhypo2152.genome.CDS.1543,group00338
TBhypo2152.genome.CDS.1014,group01107
TBhypo2152.genome.CDS.969,group00283
TBhypo2152.genome.CDS.968,group00464
TBhypo2152.genome.CDS.965,group00778
TBhypo2152.genome.CDS.964,group00821
TBhypo2152.genome.CDS.967,group00597
TBhypo2152.genome.CDS.966,group03591
TBhypo2152.genome.CDS.961,group00395
TBhypo2152.genome.CDS.960,group01225
TBhypo2152.genome.CDS.963,group00508
TBhypo2152.genome.CDS.962,group00020
TBhypo2152.genome.CDS.1547,group01135
TBhypo2152.genome.CDS.1469,group00325
TBhypo2152.genome.CDS.1082,group00219
TBhypo2152.genome.CDS.1761,group00262
TBhypo2152.genome.CDS.1760,group00028
TBhypo2152.genome.CDS.1763,group00070
TBhypo2152.genome.CDS.1128,group00898
TBhypo2152.genome.CDS.1765,group01441
TBhypo2152.genome.CDS.1764,group00102
TBhypo2152.genome.CDS.1767,group00760
TBhypo2152.genome.CDS.1766,group00711
TBhypo2152.genome.CDS.1769,group00774
TBhypo2152.genome.CDS.1768,group01119
TBhypo2152.genome.CDS.1351,group00151
TBhypo2152.genome.CDS.427,group00098
TBhypo2152.genome.CDS.1845,group01373
TBhypo2152.genome.CDS.1846,group01074
TBhypo2152.genome.CDS.1847,group01700
TBhypo2152.genome.CDS.1840,group01859
TBhypo2152.genome.CDS.1841,group00674
TBhypo2152.genome.CDS.1659,group00193
TBhypo2152.genome.CDS.1843,group00346
TBhypo2152.genome.CDS.1848,group01047
TBhypo2152.genome.CDS.1849,group01102
TBhypo2152.genome.CDS.1123,group01184
TBhypo2152.genome.CDS.508,group00863
TBhypo2152.genome.CDS.1865,group00010
TBhypo2152.genome.CDS.1239,group00775
TBhypo2152.genome.CDS.1695,group01054
TBhypo2152.genome.CDS.149,group00451
TBhypo2152.genome.CDS.1696,group01641
TBhypo2152.genome.CDS.1691,group01302
TBhypo2152.genome.CDS.1690,group00815
TBhypo2152.genome.CDS.1693,group01986
TBhypo2152.genome.CDS.1692,group00973
TBhypo2152.genome.CDS.1699,group01286
TBhypo2152.genome.CDS.1698,group00670
TBhypo2152.genome.CDS.1112,group00637
TBhypo2152.genome.CDS.1504,group00396
TBhypo2152.genome.CDS.1110,group00023
TBhypo2152.genome.CDS.1230,group03573
TBhypo2152.genome.CDS.1116,group00032
TBhypo2152.genome.CDS.1117,group01717
TBhypo2152.genome.CDS.1503,group00929
TBhypo2152.genome.CDS.1502,group01024
TBhypo2152.genome.CDS.1118,group00525
TBhypo2152.genome.CDS.1119,group00255
TBhypo2152.genome.CDS.1509,group00135
TBhypo2152.genome.CDS.1508,group01028
TBhypo2152.genome.CDS.1167,group01233
TBhypo2152.genome.CDS.1166,group00652
TBhypo2152.genome.CDS.1164,group00917
TBhypo2152.genome.CDS.1163,group00017
TBhypo2152.genome.CDS.1162,group00914
TBhypo2152.genome.CDS.1161,group01240
TBhypo2152.genome.CDS.1609,group01215
TBhypo2152.genome.CDS.1606,group00961
TBhypo2152.genome.CDS.1607,group00768
TBhypo2152.genome.CDS.1604,group01139
TBhypo2152.genome.CDS.1605,group00931
TBhypo2152.genome.CDS.1602,group00840
TBhypo2152.genome.CDS.1603,group00454
TBhypo2152.genome.CDS.1600,group00248
TBhypo2152.genome.CDS.1601,group00398
TBhypo2152.genome.CDS.1388,group00584
TBhypo2152.genome.CDS.1598,group00072
TBhypo2152.genome.CDS.1599,group00985
TBhypo2152.genome.CDS.1596,group03601
TBhypo2152.genome.CDS.1597,group00062
TBhypo2152.genome.CDS.1594,group00867
TBhypo2152.genome.CDS.1595,group00286
TBhypo2152.genome.CDS.1592,group00858
TBhypo2152.genome.CDS.1593,group00162
TBhypo2152.genome.CDS.1590,group00659
TBhypo2152.genome.CDS.1591,group00313
TBhypo2152.genome.CDS.1026,group00356
TBhypo2152.genome.CDS.1027,group01795
TBhypo2152.genome.CDS.1024,group01165
TBhypo2152.genome.CDS.1025,group00780
TBhypo2152.genome.CDS.1022,group00491
TBhypo2152.genome.CDS.1023,group00379
TBhypo2152.genome.CDS.1020,group00080
TBhypo2152.genome.CDS.1021,group00291
TBhypo2152.genome.CDS.1181,group00358
TBhypo2152.genome.CDS.1180,group00187
TBhypo2152.genome.CDS.1183,group00315
TBhypo2152.genome.CDS.1182,group00754
TBhypo2152.genome.CDS.1185,group00758
TBhypo2152.genome.CDS.1184,group00359
TBhypo2152.genome.CDS.1187,group00233
TBhypo2152.genome.CDS.1186,group00420
TBhypo2152.genome.CDS.1439,group03593
TBhypo2152.genome.CDS.1438,group00323
TBhypo2152.genome.CDS.1678,group00617
TBhypo2152.genome.CDS.377,group01086
TBhypo2152.genome.CDS.1349,group00273
TBhypo2152.genome.CDS.1348,group00309
TBhypo2152.genome.CDS.1347,group03587
TBhypo2152.genome.CDS.1346,group01080
TBhypo2152.genome.CDS.1345,group00909
TBhypo2152.genome.CDS.1344,group00909
TBhypo2152.genome.CDS.1435,group00499
TBhypo2152.genome.CDS.1434,group00989
TBhypo2152.genome.CDS.1341,group00684
TBhypo2152.genome.CDS.1340,group00082
TBhypo2152.genome.CDS.1300,group00154
TBhypo2152.genome.CDS.979,group01678
TBhypo2152.genome.CDS.1352,group00095
TBhypo2152.genome.CDS.1178,group00870
TBhypo2152.genome.CDS.1028,group01348
TBhypo2152.genome.CDS.1233,group01187
TBhypo2152.genome.CDS.1232,group01782
TBhypo2152.genome.CDS.1231,group00069
TBhypo2152.genome.CDS.1339,group00063
TBhypo2152.genome.CDS.1237,group02811
TBhypo2152.genome.CDS.1236,group00623
TBhypo2152.genome.CDS.1235,group00602
TBhypo2152.genome.CDS.1234,group00782
TBhypo2152.genome.CDS.1332,group00148
TBhypo2152.genome.CDS.1333,group00092
TBhypo2152.genome.CDS.1330,group02104
TBhypo2152.genome.CDS.1238,group00845
TBhypo2152.genome.CDS.1336,group00046
TBhypo2152.genome.CDS.1337,group00048
TBhypo2152.genome.CDS.1334,group00093
TBhypo2152.genome.CDS.1335,group00055
TBhypo2152.genome.CDS.933,group00415
TBhypo2152.genome.CDS.930,group00585
TBhypo2152.genome.CDS.931,group00600
TBhypo2152.genome.CDS.936,group00726
TBhypo2152.genome.CDS.937,group00185
TBhypo2152.genome.CDS.934,group03568
TBhypo2152.genome.CDS.935,group00270
TBhypo2152.genome.CDS.327,group00476
TBhypo2152.genome.CDS.938,group00076
TBhypo2152.genome.CDS.939,group00483
TBhypo2152.genome.CDS.1331,group00435
TBhypo2152.genome.CDS.65,group01399
TBhypo2152.genome.CDS.1384,group00686
TBhypo2152.genome.CDS.809,group03550
TBhypo2152.genome.CDS.240,group01036
TBhypo2152.genome.CDS.273,group00638
TBhypo2152.genome.CDS.272,group00169
TBhypo2152.genome.CDS.1759,group00452
TBhypo2152.genome.CDS.1248,group01011
TBhypo2152.genome.CDS.1060,group00718
TBhypo2152.genome.CDS.1308,group00582
TBhypo2152.genome.CDS.1068,group00964
TBhypo2152.genome.CDS.989,group02242
TBhypo2152.genome.CDS.988,group01792
TBhypo2152.genome.CDS.987,group01714
TBhypo2152.genome.CDS.986,group00036
TBhypo2152.genome.CDS.985,group02252
TBhypo2152.genome.CDS.984,group02253
TBhypo2152.genome.CDS.983,group03594
TBhypo2152.genome.CDS.982,group01466
TBhypo2152.genome.CDS.981,group00818
TBhypo2152.genome.CDS.980,group01850
TBhypo2152.genome.CDS.1748,group00447
TBhypo2152.genome.CDS.1553,group03598
TBhypo2152.genome.CDS.1800,group00341
TBhypo2152.genome.CDS.1801,group00625
TBhypo2152.genome.CDS.1802,group00624
TBhypo2152.genome.CDS.1803,group00231
TBhypo2152.genome.CDS.1804,group00509
TBhypo2152.genome.CDS.1806,group03552
TBhypo2152.genome.CDS.1629,group00947
TBhypo2152.genome.CDS.1808,group00174
TBhypo2152.genome.CDS.1809,group00285
TBhypo2152.genome.CDS.1099,group01027
TBhypo2152.genome.CDS.1789,group00954
TBhypo2152.genome.CDS.212,group03565
TBhypo2152.genome.CDS.1663,group00627
TBhypo2152.genome.CDS.1051,group00492
TBhypo2152.genome.CDS.1798,group00161
TBhypo2152.genome.CDS.1650,group00507
TBhypo2152.genome.CDS.1653,group00779
TBhypo2152.genome.CDS.1652,group00269
TBhypo2152.genome.CDS.1655,group00995
TBhypo2152.genome.CDS.1654,group00995
TBhypo2152.genome.CDS.1657,group00118
TBhypo2152.genome.CDS.1656,group00119
TBhypo2152.genome.CDS.1790,group00748
TBhypo2152.genome.CDS.1791,group00983
TBhypo2152.genome.CDS.1792,group00224
TBhypo2152.genome.CDS.1098,group00057
TBhypo2152.genome.CDS.1794,group00966
TBhypo2152.genome.CDS.1795,group00814
TBhypo2152.genome.CDS.1796,group00232
TBhypo2152.genome.CDS.1797,group00562
TBhypo2152.genome.CDS.1729,group00040
TBhypo2152.genome.CDS.1728,group00110
TBhypo2152.genome.CDS.1725,group00166
TBhypo2152.genome.CDS.1724,group00041
TBhypo2152.genome.CDS.1726,group00125
TBhypo2152.genome.CDS.1721,group00713
TBhypo2152.genome.CDS.1720,group00153
TBhypo2152.genome.CDS.1723,group00085
TBhypo2152.genome.CDS.1722,group00661
TBhypo2152.genome.CDS.1111,group03562
TBhypo2152.genome.CDS.653,group03602
TBhypo2152.genome.CDS.1190,group00736
TBhypo2152.genome.CDS.1058,group00217
TBhypo2152.genome.CDS.1711,group01020
TBhypo2152.genome.CDS.1712,group01258
TBhypo2152.genome.CDS.1197,group00810
TBhypo2152.genome.CDS.1475,group00278
TBhypo2152.genome.CDS.1474,group00632
TBhypo2152.genome.CDS.1477,group00783
TBhypo2152.genome.CDS.1476,group00210
TBhypo2152.genome.CDS.1578,group00239
TBhypo2152.genome.CDS.1470,group00006
TBhypo2152.genome.CDS.1473,group03595
TBhypo2152.genome.CDS.1153,group01559
TBhypo2152.genome.CDS.1574,group00700
TBhypo2152.genome.CDS.1866,group00787
TBhypo2152.genome.CDS.1576,group00675
TBhypo2152.genome.CDS.1577,group00271
TBhypo2152.genome.CDS.1570,group00386
TBhypo2152.genome.CDS.1478,group00651
TBhypo2152.genome.CDS.1572,group03599
TBhypo2152.genome.CDS.1715,group00351
TBhypo2152.genome.CDS.1097,group00060
TBhypo2152.genome.CDS.1291,group00998
TBhypo2152.genome.CDS.1095,group00131
TBhypo2152.genome.CDS.1094,group00781
TBhypo2152.genome.CDS.1093,group03561
TBhypo2152.genome.CDS.1864,group01456
TBhypo2152.genome.CDS.1091,group00222
TBhypo2152.genome.CDS.1159,group00045
TBhypo2152.genome.CDS.1156,group01370
TBhypo2152.genome.CDS.1157,group01912
TBhypo2152.genome.CDS.1154,group01515
TBhypo2152.genome.CDS.1155,group01618
TBhypo2152.genome.CDS.1152,group01465
TBhypo2152.genome.CDS.1293,group00276
TBhypo2152.genome.CDS.1150,group00825
TBhypo2152.genome.CDS.1151,group00637
TBhypo2152.genome.CDS.1429,group00827
TBhypo2152.genome.CDS.1376,group00865
TBhypo2152.genome.CDS.1078,group00514
TBhypo2152.genome.CDS.336,group00170
TBhypo2152.genome.CDS.1375,group00302
TBhypo2152.genome.CDS.1372,group02973
TBhypo2152.genome.CDS.331,group03577
TBhypo2152.genome.CDS.332,group00630
TBhypo2152.genome.CDS.1371,group00115
TBhypo2152.genome.CDS.235,group03569
TBhypo2152.genome.CDS.1070,group00811
TBhypo2152.genome.CDS.1073,group00441
TBhypo2152.genome.CDS.1072,group00880
TBhypo2152.genome.CDS.1075,group01058
TBhypo2152.genome.CDS.1074,group00331
TBhypo2152.genome.CDS.1077,group00197
TBhypo2152.genome.CDS.1379,group00165
TBhypo2152.genome.CDS.1422,group00477
TBhypo2152.genome.CDS.25,group00493
TBhypo2152.genome.CDS.874,group00345
TBhypo2152.genome.CDS.1279,group00073
TBhypo2152.genome.CDS.1423,group00655
TBhypo2152.genome.CDS.1277,group00789
TBhypo2152.genome.CDS.1275,group00788
TBhypo2152.genome.CDS.1274,group00911
TBhypo2152.genome.CDS.1273,group03579
TBhypo2152.genome.CDS.1272,group03576
TBhypo2152.genome.CDS.1271,group00101
TBhypo2152.genome.CDS.1270,group00196
TBhypo2152.genome.CDS.1389,group00266
TBhypo2152.genome.CDS.1421,group01195
TBhypo2152.genome.CDS.1383,group00910
TBhypo2152.genome.CDS.1382,group01007
TBhypo2152.genome.CDS.1381,group00559
TBhypo2152.genome.CDS.1380,group00647
TBhypo2152.genome.CDS.1387,group00519
TBhypo2152.genome.CDS.1386,group00720
TBhypo2152.genome.CDS.1385,group01080
TBhypo2152.genome.CDS.1427,group00001
TBhypo2152.genome.CDS.1356,group00192
TBhypo2152.genome.CDS.1342,group00869
TBhypo2152.genome.CDS.1357,group00548
TBhypo2152.genome.CDS.1208,group00056
TBhypo2152.genome.CDS.1861,group00528
TBhypo2152.genome.CDS.1200,group00977
TBhypo2152.genome.CDS.1201,group00982
TBhypo2152.genome.CDS.1206,group00011
TBhypo2152.genome.CDS.1207,group00636
TBhypo2152.genome.CDS.1204,group00340
TBhypo2152.genome.CDS.1205,group00807
TBhypo2152.genome.CDS.1008,group00176
TBhypo2152.genome.CDS.1009,group00979
TBhypo2152.genome.CDS.976,group00992
TBhypo2152.genome.CDS.977,group01380
TBhypo2152.genome.CDS.974,group01709
TBhypo2152.genome.CDS.975,group01106
TBhypo2152.genome.CDS.972,group03590
TBhypo2152.genome.CDS.973,group00536
TBhypo2152.genome.CDS.970,group00033
TBhypo2152.genome.CDS.971,group00546
TBhypo2152.genome.CDS.1410,group00580
TBhypo2152.genome.CDS.347,group03578
TBhypo2152.genome.CDS.739,group00648
TBhypo2152.genome.CDS.1754,group00164
TBhypo2152.genome.CDS.1000,group00434
TBhypo2152.genome.CDS.1756,group00182
TBhypo2152.genome.CDS.1757,group00211
TBhypo2152.genome.CDS.1751,group00741
TBhypo2152.genome.CDS.1752,group00588
TBhypo2152.genome.CDS.1753,group00195
TBhypo2152.genome.CDS.1199,group01141
TBhypo2152.genome.CDS.1758,group00915
TBhypo2152.genome.CDS.1550,group00337
TBhypo2152.genome.CDS.1003,group03606
TBhypo2152.genome.CDS.1004,group01001
TBhypo2152.genome.CDS.1557,group00666
TBhypo2152.genome.CDS.1859,group00776
TBhypo2152.genome.CDS.1169,group00113
TBhypo2152.genome.CDS.1006,group00730
TBhypo2152.genome.CDS.1853,group01565
TBhypo2152.genome.CDS.1852,group01581
TBhypo2152.genome.CDS.1851,group00339
TBhypo2152.genome.CDS.1850,group01125
TBhypo2152.genome.CDS.1857,group01115
TBhypo2152.genome.CDS.1856,group03555
TBhypo2152.genome.CDS.1855,group01276
TBhypo2152.genome.CDS.1854,group01131
TBhypo2152.genome.CDS.1398,group00030
TBhypo2152.genome.CDS.1101,group00393
TBhypo2152.genome.CDS.1168,group01355
TBhypo2152.genome.CDS.1103,group03563
TBhypo2152.genome.CDS.1102,group02189
TBhypo2152.genome.CDS.1105,group00746
TBhypo2152.genome.CDS.1104,group01112
TBhypo2152.genome.CDS.1107,group00577
TBhypo2152.genome.CDS.1106,group00745
TBhypo2152.genome.CDS.1109,group00706
TBhypo2152.genome.CDS.1108,group00199
TBhypo2152.genome.CDS.1619,group00378
TBhypo2152.genome.CDS.1529,group00530
TBhypo2152.genome.CDS.607,group03600
TBhypo2152.genome.CDS.1615,group00556
TBhypo2152.genome.CDS.1614,group00415
TBhypo2152.genome.CDS.563,group01354
TBhypo2152.genome.CDS.1616,group00527
TBhypo2152.genome.CDS.1399,group00245
TBhypo2152.genome.CDS.1610,group00563
TBhypo2152.genome.CDS.1613,group00685
TBhypo2152.genome.CDS.1612,group00701
TBhypo2152.genome.CDS.1807,group01017
TBhypo2152.genome.CDS.1589,group00314
TBhypo2152.genome.CDS.1588,group00293
TBhypo2152.genome.CDS.1585,group00079
TBhypo2152.genome.CDS.762,group00120
TBhypo2152.genome.CDS.1587,group00144
TBhypo2152.genome.CDS.1586,group00377
TBhypo2152.genome.CDS.1581,group00436
TBhypo2152.genome.CDS.1580,group00089
TBhypo2152.genome.CDS.1583,group00332
TBhypo2152.genome.CDS.1582,group00431
TBhypo2152.genome.CDS.1035,group00938
TBhypo2152.genome.CDS.1034,group01060
TBhypo2152.genome.CDS.1037,group01305
TBhypo2152.genome.CDS.1036,group02681
TBhypo2152.genome.CDS.1031,group00950
TBhypo2152.genome.CDS.1030,group01046
TBhypo2152.genome.CDS.1033,group03558
TBhypo2152.genome.CDS.1032,group00352
TBhypo2152.genome.CDS.1488,group02710
TBhypo2152.genome.CDS.1564,group00307
TBhypo2152.genome.CDS.1039,group01317
TBhypo2152.genome.CDS.1038,group02047
TBhypo2152.genome.CDS.1408,group00457
TBhypo2152.genome.CDS.1409,group00523
TBhypo2152.genome.CDS.1029,group01721
TBhypo2152.genome.CDS.1404,group00329
TBhypo2152.genome.CDS.1405,group00329
TBhypo2152.genome.CDS.1406,group00450
TBhypo2152.genome.CDS.1407,group00282
TBhypo2152.genome.CDS.1400,group00437
TBhypo2152.genome.CDS.1401,group00225
TBhypo2152.genome.CDS.1402,group00240
TBhypo2152.genome.CDS.1403,group00027
TBhypo2152.genome.CDS.1538,group00067
TBhypo2152.genome.CDS.1539,group00111
TBhypo2152.genome.CDS.1530,group01560
TBhypo2152.genome.CDS.1531,group01251
TBhypo2152.genome.CDS.1532,group00116
TBhypo2152.genome.CDS.1533,group00592
TBhypo2152.genome.CDS.1534,group00544
TBhypo2152.genome.CDS.1535,group00163
TBhypo2152.genome.CDS.1536,group00190
TBhypo2152.genome.CDS.1537,group00067
TBhypo2152.genome.CDS.1359,group00813
TBhypo2152.genome.CDS.1246,group03574
TBhypo2152.genome.CDS.1328,group00608
TBhypo2152.genome.CDS.1244,group00288
TBhypo2152.genome.CDS.1245,group00440
TBhypo2152.genome.CDS.1242,group02932
TBhypo2152.genome.CDS.1243,group00367
TBhypo2152.genome.CDS.1240,group00732
TBhypo2152.genome.CDS.1241,group00959
TBhypo2152.genome.CDS.1321,group00772
TBhypo2152.genome.CDS.1320,group00626
TBhypo2152.genome.CDS.1323,group01503
TBhypo2152.genome.CDS.1322,group00601
TBhypo2152.genome.CDS.1325,group00099
TBhypo2152.genome.CDS.1324,group00336
TBhypo2152.genome.CDS.1327,group03585
TBhypo2152.genome.CDS.1326,group00100
TBhypo2152.genome.CDS.907,group00999
TBhypo2152.genome.CDS.1089,group01010
TBhypo2152.genome.CDS.909,group00284
TBhypo2152.genome.CDS.908,group00382
TBhypo2152.genome.CDS.1100,group00374
TBhypo2152.genome.CDS.838,group00570
TBhypo2152.genome.CDS.1012,group00372
TBhypo2152.genome.CDS.265,group00475
TBhypo2152.genome.CDS.1738,group00069
TBhypo2152.genome.CDS.924,group00852
TBhypo2152.genome.CDS.990,group00795
TBhypo2152.genome.CDS.991,group00687
TBhypo2152.genome.CDS.992,group01757
TBhypo2152.genome.CDS.993,group01450
TBhypo2152.genome.CDS.994,group01379
TBhypo2152.genome.CDS.995,group00071
TBhypo2152.genome.CDS.996,group00537
TBhypo2152.genome.CDS.997,group01422
TBhypo2152.genome.CDS.998,group02025
TBhypo2152.genome.CDS.999,group00787
TBhypo2152.genome.CDS.1299,group01033
TBhypo2152.genome.CDS.1143,group00017
TBhypo2152.genome.CDS.1251,group03575
TBhypo2152.genome.CDS.1160,group00871
TBhypo2152.genome.CDS.1250,group00486
TBhypo2152.genome.CDS.1010,group00753
TBhypo2152.genome.CDS.1743,group00344
TBhypo2152.genome.CDS.1817,group00209
TBhypo2152.genome.CDS.1816,group00103
TBhypo2152.genome.CDS.1815,group00087
TBhypo2152.genome.CDS.1814,group00039
TBhypo2152.genome.CDS.1813,group00946
TBhypo2152.genome.CDS.1812,group00801
TBhypo2152.genome.CDS.1811,group00074
TBhypo2152.genome.CDS.1810,group00893
TBhypo2152.genome.CDS.1172,group00891
TBhypo2152.genome.CDS.1819,group00463
TBhypo2152.genome.CDS.1818,group00511
TBhypo2152.genome.CDS.1310,group00552
TBhypo2152.genome.CDS.1472,group00342
TBhypo2152.genome.CDS.1311,group00497
TBhypo2152.genome.CDS.1664,group00205
TBhypo2152.genome.CDS.1665,group00642
TBhypo2152.genome.CDS.1666,group00029
TBhypo2152.genome.CDS.1667,group00878
TBhypo2152.genome.CDS.1660,group00188
TBhypo2152.genome.CDS.1661,group00086
TBhypo2152.genome.CDS.1662,group00084
TBhypo2152.genome.CDS.1788,group01448
TBhypo2152.genome.CDS.1787,group01789
TBhypo2152.genome.CDS.1786,group01349
TBhypo2152.genome.CDS.1785,group02658
TBhypo2152.genome.CDS.1784,group01411
TBhypo2152.genome.CDS.1668,group00127
TBhypo2152.genome.CDS.1782,group02250
TBhypo2152.genome.CDS.1781,group00859
TBhypo2152.genome.CDS.1780,group01485
TBhypo2152.genome.CDS.1862,group00417
TBhypo2152.genome.CDS.1863,group03556
TBhypo2152.genome.CDS.1860,group00418
TBhypo2152.genome.CDS.1713,group00828
TBhypo2152.genome.CDS.1714,group00428
TBhypo2152.genome.CDS.1867,group01805
TBhypo2152.genome.CDS.1716,group03611
TBhypo2152.genome.CDS.1717,group00026
TBhypo2152.genome.CDS.1718,group00140
TBhypo2152.genome.CDS.1719,group00221
TBhypo2152.genome.CDS.1868,group00987
TBhypo2152.genome.CDS.1869,group00780
TBhypo2152.genome.CDS.528,group00223
TBhypo2152.genome.CDS.644,group00714
TBhypo2152.genome.CDS.1617,group00107
TBhypo2152.genome.CDS.643,group01508
TBhypo2152.genome.CDS.1611,group00324
TBhypo2152.genome.CDS.1563,group00533
TBhypo2152.genome.CDS.1562,group00532
TBhypo2152.genome.CDS.1561,group00470
TBhypo2152.genome.CDS.1560,group00468
TBhypo2152.genome.CDS.1567,group00184
TBhypo2152.genome.CDS.1566,group00535
TBhypo2152.genome.CDS.1565,group00534
TBhypo2152.genome.CDS.1658,group00015
TBhypo2152.genome.CDS.1048,group00183
TBhypo2152.genome.CDS.1569,group00139
TBhypo2152.genome.CDS.1568,group00050
TBhypo2152.genome.CDS.1049,group00606
TBhypo2152.genome.CDS.1793,group00327
TBhypo2152.genome.CDS.1149,group01049
TBhypo2152.genome.CDS.1148,group00575
TBhypo2152.genome.CDS.1145,group00018
TBhypo2152.genome.CDS.1144,group00702
TBhypo2152.genome.CDS.1147,group01147
TBhypo2152.genome.CDS.1146,group00923
TBhypo2152.genome.CDS.1141,group00467
TBhypo2152.genome.CDS.1140,group03564
TBhypo2152.genome.CDS.1505,group00955
TBhypo2152.genome.CDS.1142,group00042
TBhypo2152.genome.CDS.1365,group00831
TBhypo2152.genome.CDS.1364,group00014
TBhypo2152.genome.CDS.1367,group03588
TBhypo2152.genome.CDS.1366,group00876
TBhypo2152.genome.CDS.1361,group02037
TBhypo2152.genome.CDS.1360,group01517
TBhypo2152.genome.CDS.1363,group00747
TBhypo2152.genome.CDS.1362,group01672
TBhypo2152.genome.CDS.1044,group00480
TBhypo2152.genome.CDS.1045,group00830
TBhypo2152.genome.CDS.1046,group00133
TBhypo2152.genome.CDS.1047,group00879
TBhypo2152.genome.CDS.1040,group03559
TBhypo2152.genome.CDS.1368,group00097
TBhypo2152.genome.CDS.1042,group00323
TBhypo2152.genome.CDS.1043,group00138
TBhypo2152.genome.CDS.1282,group00692
TBhypo2152.genome.CDS.1283,group01063
TBhypo2152.genome.CDS.1280,group00762
TBhypo2152.genome.CDS.1281,group01261
TBhypo2152.genome.CDS.1286,group00308
TBhypo2152.genome.CDS.1287,group00025
TBhypo2152.genome.CDS.1284,group00574
TBhypo2152.genome.CDS.1285,group00353
TBhypo2152.genome.CDS.1288,group00370
TBhypo2152.genome.CDS.1289,group00277
TBhypo2152.genome.CDS.761,group00335
TBhypo2152.genome.CDS.1448,group01630
TBhypo2152.genome.CDS.1449,group01144
TBhypo2152.genome.CDS.1440,group00960
TBhypo2152.genome.CDS.1441,group02919
TBhypo2152.genome.CDS.1442,group02067
TBhypo2152.genome.CDS.1443,group01061
TBhypo2152.genome.CDS.1444,group00969
TBhypo2152.genome.CDS.1445,group00834
TBhypo2152.genome.CDS.1446,group00586
TBhypo2152.genome.CDS.1447,group01090
TBhypo2152.genome.CDS.1762,group00851
