AAA023J06.genome.CDS.1337,group00850
AAA023J06.genome.CDS.951,group03743
AAA023J06.genome.CDS.950,group00781
AAA023J06.genome.CDS.1002,group01616
AAA023J06.genome.CDS.207,group00757
AAA023J06.genome.CDS.1159,group00778
AAA023J06.genome.CDS.1373,group00027
AAA023J06.genome.CDS.1372,group00590
AAA023J06.genome.CDS.1371,group00052
AAA023J06.genome.CDS.1370,group03744
AAA023J06.genome.CDS.1377,group00631
AAA023J06.genome.CDS.1376,group00910
AAA023J06.genome.CDS.1375,group00716
AAA023J06.genome.CDS.1374,group00829
AAA023J06.genome.CDS.1470,group00652
AAA023J06.genome.CDS.1471,group03767
AAA023J06.genome.CDS.1472,group00460
AAA023J06.genome.CDS.1378,group00575
AAA023J06.genome.CDS.1474,group01307
AAA023J06.genome.CDS.1475,group00347
AAA023J06.genome.CDS.1476,group00346
AAA023J06.genome.CDS.1030,group01251
AAA023J06.genome.CDS.792,group00622
AAA023J06.genome.CDS.1031,group01473
AAA023J06.genome.CDS.1342,group00289
AAA023J06.genome.CDS.794,group00463
AAA023J06.genome.CDS.881,group01352
AAA023J06.genome.CDS.880,group01547
AAA023J06.genome.CDS.883,group01486
AAA023J06.genome.CDS.882,group00005
AAA023J06.genome.CDS.885,group01502
AAA023J06.genome.CDS.797,group00003
AAA023J06.genome.CDS.887,group01651
AAA023J06.genome.CDS.888,group01595
AAA023J06.genome.CDS.796,group00549
AAA023J06.genome.CDS.1098,group01663
AAA023J06.genome.CDS.1099,group01449
AAA023J06.genome.CDS.1038,group00484
AAA023J06.genome.CDS.1039,group00547
AAA023J06.genome.CDS.1498,group00282
AAA023J06.genome.CDS.1485,group00647
AAA023J06.genome.CDS.1484,group03774
AAA023J06.genome.CDS.1487,group01186
AAA023J06.genome.CDS.1486,group01410
AAA023J06.genome.CDS.773,group01017
AAA023J06.genome.CDS.1480,group00186
AAA023J06.genome.CDS.1483,group03775
AAA023J06.genome.CDS.1482,group00551
AAA023J06.genome.CDS.1489,group00071
AAA023J06.genome.CDS.1488,group00096
AAA023J06.genome.CDS.779,group00946
AAA023J06.genome.CDS.778,group00801
AAA023J06.genome.CDS.1092,group01325
AAA023J06.genome.CDS.1093,group02206
AAA023J06.genome.CDS.1090,group01435
AAA023J06.genome.CDS.1158,group03776
AAA023J06.genome.CDS.1096,group01440
AAA023J06.genome.CDS.1097,group01618
AAA023J06.genome.CDS.1094,group00672
AAA023J06.genome.CDS.1095,group03765
AAA023J06.genome.CDS.1153,group01183
AAA023J06.genome.CDS.1152,group00693
AAA023J06.genome.CDS.1151,group00554
AAA023J06.genome.CDS.1150,group00241
AAA023J06.genome.CDS.1157,group00597
AAA023J06.genome.CDS.1156,group00464
AAA023J06.genome.CDS.1155,group00283
AAA023J06.genome.CDS.1154,group00432
AAA023J06.genome.CDS.1100,group00922
AAA023J06.genome.CDS.1101,group03764
AAA023J06.genome.CDS.1250,group03719
AAA023J06.genome.CDS.1398,group00402
AAA023J06.genome.CDS.1252,group03718
AAA023J06.genome.CDS.1253,group01347
AAA023J06.genome.CDS.1254,group01022
AAA023J06.genome.CDS.1255,group01124
AAA023J06.genome.CDS.1256,group00838
AAA023J06.genome.CDS.1257,group00021
AAA023J06.genome.CDS.1391,group03747
AAA023J06.genome.CDS.1259,group00020
AAA023J06.genome.CDS.1393,group03746
AAA023J06.genome.CDS.1392,group01149
AAA023J06.genome.CDS.1395,group00007
AAA023J06.genome.CDS.1394,group03748
AAA023J06.genome.CDS.1397,group00435
AAA023J06.genome.CDS.1396,group00316
AAA023J06.genome.CDS.852,group03732
AAA023J06.genome.CDS.853,group00236
AAA023J06.genome.CDS.850,group00091
AAA023J06.genome.CDS.851,group03733
AAA023J06.genome.CDS.856,group01558
AAA023J06.genome.CDS.857,group01997
AAA023J06.genome.CDS.854,group01237
AAA023J06.genome.CDS.855,group01154
AAA023J06.genome.CDS.858,group01548
AAA023J06.genome.CDS.859,group02815
AAA023J06.genome.CDS.748,group00739
AAA023J06.genome.CDS.938,group00548
AAA023J06.genome.CDS.1108,group01719
AAA023J06.genome.CDS.1029,group01130
AAA023J06.genome.CDS.1028,group00133
AAA023J06.genome.CDS.1027,group00975
AAA023J06.genome.CDS.1026,group00879
AAA023J06.genome.CDS.1025,group00183
AAA023J06.genome.CDS.1024,group00606
AAA023J06.genome.CDS.1023,group00461
AAA023J06.genome.CDS.1022,group00492
AAA023J06.genome.CDS.1021,group00404
AAA023J06.genome.CDS.1020,group00326
AAA023J06.genome.CDS.926,group01457
AAA023J06.genome.CDS.927,group01444
AAA023J06.genome.CDS.924,group01540
AAA023J06.genome.CDS.925,group01539
AAA023J06.genome.CDS.922,group00110
AAA023J06.genome.CDS.923,group00040
AAA023J06.genome.CDS.920,group00335
AAA023J06.genome.CDS.921,group00120
AAA023J06.genome.CDS.1109,group03759
AAA023J06.genome.CDS.928,group00336
AAA023J06.genome.CDS.929,group00601
AAA023J06.genome.CDS.1434,group03752
AAA023J06.genome.CDS.1435,group01478
AAA023J06.genome.CDS.1436,group01407
AAA023J06.genome.CDS.1437,group00729
AAA023J06.genome.CDS.1430,group01358
AAA023J06.genome.CDS.1431,group00045
AAA023J06.genome.CDS.1432,group00952
AAA023J06.genome.CDS.1433,group02367
AAA023J06.genome.CDS.1438,group01578
AAA023J06.genome.CDS.1439,group03754
AAA023J06.genome.CDS.1399,group03749
AAA023J06.genome.CDS.1251,group02749
AAA023J06.genome.CDS.1441,group01118
AAA023J06.genome.CDS.1440,group03753
AAA023J06.genome.CDS.1443,group02090
AAA023J06.genome.CDS.1442,group00936
AAA023J06.genome.CDS.1445,group00032
AAA023J06.genome.CDS.1444,group00502
AAA023J06.genome.CDS.1447,group00032
AAA023J06.genome.CDS.1446,group01637
AAA023J06.genome.CDS.1449,group02176
AAA023J06.genome.CDS.1448,group03756
AAA023J06.genome.CDS.1328,group03740
AAA023J06.genome.CDS.1329,group03739
AAA023J06.genome.CDS.1280,group02893
AAA023J06.genome.CDS.1287,group02493
AAA023J06.genome.CDS.1286,group03728
AAA023J06.genome.CDS.1285,group02364
AAA023J06.genome.CDS.1390,group01114
AAA023J06.genome.CDS.1320,group00816
AAA023J06.genome.CDS.1321,group01166
AAA023J06.genome.CDS.1322,group00786
AAA023J06.genome.CDS.1323,group00029
AAA023J06.genome.CDS.1324,group01668
AAA023J06.genome.CDS.1325,group02960
AAA023J06.genome.CDS.1326,group02207
AAA023J06.genome.CDS.1327,group03741
AAA023J06.genome.CDS.962,group01484
AAA023J06.genome.CDS.771,group00214
AAA023J06.genome.CDS.808,group00713
AAA023J06.genome.CDS.1197,group01107
AAA023J06.genome.CDS.1196,group00242
AAA023J06.genome.CDS.1195,group01025
AAA023J06.genome.CDS.1194,group00024
AAA023J06.genome.CDS.1193,group00707
AAA023J06.genome.CDS.1219,group00433
AAA023J06.genome.CDS.1191,group01852
AAA023J06.genome.CDS.1190,group00395
AAA023J06.genome.CDS.1214,group01066
AAA023J06.genome.CDS.1215,group00142
AAA023J06.genome.CDS.1216,group00503
AAA023J06.genome.CDS.1217,group02426
AAA023J06.genome.CDS.1210,group00832
AAA023J06.genome.CDS.1211,group00253
AAA023J06.genome.CDS.1199,group00997
AAA023J06.genome.CDS.1198,group00803
AAA023J06.genome.CDS.742,group01720
AAA023J06.genome.CDS.1306,group00367
AAA023J06.genome.CDS.968,group01108
AAA023J06.genome.CDS.1307,group00288
AAA023J06.genome.CDS.802,group00203
AAA023J06.genome.CDS.1481,group00710
AAA023J06.genome.CDS.110,group01753
AAA023J06.genome.CDS.1318,group03737
AAA023J06.genome.CDS.806,group00221
AAA023J06.genome.CDS.1308,group00440
AAA023J06.genome.CDS.449,group01309
AAA023J06.genome.CDS.1069,group00398
AAA023J06.genome.CDS.1068,group00840
AAA023J06.genome.CDS.527,group03716
AAA023J06.genome.CDS.1063,group01421
AAA023J06.genome.CDS.1062,group01249
AAA023J06.genome.CDS.1061,group01385
AAA023J06.genome.CDS.1060,group00846
AAA023J06.genome.CDS.1067,group00454
AAA023J06.genome.CDS.444,group01132
AAA023J06.genome.CDS.1065,group01109
AAA023J06.genome.CDS.1064,group00940
AAA023J06.genome.CDS.1269,group01415
AAA023J06.genome.CDS.1268,group03723
AAA023J06.genome.CDS.1103,group03763
AAA023J06.genome.CDS.1104,group03762
AAA023J06.genome.CDS.1105,group03761
AAA023J06.genome.CDS.1106,group02895
AAA023J06.genome.CDS.1107,group03760
AAA023J06.genome.CDS.1261,group00785
AAA023J06.genome.CDS.1260,group03717
AAA023J06.genome.CDS.1263,group02623
AAA023J06.genome.CDS.1262,group01347
AAA023J06.genome.CDS.1265,group02292
AAA023J06.genome.CDS.1264,group03726
AAA023J06.genome.CDS.1267,group03724
AAA023J06.genome.CDS.1266,group03725
AAA023J06.genome.CDS.1453,group00866
AAA023J06.genome.CDS.1450,group02848
AAA023J06.genome.CDS.809,group00661
AAA023J06.genome.CDS.963,group00435
AAA023J06.genome.CDS.960,group00645
AAA023J06.genome.CDS.961,group00116
AAA023J06.genome.CDS.966,group01542
AAA023J06.genome.CDS.967,group00687
AAA023J06.genome.CDS.964,group01245
AAA023J06.genome.CDS.965,group00897
AAA023J06.genome.CDS.801,group00794
AAA023J06.genome.CDS.800,group00635
AAA023J06.genome.CDS.803,group00026
AAA023J06.genome.CDS.969,group01317
AAA023J06.genome.CDS.805,group00228
AAA023J06.genome.CDS.804,group00140
AAA023J06.genome.CDS.807,group00153
AAA023J06.genome.CDS.783,group00209
AAA023J06.genome.CDS.1451,group01283
AAA023J06.genome.CDS.1454,group00967
AAA023J06.genome.CDS.1455,group00968
AAA023J06.genome.CDS.1055,group00961
AAA023J06.genome.CDS.772,group00281
AAA023J06.genome.CDS.1364,group00200
AAA023J06.genome.CDS.1365,group02015
AAA023J06.genome.CDS.1366,group01001
AAA023J06.genome.CDS.1367,group00668
AAA023J06.genome.CDS.1360,group00004
AAA023J06.genome.CDS.1408,group00747
AAA023J06.genome.CDS.1362,group00599
AAA023J06.genome.CDS.1363,group00719
AAA023J06.genome.CDS.1405,group00029
AAA023J06.genome.CDS.1404,group00979
AAA023J06.genome.CDS.1407,group03750
AAA023J06.genome.CDS.1406,group01918
AAA023J06.genome.CDS.1401,group00010
AAA023J06.genome.CDS.1369,group00029
AAA023J06.genome.CDS.1403,group00176
AAA023J06.genome.CDS.1402,group00784
AAA023J06.genome.CDS.1427,group01883
AAA023J06.genome.CDS.1359,group00016
AAA023J06.genome.CDS.1291,group03730
AAA023J06.genome.CDS.1311,group01263
AAA023J06.genome.CDS.1313,group00559
AAA023J06.genome.CDS.749,group01084
AAA023J06.genome.CDS.1315,group00275
AAA023J06.genome.CDS.1314,group01142
AAA023J06.genome.CDS.1317,group00753
AAA023J06.genome.CDS.1316,group00071
AAA023J06.genome.CDS.1319,group01571
AAA023J06.genome.CDS.743,group03703
AAA023J06.genome.CDS.740,group01490
AAA023J06.genome.CDS.741,group00670
AAA023J06.genome.CDS.746,group00528
AAA023J06.genome.CDS.747,group00417
AAA023J06.genome.CDS.744,group01037
AAA023J06.genome.CDS.745,group00418
AAA023J06.genome.CDS.1351,group00581
AAA023J06.genome.CDS.1299,group00069
AAA023J06.genome.CDS.988,group00225
AAA023J06.genome.CDS.1497,group03778
AAA023J06.genome.CDS.1494,group00017
AAA023J06.genome.CDS.1495,group00393
AAA023J06.genome.CDS.1492,group00759
AAA023J06.genome.CDS.1493,group03777
AAA023J06.genome.CDS.1490,group02867
AAA023J06.genome.CDS.1491,group00857
AAA023J06.genome.CDS.980,group00292
AAA023J06.genome.CDS.981,group00124
AAA023J06.genome.CDS.982,group00156
AAA023J06.genome.CDS.983,group00373
AAA023J06.genome.CDS.984,group00204
AAA023J06.genome.CDS.985,group00450
AAA023J06.genome.CDS.986,group00329
AAA023J06.genome.CDS.987,group00240
AAA023J06.genome.CDS.1148,group01146
AAA023J06.genome.CDS.1149,group00223
AAA023J06.genome.CDS.1145,group00319
AAA023J06.genome.CDS.1146,group01475
AAA023J06.genome.CDS.1147,group01164
AAA023J06.genome.CDS.1140,group00117
AAA023J06.genome.CDS.1141,group00117
AAA023J06.genome.CDS.1142,group00869
AAA023J06.genome.CDS.1143,group00684
AAA023J06.genome.CDS.1091,group01357
AAA023J06.genome.CDS.1225,group00933
AAA023J06.genome.CDS.1224,group00761
AAA023J06.genome.CDS.1388,group01420
AAA023J06.genome.CDS.1389,group01754
AAA023J06.genome.CDS.1221,group01210
AAA023J06.genome.CDS.1220,group00795
AAA023J06.genome.CDS.1223,group00236
AAA023J06.genome.CDS.1222,group01589
AAA023J06.genome.CDS.1382,group00081
AAA023J06.genome.CDS.1409,group00042
AAA023J06.genome.CDS.1380,group02958
AAA023J06.genome.CDS.1381,group00191
AAA023J06.genome.CDS.1386,group01007
AAA023J06.genome.CDS.1228,group02487
AAA023J06.genome.CDS.1384,group00925
AAA023J06.genome.CDS.1361,group00261
AAA023J06.genome.CDS.845,group01427
AAA023J06.genome.CDS.844,group00058
AAA023J06.genome.CDS.847,group00236
AAA023J06.genome.CDS.846,group01620
AAA023J06.genome.CDS.841,group01711
AAA023J06.genome.CDS.840,group01712
AAA023J06.genome.CDS.843,group01813
AAA023J06.genome.CDS.842,group01403
AAA023J06.genome.CDS.849,group01154
AAA023J06.genome.CDS.848,group01237
AAA023J06.genome.CDS.1119,group01284
AAA023J06.genome.CDS.456,group01309
AAA023J06.genome.CDS.1400,group00897
AAA023J06.genome.CDS.1139,group01511
AAA023J06.genome.CDS.1138,group00866
AAA023J06.genome.CDS.1033,group00133
AAA023J06.genome.CDS.1034,group00830
AAA023J06.genome.CDS.1035,group00480
AAA023J06.genome.CDS.1036,group00138
AAA023J06.genome.CDS.1037,group00323
AAA023J06.genome.CDS.1131,group03772
AAA023J06.genome.CDS.1130,group02981
AAA023J06.genome.CDS.1133,group01393
AAA023J06.genome.CDS.1132,group03771
AAA023J06.genome.CDS.1135,group03769
AAA023J06.genome.CDS.1134,group03770
AAA023J06.genome.CDS.1137,group03768
AAA023J06.genome.CDS.1136,group01304
AAA023J06.genome.CDS.830,group01599
AAA023J06.genome.CDS.831,group01145
AAA023J06.genome.CDS.832,group01167
AAA023J06.genome.CDS.833,group01116
AAA023J06.genome.CDS.834,group01076
AAA023J06.genome.CDS.835,group01117
AAA023J06.genome.CDS.836,group01428
AAA023J06.genome.CDS.837,group01438
AAA023J06.genome.CDS.838,group01505
AAA023J06.genome.CDS.839,group01482
AAA023J06.genome.CDS.1051,group00324
AAA023J06.genome.CDS.939,group00627
AAA023J06.genome.CDS.1309,group03736
AAA023J06.genome.CDS.931,group00901
AAA023J06.genome.CDS.930,group00772
AAA023J06.genome.CDS.933,group00317
AAA023J06.genome.CDS.932,group00109
AAA023J06.genome.CDS.935,group00090
AAA023J06.genome.CDS.934,group00765
AAA023J06.genome.CDS.937,group00192
AAA023J06.genome.CDS.936,group00246
AAA023J06.genome.CDS.584,group01703
AAA023J06.genome.CDS.1111,group03757
AAA023J06.genome.CDS.786,group00008
AAA023J06.genome.CDS.787,group00298
AAA023J06.genome.CDS.784,group00511
AAA023J06.genome.CDS.785,group00171
AAA023J06.genome.CDS.782,group00103
AAA023J06.genome.CDS.1457,group00822
AAA023J06.genome.CDS.780,group00039
AAA023J06.genome.CDS.781,group00087
AAA023J06.genome.CDS.1458,group01497
AAA023J06.genome.CDS.1459,group01478
AAA023J06.genome.CDS.788,group00462
AAA023J06.genome.CDS.789,group00494
AAA023J06.genome.CDS.1294,group01133
AAA023J06.genome.CDS.1295,group02922
AAA023J06.genome.CDS.1296,group00941
AAA023J06.genome.CDS.1297,group01864
AAA023J06.genome.CDS.1290,group03727
AAA023J06.genome.CDS.1358,group00984
AAA023J06.genome.CDS.1292,group01227
AAA023J06.genome.CDS.1293,group01746
AAA023J06.genome.CDS.1355,group00473
AAA023J06.genome.CDS.1354,group00648
AAA023J06.genome.CDS.1357,group01012
AAA023J06.genome.CDS.1356,group00997
AAA023J06.genome.CDS.1298,group03729
AAA023J06.genome.CDS.1350,group00841
AAA023J06.genome.CDS.1353,group00809
AAA023J06.genome.CDS.1352,group03742
AAA023J06.genome.CDS.195,group00626
AAA023J06.genome.CDS.1160,group00653
AAA023J06.genome.CDS.1161,group00813
AAA023J06.genome.CDS.1188,group00020
AAA023J06.genome.CDS.1189,group00021
AAA023J06.genome.CDS.1180,group01106
AAA023J06.genome.CDS.1181,group00957
AAA023J06.genome.CDS.1182,group01202
AAA023J06.genome.CDS.1183,group00957
AAA023J06.genome.CDS.1184,group01214
AAA023J06.genome.CDS.1185,group01182
AAA023J06.genome.CDS.1186,group01665
AAA023J06.genome.CDS.1187,group00508
AAA023J06.genome.CDS.715,group01069
AAA023J06.genome.CDS.1241,group00423
AAA023J06.genome.CDS.717,group01170
AAA023J06.genome.CDS.716,group00868
AAA023J06.genome.CDS.719,group03713
AAA023J06.genome.CDS.718,group01265
AAA023J06.genome.CDS.1078,group00062
AAA023J06.genome.CDS.1079,group00539
AAA023J06.genome.CDS.1075,group00122
AAA023J06.genome.CDS.1076,group00098
AAA023J06.genome.CDS.1077,group00097
AAA023J06.genome.CDS.1070,group00248
AAA023J06.genome.CDS.1071,group00985
AAA023J06.genome.CDS.1072,group00072
AAA023J06.genome.CDS.1073,group00062
AAA023J06.genome.CDS.1312,group01194
AAA023J06.genome.CDS.1236,group00465
AAA023J06.genome.CDS.729,group00015
AAA023J06.genome.CDS.1175,group03714
AAA023J06.genome.CDS.1174,group00674
AAA023J06.genome.CDS.1177,group01281
AAA023J06.genome.CDS.1279,group02471
AAA023J06.genome.CDS.1171,group00740
AAA023J06.genome.CDS.1170,group01351
AAA023J06.genome.CDS.1173,group01252
AAA023J06.genome.CDS.1172,group00005
AAA023J06.genome.CDS.1272,group01894
AAA023J06.genome.CDS.1273,group03721
AAA023J06.genome.CDS.1270,group01418
AAA023J06.genome.CDS.1271,group03722
AAA023J06.genome.CDS.1276,group03720
AAA023J06.genome.CDS.1277,group00068
AAA023J06.genome.CDS.1274,group01295
AAA023J06.genome.CDS.1275,group00031
AAA023J06.genome.CDS.819,group01496
AAA023J06.genome.CDS.975,group00195
AAA023J06.genome.CDS.974,group00164
AAA023J06.genome.CDS.977,group00168
AAA023J06.genome.CDS.976,group00078
AAA023J06.genome.CDS.971,group00592
AAA023J06.genome.CDS.879,group01647
AAA023J06.genome.CDS.973,group00163
AAA023J06.genome.CDS.972,group00544
AAA023J06.genome.CDS.874,group01443
AAA023J06.genome.CDS.875,group00939
AAA023J06.genome.CDS.876,group01764
AAA023J06.genome.CDS.877,group01541
AAA023J06.genome.CDS.979,group00513
AAA023J06.genome.CDS.871,group02760
AAA023J06.genome.CDS.872,group02043
AAA023J06.genome.CDS.873,group01550
AAA023J06.genome.CDS.1009,group01169
AAA023J06.genome.CDS.1008,group00446
AAA023J06.genome.CDS.726,group01340
AAA023J06.genome.CDS.1001,group00453
AAA023J06.genome.CDS.1000,group00012
AAA023J06.genome.CDS.1003,group00530
AAA023J06.genome.CDS.727,group03707
AAA023J06.genome.CDS.1005,group00304
AAA023J06.genome.CDS.1004,group00422
AAA023J06.genome.CDS.1007,group00633
AAA023J06.genome.CDS.1006,group00344
AAA023J06.genome.CDS.900,group00571
AAA023J06.genome.CDS.901,group00456
AAA023J06.genome.CDS.902,group00476
AAA023J06.genome.CDS.903,group01034
AAA023J06.genome.CDS.904,group01033
AAA023J06.genome.CDS.905,group00848
AAA023J06.genome.CDS.906,group00974
AAA023J06.genome.CDS.908,group00963
AAA023J06.genome.CDS.909,group00170
AAA023J06.genome.CDS.1047,group00711
AAA023J06.genome.CDS.1418,group00809
AAA023J06.genome.CDS.1419,group00604
AAA023J06.genome.CDS.1416,group00094
AAA023J06.genome.CDS.1417,group02653
AAA023J06.genome.CDS.1414,group01432
AAA023J06.genome.CDS.1415,group00177
AAA023J06.genome.CDS.1412,group01345
AAA023J06.genome.CDS.1413,group00954
AAA023J06.genome.CDS.1410,group00746
AAA023J06.genome.CDS.1411,group02905
AAA023J06.genome.CDS.959,group00401
AAA023J06.genome.CDS.1302,group00623
AAA023J06.genome.CDS.1303,group00845
AAA023J06.genome.CDS.1300,group00782
AAA023J06.genome.CDS.1301,group00602
AAA023J06.genome.CDS.759,group00038
AAA023J06.genome.CDS.758,group00696
AAA023J06.genome.CDS.1304,group00775
AAA023J06.genome.CDS.1305,group00732
AAA023J06.genome.CDS.755,group00733
AAA023J06.genome.CDS.754,group00489
AAA023J06.genome.CDS.757,group00427
AAA023J06.genome.CDS.756,group00469
AAA023J06.genome.CDS.751,group02414
AAA023J06.genome.CDS.750,group00490
AAA023J06.genome.CDS.753,group01397
AAA023J06.genome.CDS.752,group01437
AAA023J06.genome.CDS.1283,group01820
AAA023J06.genome.CDS.1282,group02243
AAA023J06.genome.CDS.999,group00392
AAA023J06.genome.CDS.617,group02982
AAA023J06.genome.CDS.993,group00219
AAA023J06.genome.CDS.992,group00250
AAA023J06.genome.CDS.991,group00286
AAA023J06.genome.CDS.990,group00245
AAA023J06.genome.CDS.997,group00354
AAA023J06.genome.CDS.996,group00134
AAA023J06.genome.CDS.995,group00159
AAA023J06.genome.CDS.994,group00160
AAA023J06.genome.CDS.1284,group01820
AAA023J06.genome.CDS.1346,group01761
AAA023J06.genome.CDS.1289,group00922
AAA023J06.genome.CDS.1496,group01143
AAA023J06.genome.CDS.1288,group01306
AAA023J06.genome.CDS.989,group00437
AAA023J06.genome.CDS.998,group00275
AAA023J06.genome.CDS.728,group02053
AAA023J06.genome.CDS.1237,group00447
AAA023J06.genome.CDS.1234,group02022
AAA023J06.genome.CDS.1235,group00008
AAA023J06.genome.CDS.1232,group01757
AAA023J06.genome.CDS.1233,group02782
AAA023J06.genome.CDS.1230,group00795
AAA023J06.genome.CDS.1231,group00687
AAA023J06.genome.CDS.720,group03712
AAA023J06.genome.CDS.721,group03711
AAA023J06.genome.CDS.722,group03710
AAA023J06.genome.CDS.723,group03709
AAA023J06.genome.CDS.724,group00670
AAA023J06.genome.CDS.725,group03708
AAA023J06.genome.CDS.1238,group00466
AAA023J06.genome.CDS.1239,group00741
AAA023J06.genome.CDS.502,group01057
AAA023J06.genome.CDS.538,group02753
AAA023J06.genome.CDS.1478,group00096
AAA023J06.genome.CDS.1011,group00584
AAA023J06.genome.CDS.1479,group01622
AAA023J06.genome.CDS.1045,group00031
AAA023J06.genome.CDS.1128,group01701
AAA023J06.genome.CDS.1129,group02048
AAA023J06.genome.CDS.1041,group00989
AAA023J06.genome.CDS.1040,group00499
AAA023J06.genome.CDS.1043,group03751
AAA023J06.genome.CDS.1042,group00405
AAA023J06.genome.CDS.1122,group01181
AAA023J06.genome.CDS.1123,group01201
AAA023J06.genome.CDS.1120,group01365
AAA023J06.genome.CDS.1499,group00603
AAA023J06.genome.CDS.1049,group00685
AAA023J06.genome.CDS.1048,group00760
AAA023J06.genome.CDS.1124,group01244
AAA023J06.genome.CDS.1125,group00073
AAA023J06.genome.CDS.823,group02675
AAA023J06.genome.CDS.822,group00036
AAA023J06.genome.CDS.821,group02242
AAA023J06.genome.CDS.820,group02197
AAA023J06.genome.CDS.827,group01431
AAA023J06.genome.CDS.826,group00079
AAA023J06.genome.CDS.825,group00598
AAA023J06.genome.CDS.829,group01256
AAA023J06.genome.CDS.828,group01830
AAA023J06.genome.CDS.948,group00155
AAA023J06.genome.CDS.949,group00567
AAA023J06.genome.CDS.944,group00642
AAA023J06.genome.CDS.945,group00878
AAA023J06.genome.CDS.946,group00127
AAA023J06.genome.CDS.947,group00132
AAA023J06.genome.CDS.940,group00205
AAA023J06.genome.CDS.1379,group01049
AAA023J06.genome.CDS.942,group02628
AAA023J06.genome.CDS.943,group00930
AAA023J06.genome.CDS.1473,group01917
AAA023J06.genome.CDS.461,group01132
AAA023J06.genome.CDS.1046,group03755
AAA023J06.genome.CDS.1467,group00923
AAA023J06.genome.CDS.1466,group00018
AAA023J06.genome.CDS.1465,group00784
AAA023J06.genome.CDS.1464,group00730
AAA023J06.genome.CDS.1463,group00402
AAA023J06.genome.CDS.1461,group03766
AAA023J06.genome.CDS.1460,group01333
AAA023J06.genome.CDS.1469,group01055
AAA023J06.genome.CDS.1468,group00442
AAA023J06.genome.CDS.799,group00002
AAA023J06.genome.CDS.798,group00001
AAA023J06.genome.CDS.1348,group00637
AAA023J06.genome.CDS.1349,group01031
AAA023J06.genome.CDS.791,group00874
AAA023J06.genome.CDS.790,group00667
AAA023J06.genome.CDS.793,group00517
AAA023J06.genome.CDS.1345,group01604
AAA023J06.genome.CDS.795,group00520
AAA023J06.genome.CDS.1343,group01123
AAA023J06.genome.CDS.1340,group00006
AAA023J06.genome.CDS.1341,group00006
