TBhypo680.genome.CDS.1780,group01145
TBhypo680.genome.CDS.2571,group00370
TBhypo680.genome.CDS.1876,group00477
TBhypo680.genome.CDS.1877,group00655
TBhypo680.genome.CDS.1874,group01005
TBhypo680.genome.CDS.1875,group01195
TBhypo680.genome.CDS.2319,group01539
TBhypo680.genome.CDS.1873,group00500
TBhypo680.genome.CDS.1979,group00239
TBhypo680.genome.CDS.1871,group01222
TBhypo680.genome.CDS.1977,group00089
TBhypo680.genome.CDS.1976,group01462
TBhypo680.genome.CDS.1974,group01427
TBhypo680.genome.CDS.1973,group00058
TBhypo680.genome.CDS.1972,group01813
TBhypo680.genome.CDS.1971,group01403
TBhypo680.genome.CDS.1970,group01711
TBhypo680.genome.CDS.2301,group01021
TBhypo680.genome.CDS.2300,group00913
TBhypo680.genome.CDS.2303,group00835
TBhypo680.genome.CDS.1233,group02709
TBhypo680.genome.CDS.2305,group00676
TBhypo680.genome.CDS.2304,group01008
TBhypo680.genome.CDS.2307,group03697
TBhypo680.genome.CDS.2306,group00912
TBhypo680.genome.CDS.2309,group01810
TBhypo680.genome.CDS.2308,group00941
TBhypo680.genome.CDS.1162,group02713
TBhypo680.genome.CDS.2374,group00908
TBhypo680.genome.CDS.2375,group00088
TBhypo680.genome.CDS.2376,group00887
TBhypo680.genome.CDS.2377,group00458
TBhypo680.genome.CDS.2370,group00470
TBhypo680.genome.CDS.2371,group00468
TBhypo680.genome.CDS.2372,group00030
TBhypo680.genome.CDS.2373,group00243
TBhypo680.genome.CDS.2275,group01167
TBhypo680.genome.CDS.1572,group00246
TBhypo680.genome.CDS.2277,group01076
TBhypo680.genome.CDS.1570,group00765
TBhypo680.genome.CDS.1577,group01268
TBhypo680.genome.CDS.1576,group01360
TBhypo680.genome.CDS.2273,group00399
TBhypo680.genome.CDS.2272,group00369
TBhypo680.genome.CDS.2440,group00231
TBhypo680.genome.CDS.773,group01662
TBhypo680.genome.CDS.776,group03690
TBhypo680.genome.CDS.1521,group00402
TBhypo680.genome.CDS.1747,group00961
TBhypo680.genome.CDS.1582,group03665
TBhypo680.genome.CDS.2398,group00822
TBhypo680.genome.CDS.2399,group00005
TBhypo680.genome.CDS.2392,group00248
TBhypo680.genome.CDS.2393,group00398
TBhypo680.genome.CDS.2221,group00151
TBhypo680.genome.CDS.2391,group00985
TBhypo680.genome.CDS.2396,group02506
TBhypo680.genome.CDS.2397,group00615
TBhypo680.genome.CDS.1919,group01283
TBhypo680.genome.CDS.2395,group01201
TBhypo680.genome.CDS.2008,group01998
TBhypo680.genome.CDS.2009,group02007
TBhypo680.genome.CDS.2130,group01007
TBhypo680.genome.CDS.2002,group01239
TBhypo680.genome.CDS.2003,group01993
TBhypo680.genome.CDS.2000,group00395
TBhypo680.genome.CDS.2508,group02401
TBhypo680.genome.CDS.2006,group00687
TBhypo680.genome.CDS.2007,group01085
TBhypo680.genome.CDS.2004,group02400
TBhypo680.genome.CDS.2005,group01981
TBhypo680.genome.CDS.2091,group00739
TBhypo680.genome.CDS.2090,group01084
TBhypo680.genome.CDS.2092,group00417
TBhypo680.genome.CDS.2095,group00418
TBhypo680.genome.CDS.2094,group00528
TBhypo680.genome.CDS.2097,group01037
TBhypo680.genome.CDS.2096,group00776
TBhypo680.genome.CDS.2099,group02715
TBhypo680.genome.CDS.1648,group00734
TBhypo680.genome.CDS.2446,group00562
TBhypo680.genome.CDS.2247,group00329
TBhypo680.genome.CDS.1374,group00375
TBhypo680.genome.CDS.1888,group00508
TBhypo680.genome.CDS.469,group03676
TBhypo680.genome.CDS.360,group02736
TBhypo680.genome.CDS.2227,group00157
TBhypo680.genome.CDS.2069,group01376
TBhypo680.genome.CDS.1925,group00481
TBhypo680.genome.CDS.2162,group03693
TBhypo680.genome.CDS.1185,group02712
TBhypo680.genome.CDS.1546,group01314
TBhypo680.genome.CDS.1305,group00641
TBhypo680.genome.CDS.1308,group00495
TBhypo680.genome.CDS.2521,group02335
TBhypo680.genome.CDS.411,group01018
TBhypo680.genome.CDS.2472,group00716
TBhypo680.genome.CDS.1612,group00681
TBhypo680.genome.CDS.1810,group00540
TBhypo680.genome.CDS.2485,group00352
TBhypo680.genome.CDS.1658,group00770
TBhypo680.genome.CDS.1341,group01049
TBhypo680.genome.CDS.2238,group00257
TBhypo680.genome.CDS.2267,group00851
TBhypo680.genome.CDS.1659,group01036
TBhypo680.genome.CDS.1926,group00406
TBhypo680.genome.CDS.1055,group00312
TBhypo680.genome.CDS.1611,group00629
TBhypo680.genome.CDS.1050,group00321
TBhypo680.genome.CDS.165,group01661
TBhypo680.genome.CDS.1657,group02718
TBhypo680.genome.CDS.1616,group00388
TBhypo680.genome.CDS.1654,group01223
TBhypo680.genome.CDS.1307,group00947
TBhypo680.genome.CDS.2136,group00117
TBhypo680.genome.CDS.1614,group01286
TBhypo680.genome.CDS.1300,group00053
TBhypo680.genome.CDS.2188,group01865
TBhypo680.genome.CDS.1347,group00702
TBhypo680.genome.CDS.1348,group00017
TBhypo680.genome.CDS.1301,group00083
TBhypo680.genome.CDS.1627,group00193
TBhypo680.genome.CDS.1334,group01717
TBhypo680.genome.CDS.1337,group00581
TBhypo680.genome.CDS.1624,group00119
TBhypo680.genome.CDS.1331,group00049
TBhypo680.genome.CDS.1650,group00579
TBhypo680.genome.CDS.1621,group00779
TBhypo680.genome.CDS.1620,group00269
TBhypo680.genome.CDS.1651,group02099
TBhypo680.genome.CDS.1339,group00637
TBhypo680.genome.CDS.1338,group00841
TBhypo680.genome.CDS.1629,group00086
TBhypo680.genome.CDS.1628,group00188
TBhypo680.genome.CDS.1458,group00953
TBhypo680.genome.CDS.1459,group00029
TBhypo680.genome.CDS.1751,group02087
TBhypo680.genome.CDS.1750,group01139
TBhypo680.genome.CDS.1757,group00454
TBhypo680.genome.CDS.1756,group00384
TBhypo680.genome.CDS.1755,group01109
TBhypo680.genome.CDS.1754,group01438
TBhypo680.genome.CDS.1450,group00009
TBhypo680.genome.CDS.1451,group00322
TBhypo680.genome.CDS.1759,group01244
TBhypo680.genome.CDS.1808,group00049
TBhypo680.genome.CDS.1454,group01822
TBhypo680.genome.CDS.1455,group01042
TBhypo680.genome.CDS.1456,group01148
TBhypo680.genome.CDS.1457,group00478
TBhypo680.genome.CDS.2433,group00807
TBhypo680.genome.CDS.2297,group00179
TBhypo680.genome.CDS.2431,group00638
TBhypo680.genome.CDS.2430,group00169
TBhypo680.genome.CDS.2437,group00542
TBhypo680.genome.CDS.2199,group00254
TBhypo680.genome.CDS.2435,group00636
TBhypo680.genome.CDS.1806,group02142
TBhypo680.genome.CDS.2439,group00509
TBhypo680.genome.CDS.2030,group01001
TBhypo680.genome.CDS.2295,group01073
TBhypo680.genome.CDS.2480,group02126
TBhypo680.genome.CDS.488,group01010
TBhypo680.genome.CDS.1596,group01607
TBhypo680.genome.CDS.2294,group01706
TBhypo680.genome.CDS.735,group01165
TBhypo680.genome.CDS.2293,group01640
TBhypo680.genome.CDS.1802,group00258
TBhypo680.genome.CDS.2222,group00208
TBhypo680.genome.CDS.2591,group00334
TBhypo680.genome.CDS.2189,group00167
TBhypo680.genome.CDS.1523,group01140
TBhypo680.genome.CDS.2226,group00121
TBhypo680.genome.CDS.1525,group00652
TBhypo680.genome.CDS.1526,group01054
TBhypo680.genome.CDS.1527,group01346
TBhypo680.genome.CDS.1933,group00421
TBhypo680.genome.CDS.2599,group00041
TBhypo680.genome.CDS.1931,group00802
TBhypo680.genome.CDS.2290,group00900
TBhypo680.genome.CDS.2228,group00158
TBhypo680.genome.CDS.2186,group00266
TBhypo680.genome.CDS.2185,group01188
TBhypo680.genome.CDS.1934,group02164
TBhypo680.genome.CDS.2507,group02732
TBhypo680.genome.CDS.2506,group02402
TBhypo680.genome.CDS.2505,group02733
TBhypo680.genome.CDS.2504,group02100
TBhypo680.genome.CDS.2503,group00052
TBhypo680.genome.CDS.1922,group00353
TBhypo680.genome.CDS.2500,group00663
TBhypo680.genome.CDS.1986,group00131
TBhypo680.genome.CDS.1987,group00781
TBhypo680.genome.CDS.1984,group00099
TBhypo680.genome.CDS.1985,group00100
TBhypo680.genome.CDS.2132,group00910
TBhypo680.genome.CDS.1801,group00066
TBhypo680.genome.CDS.2509,group02731
TBhypo680.genome.CDS.1981,group00675
TBhypo680.genome.CDS.2520,group02727
TBhypo680.genome.CDS.1562,group00772
TBhypo680.genome.CDS.1721,group03671
TBhypo680.genome.CDS.1518,group00288
TBhypo680.genome.CDS.2229,group00059
TBhypo680.genome.CDS.2449,group00966
TBhypo680.genome.CDS.1317,group00057
TBhypo680.genome.CDS.2089,group00490
TBhypo680.genome.CDS.2173,group00310
TBhypo680.genome.CDS.2299,group00238
TBhypo680.genome.CDS.2298,group00180
TBhypo680.genome.CDS.1540,group00012
TBhypo680.genome.CDS.2296,group00531
TBhypo680.genome.CDS.1805,group00146
TBhypo680.genome.CDS.1804,group00065
TBhypo680.genome.CDS.1803,group00338
TBhypo680.genome.CDS.2292,group01422
TBhypo680.genome.CDS.2291,group01269
TBhypo680.genome.CDS.1800,group00147
TBhypo680.genome.CDS.2046,group01294
TBhypo680.genome.CDS.2047,group01541
TBhypo680.genome.CDS.2044,group03687
TBhypo680.genome.CDS.2045,group01192
TBhypo680.genome.CDS.2042,group00459
TBhypo680.genome.CDS.2043,group00237
TBhypo680.genome.CDS.2040,group00287
TBhypo680.genome.CDS.2041,group00220
TBhypo680.genome.CDS.2278,group01117
TBhypo680.genome.CDS.1872,group00505
TBhypo680.genome.CDS.2137,group00869
TBhypo680.genome.CDS.1481,group00711
TBhypo680.genome.CDS.2048,group01291
TBhypo680.genome.CDS.2049,group01647
TBhypo680.genome.CDS.2183,group01316
TBhypo680.genome.CDS.2619,group00463
TBhypo680.genome.CDS.2618,group00517
TBhypo680.genome.CDS.2349,group00605
TBhypo680.genome.CDS.2348,group01423
TBhypo680.genome.CDS.2613,group00163
TBhypo680.genome.CDS.2344,group00794
TBhypo680.genome.CDS.2611,group00592
TBhypo680.genome.CDS.1588,group02191
TBhypo680.genome.CDS.2341,group00140
TBhypo680.genome.CDS.2340,group00221
TBhypo680.genome.CDS.2343,group00203
TBhypo680.genome.CDS.2342,group00026
TBhypo680.genome.CDS.2428,group00977
TBhypo680.genome.CDS.2178,group01869
TBhypo680.genome.CDS.1314,group00361
TBhypo680.genome.CDS.1688,group00964
TBhypo680.genome.CDS.1807,group01625
TBhypo680.genome.CDS.2408,group00992
TBhypo680.genome.CDS.1589,group01926
TBhypo680.genome.CDS.2481,group00925
TBhypo680.genome.CDS.1299,group00349
TBhypo680.genome.CDS.1626,group00015
TBhypo680.genome.CDS.1296,group00194
TBhypo680.genome.CDS.1878,group01093
TBhypo680.genome.CDS.1297,group00300
TBhypo680.genome.CDS.1879,group00607
TBhypo680.genome.CDS.2404,group01096
TBhypo680.genome.CDS.2176,group00504
TBhypo680.genome.CDS.2359,group01014
TBhypo680.genome.CDS.1295,group00058
TBhypo680.genome.CDS.2529,group02725
TBhypo680.genome.CDS.2525,group02397
TBhypo680.genome.CDS.1950,group00483
TBhypo680.genome.CDS.2403,group01234
TBhypo680.genome.CDS.2345,group00038
TBhypo680.genome.CDS.2302,group01083
TBhypo680.genome.CDS.1593,group02723
TBhypo680.genome.CDS.1437,group01113
TBhypo680.genome.CDS.2180,group01299
TBhypo680.genome.CDS.2347,group00729
TBhypo680.genome.CDS.1477,group00236
TBhypo680.genome.CDS.1906,group01120
TBhypo680.genome.CDS.2610,group00116
TBhypo680.genome.CDS.2617,group00622
TBhypo680.genome.CDS.337,group02975
TBhypo680.genome.CDS.2616,group00111
TBhypo680.genome.CDS.1461,group02726
TBhypo680.genome.CDS.1460,group01759
TBhypo680.genome.CDS.1463,group01431
TBhypo680.genome.CDS.1462,group00079
TBhypo680.genome.CDS.1465,group00987
TBhypo680.genome.CDS.2615,group00067
TBhypo680.genome.CDS.1467,group00038
TBhypo680.genome.CDS.1466,group02388
TBhypo680.genome.CDS.1469,group01185
TBhypo680.genome.CDS.1468,group01292
TBhypo680.genome.CDS.2614,group00190
TBhypo680.genome.CDS.2492,group01612
TBhypo680.genome.CDS.1414,group00488
TBhypo680.genome.CDS.1415,group00856
TBhypo680.genome.CDS.1416,group00823
TBhypo680.genome.CDS.1417,group00413
TBhypo680.genome.CDS.1410,group00397
TBhypo680.genome.CDS.1411,group00291
TBhypo680.genome.CDS.1412,group00080
TBhypo680.genome.CDS.1413,group00364
TBhypo680.genome.CDS.2568,group00308
TBhypo680.genome.CDS.1418,group00414
TBhypo680.genome.CDS.1419,group00235
TBhypo680.genome.CDS.2394,group01181
TBhypo680.genome.CDS.1384,group02917
TBhypo680.genome.CDS.1385,group02269
TBhypo680.genome.CDS.1386,group03662
TBhypo680.genome.CDS.866,group00898
TBhypo680.genome.CDS.1380,group00222
TBhypo680.genome.CDS.1381,group00731
TBhypo680.genome.CDS.1382,group02268
TBhypo680.genome.CDS.1383,group02174
TBhypo680.genome.CDS.2175,group00569
TBhypo680.genome.CDS.1524,group00767
TBhypo680.genome.CDS.1870,group01338
TBhypo680.genome.CDS.2596,group03702
TBhypo680.genome.CDS.2491,group02403
TBhypo680.genome.CDS.2489,group01918
TBhypo680.genome.CDS.1579,group00355
TBhypo680.genome.CDS.2495,group02734
TBhypo680.genome.CDS.2494,group01714
TBhypo680.genome.CDS.1368,group00229
TBhypo680.genome.CDS.2144,group00223
TBhypo680.genome.CDS.2143,group01164
TBhypo680.genome.CDS.2142,group02130
TBhypo680.genome.CDS.2493,group02128
TBhypo680.genome.CDS.2140,group00583
TBhypo680.genome.CDS.1362,group00154
TBhypo680.genome.CDS.1363,group00902
TBhypo680.genome.CDS.1360,group00351
TBhypo680.genome.CDS.2135,group00909
TBhypo680.genome.CDS.1366,group00350
TBhypo680.genome.CDS.2498,group00696
TBhypo680.genome.CDS.1364,group00673
TBhypo680.genome.CDS.1365,group00267
TBhypo680.genome.CDS.1663,group01355
TBhypo680.genome.CDS.1709,group00496
TBhypo680.genome.CDS.1661,group02719
TBhypo680.genome.CDS.1660,group00113
TBhypo680.genome.CDS.1667,group00854
TBhypo680.genome.CDS.1666,group01645
TBhypo680.genome.CDS.1665,group01288
TBhypo680.genome.CDS.1664,group01233
TBhypo680.genome.CDS.1700,group00252
TBhypo680.genome.CDS.1701,group00366
TBhypo680.genome.CDS.1702,group00296
TBhypo680.genome.CDS.1703,group00412
TBhypo680.genome.CDS.1704,group00297
TBhypo680.genome.CDS.1705,group03672
TBhypo680.genome.CDS.1706,group00247
TBhypo680.genome.CDS.1707,group01231
TBhypo680.genome.CDS.2543,group01535
TBhypo680.genome.CDS.1573,group00192
TBhypo680.genome.CDS.2184,group03692
TBhypo680.genome.CDS.2540,group01959
TBhypo680.genome.CDS.2547,group01982
TBhypo680.genome.CDS.2546,group00004
TBhypo680.genome.CDS.2545,group01493
TBhypo680.genome.CDS.2544,group01781
TBhypo680.genome.CDS.2460,group01549
TBhypo680.genome.CDS.2235,group00657
TBhypo680.genome.CDS.2549,group03700
TBhypo680.genome.CDS.2463,group00034
TBhypo680.genome.CDS.2464,group01517
TBhypo680.genome.CDS.2465,group02037
TBhypo680.genome.CDS.2466,group01672
TBhypo680.genome.CDS.2467,group00747
TBhypo680.genome.CDS.1689,group00769
TBhypo680.genome.CDS.1961,group01630
TBhypo680.genome.CDS.1962,group01144
TBhypo680.genome.CDS.1963,group00421
TBhypo680.genome.CDS.1964,group00034
TBhypo680.genome.CDS.2127,group00451
TBhypo680.genome.CDS.1966,group01431
TBhypo680.genome.CDS.1967,group01505
TBhypo680.genome.CDS.1968,group01482
TBhypo680.genome.CDS.1969,group01712
TBhypo680.genome.CDS.1683,group00332
TBhypo680.genome.CDS.2588,group00591
TBhypo680.genome.CDS.1685,group00441
TBhypo680.genome.CDS.1684,group00331
TBhypo680.genome.CDS.1687,group00811
TBhypo680.genome.CDS.2379,group00312
TBhypo680.genome.CDS.1519,group00440
TBhypo680.genome.CDS.2313,group03695
TBhypo680.genome.CDS.1849,group00424
TBhypo680.genome.CDS.2311,group01863
TBhypo680.genome.CDS.2316,group01432
TBhypo680.genome.CDS.1575,group01224
TBhypo680.genome.CDS.2314,group02278
TBhypo680.genome.CDS.2315,group02279
TBhypo680.genome.CDS.1511,group02387
TBhypo680.genome.CDS.1510,group00623
TBhypo680.genome.CDS.1841,group00981
TBhypo680.genome.CDS.1840,group01185
TBhypo680.genome.CDS.1847,group01254
TBhypo680.genome.CDS.1846,group01705
TBhypo680.genome.CDS.1845,group00628
TBhypo680.genome.CDS.1516,group01593
TBhypo680.genome.CDS.1534,group00387
TBhypo680.genome.CDS.1568,group00109
TBhypo680.genome.CDS.1569,group00317
TBhypo680.genome.CDS.2268,group00070
TBhypo680.genome.CDS.2269,group00054
TBhypo680.genome.CDS.2266,group00262
TBhypo680.genome.CDS.1565,group00848
TBhypo680.genome.CDS.1566,group00974
TBhypo680.genome.CDS.2265,group00028
TBhypo680.genome.CDS.1560,group00228
TBhypo680.genome.CDS.2263,group00915
TBhypo680.genome.CDS.2260,group00182
TBhypo680.genome.CDS.2261,group00211
TBhypo680.genome.CDS.2179,group01299
TBhypo680.genome.CDS.1796,group00731
TBhypo680.genome.CDS.1920,group01312
TBhypo680.genome.CDS.1530,group00650
TBhypo680.genome.CDS.1844,group01031
TBhypo680.genome.CDS.1809,group00541
TBhypo680.genome.CDS.2532,group01747
TBhypo680.genome.CDS.1996,group02974
TBhypo680.genome.CDS.1574,group00548
TBhypo680.genome.CDS.1583,group01264
TBhypo680.genome.CDS.1580,group01814
TBhypo680.genome.CDS.2209,group01092
TBhypo680.genome.CDS.2131,group03691
TBhypo680.genome.CDS.2039,group00251
TBhypo680.genome.CDS.2038,group00372
TBhypo680.genome.CDS.2037,group00442
TBhypo680.genome.CDS.1586,group01068
TBhypo680.genome.CDS.2035,group00979
TBhypo680.genome.CDS.2034,group00176
TBhypo680.genome.CDS.2033,group00784
TBhypo680.genome.CDS.2032,group00730
TBhypo680.genome.CDS.2031,group00590
TBhypo680.genome.CDS.1587,group01190
TBhypo680.genome.CDS.2082,group00002
TBhypo680.genome.CDS.2083,group00635
TBhypo680.genome.CDS.2080,group00093
TBhypo680.genome.CDS.2086,group00733
TBhypo680.genome.CDS.2534,group01205
TBhypo680.genome.CDS.2084,group00427
TBhypo680.genome.CDS.2085,group00469
TBhypo680.genome.CDS.2088,group03689
TBhypo680.genome.CDS.2535,group01186
TBhypo680.genome.CDS.2163,group01012
TBhypo680.genome.CDS.1995,group03684
TBhypo680.genome.CDS.1581,group01927
TBhypo680.genome.CDS.1545,group01592
TBhypo680.genome.CDS.1647,group00689
TBhypo680.genome.CDS.2124,group00559
TBhypo680.genome.CDS.2236,group00136
TBhypo680.genome.CDS.1542,group01309
TBhypo680.genome.CDS.1997,group00900
TBhypo680.genome.CDS.1543,group01351
TBhypo680.genome.CDS.374,group00955
TBhypo680.genome.CDS.2539,group00033
TBhypo680.genome.CDS.39,group00255
TBhypo680.genome.CDS.1643,group00393
TBhypo680.genome.CDS.2248,group00450
TBhypo680.genome.CDS.1590,group01926
TBhypo680.genome.CDS.2120,group00462
TBhypo680.genome.CDS.1789,group01274
TBhypo680.genome.CDS.2123,group00874
TBhypo680.genome.CDS.1905,group02506
TBhypo680.genome.CDS.1992,group00642
TBhypo680.genome.CDS.2479,group01087
TBhypo680.genome.CDS.1529,group01844
TBhypo680.genome.CDS.2166,group00289
TBhypo680.genome.CDS.2276,group01116
TBhypo680.genome.CDS.172,group02735
TBhypo680.genome.CDS.2234,group00299
TBhypo680.genome.CDS.2246,group00027
TBhypo680.genome.CDS.2390,group00072
TBhypo680.genome.CDS.1932,group00034
TBhypo680.genome.CDS.1504,group01721
TBhypo680.genome.CDS.2442,group00625
TBhypo680.genome.CDS.1555,group00335
TBhypo680.genome.CDS.1312,group00014
TBhypo680.genome.CDS.536,group00631
TBhypo680.genome.CDS.535,group00071
TBhypo680.genome.CDS.1592,group01591
TBhypo680.genome.CDS.1682,group03670
TBhypo680.genome.CDS.2116,group00511
TBhypo680.genome.CDS.1522,group00560
TBhypo680.genome.CDS.1921,group00958
TBhypo680.genome.CDS.1731,group00632
TBhypo680.genome.CDS.1730,group01058
TBhypo680.genome.CDS.2496,group01529
TBhypo680.genome.CDS.1732,group00278
TBhypo680.genome.CDS.1735,group00651
TBhypo680.genome.CDS.1323,group00497
TBhypo680.genome.CDS.1737,group00391
TBhypo680.genome.CDS.1321,group00905
TBhypo680.genome.CDS.1739,group00850
TBhypo680.genome.CDS.1738,group00797
TBhypo680.genome.CDS.1946,group00284
TBhypo680.genome.CDS.1328,group00654
TBhypo680.genome.CDS.1329,group00578
TBhypo680.genome.CDS.1601,group01074
TBhypo680.genome.CDS.1746,group00768
TBhypo680.genome.CDS.1989,group00132
TBhypo680.genome.CDS.1429,group00186
TBhypo680.genome.CDS.1741,group00701
TBhypo680.genome.CDS.1742,group00324
TBhypo680.genome.CDS.2487,group00941
TBhypo680.genome.CDS.1425,group03683
TBhypo680.genome.CDS.1424,group00031
TBhypo680.genome.CDS.1427,group00660
TBhypo680.genome.CDS.2113,group00087
TBhypo680.genome.CDS.1748,group00931
TBhypo680.genome.CDS.1420,group00200
TBhypo680.genome.CDS.1423,group00261
TBhypo680.genome.CDS.1422,group00599
TBhypo680.genome.CDS.2424,group00704
TBhypo680.genome.CDS.2425,group00810
TBhypo680.genome.CDS.2426,group00705
TBhypo680.genome.CDS.2427,group01141
TBhypo680.genome.CDS.2420,group00620
TBhypo680.genome.CDS.2421,group00343
TBhypo680.genome.CDS.2422,group00735
TBhypo680.genome.CDS.2240,group00219
TBhypo680.genome.CDS.2482,group00327
TBhypo680.genome.CDS.1357,group01020
TBhypo680.genome.CDS.1324,group00226
TBhypo680.genome.CDS.2429,group00982
TBhypo680.genome.CDS.1557,group00110
TBhypo680.genome.CDS.2483,group01800
TBhypo680.genome.CDS.1646,group00521
TBhypo680.genome.CDS.1607,group01565
TBhypo680.genome.CDS.1641,group00617
TBhypo680.genome.CDS.1606,group01581
TBhypo680.genome.CDS.2239,group00362
TBhypo680.genome.CDS.2119,group00298
TBhypo680.genome.CDS.1887,group00020
TBhypo680.genome.CDS.1554,group00125
TBhypo680.genome.CDS.2215,group00063
TBhypo680.genome.CDS.1556,group00120
TBhypo680.genome.CDS.2213,group00882
TBhypo680.genome.CDS.1882,group00249
TBhypo680.genome.CDS.2211,group00892
TBhypo680.genome.CDS.1356,group00023
TBhypo680.genome.CDS.1924,group00804
TBhypo680.genome.CDS.2195,group00539
TBhypo680.genome.CDS.2196,group00142
TBhypo680.genome.CDS.1927,group00695
TBhypo680.genome.CDS.1559,group00336
TBhypo680.genome.CDS.1558,group00040
TBhypo680.genome.CDS.1889,group00821
TBhypo680.genome.CDS.2193,group00149
TBhypo680.genome.CDS.2451,group00224
TBhypo680.genome.CDS.1639,group00608
TBhypo680.genome.CDS.2101,group00409
TBhypo680.genome.CDS.2452,group00983
TBhypo680.genome.CDS.2455,group01448
TBhypo680.genome.CDS.2454,group00954
TBhypo680.genome.CDS.2457,group01349
TBhypo680.genome.CDS.2456,group01789
TBhypo680.genome.CDS.1630,group00084
TBhypo680.genome.CDS.1631,group00627
TBhypo680.genome.CDS.1632,group00205
TBhypo680.genome.CDS.1633,group01337
TBhypo680.genome.CDS.1634,group01401
TBhypo680.genome.CDS.1635,group01606
TBhypo680.genome.CDS.1636,group02716
TBhypo680.genome.CDS.1637,group00710
TBhypo680.genome.CDS.2518,group01787
TBhypo680.genome.CDS.2271,group00411
TBhypo680.genome.CDS.2605,group00365
TBhypo680.genome.CDS.2346,group00529
TBhypo680.genome.CDS.2501,group01099
TBhypo680.genome.CDS.2488,group01883
TBhypo680.genome.CDS.1936,group01026
TBhypo680.genome.CDS.620,group02392
TBhypo680.genome.CDS.2510,group02730
TBhypo680.genome.CDS.2511,group02729
TBhypo680.genome.CDS.2512,group02728
TBhypo680.genome.CDS.1316,group00215
TBhypo680.genome.CDS.2514,group01811
TBhypo680.genome.CDS.2515,group01255
TBhypo680.genome.CDS.2516,group02109
TBhypo680.genome.CDS.2517,group01636
TBhypo680.genome.CDS.1959,group00586
TBhypo680.genome.CDS.2281,group01989
TBhypo680.genome.CDS.1812,group00024
TBhypo680.genome.CDS.2283,group01907
TBhypo680.genome.CDS.1814,group00242
TBhypo680.genome.CDS.2285,group01550
TBhypo680.genome.CDS.1816,group00803
TBhypo680.genome.CDS.2287,group01665
TBhypo680.genome.CDS.1818,group00643
TBhypo680.genome.CDS.1819,group00792
TBhypo680.genome.CDS.1953,group01002
TBhypo680.genome.CDS.1952,group00555
TBhypo680.genome.CDS.1955,group01061
TBhypo680.genome.CDS.1954,group01051
TBhypo680.genome.CDS.1957,group00969
TBhypo680.genome.CDS.2270,group00165
TBhypo680.genome.CDS.2243,group00437
TBhypo680.genome.CDS.2241,group00250
TBhypo680.genome.CDS.1550,group00085
TBhypo680.genome.CDS.1670,group00646
TBhypo680.genome.CDS.1498,group00400
TBhypo680.genome.CDS.1778,group01599
TBhypo680.genome.CDS.1326,group00750
TBhypo680.genome.CDS.2608,group00368
TBhypo680.genome.CDS.2609,group00401
TBhypo680.genome.CDS.2358,group00718
TBhypo680.genome.CDS.1327,group00455
TBhypo680.genome.CDS.2604,group00105
TBhypo680.genome.CDS.2357,group00410
TBhypo680.genome.CDS.2606,group00230
TBhypo680.genome.CDS.2607,group01238
TBhypo680.genome.CDS.2600,group00294
TBhypo680.genome.CDS.2601,group00166
TBhypo680.genome.CDS.2350,group00660
TBhypo680.genome.CDS.2603,group03701
