Clade,COG,CDS,Total
acI-A,group00012,"AAA023J06.genome.CDS.1167,AAA023J06.genome.CDS.1178,AAA023J06.genome.CDS.1000,AAA024D14.genome.CDS.1199,AAA024D14.genome.CDS.1180,AAA027M14.genome.CDS.1472,AAA028E20.genome.CDS.1177,AAA028G02.genome.CDS.2077,AAA041L13.genome.CDS.2937,AAA041L13.genome.CDS.2365,AAA044N04.genome.CDS.1454,AAA044N04.genome.CDS.1565,AAA044N04.genome.CDS.1867,AAA044O16.genome.CDS.2295,AAA044O16.genome.CDS.1551,AAA044O16.genome.CDS.2537,AAA278O22.genome.CDS.1534,MEint1363.genome.CDS.1431,MEint1363.genome.CDS.1322,MEint2297.genome.CDS.1522,MEint2297.genome.CDS.2328",34
acI-A,group00013,"AAA024D14.genome.CDS.1476,AAA024D14.genome.CDS.1578,AAA027M14.genome.CDS.983,AAA028E20.genome.CDS.1161,AAA028E20.genome.CDS.1591,AAA028G02.genome.CDS.1508,AAA028I14.genome.CDS.1527,AAA041L13.genome.CDS.1459,AAA044N04.genome.CDS.2417,AAA278O22.genome.CDS.1797,AAA278O22.genome.CDS.1791,MEint1363.genome.CDS.1683,MEint2297.genome.CDS.1993,MEint2297.genome.CDS.2269",8
acI-A,group00014,"AAA023J06.genome.CDS.1121,AAA024D14.genome.CDS.1587,AAA024D14.genome.CDS.1034,AAA027M14.genome.CDS.840,AAA027M14.genome.CDS.979,AAA028E20.genome.CDS.1695,AAA028E20.genome.CDS.959,AAA028G02.genome.CDS.1965,AAA028G02.genome.CDS.2523,AAA028I14.genome.CDS.997,AAA041L13.genome.CDS.2480,AAA041L13.genome.CDS.1657,AAA044N04.genome.CDS.1871,AAA044N04.genome.CDS.2120,AAA044O16.genome.CDS.1737,AAA044O16.genome.CDS.1650,AAA278O22.genome.CDS.1391,AAA278O22.genome.CDS.1855,MEint1363.genome.CDS.1299,MEint2297.genome.CDS.2189",15
acI-A,group00016,"AAA023J06.genome.CDS.1359,AAA024D14.genome.CDS.1272,AAA027M14.genome.CDS.1632,AAA028E20.genome.CDS.1712,AAA028G02.genome.CDS.1563,AAA028G02.genome.CDS.2536,AAA028I14.genome.CDS.1117,AAA041L13.genome.CDS.1573,AAA044N04.genome.CDS.2487,AAA044N04.genome.CDS.1307,AAA044O16.genome.CDS.1428,AAA044O16.genome.CDS.1663,AAA044O16.genome.CDS.2049,AAA278O22.genome.CDS.2338,AAA278O22.genome.CDS.1868,MEint1363.genome.CDS.1357,MEint1363.genome.CDS.1286,MEint2297.genome.CDS.2176,MEint2297.genome.CDS.1708",3
acI-A,group00017,"AAA023J06.genome.CDS.1494,AAA027M14.genome.CDS.1033,AAA028E20.genome.CDS.1683,AAA028I14.genome.CDS.850,AAA041L13.genome.CDS.1603,AAA041L13.genome.CDS.2608,AAA044N04.genome.CDS.2174,AAA278O22.genome.CDS.1851,MEint1363.genome.CDS.972,MEint1363.genome.CDS.1219,MEint2297.genome.CDS.2289,MEint2297.genome.CDS.2663,MEint2297.genome.CDS.1498",35
acI-A,group00019,"AAA023J06.genome.CDS.915,AAA024D14.genome.CDS.831,AAA028E20.genome.CDS.1718,AAA028G02.genome.CDS.2137,AAA028I14.genome.CDS.1312,AAA028I14.genome.CDS.1350,AAA041L13.genome.CDS.1500,AAA041L13.genome.CDS.1722,AAA044N04.genome.CDS.2354,AAA044N04.genome.CDS.1623,AAA044O16.genome.CDS.1586,AAA044O16.genome.CDS.2594,AAA278O22.genome.CDS.1596,MEint2297.genome.CDS.1604",15
acI-A,group00020,"AAA023J06.genome.CDS.1259,AAA023J06.genome.CDS.1188,AAA024D14.genome.CDS.1222,AAA028E20.genome.CDS.1704,AAA028E20.genome.CDS.1279,AAA028G02.genome.CDS.2224,AAA028I14.genome.CDS.826,AAA041L13.genome.CDS.2265,AAA041L13.genome.CDS.2276,AAA044N04.genome.CDS.1477,AAA044N04.genome.CDS.1430,AAA278O22.genome.CDS.1186,MEint1363.genome.CDS.1460,MEint2297.genome.CDS.2565,MEint2297.genome.CDS.1867",32
acI-A,group00021,"AAA023J06.genome.CDS.1257,AAA023J06.genome.CDS.1189,AAA024D14.genome.CDS.1223,AAA027M14.genome.CDS.1665,AAA028E20.genome.CDS.1278,AAA028G02.genome.CDS.2226,AAA028I14.genome.CDS.825,AAA041L13.genome.CDS.2267,AAA041L13.genome.CDS.2274,AAA044N04.genome.CDS.1475,AAA044N04.genome.CDS.1429,AAA278O22.genome.CDS.1189,MEint1363.genome.CDS.1457,MEint2297.genome.CDS.2027,MEint2297.genome.CDS.1868",6
acI-A,group00022,"AAA028E20.genome.CDS.1524,AAA028G02.genome.CDS.1402,AAA028I14.genome.CDS.908,AAA041L13.genome.CDS.2235,AAA044N04.genome.CDS.2454,AAA044O16.genome.CDS.2354,AAA278O22.genome.CDS.1740",7
acI-A,group00025,"AAA028G02.genome.CDS.2173,AAA028G02.genome.CDS.1664,AAA028I14.genome.CDS.1279,AAA041L13.genome.CDS.1853,AAA044N04.genome.CDS.1662,AAA044O16.genome.CDS.2635,AAA044O16.genome.CDS.2019,MEint1363.genome.CDS.1412,MEint2297.genome.CDS.1935",12
acI-A,group00026,"AAA023J06.genome.CDS.803,AAA024D14.genome.CDS.950,AAA027M14.genome.CDS.1621,AAA028E20.genome.CDS.1660,AAA028G02.genome.CDS.1936,AAA028G02.genome.CDS.1935,AAA028I14.genome.CDS.1022,AAA041L13.genome.CDS.2344,AAA044N04.genome.CDS.1893,AAA044O16.genome.CDS.2491,AAA278O22.genome.CDS.2311,AAA278O22.genome.CDS.198,MEint1363.genome.CDS.1035,MEint2297.genome.CDS.2738",1
acI-A,group00027,"AAA023J06.genome.CDS.1373,AAA024D14.genome.CDS.1293,AAA027M14.genome.CDS.1490,AAA028E20.genome.CDS.383,AAA028E20.genome.CDS.1441,AAA028E20.genome.CDS.1592,AAA028G02.genome.CDS.2063,AAA041L13.genome.CDS.2369,AAA044N04.genome.CDS.1551,AAA044N04.genome.CDS.2306,AAA044O16.genome.CDS.2523,AAA278O22.genome.CDS.1550,AAA278O22.genome.CDS.1224,MEint1363.genome.CDS.1176,MEint1363.genome.CDS.1516,MEint2297.genome.CDS.1537",21
acI-A,group00028,"AAA028G02.genome.CDS.2045,AAA041L13.genome.CDS.1475,AAA044N04.genome.CDS.2380,AAA278O22.genome.CDS.1568,MEint1363.genome.CDS.1156,MEint2297.genome.CDS.2367",4
acI-A,group00029,"AAA023J06.genome.CDS.1369,AAA023J06.genome.CDS.1323,AAA023J06.genome.CDS.1405,AAA027M14.genome.CDS.1217,AAA027M14.genome.CDS.1597,AAA028E20.genome.CDS.1371,AAA028G02.genome.CDS.1820,AAA041L13.genome.CDS.1928,AAA044N04.genome.CDS.2050,AAA044O16.genome.CDS.2212,AAA278O22.genome.CDS.1726,MEint1363.genome.CDS.1537,MEint2297.genome.CDS.1493,MEint2297.genome.CDS.2520",36
acI-A,group00030,"AAA027M14.genome.CDS.1291,AAA028G02.genome.CDS.2417,AAA028G02.genome.CDS.2449,AAA028I14.genome.CDS.1092,AAA041L13.genome.CDS.1548,AAA044O16.genome.CDS.1403,AAA278O22.genome.CDS.1048,MEint1363.genome.CDS.1573,MEint2297.genome.CDS.1838",1
acI-A,group00031,"AAA023J06.genome.CDS.1045,AAA023J06.genome.CDS.1275,AAA027M14.genome.CDS.1127,AAA028I14.genome.CDS.1137,AAA041L13.genome.CDS.1593,AAA041L13.genome.CDS.1978,AAA044N04.genome.CDS.2507,AAA044O16.genome.CDS.1446,MEint1363.genome.CDS.1338,MEint2297.genome.CDS.2099",1
acI-A,group00033,"AAA024D14.genome.CDS.870,AAA027M14.genome.CDS.1158,AAA027M14.genome.CDS.911,AAA028E20.genome.CDS.1512,AAA028G02.genome.CDS.1639,AAA041L13.genome.CDS.2233,AAA041L13.genome.CDS.2300,AAA044N04.genome.CDS.1365,AAA044N04.genome.CDS.2456,AAA044N04.genome.CDS.2229,AAA044O16.genome.CDS.1888,AAA044O16.genome.CDS.2116,AAA278O22.genome.CDS.1293,AAA278O22.genome.CDS.1478,MEint2297.genome.CDS.1779,MEint2297.genome.CDS.2594",5
acI-A,group00034,"AAA028E20.genome.CDS.1271,AAA028G02.genome.CDS.2212,AAA028I14.genome.CDS.1238,AAA044N04.genome.CDS.1705,AAA044N04.genome.CDS.2216,AAA044O16.genome.CDS.2675,AAA044O16.genome.CDS.2126,AAA278O22.genome.CDS.2093,AAA278O22.genome.CDS.1467,MEint1363.genome.CDS.1374,MEint2297.genome.CDS.2079",12
acI-A,group00035,"AAA027M14.genome.CDS.1609,AAA028E20.genome.CDS.1779,AAA028E20.genome.CDS.1842,AAA028E20.genome.CDS.1841,AAA028G02.genome.CDS.1857,AAA041L13.genome.CDS.2247,AAA044N04.genome.CDS.2022,AAA044O16.genome.CDS.2248,AAA278O22.genome.CDS.1699,MEint1363.genome.CDS.1185",4
acI-A,group00037,"AAA024D14.genome.CDS.1500,AAA028E20.genome.CDS.1425,AAA028G02.genome.CDS.2451,AAA044O16.genome.CDS.2412,AAA278O22.genome.CDS.1921",12
acI-A,group00038,"AAA023J06.genome.CDS.759,AAA023J06.genome.CDS.1082,AAA024D14.genome.CDS.1116,AAA027M14.genome.CDS.1076,AAA028E20.genome.CDS.1618,AAA028G02.genome.CDS.1891,AAA028G02.genome.CDS.1697,AAA041L13.genome.CDS.2101,AAA041L13.genome.CDS.1519,AAA044N04.genome.CDS.1937,AAA044N04.genome.CDS.2336,AAA044O16.genome.CDS.2289,AAA044O16.genome.CDS.1968,AAA278O22.genome.CDS.1610,MEint2297.genome.CDS.2735,MEint2297.genome.CDS.1881",62
acI-A,group00039,"AAA023J06.genome.CDS.780,AAA024D14.genome.CDS.927,AAA027M14.genome.CDS.1382,AAA028E20.genome.CDS.1637,AAA028G02.genome.CDS.1910,AAA028G02.genome.CDS.1685,AAA028I14.genome.CDS.1393,AAA028I14.genome.CDS.1436,AAA041L13.genome.CDS.2125,AAA044N04.genome.CDS.1916,AAA044O16.genome.CDS.1955,AAA044O16.genome.CDS.2426,AAA044O16.genome.CDS.2314,AAA278O22.genome.CDS.2251,MEint2297.genome.CDS.2042,MEint2297.genome.CDS.2615",2
acI-A,group00041,"AAA023J06.genome.CDS.917,AAA024D14.genome.CDS.833,AAA028E20.genome.CDS.1716,AAA028G02.genome.CDS.797,AAA028I14.genome.CDS.1352,AAA041L13.genome.CDS.1724,AAA044N04.genome.CDS.1621,AAA044O16.genome.CDS.2592,MEint2297.genome.CDS.1602",10
acI-A,group00043,"AAA024D14.genome.CDS.1600,AAA024D14.genome.CDS.1637,AAA027M14.genome.CDS.1203,AAA028E20.genome.CDS.969,AAA028G02.genome.CDS.1836,AAA041L13.genome.CDS.2856,AAA044N04.genome.CDS.2044,AAA044O16.genome.CDS.2101,AAA044O16.genome.CDS.2227,AAA278O22.genome.CDS.1717,MEint1363.genome.CDS.1550,MEint2297.genome.CDS.2445,MEint2297.genome.CDS.2506",16
acI-A,group00044,"AAA027M14.genome.CDS.1241,AAA027M14.genome.CDS.985,AAA028E20.genome.CDS.1347,AAA028G02.genome.CDS.1795,AAA041L13.genome.CDS.1952,AAA044N04.genome.CDS.2074,AAA044O16.genome.CDS.2187,AAA278O22.genome.CDS.2219,MEint1363.genome.CDS.1136,MEint2297.genome.CDS.1468",6
acI-A,group00047,"AAA024D14.genome.CDS.806,AAA028E20.genome.CDS.1738,AAA028G02.genome.CDS.2160,AAA028I14.genome.CDS.1292,AAA041L13.genome.CDS.1866,AAA044N04.genome.CDS.1649,AAA044O16.genome.CDS.2622,MEint1363.genome.CDS.1113,MEint2297.genome.CDS.1625",20
acI-A,group00048,"AAA024D14.genome.CDS.1363,AAA027M14.genome.CDS.1436,AAA028E20.genome.CDS.1217,AAA028G02.genome.CDS.2272,AAA028I14.genome.CDS.1184,AAA041L13.genome.CDS.1891,AAA044N04.genome.CDS.1762,AAA044O16.genome.CDS.1541,AAA278O22.genome.CDS.2052,MEint1363.genome.CDS.1756,MEint2297.genome.CDS.1388,MEint2297.genome.CDS.2531",9
acI-A,group00049,"AAA024D14.genome.CDS.1052,AAA027M14.genome.CDS.1005,AAA028E20.genome.CDS.941,AAA028G02.genome.CDS.2505,AAA028G02.genome.CDS.2504,AAA041L13.genome.CDS.1639,AAA044N04.genome.CDS.2138,AAA044O16.genome.CDS.1632,AAA044O16.genome.CDS.1631,MEint1363.genome.CDS.1016,MEint2297.genome.CDS.2002,MEint2297.genome.CDS.2260,MEint2297.genome.CDS.2208",950
acI-A,group00050,"AAA027M14.genome.CDS.1274,AAA028G02.genome.CDS.2435,AAA028I14.genome.CDS.1109,AAA041L13.genome.CDS.1565,AAA044N04.genome.CDS.2479,AAA044N04.genome.CDS.2581,AAA044O16.genome.CDS.1420,AAA278O22.genome.CDS.2346,AAA278O22.genome.CDS.2284,AAA278O22.genome.CDS.2326,MEint1363.genome.CDS.1556,MEint2297.genome.CDS.1855",4
acI-A,group00052,"AAA023J06.genome.CDS.1371,AAA027M14.genome.CDS.1220,AAA028E20.genome.CDS.1366,AAA028G02.genome.CDS.1815,AAA041L13.genome.CDS.1933,AAA044N04.genome.CDS.2055,AAA044O16.genome.CDS.2207,AAA278O22.genome.CDS.1732,MEint1363.genome.CDS.1532,MEint2297.genome.CDS.1488,MEint2297.genome.CDS.2525",7
acI-A,group00055,"AAA024D14.genome.CDS.883,AAA027M14.genome.CDS.1148,AAA028E20.genome.CDS.1041,AAA028G02.genome.CDS.2667,AAA044N04.genome.CDS.1392,AAA044O16.genome.CDS.1904,AAA278O22.genome.CDS.1281,MEint1363.genome.CDS.1084,MEint1363.genome.CDS.1865,MEint2297.genome.CDS.2708",3
acI-A,group00056,"AAA024D14.genome.CDS.1253,AAA027M14.genome.CDS.926,AAA028E20.genome.CDS.1788,AAA028G02.genome.CDS.1623,AAA041L13.genome.CDS.2283,AAA044N04.genome.CDS.2242,AAA044O16.genome.CDS.1616,AAA278O22.genome.CDS.2271,MEint2297.genome.CDS.1764,MEint2297.genome.CDS.2579",10
acI-A,group00058,"AAA023J06.genome.CDS.844,AAA027M14.genome.CDS.960,AAA028E20.genome.CDS.1480,AAA028G02.genome.CDS.1585,AAA041L13.genome.CDS.2016,AAA041L13.genome.CDS.2034,AAA044N04.genome.CDS.2550,AAA044N04.genome.CDS.2279,AAA278O22.genome.CDS.1955,MEint1363.genome.CDS.1667,MEint1363.genome.CDS.1255,MEint2297.genome.CDS.1730",7
acI-A,group00059,"AAA024D14.genome.CDS.1379,AAA027M14.genome.CDS.1420,AAA028E20.genome.CDS.1232,AAA028G02.genome.CDS.2256,AAA028I14.genome.CDS.1200,AAA041L13.genome.CDS.1907,AAA044N04.genome.CDS.1746,AAA044O16.genome.CDS.2728,AAA278O22.genome.CDS.2298,AAA278O22.genome.CDS.2140,MEint1363.genome.CDS.1771,MEint2297.genome.CDS.2546",14
acI-A,group00060,"AAA024D14.genome.CDS.1040,AAA027M14.genome.CDS.992,AAA028E20.genome.CDS.952,AAA028G02.genome.CDS.2517,AAA041L13.genome.CDS.1651,AAA044N04.genome.CDS.2126,AAA044O16.genome.CDS.1644,AAA278O22.genome.CDS.2359,MEint1363.genome.CDS.1028,MEint2297.genome.CDS.2195,MEint2297.genome.CDS.2689,MEint2297.genome.CDS.2714",11
acI-A,group00061,"AAA027M14.genome.CDS.968,AAA028E20.genome.CDS.1472,AAA028G02.genome.CDS.1577,AAA041L13.genome.CDS.2026,AAA044N04.genome.CDS.2287,AAA044O16.genome.CDS.2379,AAA278O22.genome.CDS.1947,MEint1363.genome.CDS.1263,MEint2297.genome.CDS.1722",4
acI-A,group00063,"AAA024D14.genome.CDS.1364,AAA027M14.genome.CDS.1435,AAA028E20.genome.CDS.1218,AAA028G02.genome.CDS.932,AAA028I14.genome.CDS.1185,AAA041L13.genome.CDS.1892,AAA044N04.genome.CDS.1761,AAA044O16.genome.CDS.2743,AAA278O22.genome.CDS.2053,MEint1363.genome.CDS.1757,MEint2297.genome.CDS.1389,MEint2297.genome.CDS.2532",2
acI-A,group00064,"AAA024D14.genome.CDS.803,AAA028E20.genome.CDS.1741,AAA028G02.genome.CDS.2163,AAA028I14.genome.CDS.1289,AAA041L13.genome.CDS.1863,AAA044N04.genome.CDS.1652,AAA044O16.genome.CDS.2625,MEint1363.genome.CDS.1116,MEint2297.genome.CDS.1628",18
acI-A,group00065,"AAA024D14.genome.CDS.1473,AAA028E20.genome.CDS.1158,AAA028G02.genome.CDS.1504,AAA028I14.genome.CDS.1530,AAA041L13.genome.CDS.1462,AAA044N04.genome.CDS.2420,AAA278O22.genome.CDS.1801,MEint1363.genome.CDS.1687,MEint2297.genome.CDS.1989",3
acI-A,group00067,"AAA024D14.genome.CDS.1617,AAA024D14.genome.CDS.1467,AAA028E20.genome.CDS.1012,AAA028G02.genome.CDS.1489,AAA028I14.genome.CDS.1536,AAA041L13.genome.CDS.1468,AAA044N04.genome.CDS.2387,AAA278O22.genome.CDS.1806,MEint1363.genome.CDS.1694,MEint1363.genome.CDS.1801,MEint2297.genome.CDS.1982",11
acI-A,group00068,"AAA023J06.genome.CDS.1277,AAA024D14.genome.CDS.805,AAA027M14.genome.CDS.1128,AAA028E20.genome.CDS.1739,AAA028G02.genome.CDS.2161,AAA028I14.genome.CDS.1291,AAA041L13.genome.CDS.1865,AAA044N04.genome.CDS.1650,AAA044O16.genome.CDS.2623,MEint1363.genome.CDS.1114,MEint2297.genome.CDS.1626",2
acI-A,group00069,"AAA023J06.genome.CDS.1299,AAA024D14.genome.CDS.1508,AAA027M14.genome.CDS.876,AAA028E20.genome.CDS.913,AAA028G02.genome.CDS.2005,AAA041L13.genome.CDS.2433,AAA041L13.genome.CDS.2573,AAA044N04.genome.CDS.2527,AAA044O16.genome.CDS.1801,AAA278O22.genome.CDS.1437,MEint2297.genome.CDS.2464",2
acI-A,group00073,"AAA023J06.genome.CDS.1125,AAA024D14.genome.CDS.968,AAA027M14.genome.CDS.846,AAA028E20.genome.CDS.1690,AAA028G02.genome.CDS.1972,AAA028I14.genome.CDS.1002,AAA041L13.genome.CDS.2476,AAA044N04.genome.CDS.1875,AAA044O16.genome.CDS.1742,AAA278O22.genome.CDS.1403,MEint2297.genome.CDS.2418",31
acI-A,group00074,"AAA023J06.genome.CDS.777,AAA024D14.genome.CDS.924,AAA027M14.genome.CDS.1385,AAA028E20.genome.CDS.1634,AAA028G02.genome.CDS.1907,AAA028I14.genome.CDS.1396,AAA041L13.genome.CDS.2128,AAA044N04.genome.CDS.1919,AAA044O16.genome.CDS.2423,AAA278O22.genome.CDS.2254,MEint2297.genome.CDS.2618",2
acI-A,group00075,"AAA024D14.genome.CDS.1657,AAA027M14.genome.CDS.1504,AAA028E20.genome.CDS.1010,AAA028G02.genome.CDS.2050,AAA028I14.genome.CDS.1175,AAA041L13.genome.CDS.1470,AAA044N04.genome.CDS.2385,AAA044O16.genome.CDS.2510,AAA278O22.genome.CDS.1563,MEint1363.genome.CDS.1161,MEint2297.genome.CDS.2372",27
acI-A,group00076,"AAA024D14.genome.CDS.1466,AAA027M14.genome.CDS.1115,AAA028G02.genome.CDS.2201,AAA028I14.genome.CDS.1251,AAA041L13.genome.CDS.2377,AAA044N04.genome.CDS.1692,AAA044O16.genome.CDS.2664,AAA278O22.genome.CDS.2078,MEint1363.genome.CDS.1385,MEint2297.genome.CDS.2313,MEint2297.genome.CDS.1957",4
acI-A,group00077,"AAA023J06.genome.CDS.914,AAA024D14.genome.CDS.830,AAA028E20.genome.CDS.1719,AAA028G02.genome.CDS.2138,AAA028G02.genome.CDS.2623,AAA028I14.genome.CDS.1311,AAA041L13.genome.CDS.1501,AAA044N04.genome.CDS.2353,AAA044N04.genome.CDS.1624,AAA044O16.genome.CDS.1585,AAA044O16.genome.CDS.2595,AAA278O22.genome.CDS.1597,MEint2297.genome.CDS.1605",3
acI-A,group00081,"AAA023J06.genome.CDS.1382,AAA024D14.genome.CDS.1133,AAA027M14.genome.CDS.1101,AAA028G02.genome.CDS.2628,AAA044N04.genome.CDS.1467,AAA044O16.genome.CDS.1591,AAA278O22.genome.CDS.1591,MEint1363.genome.CDS.1069,MEint2297.genome.CDS.1802",3
acI-A,group00082,"AAA024D14.genome.CDS.1365,AAA027M14.genome.CDS.1434,AAA028E20.genome.CDS.1219,AAA028G02.genome.CDS.2270,AAA028I14.genome.CDS.1186,AAA041L13.genome.CDS.1893,AAA044N04.genome.CDS.1760,AAA044O16.genome.CDS.2742,AAA278O22.genome.CDS.2054,MEint1363.genome.CDS.1758,MEint2297.genome.CDS.1390,MEint2297.genome.CDS.2533",4
acI-A,group00083,"AAA027M14.genome.CDS.966,AAA028E20.genome.CDS.1474,AAA028G02.genome.CDS.1579,AAA041L13.genome.CDS.2028,AAA044N04.genome.CDS.2285,AAA044O16.genome.CDS.2377,AAA278O22.genome.CDS.1949,MEint1363.genome.CDS.1261,MEint2297.genome.CDS.1724",9
acI-A,group00087,"AAA023J06.genome.CDS.781,AAA024D14.genome.CDS.928,AAA027M14.genome.CDS.1381,AAA028E20.genome.CDS.1638,AAA028G02.genome.CDS.1911,AAA028I14.genome.CDS.1435,AAA041L13.genome.CDS.2124,AAA044N04.genome.CDS.1915,AAA044O16.genome.CDS.2313,AAA278O22.genome.CDS.2250,MEint1363.genome.CDS.1883,MEint2297.genome.CDS.2041,MEint2297.genome.CDS.2614",2
acI-A,group00088,"AAA027M14.genome.CDS.1295,AAA028G02.genome.CDS.2445,AAA028I14.genome.CDS.1088,AAA041L13.genome.CDS.1544,AAA044O16.genome.CDS.1399,AAA278O22.genome.CDS.2205,MEint1363.genome.CDS.1577,MEint2297.genome.CDS.1834",3
