id	name	formula	charge	aliases
cpd02069	3-Phosphonooxypyruvate	C3H3O7P	-2	
cpd00169	3-Phosphoglycerate	C3H5O7P	-2	
cpd15661	Prenol-45n teichoic acid	C206H386N2O242P47	-47	
cpd15662	Prenol-45n teichoic acid-glucose substituted	C476H836N2O467P47	-47	
cpd11483	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	C19H35N2O9PRS	-1	
cpd11490	3-oxooctanoyl-acp	C19H33N2O9PRS	-1	
cpd02333	Quinolinate	C7H3NO4	-2	
cpd03470	Iminoaspartate	C4H3NO4	-2	
cpd00095	Glycerone-phosphate	C3H6O6P	-1	
cpd02229	Bactoprenyl diphosphate	C55H90O7P2	-2	
cpd15666	Peptidoglycan polymer (n-1 subunits)	C40H63N8O21R	-2	
cpd15665	Peptidoglycan polymer (n subunits)	C80H125N16O42R	-4	
cpd03495	Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala	C95H152N8O28P2	-4	
cpd03127	(2E)-Tetradecenoyl-CoA	C35H57N7O17P3S	-3	
cpd03115	(S)-3-Hydroxytetradecanoyl-CoA	C35H59N7O18P3S	-3	
cpd00207	Guanine	C5H5N5O	0	
cpd00277	Deoxyguanosine	C10H13N5O4	0	
cpd00509	deoxyribose-1-phosphate	C5H10O7P	-1	
cpd00086	Propionyl-CoA	C24H37N7O17P3S	-3	
cpd00287	3-Oxo-2-methylpropanoate	C4H5O3	-1	
cpd00072	D-fructose-6-phosphate	C6H12O9P	-1	
cpd00079	D-glucose-6-phosphate	C6H12O9P	-1	
cpd15561	Ubiquinol-8	C49H76O4	0	
cpd15560	Ubiquinone-8	C49H74O4	0	
cpd00013	NH3	H4N	1	
cpd00053	L-Glutamine	C5H10N2O3	0	
cpd00238	Sedoheptulose7-phosphate	C7H14O10P	-1	
cpd00198	D-Xylulose5-phosphate	C5H10O8P	-1	
cpd00101	ribose-5-phosphate	C5H10O8P	-1	
cpd00162	Aminoethanol	C2H8NO	1	
cpd00908	Glycerophosphoethanolamine	C5H14NO6P	0	
cpd00264	Spermidine	C7H22N3	3	
cpd15603	Gly-Cys	C5H10N2O3S	0	
cpd00358	dUTP	C9H12N2O14P3	-3	
cpd00978	dUDP	C9H12N2O11P2	-2	
cpd00236	D-Erythrose4-phosphate	C4H8O7P	-1	
cpd00438	Deoxyadenosine	C10H13N5O3	0	
cpd03279	Deoxyinosine	C10H12N4O4	0	
cpd00357	TTP	C10H14N2O14P3	-3	
cpd00297	dTDP	C10H14N2O11P2	-2	
cpd11830	S-Aminomethyldihydrolipoylprotein	C2H7NRS2	1	
cpd12005	Lipoylprotein	CHRS2	0	
cpd00655	Dephospho-CoA	C21H33N7O13P2S	-2	
cpd00343	N-Carbamoyl-L-aspartate	C5H6N2O5	-2	
cpd00146	Carbamoylphosphate	CH3NO5P	-1	
cpd00200	4MOP	C6H9O3	-1	
cpd00024	2-Oxoglutarate	C5H4O5	-2	
cpd00107	L-Leucine	C6H13NO2	0	
cpd00334	L-Lactaldehyde	C3H6O2	0	
cpd00159	L-Lactate	C3H5O3	-1	
cpd00834	Phosphopantetheine	C11H22N2O7PS	-1	
cpd02666	(R)-4'-Phosphopantothenoyl-L-cysteine	C12H21N2O9PS	-2	
cpd00412	Deoxyuridine	C9H12N2O5	0	
cpd00299	dUMP	C9H12N2O8P	-1	
cpd15676	1-isohexadecanoyl-sn-glycerol 3-phosphate	C19H38O7P	-1	
cpd11441	fa6coa	C37H63N7O17P3S	-3	
cpd00290	D-fructose-1,6-bisphosphate	C6H12O12P2	-2	
cpd00087	Tetrahydrofolate	C19H21N7O6	-2	
cpd06227	THF-L-glutamate	C24H27N8O9	-3	
cpd11586	ala-L-glu-L	C8H13N2O5	-1	
cpd11513	12-methyl-3-hydroxy-tetra-decanoyl-ACP	C26H49N2O9PRS	-1	
cpd11512	12-methyl-3-oxo-tetra-decanoyl-ACP	C26H47N2O9PRS	-1	
cpd11484	HMA	C25H47N2O9PRS	-1	
cpd11491	3-oxotetradecanoyl-acp	C25H45N2O9PRS	-1	
cpd01260	Lauroyl-CoA	C33H55N7O17P3S	-3	
cpd12689	3-Oxotetradecanoyl-CoA	C35H57N7O18P3S	-3	
cpd00205	K+	K	1	
cpd00289	Geranylgeranyl diphosphate	C20H34O7P2	-2	
cpd00858	L-Glutamate5-semialdehyde	C5H9NO3	0	
cpd00091	UMP	C9H12N2O9P	-1	
cpd00810	Orotidylic acid	C10H11N2O11P	-2	
cpd00344	N-Formimino-L-glutamate	C6H9N2O4	-1	
cpd02311	4-Imidazolone-5-propanoate	C6H7N2O3	-1	
cpd15747	Myristoyllipoteichoic acid (n=24), linked, unsubstituted	C115H224O135P24	-24	
cpd15765	Myristoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	C307H536N24O255P24	-24	
cpd00037	UDP-N-acetylglucosamine	C17H25N3O17P2	-2	
cpd00018	AMP	C10H13N5O7P	-1	
cpd11436	fa3	C15H29O2	-1	
cpd11437	fa3coa	C36H61N7O17P3S	-3	
cpd00475	Ribose 1-phosphate	C5H10O8P	-1	
cpd00309	XAN	C5H4N4O2	0	
cpd01217	Xanthosine	C10H12N4O6	0	
cpd03496	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutaminyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	C95H154N9O27P2	-3	
cpd00616	Pretyrosine	C10H12NO5	-1	
cpd00069	L-Tyrosine	C9H11NO3	0	
cpd17041	Protein biosynthesis		0	
cpd00345	5-Methyltetrahydrofolate	C20H23N7O6	-2	
cpd00125	5-10-Methylenetetrahydrofolate	C20H21N7O6	-2	
cpd03492	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine	C94H155N9O25P2	-2	
cpd03491	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	C94H153N8O26P2	-3	
cpd02210	Indoleglycerol phosphate	C11H13NO6P	-1	
cpd00359	indol	C8H7N	0	
cpd15759	Anteisoheptadecanoyllipoteichoic acid (n=24), linked, glucose substituted	C265H476O255P24	-24	
cpd15750	Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted	C121H236O135P24	-24	
cpd15768	Anteisoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	C313H548N24O255P24	-24	
cpd00350	Farnesyldiphosphate	C15H26O7P2	-2	
cpd00123	3-Methyl-2-oxobutanoate	C5H7O3	-1	
cpd02498	2,3-Dihydroxy-isovalerate	C5H9O4	-1	
cpd00809	O-Phospho-L-homoserine	C4H9NO6P	-1	
cpd00062	UTP	C9H12N2O15P3	-3	
cpd00288	D-Glucosamine phosphate	C6H14NO8P	0	
cpd11486	3-Oxohexanoyl-[acp]	C17H29N2O9PRS	-1	
cpd11479	D-3-Hydroxyhexanoyl-[acp]	C17H31N2O9PRS	-1	
cpd17042	DNA replication		0	
cpd15545	Phosphatidylglycerophosphate dihexadecanoyl	C38H74O13P2	-2	
cpd15419	CDP-1,2-dihexadecanoylglycerol	C44H79N3O15P2	-2	
cpd00015	FAD	C27H31N9O15P2	-2	
cpd00129	L-Proline	C5H8NO2	-1	
cpd00982	FADH2	C27H33N9O15P2	-2	
cpd00504	LL-2,6-Diaminopimelate	C7H14N2O4	0	
cpd00516	meso-2,6-Diaminopimelate	C7H14N2O4	0	
cpd00042	GSH	C10H16N3O6S	-1	
cpd02182	(R)-S-Lactoylglutathione	C13H20N3O8S	-1	
cpd00221	D-Lactate	C3H5O3	-1	
cpd00132	L-Asparagine	C4H8N2O3	0	
cpd11581	gly-asn-L	C6H11N3O4	0	
cpd11521	5-methyl-3-oxo-hexanoyl-ACP	C18H31N2O9PRS	-1	
cpd11522	5-methyl-3-hydroxy-hexanoyl-ACP	C18H33N2O9PRS	-1	
cpd00177	dADP	C10H13N5O9P2	-2	
cpd00115	dATP	C10H13N5O12P3	-3	
cpd02820	UDP-N-acetylglucosamine enolpyruvate	C20H26N3O19P2	-3	
cpd11493	ACP	C11H21N2O7PRS	-1	
cpd15328	1-octadec-11-enoyl-sn-glycerol 3-phosphate	C21H40O7P	-1	
cpd15527	1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate	C39H72O8P	-1	
cpd11825	Octadecenoyl-ACP	C29H53N2O8PRS	-1	
cpd00117	D-Alanine	C3H7NO2	0	
cpd15331	1-tetradecanoyl-sn-glycerol 3-phosphate	C17H34O7P	-1	
cpd15522	1,2-ditetradecanoyl-sn-glycerol 3-phosphate	C31H60O8P	-1	
cpd01695	Myristoyl-CoA	C35H59N7O17P3S	-3	
cpd15753	Anteisopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted	C117H228O135P24	-24	
cpd15762	Anteisopentadecanoyllipoteichoic acid (n=24), linked, glucose substituted	C261H468O255P24	-24	
cpd15684	CDP-1,2-dianteisoheptadecanoylglycerol	C46H83N3O15P2	-2	
cpd02201	4-phosphopantothenate	C9H16NO8P	-2	
cpd00508	3MOP	C6H9O3	-1	
cpd02535	2,3-Dihydroxy-3-methylvalerate	C6H11O4	-1	
cpd15521	1,2-didodecanoyl-sn-glycerol 3-phosphate	C27H52O8P	-1	
cpd15325	1-dodecanoyl-sn-glycerol 3-phosphate	C15H30O7P	-1	
cpd11468	Dodecanoyl-ACP	C23H43N2O8PRS	-1	
cpd00956	1-(2-carboxyphenylamino)-1-deoxyribulose 5-phosphate	C12H14NO9P	-2	
cpd00286	Undecaprenylphosphate	C55H90O4P	-1	
cpd00567	D-Proline	C5H8NO2	-1	
cpd02235	1-Pyrroline-2-carboxylate	C5H6NO2	-1	
cpd00141	Propionate	C3H5O2	-1	
cpd00038	GTP	C10H13N5O14P3	-3	
cpd02740	Guanosine 5'-triphosphate,3'-diphosphate	C10H13N5O20P5	-5	
cpd00135	Homocysteine	C4H9NO2S	0	
cpd00171	D-Ribulose5-phosphate	C5H10O8P	-1	
cpd08287	4--cytidine5-diphospho-2-C-methyl-D-erythritol	C14H23N3O14P2	-2	
cpd15422	CDP-1,2-ditetradec-7-enoylglycerol	C40H67N3O15P2	-2	
cpd15523	1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate	C31H56O8P	-1	
cpd00096	CDP	C9H13N3O11P2	-2	
cpd01716	3-Dehydroshikimate	C7H7O5	-1	
cpd00100	Glycerol	C3H8O3	0	
cpd02090	Glycerophosphoglycerol	C6H14O8P	-1	
cpd11534	11-methyl-3-hydroxy-dodecanoyl-ACP	C24H45N2O9PRS	-1	
cpd11533	11-methyl-3-oxo-dodecanoyl-ACP	C24H43N2O9PRS	-1	
cpd00331	cis-Aconitate	C6H3O6	-3	
cpd15677	1,2-diisoheptadecanoyl-sn-glycerol 3-phosphate	C37H72O8P	-1	
cpd11432	fa11coa	C38H65N7O17P3S	-3	
cpd15671	1-isoheptadecanoyl-sn-glycerol 3-phosphate	C20H40O7P	-1	
cpd03118	(S)-Hydroxydecanoyl-CoA	C31H51N7O18P3S	-3	
cpd03129	(2E)-Decenoyl-CoA	C31H49N7O17P3S	-3	
cpd03608	4-Hydroxy-L-threonine	C4H9NO4	0	
cpd03607	4-(Phosphonooxy)-threonine	C4H9NO7P	-1	
cpd02597	cis-2-Methylaconitate	C7H5O6	-3	
cpd01501	2-Methylcitrate	C7H7O7	-3	
cpd00184	Thymidine	C10H14N2O5	0	
cpd00298	dTMP	C10H14N2O8P	-1	
cpd15720	Dianteisopentadecanoylphosphatidylglycerophosphate	C36H70O13P2	-2	
cpd15687	CDP-1,2-dianteisopentadecanoylglycerol	C42H75N3O15P2	-2	
cpd00065	L-Tryptophan	C11H12N2O2	0	
cpd00054	L-Serine	C3H7NO3	0	
cpd00016	Pyridoxal phosphate	C8H9NO6P	-1	
cpd00493	Pyridoxamine phosphate	C8H13N2O5P	0	
cpd00110	Cytochrome c2+	C42H52FeN8O6S2	4	
cpd00109	Cytochrome c3+	C42H52FeN8O6S2	5	
cpd00644	PAN	C9H16NO5	-1	
cpd00863	beta-D-Glucose 6-phosphate	C6H12O9P	-1	
cpd15420	CDP-1,2-dioctadec-11-enoylglycerol	C48H83N3O15P2	-2	
cpd15548	Phosphatidylglycerophosphate dioctadec-11-enoyl	C42H78O13P2	-2	
cpd10162	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	C6H9O4	-1	
cpd00340	2,5-Dioxopentanoate	C5H5O4	-1	
cpd02626	1-Pyrroline-4-hydroxy-2-carboxylate	C5H6NO3	-1	
cpd00533	dCDP	C9H13N3O10P2	-2	
cpd00356	dCTP	C9H13N3O13P3	-3	
cpd15604	Gly-Leu	C8H16N2O3	0	
cpd16335	2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate	C14H13O9	-3	
cpd11489	3-oxododecanoyl-acp	C23H41N2O9PRS	-1	
cpd11480	D-3-Hydroxydodecanoyl-[acp]	C23H43N2O9PRS	-1	
cpd00249	Uridine	C9H12N2O6	0	
cpd00367	Cytidine	C9H13N3O5	0	
cpd02569	2-Oxo-3-hydroxyisovalerate	C5H7O4	-1	
cpd00668	ALCTT	C5H7O4	-1	
cpd00294	dAMP	C10H13N5O6P	-1	
cpd15524	1,2-dihexadecanoyl-sn-glycerol 3-phosphate	C35H68O8P	-1	
cpd00906	all-trans-Hexaprenyl diphosphate	C30H50O7P2	-2	
cpd02591	pendp	C25H42O7P2	-2	
cpd11571	3-Hydroxyoctodecanoyl-ACP	C29H55N2O9PRS	-1	
cpd11570	3-Oxooctodecanoyl-ACP	C29H53N2O9PRS	-1	
cpd00105	D-Ribose	C5H10O5	0	
cpd11505	8-methyl-3-hydroxy-decanoyl-ACP	C22H41N2O9PRS	-1	
cpd11504	8-methyl-3-oxo-decanoyl-ACP	C22H39N2O9PRS	-1	
cpd00219	Prephenate	C10H8O6	-2	
cpd00143	Phenylpyruvate	C9H7O3	-1	
cpd03560	Propionyladenylate	C13H17N5O8P	-1	
cpd00128	Adenine	C5H5N5	0	
cpd00182	Adenosine	C10H13N5O4	0	
cpd00134	Palmitoyl-CoA	C37H63N7O17P3S	-3	
cpd15327	1-hexadecanoyl-sn-glycerol 3-phosphate	C19H38O7P	-1	
cpd11585	L-alanylglycine	C5H10N2O3	0	
cpd15754	Isohexadecanoyllipoteichoic acid (n=24), linked, unsubstituted	C119H232O135P24	-24	
cpd15772	Isohexadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	C311H544N24O255P24	-24	
cpd00126	GMP	C10H13N5O8P	-1	
cpd00031	GDP	C10H13N5O11P2	-2	
cpd11555	8-methyl-3-hydroxy-nonanoyl-ACP	C21H39N2O9PRS	-1	
cpd11554	8-methyl-3-oxo-nonanoyl-ACP	C21H37N2O9PRS	-1	
cpd00092	Uracil	C4H4N2O2	0	
cpd00103	PRPP	C5H10O14P3	-3	
cpd15748	Stearoyllipoteichoic acid (n=24), linked, unsubstituted	C123H240O135P24	-24	
cpd15766	Stearoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	C315H552N24O255P24	-24	
cpd11593	ala-L-asp-L	C7H11N2O5	-1	
cpd08615	1-Hydroxy-2-methyl-2-butenyl 4-diphosphate	C5H10O8P2	-2	
cpd11440	fa6	C16H31O2	-1	
cpd11217	1,4-Dihydroxy-2-naphthoyl-CoA	C32H39N7O19P3S	-3	
cpd02021	Succinylbenzoyl-CoA	C32H40N7O20P3S	-4	
cpd14699	S-(3-Methylbutanoyl)-dihydrolipoamide-E	C13H25NO2S2	0	
cpd01882	Isovaleryl-CoA	C26H41N7O17P3S	-3	
cpd00449	Dihydrolipoamide	C8H17NOS2	0	
cpd00448	D-Glyceraldehyde	C3H6O3	0	
cpd11529	9-methyl-3-oxo-decanoyl-ACP	C22H39N2O9PRS	-1	
cpd11530	9-methyl-3-hydroxy-decanoyl-ACP	C22H41N2O9PRS	-1	
cpd01772	Succinylbenzoate	C11H8O5	-2	
cpd15746	Palmitoyllipoteichoic acid (n=24), linked, unsubstituted	C119H232O135P24	-24	
cpd15755	Palmitoyllipoteichoic acid (n=24), linked, glucose substituted	C263H472O255P24	-24	
cpd02851	AICAR	C9H14N4O8P	-1	
cpd02921	SAICAR	C13H16N4O12P	-3	
cpd00246	Inosine	C10H12N4O5	0	
cpd00142	Acetoacetate	C4H5O3	-1	
cpd00279	Acetoacetyl-CoA	C25H37N7O18P3S	-3	
cpd00202	DMAPP	C5H10O7P2	-2	
cpd02097	L-Glutamyl 5-phosphate	C5H9NO7P	-1	
cpd00093	Anthranilate	C7H6NO2	-1	
cpd15681	1,2-dianteisopentadecanoyl-sn-glycerol 3-phosphate	C33H64O8P	-1	
cpd11439	fa4coa	C36H61N7O17P3S	-3	
cpd15675	1-anteisopentadecanoyl-sn-glycerol 3-phosphate	C18H36O7P	-1	
cpd03116	(S)-3-Hydroxydodecanoyl-CoA	C33H55N7O18P3S	-3	
cpd02060	(2E)-Dodecenoyl-CoA	C33H53N7O17P3S	-3	
cpd00201	10-Formyltetrahydrofolate	C20H21N7O7	-2	
cpd00347	5-10-Methenyltetrahydrofolate	C20H20N7O6	-1	
cpd01017	Cys-Gly	C5H10N2O3S	0	
cpd00213	Lipoamide	C8H15NOS2	0	
cpd00859	Pseudouridine 5'-phosphate	C9H12N2O9P	-1	
cpd15544	Phosphatidylglycerophosphate ditetradec-7-enoyl	C34H62O13P2	-2	
cpd11580	Gly-Gln	C7H13N3O4	0	
cpd11420	trdox	C6H7NO2R2S2	0	
cpd11421	trdrd	C6H9NO2R2S2	0	
cpd00932	5-O--1-Carboxyvinyl-3-phosphoshikimate	C10H10O10P	-3	
cpd03049	2-Hydroxyethyl-ThPP	C14H21N4O8P2S	-1	
cpd00498	2-Aceto-2-hydroxybutanoate	C6H9O4	-1	
cpd00056	TPP	C12H17N4O7P2S	-1	
cpd00094	2-Oxobutyrate	C4H5O3	-1	
cpd00282	S-Dihydroorotate	C5H5N2O4	-1	
cpd00247	Orotate	C5H3N2O4	-1	
cpd15763	Isohexadecanoyllipoteichoic acid (n=24), linked, glucose substituted	C263H472O255P24	-24	
cpd15685	CDP-1,2-diisotetradecanoylglycerol	C40H71N3O15P2	-2	
cpd15679	1,2-diisotetradecanoyl-sn-glycerol 3-phosphate	C31H60O8P	-1	
cpd00507	Glycerophosphocholine	C8H20NO6P	0	
cpd00098	Choline	C5H14NO	1	
cpd11481	R-3-hydroxypalmitoyl-acyl-carrierprotein-	C27H51N2O9PRS	-1	
cpd11485	3-oxohexadecanoyl-acp	C27H49N2O9PRS	-1	
cpd15751	Isotetradecanoyllipoteichoic acid (n=24), linked, unsubstituted	C115H224O135P24	-24	
cpd15760	Isotetradecanoyllipoteichoic acid (n=24), linked, glucose substituted	C259H464O255P24	-24	
cpd17043	RNA transcription		0	
cpd00510	deoxyribose-5-phosphate	C5H10O7P	-1	
cpd00338	5-Aminolevulinate	C5H9NO3	0	
cpd02345	L-Glutamate1-semialdehyde	C5H9NO3	0	
cpd00322	L-Isoleucine	C6H13NO2	0	
cpd15277	Palmitoyl-ACP	C27H51N2O8PRS	-1	
cpd00311	Guanosine	C10H13N5O5	0	
cpd02175	cis-4-Hydroxy-D-proline	C5H8NO3	-1	
cpd11431	fa11	C17H33O2	-1	
cpd00028	Heme	C34H30FeN4O4	-2	
cpd11313	hemeO	C49H56FeN4O5	-2	
cpd02030	3-phosphoshikimate	C7H9O8P	-2	
cpd00836	S-Acetyldihydrolipoamide	C10H19NO2S2	0	
cpd00203	1,3-Bisphospho-D-glycerate	C3H6O10P2	-2	
cpd00137	Citrate	C6H5O7	-3	
cpd00226	HYXN	C5H4N4O	0	
cpd00068	ITP	C10H12N4O14P3	-3	
cpd00090	IDP	C10H12N4O11P2	-2	
cpd15547	Phosphatidylglycerophosphate dioctadecanoyl	C42H82O13P2	-2	
cpd00427	L-Arabinonate	C5H9O6	-1	
cpd00520	2-Dehydro-3-deoxy-L-pentonate	C5H7O5	-1	
cpd00066	L-Phenylalanine	C9H11NO2	0	
cpd15605	Gly-Phe	C11H14N2O3	0	
cpd15352	2-Demethylmenaquinone 8	C50H70O2	0	
cpd15353	2-Demethylmenaquinol 8	C50H72O2	0	
cpd01710	2-Isopropylmaleate	C7H8O4	-2	
cpd01646	2-Isopropylmalate	C7H10O5	-2	
cpd02147	4-Phosphoerythronate	C4H7O8P	-2	
cpd02375	Adenylosuccinate	C14H15N5O11P	-3	
cpd00349	Sedoheptulose 1,7-bisphosphate	C7H14O13P2	-2	
cpd11562	12-methyl-3-oxo-tridecanoyl-ACP	C25H45N2O9PRS	-1	
cpd11563	12-methyl-3-hydroxy-tridecanoyl-ACP	C25H47N2O9PRS	-1	
cpd00805	D-Tagatose 6-phosphate	C6H12O9P	-1	
cpd02371	D-Tagatose 1,6-biphosphate	C6H12O12P2	-2	
cpd11501	6-methyl-3-hydroxy-octanoyl-ACP	C20H37N2O9PRS	-1	
cpd11500	6-methyl-3-oxo-octanoyl-ACP	C20H35N2O9PRS	-1	
cpd00478	Pyridoxine phosphate	C8H11NO6P	-1	
cpd00654	Deoxycytidine	C9H13N3O4	0	
cpd15680	1,2-diisopentadecanoyl-sn-glycerol 3-phosphate	C33H64O8P	-1	
cpd15674	1-isopentadecanoyl-sn-glycerol 3-phosphate	C18H36O7P	-1	
cpd01080	ocdca	C18H35O2	-1	
cpd00327	strcoa	C39H67N7O17P3S	-3	
cpd00842	(S)-3-Hydroxybutyryl-CoA	C25H39N7O18P3S	-3	
cpd11566	14-methyl-3-oxo-pentadecanoyl-ACP	C27H49N2O9PRS	-1	
cpd11567	14-methyl-3-hydroxy-pentadecanoyl-ACP	C27H51N2O9PRS	-1	
