,AAA023D18,AAA023J06,AAA024D14,AAA027J17,AAA027L06,AAA027M14,AAA028A23,AAA028E20,AAA028G02,AAA028I14,AAA041L13,AAA044D11,AAA044N04,AAA044O16,AAA278I18,AAA278O22,AB141P03,BIN_10,MEint1363,MEint2297,MEint283,MEint3864,MEint4252,MEint885,TBepi2057,TBepi2754,TBepi3207,TBepi3475,TBepi4208,TBhypo2152,TBhypo3463,TBhypo3838,TBhypo680,acIB-AMD-6,acIB-AMD-7,bin_7_acI-B2
group00170,AAA023D18.genome.CDS.1303,AAA023J06.genome.CDS.909,AAA024D14.genome.CDS.825,,AAA027L06.genome.CDS.2060,,AAA028A23.genome.CDS.822,AAA028E20.genome.CDS.1724,AAA028G02.genome.CDS.2143,AAA028I14.genome.CDS.1306,AAA041L13.genome.CDS.2810,AAA044D11.genome.CDS.1483,AAA044N04.genome.CDS.1630,AAA044O16.genome.CDS.2600,AAA278I18.genome.CDS.1305,,AB141P03.genome.CDS.1167,BIN_10.genome.CDS.1721,,MEint2297.genome.CDS.1610,MEint283.genome.CDS.882,MEint3864.genome.CDS.987,,MEint885.genome.CDS.1190,TBepi2057.genome.CDS.963,TBepi2754.genome.CDS.2564,TBepi3207.genome.CDS.2393,TBepi3475.genome.CDS.1431,TBepi4208.genome.CDS.1323,TBhypo2152.genome.CDS.336;TBhypo2152.genome.CDS.335,TBhypo3463.genome.CDS.2241,,TBhypo680.genome.CDS.2590,acIB-AMD-6.genome.CDS.930,,bin_7_acI-B2.genome.CDS.1396
group00171,AAA023D18.genome.CDS.813,AAA023J06.genome.CDS.785,AAA024D14.genome.CDS.932,AAA027J17.genome.CDS.1564,AAA027L06.genome.CDS.1308,AAA027M14.genome.CDS.1377,AAA028A23.genome.CDS.1530,AAA028E20.genome.CDS.1642,AAA028G02.genome.CDS.1915,AAA028I14.genome.CDS.1431,AAA041L13.genome.CDS.2120,AAA044D11.genome.CDS.1866,AAA044N04.genome.CDS.1911,AAA044O16.genome.CDS.2318,AAA278I18.genome.CDS.1374,AAA278O22.genome.CDS.2246,AB141P03.genome.CDS.1003,BIN_10.genome.CDS.1444,MEint1363.genome.CDS.1879,MEint2297.genome.CDS.2037;MEint2297.genome.CDS.2610,MEint283.genome.CDS.1432,,MEint4252.genome.CDS.2191,,,TBepi2754.genome.CDS.2781,TBepi3207.genome.CDS.2149,TBepi3475.genome.CDS.1628,TBepi4208.genome.CDS.1491,,TBhypo3463.genome.CDS.2481,TBhypo3838.genome.CDS.841,TBhypo680.genome.CDS.2117,,,
group00172,,,,AAA027J17.genome.CDS.1310,AAA027L06.genome.CDS.1953,AAA027M14.genome.CDS.1303,,AAA028E20.genome.CDS.1150,AAA028G02.genome.CDS.2437,AAA028I14.genome.CDS.1080,AAA041L13.genome.CDS.1536,AAA044D11.genome.CDS.1773,,AAA044O16.genome.CDS.1391,AAA278I18.genome.CDS.1743,AAA278O22.genome.CDS.2197,,BIN_10.genome.CDS.1244,MEint1363.genome.CDS.1634,MEint2297.genome.CDS.1826;MEint2297.genome.CDS.2650,MEint283.genome.CDS.887,MEint3864.genome.CDS.1178,MEint4252.genome.CDS.2093,MEint885.genome.CDS.1079,TBepi2057.genome.CDS.1811,TBepi2754.genome.CDS.2008,TBepi3207.genome.CDS.1559,TBepi3475.genome.CDS.1786,TBepi4208.genome.CDS.1608,,TBhypo3463.genome.CDS.1403;TBhypo3463.genome.CDS.2273,,TBhypo680.genome.CDS.2384,acIB-AMD-6.genome.CDS.685,,bin_7_acI-B2.genome.CDS.3376
group00173,,,,AAA027J17.genome.CDS.1179,AAA027L06.genome.CDS.1988;AAA027L06.genome.CDS.2393,AAA027M14.genome.CDS.1562,AAA028A23.genome.CDS.1116,,AAA028G02.genome.CDS.1523,,,,,AAA044O16.genome.CDS.2070;AAA044O16.genome.CDS.2057,,,,,,MEint2297.genome.CDS.2228,,MEint3864.genome.CDS.1157,MEint4252.genome.CDS.1862,,,,TBepi3207.genome.CDS.1974,,,,TBhypo3463.genome.CDS.1556;TBhypo3463.genome.CDS.1945,,,,,bin_7_acI-B2.genome.CDS.2514;bin_7_acI-B2.genome.CDS.2578
group00174,AAA023D18.genome.CDS.824,AAA023J06.genome.CDS.774,AAA024D14.genome.CDS.921,AAA027J17.genome.CDS.1576,AAA027L06.genome.CDS.2097,AAA027M14.genome.CDS.1388,AAA028A23.genome.CDS.1622,AAA028E20.genome.CDS.1631,AAA028G02.genome.CDS.1904,AAA028I14.genome.CDS.1468,AAA041L13.genome.CDS.2131,AAA044D11.genome.CDS.1877,AAA044N04.genome.CDS.1922,AAA044O16.genome.CDS.2310,AAA278I18.genome.CDS.1385,AAA278O22.genome.CDS.2257,AB141P03.genome.CDS.991,BIN_10.genome.CDS.1764,,MEint2297.genome.CDS.2621,MEint283.genome.CDS.1420,,MEint4252.genome.CDS.1504,MEint885.genome.CDS.1607,,TBepi2754.genome.CDS.2769,,,TBepi4208.genome.CDS.1450,TBhypo2152.genome.CDS.1808,,TBhypo3838.genome.CDS.916,TBhypo680.genome.CDS.2106,,acIB-AMD-7.genome.CDS.1723;acIB-AMD-7.genome.CDS.1809,bin_7_acI-B2.genome.CDS.3547
group00175,,,AAA024D14.genome.CDS.876,AAA027J17.genome.CDS.1505,AAA027L06.genome.CDS.2152,AAA027M14.genome.CDS.1156,AAA028A23.genome.CDS.362,AAA028E20.genome.CDS.1048,AAA028G02.genome.CDS.2660,,,AAA044D11.genome.CDS.2184,AAA044N04.genome.CDS.1385,AAA044O16.genome.CDS.1897,AAA278I18.genome.CDS.1178,AAA278O22.genome.CDS.1288,,,MEint1363.genome.CDS.1091;MEint1363.genome.CDS.1858,MEint2297.genome.CDS.2700,MEint283.genome.CDS.1148,MEint3864.genome.CDS.1281,MEint4252.genome.CDS.1317;MEint4252.genome.CDS.1179,MEint885.genome.CDS.1279;MEint885.genome.CDS.970,,TBepi2754.genome.CDS.2143,TBepi3207.genome.CDS.1291,TBepi3475.genome.CDS.1312,,TBhypo2152.genome.CDS.1733,TBhypo3463.genome.CDS.1366,,TBhypo680.genome.CDS.2019,acIB-AMD-6.genome.CDS.781,acIB-AMD-7.genome.CDS.1803,bin_7_acI-B2.genome.CDS.1203;bin_7_acI-B2.genome.CDS.1202
group00176,AAA023D18.genome.CDS.1401,AAA023J06.genome.CDS.1403,,AAA027J17.genome.CDS.1412,,AAA027M14.genome.CDS.1223,,AAA028E20.genome.CDS.1363,AAA028G02.genome.CDS.1812,,AAA041L13.genome.CDS.1936,,AAA044N04.genome.CDS.2058,AAA044O16.genome.CDS.2204,,AAA278O22.genome.CDS.2236,AB141P03.genome.CDS.716,BIN_10.genome.CDS.1673,MEint1363.genome.CDS.1529,MEint2297.genome.CDS.2528;MEint2297.genome.CDS.1485,MEint283.genome.CDS.1061;MEint283.genome.CDS.1219,,MEint4252.genome.CDS.1806,,TBepi2057.genome.CDS.1321,TBepi2754.genome.CDS.2099;TBepi2754.genome.CDS.1706,TBepi3207.genome.CDS.2444;TBepi3207.genome.CDS.2479,TBepi3475.genome.CDS.1548,TBepi4208.genome.CDS.1990,TBhypo2152.genome.CDS.1008,,,TBhypo680.genome.CDS.2034,,acIB-AMD-7.genome.CDS.1615;acIB-AMD-7.genome.CDS.1387,bin_7_acI-B2.genome.CDS.3908
group00177,AAA023D18.genome.CDS.1227,AAA023J06.genome.CDS.1415,AAA024D14.genome.CDS.1189,AAA027J17.genome.CDS.1782,AAA027L06.genome.CDS.984,,AAA028A23.genome.CDS.1331,,AAA028G02.genome.CDS.1862,AAA028I14.genome.CDS.818,,AAA044D11.genome.CDS.1226,AAA044N04.genome.CDS.1464,AAA044O16.genome.CDS.2253,AAA278I18.genome.CDS.1662,AAA278O22.genome.CDS.1840,,BIN_10.genome.CDS.1305,MEint1363.genome.CDS.1190,MEint2297.genome.CDS.1805,,MEint3864.genome.CDS.1502,MEint4252.genome.CDS.1876,MEint885.genome.CDS.1616,TBepi2057.genome.CDS.1660,TBepi2754.genome.CDS.1898,TBepi3207.genome.CDS.1727,TBepi3475.genome.CDS.969,,,TBhypo3463.genome.CDS.1689,,,,acIB-AMD-7.genome.CDS.1880,
group00178,AAA023D18.genome.CDS.1236,,AAA024D14.genome.CDS.1590;AAA024D14.genome.CDS.1619,,,,,AAA028E20.genome.CDS.1774,AAA028G02.genome.CDS.1853,,AAA041L13.genome.CDS.2242,AAA044D11.genome.CDS.49,AAA044N04.genome.CDS.2027,AAA044O16.genome.CDS.2244,AAA278I18.genome.CDS.1653,AAA278O22.genome.CDS.1836,AB141P03.genome.CDS.672,BIN_10.genome.CDS.1809,,MEint2297.genome.CDS.1921;MEint2297.genome.CDS.2166,,,MEint4252.genome.CDS.2209,,TBepi2057.genome.CDS.1078,TBepi2754.genome.CDS.1890,TBepi3207.genome.CDS.1719,,,TBhypo2152.genome.CDS.1374,TBhypo3463.genome.CDS.1516,,TBhypo680.genome.CDS.1497,,,bin_7_acI-B2.genome.CDS.2431;bin_7_acI-B2.genome.CDS.2621
group00179,AAA023D18.genome.CDS.1513,,,AAA027J17.genome.CDS.1436,AAA027L06.genome.CDS.2328,AAA027M14.genome.CDS.1251,AAA028A23.genome.CDS.1095,AAA028E20.genome.CDS.1335,AAA028G02.genome.CDS.1786,AAA028I14.genome.CDS.1324,AAA041L13.genome.CDS.2424,,AAA044N04.genome.CDS.2081,AAA044O16.genome.CDS.2179,,,AB141P03.genome.CDS.741,BIN_10.genome.CDS.1451,MEint1363.genome.CDS.1142,MEint2297.genome.CDS.1459,MEint283.genome.CDS.754,MEint3864.genome.CDS.1227,MEint4252.genome.CDS.1841,MEint885.genome.CDS.1163;MEint885.genome.CDS.1206,TBepi2057.genome.CDS.1977,TBepi2754.genome.CDS.2361,TBepi3207.genome.CDS.2035,TBepi3475.genome.CDS.1541,TBepi4208.genome.CDS.1750,TBhypo2152.genome.CDS.1064,TBhypo3463.genome.CDS.2094,,TBhypo680.genome.CDS.2297,acIB-AMD-6.genome.CDS.1102,acIB-AMD-7.genome.CDS.1228,bin_7_acI-B2.genome.CDS.2478;bin_7_acI-B2.genome.CDS.2974;bin_7_acI-B2.genome.CDS.3496;bin_7_acI-B2.genome.CDS.4053
group00180,AAA023D18.genome.CDS.1501,,,AAA027J17.genome.CDS.1437,AAA027L06.genome.CDS.2327,AAA027M14.genome.CDS.1252,AAA028A23.genome.CDS.1094,AAA028E20.genome.CDS.1334,AAA028G02.genome.CDS.1785,AAA028I14.genome.CDS.1325,AAA041L13.genome.CDS.2423,,AAA044N04.genome.CDS.2082,AAA044O16.genome.CDS.2178,,,AB141P03.genome.CDS.742,BIN_10.genome.CDS.1452,MEint1363.genome.CDS.1143,MEint2297.genome.CDS.1458,MEint283.genome.CDS.753,MEint3864.genome.CDS.1226,MEint4252.genome.CDS.1840,MEint885.genome.CDS.1162;MEint885.genome.CDS.1207,TBepi2057.genome.CDS.1909,TBepi2754.genome.CDS.2360,TBepi3207.genome.CDS.2034,TBepi3475.genome.CDS.1542,TBepi4208.genome.CDS.1749,TBhypo2152.genome.CDS.1063,TBhypo3463.genome.CDS.2095,,TBhypo680.genome.CDS.2298,acIB-AMD-6.genome.CDS.1101,acIB-AMD-7.genome.CDS.1229,bin_7_acI-B2.genome.CDS.2479;bin_7_acI-B2.genome.CDS.2973;bin_7_acI-B2.genome.CDS.3497;bin_7_acI-B2.genome.CDS.4052
group00181,AAA023D18.genome.CDS.855;AAA023D18.genome.CDS.1471,AAA023J06.genome.CDS.813,AAA024D14.genome.CDS.961,AAA027J17.genome.CDS.1982,AAA027L06.genome.CDS.1645,,AAA028A23.genome.CDS.1448,AAA028E20.genome.CDS.1672,AAA028G02.genome.CDS.1949,AAA028I14.genome.CDS.1010,AAA041L13.genome.CDS.2470,,AAA044N04.genome.CDS.1881,AAA044O16.genome.CDS.2503,AAA278I18.genome.CDS.1410,AAA278O22.genome.CDS.1347,AB141P03.genome.CDS.964,BIN_10.genome.CDS.1704,,MEint2297.genome.CDS.2753;MEint2297.genome.CDS.2389,MEint283.genome.CDS.942,,MEint4252.genome.CDS.2254,,TBepi2057.genome.CDS.1555,TBepi2754.genome.CDS.1763,TBepi3207.genome.CDS.1882,,TBepi4208.genome.CDS.1088,,TBhypo3463.genome.CDS.1482,TBhypo3838.genome.CDS.680,TBhypo680.genome.CDS.2331,,acIB-AMD-7.genome.CDS.1048,bin_7_acI-B2.genome.CDS.3948
group00182,,,,AAA027J17.genome.CDS.1687,AAA027L06.genome.CDS.1408,AAA027M14.genome.CDS.1505,AAA028A23.genome.CDS.1370,AAA028E20.genome.CDS.1009,AAA028G02.genome.CDS.2049,AAA028I14.genome.CDS.1174,AAA041L13.genome.CDS.1471,AAA044D11.genome.CDS.2235,AAA044N04.genome.CDS.2384,AAA044O16.genome.CDS.2509,AAA278I18.genome.CDS.971,AAA278O22.genome.CDS.1564,,BIN_10.genome.CDS.1817,MEint1363.genome.CDS.1160,MEint2297.genome.CDS.2371,MEint283.genome.CDS.902;MEint283.genome.CDS.906,,MEint4252.genome.CDS.1748,MEint885.genome.CDS.1007,TBepi2057.genome.CDS.1477,TBepi2754.genome.CDS.1421,TBepi3207.genome.CDS.2235,TBepi3475.genome.CDS.1884,TBepi4208.genome.CDS.1743;TBepi4208.genome.CDS.1855,TBhypo2152.genome.CDS.1756,TBhypo3463.genome.CDS.1257,TBhypo3838.genome.CDS.770,TBhypo680.genome.CDS.2260,acIB-AMD-6.genome.CDS.1080,,bin_7_acI-B2.genome.CDS.3059
group00183,AAA023D18.genome.CDS.1018,AAA023J06.genome.CDS.1025,,,,AAA027M14.genome.CDS.833,,AAA028E20.genome.CDS.1448,AAA028G02.genome.CDS.2354,AAA028I14.genome.CDS.1150,AAA041L13.genome.CDS.2082,AAA044D11.genome.CDS.1957,AAA044N04.genome.CDS.2520,AAA044O16.genome.CDS.1459,,AAA278O22.genome.CDS.1969,,,,MEint2297.genome.CDS.2045;MEint2297.genome.CDS.2405,,,MEint4252.genome.CDS.1212,,TBepi2057.genome.CDS.1447,TBepi2754.genome.CDS.1702,TBepi3207.genome.CDS.1461,TBepi3475.genome.CDS.945,TBepi4208.genome.CDS.1930,TBhypo2152.genome.CDS.1048,TBhypo3463.genome.CDS.2367,,,,,bin_7_acI-B2.genome.CDS.3678
group00184,AAA023D18.genome.CDS.1088,,,AAA027J17.genome.CDS.1296,AAA027L06.genome.CDS.1939,AAA027M14.genome.CDS.1283,AAA028A23.genome.CDS.1697,,AAA028G02.genome.CDS.2426,AAA028I14.genome.CDS.1100,AAA041L13.genome.CDS.1556,,,AAA044O16.genome.CDS.1411,AAA278I18.genome.CDS.1756,AAA278O22.genome.CDS.2293,,BIN_10.genome.CDS.2067,MEint1363.genome.CDS.1565,MEint2297.genome.CDS.1846,MEint283.genome.CDS.1110,MEint3864.genome.CDS.1381,,MEint885.genome.CDS.896,TBepi2057.genome.CDS.1216,TBepi2754.genome.CDS.1655,TBepi3207.genome.CDS.1539,TBepi3475.genome.CDS.1763,TBepi4208.genome.CDS.1545,TBhypo2152.genome.CDS.1567,TBhypo3463.genome.CDS.2154,,TBhypo680.genome.CDS.2364,acIB-AMD-6.genome.CDS.911,,bin_7_acI-B2.genome.CDS.3630
group00185,,,AAA024D14.genome.CDS.1465,AAA027J17.genome.CDS.1217,AAA027L06.genome.CDS.2218,,AAA028A23.genome.CDS.1155,,AAA028G02.genome.CDS.2200,AAA028I14.genome.CDS.1252,AAA041L13.genome.CDS.2376,AAA044D11.genome.CDS.1535,AAA044N04.genome.CDS.1691,AAA044O16.genome.CDS.2663,AAA278I18.genome.CDS.1348,AAA278O22.genome.CDS.2077,,BIN_10.genome.CDS.2116,MEint1363.genome.CDS.1386,MEint2297.genome.CDS.1956;MEint2297.genome.CDS.2312,MEint283.genome.CDS.1514,MEint3864.genome.CDS.1372,MEint4252.genome.CDS.1831,MEint885.genome.CDS.1547;MEint885.genome.CDS.860,TBepi2057.genome.CDS.1310,TBepi2754.genome.CDS.2206,TBepi3207.genome.CDS.2136,TBepi3475.genome.CDS.1866,TBepi4208.genome.CDS.1742,TBhypo2152.genome.CDS.937,TBhypo3463.genome.CDS.2382,,TBhypo680.genome.CDS.1402,,acIB-AMD-7.genome.CDS.1755,bin_7_acI-B2.genome.CDS.3340;bin_7_acI-B2.genome.CDS.3995
group00186,,AAA023J06.genome.CDS.1480,AAA024D14.genome.CDS.1477,AAA027J17.genome.CDS.1834,AAA027L06.genome.CDS.1855,,AAA028A23.genome.CDS.1241,AAA028E20.genome.CDS.1162,AAA028G02.genome.CDS.1509,AAA028I14.genome.CDS.1526,AAA041L13.genome.CDS.1458,AAA044D11.genome.CDS.1979,AAA044N04.genome.CDS.2416,AAA044O16.genome.CDS.2103,AAA278I18.genome.CDS.1586,AAA278O22.genome.CDS.1796,AB141P03.genome.CDS.1282,BIN_10.genome.CDS.1747,MEint1363.genome.CDS.1682,MEint2297.genome.CDS.1994;MEint2297.genome.CDS.2268,MEint283.genome.CDS.1003,MEint3864.genome.CDS.943,MEint4252.genome.CDS.1770,MEint885.genome.CDS.1360,,,TBepi3207.genome.CDS.1358,TBepi3475.genome.CDS.1011,TBepi4208.genome.CDS.979,,TBhypo3463.genome.CDS.1392,TBhypo3838.genome.CDS.958,TBhypo680.genome.CDS.1429,acIB-AMD-6.genome.CDS.730;acIB-AMD-6.genome.CDS.866,acIB-AMD-7.genome.CDS.1830,bin_7_acI-B2.genome.CDS.3747
group00187,AAA023D18.genome.CDS.1276,,,AAA027J17.genome.CDS.1736,AAA027L06.genome.CDS.1958,AAA027M14.genome.CDS.969,AAA028A23.genome.CDS.1292,AAA028E20.genome.CDS.1471,AAA028G02.genome.CDS.1576,,AAA041L13.genome.CDS.2025,AAA044D11.genome.CDS.1362,AAA044N04.genome.CDS.2288,AAA044O16.genome.CDS.2380,AAA278I18.genome.CDS.1826,AAA278O22.genome.CDS.1946,AB141P03.genome.CDS.1046,BIN_10.genome.CDS.1386,MEint1363.genome.CDS.1264,MEint2297.genome.CDS.1721,MEint283.genome.CDS.1267,,MEint4252.genome.CDS.1825;MEint4252.genome.CDS.2290,,TBepi2057.genome.CDS.1834,TBepi2754.genome.CDS.2074,TBepi3207.genome.CDS.1860,TBepi3475.genome.CDS.1734,TBepi4208.genome.CDS.1710,TBhypo2152.genome.CDS.1180,TBhypo3463.genome.CDS.1788,,,acIB-AMD-6.genome.CDS.831;acIB-AMD-6.genome.CDS.896,,bin_7_acI-B2.genome.CDS.2060;bin_7_acI-B2.genome.CDS.3416
group00188,,AAA023J06.genome.CDS.894,AAA024D14.genome.CDS.816,AAA027J17.genome.CDS.1797,AAA027L06.genome.CDS.2070,,AAA028A23.genome.CDS.1220,AAA028E20.genome.CDS.1728,AAA028G02.genome.CDS.2148,AAA028I14.genome.CDS.1302,AAA041L13.genome.CDS.1876,AAA044D11.genome.CDS.1649,AAA044N04.genome.CDS.1639,AAA044O16.genome.CDS.2611,AAA278I18.genome.CDS.1041,,,BIN_10.genome.CDS.1391,MEint1363.genome.CDS.1103,MEint2297.genome.CDS.1615,MEint283.genome.CDS.1019,MEint3864.genome.CDS.1105;MEint3864.genome.CDS.1210,MEint4252.genome.CDS.1277;MEint4252.genome.CDS.2050,MEint885.genome.CDS.1679,TBepi2057.genome.CDS.1577,TBepi2754.genome.CDS.2111,TBepi3207.genome.CDS.1950,,TBepi4208.genome.CDS.1373,TBhypo2152.genome.CDS.1660,,,TBhypo680.genome.CDS.1628,acIB-AMD-6.genome.CDS.879,acIB-AMD-7.genome.CDS.1150,bin_7_acI-B2.genome.CDS.3080
group00189,AAA023D18.genome.CDS.1311,,AAA024D14.genome.CDS.807,,AAA027L06.genome.CDS.2052,,AAA028A23.genome.CDS.1669,AAA028E20.genome.CDS.1737,AAA028G02.genome.CDS.2159,AAA028I14.genome.CDS.1293,AAA041L13.genome.CDS.1867,AAA044D11.genome.CDS.1492,AAA044N04.genome.CDS.1648,AAA044O16.genome.CDS.2621,AAA278I18.genome.CDS.1313,,AB141P03.genome.CDS.1159,BIN_10.genome.CDS.1713,MEint1363.genome.CDS.1112,MEint2297.genome.CDS.1624,MEint283.genome.CDS.874,MEint3864.genome.CDS.1311;MEint3864.genome.CDS.995,MEint4252.genome.CDS.1575,MEint885.genome.CDS.1198,TBepi2057.genome.CDS.971,TBepi2754.genome.CDS.2574,TBepi3207.genome.CDS.2401,TBepi3475.genome.CDS.1228,,TBhypo2152.genome.CDS.1259,,TBhypo3838.genome.CDS.476,TBhypo680.genome.CDS.2580,acIB-AMD-6.genome.CDS.938,acIB-AMD-7.genome.CDS.1570,bin_7_acI-B2.genome.CDS.2088;bin_7_acI-B2.genome.CDS.2248;bin_7_acI-B2.genome.CDS.2368;bin_7_acI-B2.genome.CDS.3467
group00190,,,AAA024D14.genome.CDS.1618,,,,AAA028A23.genome.CDS.1230,AAA028E20.genome.CDS.1011,AAA028G02.genome.CDS.1488,AAA028I14.genome.CDS.1176,AAA041L13.genome.CDS.1469,AAA044D11.genome.CDS.1993,AAA044N04.genome.CDS.2386,,AAA278I18.genome.CDS.1596,AAA278O22.genome.CDS.1807,,BIN_10.genome.CDS.1206,MEint1363.genome.CDS.1695;MEint1363.genome.CDS.1802,MEint2297.genome.CDS.1981,MEint283.genome.CDS.1014,MEint3864.genome.CDS.1192,,,TBepi2057.genome.CDS.1161,TBepi2754.genome.CDS.2270,TBepi3207.genome.CDS.2373,TBepi3475.genome.CDS.1372;TBepi3475.genome.CDS.1442,TBepi4208.genome.CDS.1280,TBhypo2152.genome.CDS.1536,TBhypo3463.genome.CDS.1848,TBhypo3838.genome.CDS.590,TBhypo680.genome.CDS.2614,acIB-AMD-6.genome.CDS.741;acIB-AMD-6.genome.CDS.855,acIB-AMD-7.genome.CDS.1138,
group00191,AAA023D18.genome.CDS.1131,AAA023J06.genome.CDS.1381,AAA024D14.genome.CDS.1134,AAA027J17.genome.CDS.2038,AAA027L06.genome.CDS.1442,AAA027M14.genome.CDS.1102,AAA028A23.genome.CDS.1340,,AAA028G02.genome.CDS.2629,,,AAA044D11.genome.CDS.1804,AAA044N04.genome.CDS.1468,AAA044O16.genome.CDS.1592;AAA044O16.genome.CDS.2000,AAA278I18.genome.CDS.1845,AAA278O22.genome.CDS.1590,,BIN_10.genome.CDS.1567,MEint1363.genome.CDS.1068,MEint2297.genome.CDS.1801,MEint283.genome.CDS.1377,MEint3864.genome.CDS.1067,MEint4252.genome.CDS.1703,,TBepi2057.genome.CDS.1774,TBepi2754.genome.CDS.1544,,,TBepi4208.genome.CDS.1705,,TBhypo3463.genome.CDS.1546,TBhypo3838.genome.CDS.734,TBhypo680.genome.CDS.2197,acIB-AMD-6.genome.CDS.1062,,bin_7_acI-B2.genome.CDS.2093;bin_7_acI-B2.genome.CDS.3035
group00192,,AAA023J06.genome.CDS.937,AAA024D14.genome.CDS.849,AAA027J17.genome.CDS.1836,AAA027L06.genome.CDS.1853,,AAA028A23.genome.CDS.1243,AAA028E20.genome.CDS.1318,AAA028G02.genome.CDS.2115,AAA028I14.genome.CDS.1371,AAA041L13.genome.CDS.1741,AAA044D11.genome.CDS.1977,AAA044N04.genome.CDS.1604,AAA044O16.genome.CDS.2576,AAA278I18.genome.CDS.1584,AAA278O22.genome.CDS.1484,AB141P03.genome.CDS.1093,BIN_10.genome.CDS.1745,MEint1363.genome.CDS.1495,MEint2297.genome.CDS.1586,MEint283.genome.CDS.1001,MEint3864.genome.CDS.963,MEint4252.genome.CDS.1764,MEint885.genome.CDS.1358,TBepi2057.genome.CDS.1855,TBepi2754.genome.CDS.2474,TBepi3207.genome.CDS.2042,TBepi3475.genome.CDS.1013,TBepi4208.genome.CDS.1175,TBhypo2152.genome.CDS.1356,TBhypo3463.genome.CDS.1388,,TBhypo680.genome.CDS.1573,acIB-AMD-6.genome.CDS.728,acIB-AMD-7.genome.CDS.1832,
group00193,,AAA023J06.genome.CDS.895,AAA024D14.genome.CDS.815,AAA027J17.genome.CDS.1796,AAA027L06.genome.CDS.2069,,AAA028A23.genome.CDS.1221,AAA028E20.genome.CDS.1729,AAA028G02.genome.CDS.2150,AAA028I14.genome.CDS.1301,AAA041L13.genome.CDS.1875,AAA044D11.genome.CDS.1650,AAA044N04.genome.CDS.1640,AAA044O16.genome.CDS.2613,AAA278I18.genome.CDS.1042,AAA278O22.genome.CDS.2353,,BIN_10.genome.CDS.1390,MEint1363.genome.CDS.1104,MEint2297.genome.CDS.1616,MEint283.genome.CDS.1018,MEint3864.genome.CDS.1104,MEint4252.genome.CDS.1276;MEint4252.genome.CDS.2049,MEint885.genome.CDS.1680,TBepi2057.genome.CDS.1578,TBepi2754.genome.CDS.2112,,TBepi3475.genome.CDS.1893,TBepi4208.genome.CDS.1374,TBhypo2152.genome.CDS.1659,,,TBhypo680.genome.CDS.1627,acIB-AMD-6.genome.CDS.880,acIB-AMD-7.genome.CDS.1149,bin_7_acI-B2.genome.CDS.3082
group00194,AAA023D18.genome.CDS.1285,,,AAA027J17.genome.CDS.1744,AAA027L06.genome.CDS.1394,AAA027M14.genome.CDS.961,AAA028A23.genome.CDS.1545,AAA028E20.genome.CDS.1479,AAA028G02.genome.CDS.1584,,AAA041L13.genome.CDS.2033,AAA044D11.genome.CDS.1354,AAA044N04.genome.CDS.2280,AAA044O16.genome.CDS.2372,AAA278I18.genome.CDS.1691,AAA278O22.genome.CDS.1954,AB141P03.genome.CDS.1038,BIN_10.genome.CDS.1378,MEint1363.genome.CDS.1256,MEint2297.genome.CDS.1729,MEint283.genome.CDS.1275,,MEint4252.genome.CDS.1419;MEint4252.genome.CDS.2282,,,TBepi2754.genome.CDS.1646,TBepi3207.genome.CDS.1689,TBepi3475.genome.CDS.1742,TBepi4208.genome.CDS.1949,,TBhypo3463.genome.CDS.1987;TBhypo3463.genome.CDS.1988,,TBhypo680.genome.CDS.1296,acIB-AMD-6.genome.CDS.839;acIB-AMD-6.genome.CDS.888,acIB-AMD-7.genome.CDS.1413,
group00195,,AAA023J06.genome.CDS.975,AAA024D14.genome.CDS.1157,AAA027J17.genome.CDS.1684,AAA027L06.genome.CDS.1405,AAA027M14.genome.CDS.1502,AAA028A23.genome.CDS.1636,,AAA028G02.genome.CDS.2052,,AAA041L13.genome.CDS.1719,AAA044D11.genome.CDS.1568,AAA044N04.genome.CDS.1539,AAA044O16.genome.CDS.2512,AAA278I18.genome.CDS.974,AAA278O22.genome.CDS.1561,,BIN_10.genome.CDS.1288,MEint1363.genome.CDS.1163,MEint2297.genome.CDS.2374,MEint283.genome.CDS.905,MEint3864.genome.CDS.847,MEint4252.genome.CDS.1751,MEint885.genome.CDS.1004,TBepi2057.genome.CDS.1474,TBepi2754.genome.CDS.1418,TBepi3207.genome.CDS.2232,TBepi3475.genome.CDS.1887,TBepi4208.genome.CDS.1858,TBhypo2152.genome.CDS.1753,,TBhypo3838.genome.CDS.773,TBhypo680.genome.CDS.2257,,,bin_7_acI-B2.genome.CDS.3062
